Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Alabama,"Total, All Occupations",2175920,2281610,105690,4.9,266620,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chief Executives,2390,2270,-120,-5.0,150,,,,,,,,,,,,,,,,,,,,,,,
Alabama,General and Operations Managers,29940,32280,2340,7.8,2940,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Legislators,1150,1200,50,4.3,90,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Advertising and Promotions Managers,80,80,0,0.0,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Marketing Managers,950,1030,80,8.4,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Sales Managers,2740,2910,170,6.2,270,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Public Relations and Fundraising Managers,570,610,40,7.0,50,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Administrative Services Managers,880,950,70,8.0,80,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer and Information Systems Managers,3410,3880,470,13.8,330,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Financial Managers,5310,6180,870,16.4,530,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Industrial Production Managers,3610,4060,450,12.5,320,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Purchasing Managers,860,930,70,8.1,80,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Transportation, Storage, and Distribution Managers",1070,1150,80,7.5,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Compensation and Benefits Managers,60,60,0,0.0,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Human Resources Managers,1350,1450,100,7.4,130,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Training and Development Managers,160,170,10,6.3,20,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Farmers, Ranchers, and Other Agricultural Managers",16540,16510,-30,-0.2,1640,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Construction Managers,5240,5650,410,7.8,430,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education Administrators, Preschool and Childcare Center/Program",650,690,40,6.2,60,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education Administrators, Elementary and Secondary School",3710,3840,130,3.5,310,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education Administrators, Postsecondary",2410,2560,150,6.2,210,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education Administrators, All Other",680,700,20,2.9,60,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Architectural and Engineering Managers,2320,2510,190,8.2,190,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Food Service Managers,4050,4340,290,7.2,510,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Funeral Service Managers,340,360,20,5.9,30,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Gaming Managers,20,20,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lodging Managers,660,710,50,7.6,80,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Medical and Health Services Managers,3680,4180,500,13.6,360,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Natural Sciences Managers,140,150,10,7.1,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Postmasters and Mail Superintendents,260,210,-50,-19.2,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Property, Real Estate, and Community Association Managers",3030,3190,160,5.3,260,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Social and Community Service Managers,1460,1590,130,8.9,140,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Emergency Management Directors,200,210,10,5.0,20,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Managers, All Other",9540,9970,430,4.5,780,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Agents and Business Managers of Artists, Performers, and Athletes",80,80,0,0.0,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Buyers and Purchasing Agents,6620,6430,-190,-2.9,660,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Claims Adjusters, Examiners, and Investigators",4220,4040,-180,-4.3,330,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Insurance Appraisers, Auto Damage",380,420,40,10.5,40,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Compliance Officers,1740,1840,100,5.7,170,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cost Estimators,2230,2440,210,9.4,250,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Human Resources Specialists,5620,5930,310,5.5,610,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Farm Labor Contractors,60,70,10,16.7,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Labor Relations Specialists,1000,940,-60,-6.0,90,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Logisticians,3650,3920,270,7.4,390,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Management Analysts,6510,7520,1010,15.5,760,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Meeting, Convention, and Event Planners",880,940,60,6.8,110,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Fundraisers,960,1030,70,7.3,110,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Compensation, Benefits, and Job Analysis Specialists",680,700,20,2.9,70,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Training and Development Specialists,2470,2730,260,10.5,300,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Market Research Analysts and Marketing Specialists,4270,5130,860,20.1,570,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Business Operations Specialists, All Other",7690,8010,320,4.2,790,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Accountants and Auditors,17930,19200,1270,7.1,1860,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Appraisers and Assessors of Real Estate,940,980,40,4.3,80,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Budget Analysts,920,990,70,7.6,80,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Credit Analysts,470,500,30,6.4,50,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Financial Analysts,1540,1680,140,9.1,150,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Personal Financial Advisors,2850,3040,190,6.7,240,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Insurance Underwriters,1060,1000,-60,-5.7,80,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Financial Examiners,1160,1270,110,9.5,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Credit Counselors,190,200,10,5.3,20,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Loan Officers,4010,4360,350,8.7,380,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Tax Examiners and Collectors, and Revenue Agents",1190,1210,20,1.7,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Tax Preparers,860,900,40,4.7,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Financial Specialists, All Other",760,820,60,7.9,70,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer Systems Analysts,4330,4680,350,8.1,360,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Information Security Analysts,1190,1620,430,36.1,140,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer Programmers,8210,7640,-570,-6.9,500,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Software Developers, Applications",6580,8370,1790,27.2,710,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Software Developers, Systems Software",4560,5240,680,14.9,410,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Web Developers,1060,1200,140,13.2,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Database Administrators,2000,2230,230,11.5,170,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Network and Computer Systems Administrators,4060,4310,250,6.2,320,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer User Support Specialists,6400,7150,750,11.7,630,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer Network Support Specialists,1310,1470,160,12.2,130,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Computer Occupations, All Other",2040,2170,130,6.4,170,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Actuaries,90,110,20,22.2,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Operations Research Analysts,650,830,180,27.7,70,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Statisticians,200,250,50,25.0,20,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Architects, Except Landscape and Naval",1600,1740,140,8.8,140,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Landscape Architects,130,140,10,7.7,10,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cartographers and Photogrammetrists,170,200,30,17.6,20,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Surveyors,650,700,50,7.7,50,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Aerospace Engineers,4090,4510,420,10.3,320,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Agricultural Engineers,50,50,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Biomedical Engineers,30,30,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Chemical Engineers,490,570,80,16.3,40,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Civil Engineers,4760,5010,250,5.3,410,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer Hardware Engineers,1170,1270,100,8.5,100,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Electrical Engineers,4620,5170,550,11.9,380,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Electronics Engineers, Except Computer",1740,1830,90,5.2,130,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Environmental Engineers,800,840,40,5.0,70,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",510,560,50,9.8,40,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Industrial Engineers,5740,7040,1300,22.6,570,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Marine Engineers and Naval Architects,40,40,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,
