Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Alaska,"Total, All Occupations",326940,344900,17960,5.5,40890,,
Alaska,Chief Executives,1700,1830,130,7.6,140,,
Alaska,General and Operations Managers,4370,4620,250,5.7,420,,
Alaska,Advertising and Promotions Managers,120,130,10,8.3,10,,
Alaska,Marketing Managers,350,380,30,8.6,40,,
Alaska,Sales Managers,810,850,40,4.9,80,,
Alaska,Public Relations and Fundraising Managers,200,220,20,10.0,20,,
Alaska,Administrative Services Managers,1230,1300,70,5.7,110,,
Alaska,Computer and Information Systems Managers,930,960,30,3.2,80,,
Alaska,Financial Managers,1150,1190,40,3.5,90,,
Alaska,Industrial Production Managers,60,60,0,0.0,0,,
Alaska,Purchasing Managers,180,190,10,5.6,20,,
Alaska,"Transportation, Storage, and Distribution Managers",360,380,20,5.6,30,,
Alaska,Compensation and Benefits Managers,80,80,0,0.0,10,,
Alaska,Human Resources Managers,560,600,40,7.1,50,,
Alaska,Training and Development Managers,170,180,10,5.9,20,,
Alaska,"Farmers, Ranchers, and Other Agricultural Managers",30,40,10,33.3,0,,
Alaska,Construction Managers,990,1090,100,10.1,90,,
Alaska,"Education Administrators, Preschool and Childcare Center/Program",130,140,10,7.7,10,,
Alaska,"Education Administrators, Elementary and Secondary School",450,450,0,0.0,40,,
Alaska,"Education Administrators, Postsecondary",160,160,0,0.0,10,,
Alaska,"Education Administrators, All Other",230,230,0,0.0,20,,
Alaska,Architectural and Engineering Managers,340,360,20,5.9,30,,
Alaska,Food Service Managers,600,660,60,10.0,80,,
Alaska,Gaming Managers,30,30,0,0.0,0,,
Alaska,Lodging Managers,210,240,30,14.3,30,,
Alaska,Medical and Health Services Managers,960,1040,80,8.3,90,,
Alaska,Natural Sciences Managers,200,200,0,0.0,20,,
Alaska,"Property, Real Estate, and Community Association Managers",600,610,10,1.7,50,,
Alaska,Social and Community Service Managers,330,370,40,12.1,30,,
Alaska,Emergency Management Directors,70,70,0,0.0,10,,
Alaska,"Managers, All Other",1910,1980,70,3.7,150,,
Alaska,Buyers and Purchasing Agents,690,710,20,2.9,80,,
Alaska,"Claims Adjusters, Examiners, and Investigators",230,230,0,0.0,20,,
Alaska,"Insurance Appraisers, Auto Damage",40,40,0,0.0,0,,
Alaska,Compliance Officers,730,730,0,0.0,60,,
Alaska,Cost Estimators,190,210,20,10.5,20,,
Alaska,Human Resources Specialists,630,660,30,4.8,70,,
Alaska,Labor Relations Specialists,130,150,20,15.4,20,,
Alaska,Logisticians,370,390,20,5.4,40,,
