Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Arizona,"Total, All Occupations",3036220.0,3547750.0,511530.0,16.8,186990.0,,
Arizona,Chief Executives,2950.0,3020.0,70.0,2.4,220.0,,
Arizona,General and Operations Managers,21350.0,25230.0,3880.0,18.2,2410.0,,
Arizona,Legislators,740.0,760.0,20.0,2.7,60.0,,
Arizona,Advertising and Promotions Managers,220.0,240.0,20.0,9.1,20.0,,
Arizona,Marketing Managers,2130.0,2520.0,390.0,18.3,250.0,,
Arizona,Sales Managers,3870.0,4440.0,570.0,14.7,430.0,,
Arizona,Administrative Services Managers,620.0,620.0,0.0,0.0,50.0,,
Arizona,Computer and Information Systems Managers,3640.0,4390.0,750.0,20.6,390.0,,
Arizona,Financial Managers,4960.0,6390.0,1430.0,28.8,580.0,,
Arizona,Industrial Production Managers,1070.0,1260.0,190.0,17.8,100.0,,
Arizona,Purchasing Managers,560.0,630.0,70.0,12.5,60.0,,
Arizona,"Transportation, Storage, and Distribution Managers",1170.0,1430.0,260.0,22.2,130.0,,
Arizona,Compensation and Benefits Managers,110.0,120.0,10.0,9.1,10.0,,
Arizona,Human Resources Managers,1230.0,1440.0,210.0,17.1,130.0,,
Arizona,Training and Development Managers,350.0,420.0,70.0,20.0,40.0,,
Arizona,"Farmers, Ranchers, and Other Agricultural Managers",18900.0,19580.0,680.0,3.6,1980.0,,
Arizona,Construction Managers,5410.0,6090.0,680.0,12.6,480.0,,
Arizona,"Education Administrators, Preschool and Childcare Center/Program",560.0,740.0,180.0,32.1,70.0,,
Arizona,"Education Administrators, Elementary and Secondary School",1770.0,1980.0,210.0,11.9,170.0,,
Arizona,"Education Administrators, Postsecondary",1170.0,1340.0,170.0,14.5,110.0,,
Arizona,"Education Administrators, All Other",310.0,330.0,20.0,6.5,30.0,,
Arizona,Architectural and Engineering Managers,1510.0,1670.0,160.0,10.6,130.0,,
Arizona,Food Service Managers,3980.0,4490.0,510.0,12.8,540.0,,
Arizona,Funeral Service Managers,260.0,280.0,20.0,7.7,20.0,,
Arizona,Lodging Managers,590.0,590.0,0.0,0.0,60.0,,
Arizona,Medical and Health Services Managers,3360.0,4670.0,1310.0,39.0,450.0,,
Arizona,Natural Sciences Managers,460.0,500.0,40.0,8.7,50.0,,
Arizona,Postmasters and Mail Superintendents,210.0,190.0,-20.0,-9.5,10.0,,
Arizona,"Property, Real Estate, and Community Association Managers",5190.0,5560.0,370.0,7.1,450.0,,
Arizona,Social and Community Service Managers,1540.0,1940.0,400.0,26.0,190.0,,
Arizona,Emergency Management Directors,120.0,130.0,10.0,8.3,10.0,,
Arizona,"Managers, All Other",12170.0,12840.0,670.0,5.5,1020.0,,
Arizona,"Agents and Business Managers of Artists, Performers, and Athletes",100.0,100.0,0.0,0.0,10.0,,
Arizona,Buyers and Purchasing Agents,3510.0,3490.0,-20.0,-0.6,360.0,,
Arizona,"Claims Adjusters, Examiners, and Investigators",4260.0,4690.0,430.0,10.1,420.0,,
Arizona,"Insurance Appraisers, Auto Damage",330.0,410.0,80.0,24.2,40.0,,
Arizona,Compliance Officers,3680.0,4080.0,400.0,10.9,380.0,,
Arizona,Cost Estimators,1540.0,1840.0,300.0,19.5,200.0,,
Arizona,Human Resources Specialists,5410.0,6260.0,850.0,15.7,670.0,,
Arizona,Labor Relations Specialists,380.0,360.0,-20.0,-5.3,40.0,,
Arizona,Logisticians,1480.0,1690.0,210.0,14.2,170.0,,
Arizona,Management Analysts,8370.0,9960.0,1590.0,19.0,1020.0,,
Arizona,"Meeting, Convention, and Event Planners",1070.0,1180.0,110.0,10.3,140.0,,
Arizona,Fundraisers,570.0,710.0,140.0,24.6,80.0,,
Arizona,"Compensation, Benefits, and Job Analysis Specialists",830.0,970.0,140.0,16.9,100.0,,
Arizona,Training and Development Specialists,3560.0,4430.0,870.0,24.4,520.0,,
Arizona,Market Research Analysts and Marketing Specialists,5640.0,7650.0,2010.0,35.6,880.0,,
Arizona,"Business Operations Specialists, All Other",4200.0,4090.0,-110.0,-2.6,390.0,,
Arizona,Accountants and Auditors,10960.0,12550.0,1590.0,14.5,1260.0,,
Arizona,Appraisers and Assessors of Real Estate,760.0,790.0,30.0,3.9,60.0,,
Arizona,Budget Analysts,580.0,620.0,40.0,6.9,50.0,,
Arizona,Credit Analysts,580.0,730.0,150.0,25.9,70.0,,
Arizona,Financial Analysts,360.0,350.0,-10.0,-2.8,30.0,,
Arizona,Personal Financial Advisors,2580.0,2920.0,340.0,13.2,240.0,,
Arizona,Insurance Underwriters,550.0,620.0,70.0,12.7,60.0,,
Arizona,Financial Examiners,800.0,990.0,190.0,23.8,90.0,,
Arizona,Credit Counselors,750.0,980.0,230.0,30.7,100.0,,
Arizona,Loan Officers,3330.0,4300.0,970.0,29.1,420.0,,
Arizona,"Tax Examiners and Collectors, and Revenue Agents",850.0,780.0,-70.0,-8.2,60.0,,
Arizona,Tax Preparers,790.0,920.0,130.0,16.5,110.0,,
Arizona,"Financial Specialists, All Other",630.0,640.0,10.0,1.6,60.0,,
Arizona,Computer and Information Research Scientists,130.0,130.0,0.0,0.0,10.0,,
Arizona,Computer Systems Analysts,970.0,990.0,20.0,2.1,70.0,,
Arizona,Computer Programmers,370.0,370.0,0.0,0.0,30.0,,
Arizona,"Software Developers, Applications",520.0,580.0,60.0,11.5,50.0,,
Arizona,"Software Developers, Systems Software",180.0,200.0,20.0,11.1,20.0,,
Arizona,Web Developers,470.0,540.0,70.0,14.9,50.0,,
Arizona,Database Administrators,110.0,110.0,0.0,0.0,10.0,,
Arizona,Network and Computer Systems Administrators,360.0,350.0,-10.0,-2.8,20.0,,
Arizona,Computer Network Architects,140.0,130.0,-10.0,-7.1,10.0,,
Arizona,Computer User Support Specialists,660.0,710.0,50.0,7.6,60.0,,
Arizona,Computer Network Support Specialists,240.0,250.0,10.0,4.2,20.0,,
Arizona,"Computer Occupations, All Other",1550.0,1570.0,20.0,1.3,120.0,,
Arizona,Operations Research Analysts,910.0,1270.0,360.0,39.6,110.0,,
Arizona,Statisticians,340.0,460.0,120.0,35.3,40.0,,
Arizona,"Architects, Except Landscape and Naval",920.0,1050.0,130.0,14.1,90.0,,
Arizona,Landscape Architects,360.0,420.0,60.0,16.7,40.0,,
Arizona,Surveyors,430.0,490.0,60.0,14.0,40.0,,
Arizona,Aerospace Engineers,720.0,770.0,50.0,6.9,50.0,,
Arizona,Biomedical Engineers,110.0,130.0,20.0,18.2,10.0,,
Arizona,Civil Engineers,2780.0,3050.0,270.0,9.7,250.0,,
Arizona,Computer Hardware Engineers,710.0,800.0,90.0,12.7,60.0,,
Arizona,Electrical Engineers,2230.0,2500.0,270.0,12.1,180.0,,
Arizona,"Electronics Engineers, Except Computer",1440.0,1550.0,110.0,7.6,110.0,,
Arizona,Environmental Engineers,600.0,680.0,80.0,13.3,60.0,,
Arizona,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",140.0,150.0,10.0,7.1,10.0,,
Arizona,Industrial Engineers,1830.0,2220.0,390.0,21.3,180.0,,
Arizona,Materials Engineers,210.0,240.0,30.0,14.3,20.0,,
Arizona,Mechanical Engineers,2080.0,2420.0,340.0,16.3,190.0,,
Arizona,"Mining and Geological Engineers, Including Mining Safety Engineers",180.0,200.0,20.0,11.1,20.0,,
Arizona,Nuclear Engineers,110.0,110.0,0.0,0.0,10.0,,
Arizona,"Engineers, All Other",1220.0,1310.0,90.0,7.4,100.0,,
Arizona,Architectural and Civil Drafters,1000.0,1150.0,150.0,15.0,130.0,,
Arizona,Electrical and Electronics Drafters,510.0,590.0,80.0,15.7,60.0,,
Arizona,Mechanical Drafters,300.0,320.0,20.0,6.7,30.0,,
Arizona,"Drafters, All Other",100.0,120.0,20.0,20.0,10.0,,
Arizona,Aerospace Engineering and Operations Technicians,330.0,360.0,30.0,9.1,40.0,,
Arizona,Civil Engineering Technicians,830.0,880.0,50.0,6.0,90.0,,
Arizona,Electrical and Electronics Engineering Technicians,1420.0,1550.0,130.0,9.2,160.0,,
Arizona,Environmental Engineering Technicians,170.0,210.0,40.0,23.5,20.0,,
Arizona,Industrial Engineering Technicians,520.0,590.0,70.0,13.5,60.0,,
Arizona,Mechanical Engineering Technicians,370.0,420.0,50.0,13.5,40.0,,
Arizona,"Engineering Technicians, Except Drafters, All Other",320.0,310.0,-10.0,-3.1,30.0,,
Arizona,Surveying and Mapping Technicians,460.0,510.0,50.0,10.9,60.0,,
Arizona,Soil and Plant Scientists,130.0,140.0,10.0,7.7,20.0,,
Arizona,Zoologists and Wildlife Biologists,220.0,220.0,0.0,0.0,20.0,,
Arizona,"Biological Scientists, All Other",350.0,360.0,10.0,2.9,30.0,,
Arizona,Conservation Scientists,290.0,280.0,-10.0,-3.4,30.0,,
Arizona,"Medical Scientists, Except Epidemiologists",430.0,520.0,90.0,20.9,50.0,,
Arizona,Chemists,310.0,340.0,30.0,9.7,30.0,,
Arizona,"Environmental Scientists and Specialists, Including Health",830.0,860.0,30.0,3.6,90.0,,
Arizona,"Geoscientists, Except Hydrologists and Geographers",180.0,200.0,20.0,11.1,20.0,,
Arizona,"Physical Scientists, All Other",200.0,200.0,0.0,0.0,20.0,,
Arizona,Economists,150.0,150.0,0.0,0.0,10.0,,
Arizona,Survey Researchers,110.0,130.0,20.0,18.2,20.0,,
Arizona,"Clinical, Counseling, and School Psychologists",1850.0,2270.0,420.0,22.7,190.0,,
Arizona,"Psychologists, All Other",200.0,220.0,20.0,10.0,20.0,,
Arizona,Urban and Regional Planners,500.0,540.0,40.0,8.0,50.0,,
Arizona,Anthropologists and Archeologists,140.0,170.0,30.0,21.4,20.0,,
Arizona,"Social Scientists and Related Workers, All Other",340.0,340.0,0.0,0.0,40.0,,
Arizona,Biological Technicians,550.0,620.0,70.0,12.7,70.0,,
Arizona,Chemical Technicians,280.0,330.0,50.0,17.9,40.0,,
Arizona,Social Science Research Assistants,580.0,670.0,90.0,15.5,80.0,,
Arizona,"Environmental Science and Protection Technicians, Including Health",160.0,160.0,0.0,0.0,20.0,,
Arizona,Forensic Science Technicians,210.0,230.0,20.0,9.5,30.0,,
Arizona,Forest and Conservation Technicians,450.0,440.0,-10.0,-2.2,50.0,,
Arizona,"Life, Physical, and Social Science Technicians, All Other",440.0,490.0,50.0,11.4,60.0,,
Arizona,"Educational, Guidance, School, and Vocational Counselors",3280.0,3880.0,600.0,18.3,430.0,,
Arizona,Marriage and Family Therapists,570.0,780.0,210.0,36.8,90.0,,
Arizona,Rehabilitation Counselors,1190.0,1530.0,340.0,28.6,170.0,,
Arizona,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",2970.0,4190.0,1220.0,41.1,490.0,,
Arizona,"Counselors, All Other",260.0,310.0,50.0,19.2,30.0,,
Arizona,"Child, Family, and School Social Workers",3620.0,4140.0,520.0,14.4,430.0,,
Arizona,Healthcare Social Workers,1360.0,1850.0,490.0,36.0,210.0,,
Arizona,Mental Health and Substance Abuse Social Workers,1300.0,1790.0,490.0,37.7,200.0,,
Arizona,"Social Workers, All Other",760.0,790.0,30.0,3.9,80.0,,
Arizona,Health Educators,750.0,960.0,210.0,28.0,120.0,,
Arizona,Probation Officers and Correctional Treatment Specialists,1380.0,1340.0,-40.0,-2.9,110.0,,
Arizona,Social and Human Service Assistants,3970.0,5190.0,1220.0,30.7,670.0,,
Arizona,Community Health Workers,530.0,650.0,120.0,22.6,80.0,,
Arizona,"Community and Social Service Specialists, All Other",910.0,990.0,80.0,8.8,110.0,,
Arizona,Clergy,260.0,310.0,50.0,19.2,30.0,,
Arizona,"Directors, Religious Activities and Education",190.0,220.0,30.0,15.8,30.0,,
Arizona,Lawyers,7620.0,8230.0,610.0,8.0,440.0,,
Arizona,Judicial Law Clerks,260.0,250.0,-10.0,-3.8,10.0,,
Arizona,"Administrative Law Judges, Adjudicators, and Hearing Officers",220.0,210.0,-10.0,-4.5,10.0,,
