Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Arkansas,"Total, All Occupations",1408750.0,1527430.0,118680.0,8.4,178880.0,,
Arkansas,Chief Executives,3250.0,3250.0,0.0,0.0,230.0,,
Arkansas,General and Operations Managers,20950.0,23170.0,2220.0,10.6,2140.0,,
Arkansas,Legislators,1170.0,1310.0,140.0,12.0,110.0,,
Arkansas,Advertising and Promotions Managers,150.0,160.0,10.0,6.7,20.0,,
Arkansas,Marketing Managers,1410.0,1600.0,190.0,13.5,150.0,,
Arkansas,Sales Managers,2370.0,2580.0,210.0,8.9,240.0,,
Arkansas,Public Relations and Fundraising Managers,430.0,520.0,90.0,20.9,50.0,,
Arkansas,Administrative Services Managers,1930.0,2160.0,230.0,11.9,190.0,,
Arkansas,Computer and Information Systems Managers,2460.0,2860.0,400.0,16.3,250.0,,
Arkansas,Financial Managers,4760.0,5790.0,1030.0,21.6,510.0,,
Arkansas,Industrial Production Managers,2050.0,2220.0,170.0,8.3,170.0,,
Arkansas,Purchasing Managers,600.0,660.0,60.0,10.0,60.0,,
Arkansas,"Transportation, Storage, and Distribution Managers",1330.0,1460.0,130.0,9.8,120.0,,
Arkansas,Compensation and Benefits Managers,150.0,160.0,10.0,6.7,10.0,,
Arkansas,Human Resources Managers,1020.0,1150.0,130.0,12.7,110.0,,
Arkansas,Training and Development Managers,230.0,270.0,40.0,17.4,30.0,,
Arkansas,"Farmers, Ranchers, and Other Agricultural Managers",53970.0,53920.0,-50.0,-0.1,5360.0,,
Arkansas,Construction Managers,3320.0,3710.0,390.0,11.7,290.0,,
Arkansas,"Education Administrators, Preschool and Childcare Center/Program",680.0,780.0,100.0,14.7,70.0,,
Arkansas,"Education Administrators, Elementary and Secondary School",2190.0,2340.0,150.0,6.8,190.0,,
Arkansas,"Education Administrators, Postsecondary",1620.0,1750.0,130.0,8.0,140.0,,
Arkansas,"Education Administrators, All Other",630.0,690.0,60.0,9.5,60.0,,
Arkansas,Architectural and Engineering Managers,870.0,920.0,50.0,5.7,70.0,,
Arkansas,Food Service Managers,2150.0,2450.0,300.0,14.0,290.0,,
Arkansas,Funeral Service Managers,340.0,360.0,20.0,5.9,30.0,,
Arkansas,Lodging Managers,840.0,900.0,60.0,7.1,100.0,,
Arkansas,Medical and Health Services Managers,5250.0,6270.0,1020.0,19.4,560.0,,
Arkansas,Natural Sciences Managers,280.0,310.0,30.0,10.7,30.0,,
Arkansas,"Property, Real Estate, and Community Association Managers",2680.0,2980.0,300.0,11.2,250.0,,
Arkansas,Social and Community Service Managers,1820.0,2160.0,340.0,18.7,210.0,,
Arkansas,"Managers, All Other",8510.0,9440.0,930.0,10.9,770.0,,
Arkansas,Buyers and Purchasing Agents,3460.0,3420.0,-40.0,-1.2,350.0,,
Arkansas,"Claims Adjusters, Examiners, and Investigators",1490.0,1490.0,0.0,0.0,130.0,,
Arkansas,Compliance Officers,2830.0,3160.0,330.0,11.7,300.0,,
Arkansas,Cost Estimators,1290.0,1430.0,140.0,10.9,150.0,,
Arkansas,Human Resources Specialists,3850.0,4200.0,350.0,9.1,440.0,,
Arkansas,Labor Relations Specialists,370.0,360.0,-10.0,-2.7,40.0,,
Arkansas,Logisticians,1590.0,1770.0,180.0,11.3,180.0,,
Arkansas,Management Analysts,6860.0,8320.0,1460.0,21.3,860.0,,
Arkansas,"Meeting, Convention, and Event Planners",840.0,940.0,100.0,11.9,110.0,,
Arkansas,Fundraisers,700.0,990.0,290.0,41.4,120.0,,
Arkansas,"Compensation, Benefits, and Job Analysis Specialists",670.0,740.0,70.0,10.4,70.0,,
Arkansas,Training and Development Specialists,2390.0,2710.0,320.0,13.4,300.0,,
Arkansas,Market Research Analysts and Marketing Specialists,4960.0,6280.0,1320.0,26.6,710.0,,
Arkansas,"Business Operations Specialists, All Other",6960.0,7840.0,880.0,12.6,800.0,,
Arkansas,Accountants and Auditors,8790.0,9900.0,1110.0,12.6,980.0,,
Arkansas,Appraisers and Assessors of Real Estate,590.0,660.0,70.0,11.9,50.0,,
Arkansas,Budget Analysts,540.0,590.0,50.0,9.3,50.0,,
Arkansas,Credit Analysts,470.0,510.0,40.0,8.5,50.0,,
Arkansas,Financial Analysts,1130.0,1280.0,150.0,13.3,120.0,,
Arkansas,Personal Financial Advisors,1250.0,1390.0,140.0,11.2,110.0,,
Arkansas,Insurance Underwriters,350.0,380.0,30.0,8.6,30.0,,
Arkansas,Financial Examiners,300.0,330.0,30.0,10.0,30.0,,
Arkansas,Credit Counselors,90.0,100.0,10.0,11.1,10.0,,
Arkansas,Loan Officers,2740.0,3060.0,320.0,11.7,280.0,,
Arkansas,"Tax Examiners and Collectors, and Revenue Agents",530.0,580.0,50.0,9.4,50.0,,
Arkansas,Tax Preparers,740.0,820.0,80.0,10.8,100.0,,
Arkansas,"Financial Specialists, All Other",1050.0,1180.0,130.0,12.4,110.0,,
Arkansas,Computer and Information Research Scientists,40.0,50.0,10.0,25.0,0.0,,
Arkansas,Computer Systems Analysts,3650.0,4190.0,540.0,14.8,340.0,,
Arkansas,Information Security Analysts,910.0,1250.0,340.0,37.4,110.0,,
Arkansas,Computer Programmers,2020.0,1940.0,-80.0,-4.0,130.0,,
Arkansas,"Software Developers, Applications",4020.0,5180.0,1160.0,28.9,440.0,,
Arkansas,"Software Developers, Systems Software",1260.0,1400.0,140.0,11.1,110.0,,
Arkansas,Web Developers,540.0,640.0,100.0,18.5,50.0,,
Arkansas,Database Administrators,510.0,590.0,80.0,15.7,50.0,,
Arkansas,Network and Computer Systems Administrators,2590.0,2810.0,220.0,8.5,210.0,,
Arkansas,Computer Network Architects,950.0,1070.0,120.0,12.6,80.0,,
Arkansas,Computer User Support Specialists,4130.0,4650.0,520.0,12.6,410.0,,
Arkansas,Computer Network Support Specialists,1810.0,2060.0,250.0,13.8,180.0,,
Arkansas,"Computer Occupations, All Other",960.0,1070.0,110.0,11.5,80.0,,
Arkansas,Operations Research Analysts,640.0,840.0,200.0,31.3,70.0,,
Arkansas,Statisticians,420.0,570.0,150.0,35.7,50.0,,
Arkansas,"Architects, Except Landscape and Naval",710.0,790.0,80.0,11.3,70.0,,
Arkansas,Landscape Architects,110.0,120.0,10.0,9.1,10.0,,
Arkansas,Cartographers and Photogrammetrists,90.0,110.0,20.0,22.2,10.0,,
Arkansas,Surveyors,430.0,460.0,30.0,7.0,40.0,,
Arkansas,Agricultural Engineers,30.0,30.0,0.0,0.0,0.0,,
Arkansas,Biomedical Engineers,60.0,70.0,10.0,16.7,0.0,,
Arkansas,Chemical Engineers,150.0,170.0,20.0,13.3,10.0,,
Arkansas,Civil Engineers,1670.0,1830.0,160.0,9.6,150.0,,
Arkansas,Computer Hardware Engineers,290.0,340.0,50.0,17.2,30.0,,
Arkansas,Electrical Engineers,1060.0,1140.0,80.0,7.5,80.0,,
Arkansas,"Electronics Engineers, Except Computer",420.0,420.0,0.0,0.0,30.0,,
Arkansas,Environmental Engineers,130.0,140.0,10.0,7.7,10.0,,
Arkansas,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170.0,190.0,20.0,11.8,20.0,,
Arkansas,Industrial Engineers,1840.0,2100.0,260.0,14.1,160.0,,
Arkansas,Materials Engineers,150.0,160.0,10.0,6.7,10.0,,
Arkansas,Mechanical Engineers,1060.0,1130.0,70.0,6.6,80.0,,
Arkansas,Petroleum Engineers,100.0,90.0,-10.0,-10.0,10.0,,
Arkansas,"Engineers, All Other",690.0,720.0,30.0,4.3,50.0,,
Arkansas,Architectural and Civil Drafters,600.0,630.0,30.0,5.0,70.0,,
Arkansas,Electrical and Electronics Drafters,140.0,150.0,10.0,7.1,20.0,,
Arkansas,Mechanical Drafters,330.0,330.0,0.0,0.0,30.0,,
Arkansas,"Drafters, All Other",20.0,30.0,10.0,50.0,0.0,,
Arkansas,Civil Engineering Technicians,250.0,270.0,20.0,8.0,30.0,,
Arkansas,Electrical and Electronics Engineering Technicians,570.0,610.0,40.0,7.0,60.0,,
Arkansas,Environmental Engineering Technicians,170.0,180.0,10.0,5.9,20.0,,
Arkansas,Industrial Engineering Technicians,480.0,500.0,20.0,4.2,50.0,,
Arkansas,Mechanical Engineering Technicians,140.0,150.0,10.0,7.1,20.0,,
Arkansas,"Engineering Technicians, Except Drafters, All Other",530.0,600.0,70.0,13.2,60.0,,
Arkansas,Surveying and Mapping Technicians,450.0,490.0,40.0,8.9,60.0,,
Arkansas,Animal Scientists,20.0,20.0,0.0,0.0,0.0,,
Arkansas,Food Scientists and Technologists,220.0,240.0,20.0,9.1,30.0,,
Arkansas,Soil and Plant Scientists,90.0,100.0,10.0,11.1,10.0,,
Arkansas,Microbiologists,210.0,220.0,10.0,4.8,20.0,,
Arkansas,"Biological Scientists, All Other",260.0,270.0,10.0,3.8,30.0,,
Arkansas,Conservation Scientists,140.0,140.0,0.0,0.0,20.0,,
Arkansas,Foresters,220.0,240.0,20.0,9.1,30.0,,
Arkansas,Epidemiologists,50.0,60.0,10.0,20.0,10.0,,
Arkansas,"Medical Scientists, Except Epidemiologists",160.0,190.0,30.0,18.8,20.0,,
Arkansas,Atmospheric and Space Scientists,30.0,30.0,0.0,0.0,0.0,,
Arkansas,Chemists,330.0,350.0,20.0,6.1,30.0,,
Arkansas,"Environmental Scientists and Specialists, Including Health",280.0,330.0,50.0,17.9,40.0,,
Arkansas,"Geoscientists, Except Hydrologists and Geographers",90.0,110.0,20.0,22.2,10.0,,
Arkansas,Economists,100.0,110.0,10.0,10.0,10.0,,
Arkansas,Survey Researchers,90.0,100.0,10.0,11.1,10.0,,
Arkansas,"Clinical, Counseling, and School Psychologists",830.0,990.0,160.0,19.3,80.0,,
Arkansas,"Psychologists, All Other",110.0,120.0,10.0,9.1,10.0,,
Arkansas,Urban and Regional Planners,100.0,120.0,20.0,20.0,10.0,,
Arkansas,Anthropologists and Archeologists,40.0,40.0,0.0,0.0,0.0,,
Arkansas,"Social Scientists and Related Workers, All Other",160.0,160.0,0.0,0.0,20.0,,
Arkansas,Agricultural and Food Science Technicians,1030.0,1100.0,70.0,6.8,140.0,,
