Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
California,"Total, All Occupations",18825900.0,20412500.0,1586600.0,8.4,2416830.0,,
California,Chief Executives,43300.0,41500.0,-1800.0,-4.2,2830.0,,
California,General and Operations Managers,273600.0,299000.0,25400.0,9.3,27400.0,,
California,Legislators,3200.0,3300.0,100.0,3.1,260.0,,
California,Advertising and Promotions Managers,3000.0,3200.0,200.0,6.7,300.0,,
California,Marketing Managers,45600.0,51500.0,5900.0,12.9,4900.0,,
California,Sales Managers,89100.0,95100.0,6000.0,6.7,8770.0,,
California,Public Relations and Fundraising Managers,6300.0,6900.0,600.0,9.5,630.0,,
California,Administrative Services Managers,28100.0,30700.0,2600.0,9.3,2710.0,,
California,Computer and Information Systems Managers,85300.0,98600.0,13300.0,15.6,8500.0,,
California,Financial Managers,99400.0,117900.0,18500.0,18.6,10220.0,,
California,Industrial Production Managers,22100.0,22900.0,800.0,3.6,1720.0,,
California,Purchasing Managers,8300.0,9000.0,700.0,8.4,790.0,,
California,"Transportation, Storage, and Distribution Managers",20600.0,23500.0,2900.0,14.1,2020.0,,
California,Human Resources Managers,23500.0,26200.0,2700.0,11.5,2370.0,,
California,Training and Development Managers,5600.0,6200.0,600.0,10.7,580.0,,
California,"Farmers, Ranchers, and Other Agricultural Managers",94400.0,91800.0,-2600.0,-2.8,8980.0,,
California,Construction Managers,55100.0,59600.0,4500.0,8.2,4570.0,,
California,"Education Administrators, Preschool and Childcare Center/Program",9300.0,10200.0,900.0,9.7,860.0,,
California,"Education Administrators, Elementary and Secondary School",28200.0,29800.0,1600.0,5.7,2410.0,,
California,"Education Administrators, Postsecondary",16200.0,18100.0,1900.0,11.7,1520.0,,
California,Architectural and Engineering Managers,35500.0,38300.0,2800.0,7.9,2940.0,,
California,Food Service Managers,69200.0,79900.0,10700.0,15.5,9610.0,,
California,Funeral Service Managers,1100.0,1300.0,200.0,18.2,110.0,,
California,Lodging Managers,5900.0,6100.0,200.0,3.4,630.0,,
California,Medical and Health Services Managers,40900.0,50500.0,9600.0,23.5,4580.0,,
California,"Property, Real Estate, and Community Association Managers",65300.0,70600.0,5300.0,8.1,5770.0,,
California,"Managers, All Other",160400.0,179000.0,18600.0,11.6,14720.0,,
California,Buyers and Purchasing Agents,50000.0,47700.0,-2300.0,-4.6,4860.0,,
California,"Insurance Appraisers, Auto Damage",2500.0,2500.0,0.0,0.0,210.0,,
California,Compliance Officers,41500.0,44900.0,3400.0,8.2,4130.0,,
California,Cost Estimators,27700.0,29900.0,2200.0,7.9,3060.0,,
California,Human Resources Specialists,77000.0,85000.0,8000.0,10.4,8920.0,,
California,Labor Relations Specialists,8500.0,8300.0,-200.0,-2.4,820.0,,
California,Logisticians,24500.0,26800.0,2300.0,9.4,2670.0,,
California,Management Analysts,134600.0,153300.0,18700.0,13.9,15430.0,,
California,"Meeting, Convention, and Event Planners",19900.0,22000.0,2100.0,10.6,2590.0,,
California,Fundraisers,10600.0,12000.0,1400.0,13.2,1310.0,,
California,"Compensation, Benefits, and Job Analysis Specialists",11000.0,11800.0,800.0,7.3,1160.0,,
California,Training and Development Specialists,31900.0,36800.0,4900.0,15.4,4170.0,,
California,Market Research Analysts and Marketing Specialists,107600.0,133700.0,26100.0,24.3,14950.0,,
California,"Business Operations Specialists, All Other",196400.0,217000.0,20600.0,10.5,21900.0,,
California,Accountants and Auditors,168800.0,181800.0,13000.0,7.7,17650.0,,
California,Appraisers and Assessors of Real Estate,5300.0,5600.0,300.0,5.7,440.0,,
California,Budget Analysts,6400.0,6900.0,500.0,7.8,570.0,,
California,Credit Analysts,8600.0,8900.0,300.0,3.5,820.0,,
California,Financial Analysts,42500.0,46500.0,4000.0,9.4,4170.0,,
California,Personal Financial Advisors,36100.0,38800.0,2700.0,7.5,3100.0,,
California,Insurance Underwriters,9400.0,9100.0,-300.0,-3.2,740.0,,
California,Financial Examiners,5300.0,5700.0,400.0,7.5,450.0,,
California,Credit Counselors,4000.0,4300.0,300.0,7.5,390.0,,
California,Loan Officers,37300.0,39200.0,1900.0,5.1,3390.0,,
California,"Tax Examiners and Collectors, and Revenue Agents",8600.0,8400.0,-200.0,-2.3,690.0,,
California,Tax Preparers,11500.0,12000.0,500.0,4.3,1400.0,,
California,"Financial Specialists, All Other",21300.0,23500.0,2200.0,10.3,2150.0,,
California,Computer and Information Research Scientists,6200.0,7700.0,1500.0,24.2,680.0,,
California,Computer Systems Analysts,52100.0,56000.0,3900.0,7.5,4290.0,,
California,Information Security Analysts,5500.0,7300.0,1800.0,32.7,630.0,,
California,Computer Programmers,22200.0,20500.0,-1700.0,-7.7,1330.0,,
California,"Software Developers, Applications",123400.0,159200.0,35800.0,29.0,13530.0,,
California,"Software Developers, Systems Software",69500.0,77800.0,8300.0,11.9,6020.0,,
California,Web Developers,16200.0,18900.0,2700.0,16.7,1610.0,,
California,Database Administrators,7700.0,8600.0,900.0,11.7,670.0,,
California,Network and Computer Systems Administrators,25700.0,27200.0,1500.0,5.8,2000.0,,
California,Computer Network Architects,11900.0,12900.0,1000.0,8.4,960.0,,
California,Computer User Support Specialists,54700.0,62400.0,7700.0,14.1,5570.0,,
California,Computer Network Support Specialists,12900.0,14200.0,1300.0,10.1,1240.0,,
California,"Computer Occupations, All Other",71100.0,82300.0,11200.0,15.8,6690.0,,
California,Actuaries,1700.0,2100.0,400.0,23.5,160.0,,
California,Operations Research Analysts,10600.0,13600.0,3000.0,28.3,1090.0,,
California,Statisticians,5400.0,7600.0,2200.0,40.7,720.0,,
California,"Architects, Except Landscape and Naval",18400.0,20000.0,1600.0,8.7,1640.0,,
California,Landscape Architects,3200.0,3300.0,100.0,3.1,260.0,,
California,Surveyors,4600.0,4900.0,300.0,6.5,370.0,,
California,Aerospace Engineers,12300.0,13700.0,1400.0,11.4,980.0,,
California,Biomedical Engineers,2900.0,3200.0,300.0,10.3,250.0,,
California,Chemical Engineers,2200.0,2500.0,300.0,13.6,180.0,,
