Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Colorado,"Total, All Occupations",2905170.0,3434390.0,529220.0,18.2,412250.0,,
Colorado,Chief Executives,810.0,840.0,30.0,3.7,60.0,,
Colorado,General and Operations Managers,41760.0,50030.0,8270.0,19.8,4810.0,,
Colorado,Legislators,660.0,750.0,90.0,13.6,60.0,,
Colorado,Advertising and Promotions Managers,470.0,550.0,80.0,17.0,60.0,,
Colorado,Marketing Managers,4180.0,5150.0,970.0,23.2,510.0,,
Colorado,Sales Managers,5630.0,6700.0,1070.0,19.0,650.0,,
Colorado,Public Relations and Fundraising Managers,1560.0,1860.0,300.0,19.2,180.0,,
Colorado,Administrative Services Managers,2500.0,2970.0,470.0,18.8,280.0,,
Colorado,Computer and Information Systems Managers,7940.0,9970.0,2030.0,25.6,900.0,,
Colorado,Financial Managers,8000.0,10410.0,2410.0,30.1,950.0,,
Colorado,Industrial Production Managers,1180.0,1310.0,130.0,11.0,100.0,,
Colorado,Purchasing Managers,810.0,970.0,160.0,19.8,90.0,,
Colorado,"Transportation, Storage, and Distribution Managers",1430.0,1700.0,270.0,18.9,150.0,,
Colorado,Compensation and Benefits Managers,160.0,180.0,20.0,12.5,20.0,,
Colorado,Human Resources Managers,1860.0,2260.0,400.0,21.5,220.0,,
Colorado,Training and Development Managers,480.0,600.0,120.0,25.0,60.0,,
Colorado,"Farmers, Ranchers, and Other Agricultural Managers",10630.0,11920.0,1290.0,12.1,1250.0,,
Colorado,Construction Managers,14760.0,18950.0,4190.0,28.4,1630.0,,
Colorado,"Education Administrators, Preschool and Childcare Center/Program",1000.0,1190.0,190.0,19.0,110.0,,
Colorado,"Education Administrators, Elementary and Secondary School",4960.0,5760.0,800.0,16.1,500.0,,
Colorado,"Education Administrators, Postsecondary",2150.0,2570.0,420.0,19.5,230.0,,
Colorado,"Education Administrators, All Other",650.0,720.0,70.0,10.8,60.0,,
Colorado,Architectural and Engineering Managers,3420.0,3980.0,560.0,16.4,320.0,,
Colorado,Food Service Managers,2840.0,3410.0,570.0,20.1,420.0,,
Colorado,Funeral Service Managers,170.0,190.0,20.0,11.8,20.0,,
Colorado,Gaming Managers,110.0,130.0,20.0,18.2,20.0,,
Colorado,Lodging Managers,1220.0,1390.0,170.0,13.9,150.0,,
Colorado,Medical and Health Services Managers,5860.0,7780.0,1920.0,32.8,730.0,,
Colorado,Natural Sciences Managers,1280.0,1460.0,180.0,14.1,140.0,,
Colorado,Postmasters and Mail Superintendents,200.0,170.0,-30.0,-15.0,10.0,,
Colorado,"Property, Real Estate, and Community Association Managers",3490.0,4180.0,690.0,19.8,370.0,,
Colorado,Social and Community Service Managers,1940.0,2410.0,470.0,24.2,240.0,,
Colorado,Emergency Management Directors,140.0,170.0,30.0,21.4,10.0,,
Colorado,"Managers, All Other",21160.0,24950.0,3790.0,17.9,2130.0,,
Colorado,"Agents and Business Managers of Artists, Performers, and Athletes",170.0,210.0,40.0,23.5,30.0,,
Colorado,Buyers and Purchasing Agents,9200.0,9480.0,280.0,3.0,1000.0,,
Colorado,"Claims Adjusters, Examiners, and Investigators",5970.0,6260.0,290.0,4.9,550.0,,
Colorado,"Insurance Appraisers, Auto Damage",180.0,210.0,30.0,16.7,20.0,,
Colorado,Compliance Officers,6740.0,8030.0,1290.0,19.1,780.0,,
Colorado,Cost Estimators,5670.0,7080.0,1410.0,24.9,770.0,,
Colorado,Human Resources Specialists,13320.0,15690.0,2370.0,17.8,1690.0,,
Colorado,Farm Labor Contractors,20.0,20.0,0.0,0.0,0.0,,
Colorado,Labor Relations Specialists,1190.0,1210.0,20.0,1.7,120.0,,
Colorado,Logisticians,3460.0,4060.0,600.0,17.3,420.0,,
Colorado,Management Analysts,13710.0,17520.0,3810.0,27.8,1850.0,,
Colorado,"Meeting, Convention, and Event Planners",4300.0,5020.0,720.0,16.7,600.0,,
Colorado,Fundraisers,3620.0,4310.0,690.0,19.1,480.0,,
Colorado,"Compensation, Benefits, and Job Analysis Specialists",1480.0,1780.0,300.0,20.3,190.0,,
Colorado,Training and Development Specialists,6750.0,8290.0,1540.0,22.8,960.0,,
