Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Connecticut,"Total, All Occupations",1809040.0,1901840.0,92800.0,5.1,216890.0,,
Connecticut,Chief Executives,1490.0,1420.0,-70.0,-4.7,100.0,,
Connecticut,General and Operations Managers,32520.0,35090.0,2570.0,7.9,3190.0,,
Connecticut,Legislators,400.0,420.0,20.0,5.0,30.0,,
Connecticut,Advertising and Promotions Managers,360.0,370.0,10.0,2.8,40.0,,
Connecticut,Marketing Managers,6180.0,6640.0,460.0,7.4,610.0,,
Connecticut,Sales Managers,8280.0,8790.0,510.0,6.2,810.0,,
Connecticut,Public Relations and Fundraising Managers,840.0,890.0,50.0,6.0,80.0,,
Connecticut,Administrative Services Managers,3130.0,3360.0,230.0,7.3,290.0,,
Connecticut,Computer and Information Systems Managers,10960.0,12220.0,1260.0,11.5,1030.0,,
Connecticut,Financial Managers,19350.0,22330.0,2980.0,15.4,1910.0,,
Connecticut,Industrial Production Managers,2900.0,3140.0,240.0,8.3,240.0,,
Connecticut,Purchasing Managers,1870.0,2050.0,180.0,9.6,180.0,,
Connecticut,"Transportation, Storage, and Distribution Managers",1340.0,1450.0,110.0,8.2,120.0,,
Connecticut,Compensation and Benefits Managers,470.0,490.0,20.0,4.3,40.0,,
Connecticut,Human Resources Managers,3220.0,3490.0,270.0,8.4,310.0,,
Connecticut,Training and Development Managers,820.0,900.0,80.0,9.8,80.0,,
Connecticut,Construction Managers,3900.0,4220.0,320.0,8.2,320.0,,
Connecticut,"Education Administrators, Preschool and Childcare Center/Program",1020.0,1080.0,60.0,5.9,90.0,,
Connecticut,"Education Administrators, Elementary and Secondary School",4420.0,4400.0,-20.0,-0.5,340.0,,
Connecticut,"Education Administrators, Postsecondary",2320.0,2290.0,-30.0,-1.3,180.0,,
Connecticut,"Education Administrators, All Other",560.0,620.0,60.0,10.7,50.0,,
Connecticut,Architectural and Engineering Managers,3990.0,4430.0,440.0,11.0,350.0,,
Connecticut,Food Service Managers,1920.0,2050.0,130.0,6.8,240.0,,
Connecticut,Lodging Managers,180.0,170.0,-10.0,-5.6,20.0,,
Connecticut,Medical and Health Services Managers,7290.0,8370.0,1080.0,14.8,730.0,,
Connecticut,Natural Sciences Managers,650.0,700.0,50.0,7.7,60.0,,
Connecticut,Postmasters and Mail Superintendents,160.0,160.0,0.0,0.0,10.0,,
Connecticut,"Property, Real Estate, and Community Association Managers",3800.0,4040.0,240.0,6.3,330.0,,
Connecticut,Social and Community Service Managers,3840.0,4490.0,650.0,16.9,430.0,,
Connecticut,Emergency Management Directors,150.0,160.0,10.0,6.7,10.0,,
Connecticut,"Managers, All Other",15570.0,16790.0,1220.0,7.8,1350.0,,
Connecticut,Buyers and Purchasing Agents,6070.0,5910.0,-160.0,-2.6,610.0,,
Connecticut,"Claims Adjusters, Examiners, and Investigators",4500.0,4260.0,-240.0,-5.3,350.0,,
Connecticut,"Insurance Appraisers, Auto Damage",200.0,200.0,0.0,0.0,20.0,,
