Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Delaware,"Total, All Occupations",488580.0,513570.0,24990.0,5.1,59690.0,,
Delaware,General and Operations Managers,4200.0,4440.0,240.0,5.7,400.0,,
Delaware,Marketing Managers,1040.0,1110.0,70.0,6.7,100.0,,
Delaware,Sales Managers,980.0,1020.0,40.0,4.1,90.0,,
Delaware,Administrative Services Managers,930.0,980.0,50.0,5.4,90.0,,
Delaware,Computer and Information Systems Managers,1270.0,1350.0,80.0,6.3,110.0,,
Delaware,Financial Managers,2000.0,2300.0,300.0,15.0,200.0,,
Delaware,Industrial Production Managers,350.0,360.0,10.0,2.9,30.0,,
Delaware,"Transportation, Storage, and Distribution Managers",380.0,400.0,20.0,5.3,30.0,,
Delaware,Human Resources Managers,410.0,430.0,20.0,4.9,40.0,,
Delaware,Training and Development Managers,70.0,80.0,10.0,14.3,10.0,,
Delaware,Construction Managers,850.0,920.0,70.0,8.2,70.0,,
Delaware,"Education Administrators, Preschool and Childcare Center/Program",270.0,280.0,10.0,3.7,20.0,,
Delaware,"Education Administrators, Elementary and Secondary School",1010.0,1030.0,20.0,2.0,80.0,,
Delaware,"Education Administrators, Postsecondary",340.0,350.0,10.0,2.9,30.0,,
Delaware,"Education Administrators, All Other",60.0,70.0,10.0,16.7,10.0,,
Delaware,Architectural and Engineering Managers,360.0,370.0,10.0,2.8,30.0,,
Delaware,Food Service Managers,750.0,820.0,70.0,9.3,100.0,,
Delaware,Funeral Service Managers,60.0,70.0,10.0,16.7,10.0,,
Delaware,Lodging Managers,80.0,80.0,0.0,0.0,10.0,,
Delaware,Medical and Health Services Managers,1080.0,1280.0,200.0,18.5,110.0,,
Delaware,Natural Sciences Managers,350.0,360.0,10.0,2.9,30.0,,
Delaware,Postmasters and Mail Superintendents,40.0,30.0,-10.0,-25.0,0.0,,
Delaware,"Property, Real Estate, and Community Association Managers",1050.0,1110.0,60.0,5.7,90.0,,
Delaware,Social and Community Service Managers,910.0,1000.0,90.0,9.9,90.0,,
Delaware,"Managers, All Other",1700.0,1820.0,120.0,7.1,150.0,,
Delaware,Buyers and Purchasing Agents,1080.0,1010.0,-70.0,-6.5,100.0,,
Delaware,"Claims Adjusters, Examiners, and Investigators",470.0,410.0,-60.0,-12.8,30.0,,
Delaware,Compliance Officers,1180.0,1240.0,60.0,5.1,110.0,,
Delaware,Cost Estimators,980.0,1070.0,90.0,9.2,110.0,,
Delaware,Human Resources Specialists,2280.0,2370.0,90.0,3.9,240.0,,
Delaware,Labor Relations Specialists,1190.0,1090.0,-100.0,-8.4,100.0,,
Delaware,Logisticians,560.0,580.0,20.0,3.6,60.0,,
Delaware,Management Analysts,2980.0,3280.0,300.0,10.1,330.0,,
Delaware,"Meeting, Convention, and Event Planners",340.0,360.0,20.0,5.9,40.0,,
Delaware,Fundraisers,550.0,600.0,50.0,9.1,60.0,,
Delaware,"Compensation, Benefits, and Job Analysis Specialists",230.0,240.0,10.0,4.3,20.0,,
Delaware,Training and Development Specialists,1000.0,1090.0,90.0,9.0,120.0,,
Delaware,Market Research Analysts and Marketing Specialists,2120.0,2480.0,360.0,17.0,270.0,,
Delaware,"Business Operations Specialists, All Other",1510.0,1560.0,50.0,3.3,150.0,,
Delaware,Accountants and Auditors,5990.0,6290.0,300.0,5.0,600.0,,
Delaware,Budget Analysts,140.0,140.0,0.0,0.0,10.0,,
Delaware,Credit Analysts,1260.0,1330.0,70.0,5.6,120.0,,
Delaware,Financial Analysts,3550.0,3760.0,210.0,5.9,330.0,,
Delaware,Personal Financial Advisors,520.0,560.0,40.0,7.7,40.0,,
Delaware,Insurance Underwriters,150.0,120.0,-30.0,-20.0,10.0,,
Delaware,Financial Examiners,660.0,720.0,60.0,9.1,60.0,,
Delaware,Credit Counselors,100.0,100.0,0.0,0.0,10.0,,
Delaware,Loan Officers,800.0,870.0,70.0,8.8,80.0,,
Delaware,Tax Preparers,150.0,150.0,0.0,0.0,20.0,,
Delaware,"Financial Specialists, All Other",750.0,790.0,40.0,5.3,70.0,,
Delaware,Computer Systems Analysts,2590.0,2640.0,50.0,1.9,190.0,,
Delaware,Information Security Analysts,590.0,740.0,150.0,25.4,60.0,,
Delaware,Computer Programmers,1170.0,1040.0,-130.0,-11.1,70.0,,
Delaware,"Software Developers, Applications",4910.0,5850.0,940.0,19.1,470.0,,
Delaware,Web Developers,460.0,500.0,40.0,8.7,40.0,,
Delaware,Database Administrators,880.0,950.0,70.0,8.0,70.0,,
Delaware,Network and Computer Systems Administrators,1400.0,1420.0,20.0,1.4,100.0,,
Delaware,Computer Network Architects,630.0,640.0,10.0,1.6,40.0,,
Delaware,Computer User Support Specialists,1930.0,2020.0,90.0,4.7,170.0,,
Delaware,Computer Network Support Specialists,460.0,480.0,20.0,4.3,40.0,,
Delaware,Operations Research Analysts,980.0,1190.0,210.0,21.4,90.0,,
Delaware,"Architects, Except Landscape and Naval",160.0,160.0,0.0,0.0,10.0,,
Delaware,Surveyors,130.0,120.0,-10.0,-7.7,10.0,,
Delaware,Chemical Engineers,570.0,600.0,30.0,5.3,40.0,,
Delaware,Civil Engineers,880.0,890.0,10.0,1.1,70.0,,
Delaware,Electrical Engineers,620.0,640.0,20.0,3.2,40.0,,
Delaware,Environmental Engineers,150.0,150.0,0.0,0.0,10.0,,
Delaware,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",110.0,110.0,0.0,0.0,10.0,,
Delaware,Industrial Engineers,460.0,480.0,20.0,4.3,40.0,,
Delaware,Materials Engineers,20.0,20.0,0.0,0.0,0.0,,
Delaware,Mechanical Engineers,670.0,680.0,10.0,1.5,50.0,,
Delaware,Architectural and Civil Drafters,410.0,400.0,-10.0,-2.4,40.0,,
Delaware,Electrical and Electronics Drafters,90.0,90.0,0.0,0.0,10.0,,
Delaware,Mechanical Drafters,180.0,170.0,-10.0,-5.6,20.0,,
Delaware,Civil Engineering Technicians,350.0,360.0,10.0,2.9,40.0,,
Delaware,Environmental Engineering Technicians,60.0,60.0,0.0,0.0,10.0,,
Delaware,Industrial Engineering Technicians,40.0,40.0,0.0,0.0,0.0,,
Delaware,Mechanical Engineering Technicians,40.0,40.0,0.0,0.0,0.0,,
Delaware,"Engineering Technicians, Except Drafters, All Other",80.0,80.0,0.0,0.0,10.0,,
Delaware,Surveying and Mapping Technicians,140.0,140.0,0.0,0.0,20.0,,
Delaware,Soil and Plant Scientists,110.0,110.0,0.0,0.0,10.0,,
Delaware,Biochemists and Biophysicists,250.0,250.0,0.0,0.0,20.0,,
Delaware,Microbiologists,190.0,190.0,0.0,0.0,20.0,,
Delaware,Conservation Scientists,90.0,100.0,10.0,11.1,10.0,,
Delaware,"Medical Scientists, Except Epidemiologists",400.0,440.0,40.0,10.0,40.0,,
Delaware,Chemists,1420.0,1380.0,-40.0,-2.8,120.0,,
Delaware,Materials Scientists,90.0,90.0,0.0,0.0,10.0,,
Delaware,"Environmental Scientists and Specialists, Including Health",380.0,400.0,20.0,5.3,40.0,,
Delaware,"Geoscientists, Except Hydrologists and Geographers",110.0,110.0,0.0,0.0,10.0,,
Delaware,Economists,40.0,40.0,0.0,0.0,0.0,,
Delaware,Survey Researchers,90.0,80.0,-10.0,-11.1,10.0,,
Delaware,"Clinical, Counseling, and School Psychologists",660.0,740.0,80.0,12.1,60.0,,
Delaware,Urban and Regional Planners,210.0,240.0,30.0,14.3,20.0,,
Delaware,"Social Scientists and Related Workers, All Other",70.0,70.0,0.0,0.0,10.0,,
Delaware,Agricultural and Food Science Technicians,30.0,30.0,0.0,0.0,0.0,,
Delaware,Biological Technicians,180.0,190.0,10.0,5.6,20.0,,
Delaware,Chemical Technicians,650.0,660.0,10.0,1.5,70.0,,
Delaware,"Environmental Science and Protection Technicians, Including Health",230.0,240.0,10.0,4.3,30.0,,
Delaware,Forensic Science Technicians,30.0,30.0,0.0,0.0,0.0,,
Delaware,"Life, Physical, and Social Science Technicians, All Other",30.0,30.0,0.0,0.0,0.0,,
Delaware,"Educational, Guidance, School, and Vocational Counselors",1200.0,1260.0,60.0,5.0,130.0,,
Delaware,Marriage and Family Therapists,230.0,250.0,20.0,8.7,30.0,,
Delaware,Rehabilitation Counselors,510.0,560.0,50.0,9.8,60.0,,
Delaware,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",850.0,1050.0,200.0,23.5,120.0,,
Delaware,"Child, Family, and School Social Workers",1230.0,1300.0,70.0,5.7,130.0,,
Delaware,Healthcare Social Workers,560.0,660.0,100.0,17.9,70.0,,
Delaware,Mental Health and Substance Abuse Social Workers,370.0,430.0,60.0,16.2,50.0,,
Delaware,"Social Workers, All Other",130.0,130.0,0.0,0.0,10.0,,
Delaware,Health Educators,330.0,360.0,30.0,9.1,40.0,,
Delaware,Social and Human Service Assistants,890.0,1000.0,110.0,12.4,120.0,,
Delaware,Community Health Workers,180.0,200.0,20.0,11.1,20.0,,
Delaware,"Community and Social Service Specialists, All Other",530.0,570.0,40.0,7.5,70.0,,
Delaware,Clergy,60.0,70.0,10.0,16.7,10.0,,
Delaware,Lawyers,2840.0,2900.0,60.0,2.1,140.0,,
Delaware,"Administrative Law Judges, Adjudicators, and Hearing Officers",80.0,80.0,0.0,0.0,0.0,,
Delaware,"Judges, Magistrate Judges, and Magistrates",120.0,130.0,10.0,8.3,10.0,,
Delaware,Paralegals and Legal Assistants,1260.0,1330.0,70.0,5.6,140.0,,
Delaware,"Legal Support Workers, All Other",720.0,670.0,-50.0,-6.9,60.0,,
Delaware,"Computer Science Teachers, Postsecondary",170.0,180.0,10.0,5.9,10.0,,
Delaware,"Mathematical Science Teachers, Postsecondary",180.0,180.0,0.0,0.0,20.0,,
Delaware,"Engineering Teachers, Postsecondary",270.0,290.0,20.0,7.4,30.0,,
Delaware,"Chemistry Teachers, Postsecondary",100.0,100.0,0.0,0.0,10.0,,
Delaware,"Political Science Teachers, Postsecondary",70.0,70.0,0.0,0.0,10.0,,
Delaware,"Psychology Teachers, Postsecondary",80.0,90.0,10.0,12.5,10.0,,
Delaware,"Sociology Teachers, Postsecondary",100.0,110.0,10.0,10.0,10.0,,
Delaware,"Nursing Instructors and Teachers, Postsecondary",300.0,360.0,60.0,20.0,30.0,,
Delaware,"Education Teachers, Postsecondary",240.0,250.0,10.0,4.2,20.0,,
Delaware,"Criminal Justice and Law Enforcement Teachers, Postsecondary",50.0,50.0,0.0,0.0,0.0,,
Delaware,"Social Work Teachers, Postsecondary",60.0,70.0,10.0,16.7,10.0,,
Delaware,"English Language and Literature Teachers, Postsecondary",270.0,270.0,0.0,0.0,20.0,,
Delaware,"History Teachers, Postsecondary",60.0,60.0,0.0,0.0,10.0,,
Delaware,"Philosophy and Religion Teachers, Postsecondary",20.0,20.0,0.0,0.0,0.0,,
Delaware,"Vocational Education Teachers, Postsecondary",270.0,260.0,-10.0,-3.7,20.0,,
Delaware,"Postsecondary Teachers, All Other",60.0,60.0,0.0,0.0,10.0,,
Delaware,"Preschool Teachers, Except Special Education",2280.0,2370.0,90.0,3.9,240.0,,
Delaware,"Kindergarten Teachers, Except Special Education",440.0,450.0,10.0,2.3,50.0,,
Delaware,"Elementary School Teachers, Except Special Education",4360.0,4400.0,40.0,0.9,330.0,,
Delaware,"Middle School Teachers, Except Special and Career/Technical Education",3050.0,3090.0,40.0,1.3,230.0,,
Delaware,"Secondary School Teachers, Except Special and Career/Technical Education",3040.0,3080.0,40.0,1.3,220.0,,
Delaware,"Special Education Teachers, Kindergarten and Elementary School",1250.0,1250.0,0.0,0.0,90.0,,
Delaware,"Special Education Teachers, Secondary School",300.0,300.0,0.0,0.0,20.0,,
Delaware,Self-Enrichment Education Teachers,730.0,790.0,60.0,8.2,90.0,,
Delaware,"Teachers and Instructors, All Other, Except Substitute Teachers",730.0,780.0,50.0,6.8,90.0,,
Delaware,Curators,60.0,70.0,10.0,16.7,10.0,,
Delaware,Librarians,430.0,430.0,0.0,0.0,40.0,,
Delaware,Library Technicians,250.0,230.0,-20.0,-8.0,30.0,,
Delaware,Audio-Visual and Multimedia Collections Specialists,60.0,60.0,0.0,0.0,10.0,,
Delaware,Farm and Home Management Advisors,110.0,110.0,0.0,0.0,10.0,,
Delaware,Instructional Coordinators,1060.0,1110.0,50.0,4.7,110.0,,
Delaware,Teacher Assistants,4390.0,4480.0,90.0,2.1,480.0,,
Delaware,"Education, Training, and Library Workers, All Other",110.0,110.0,0.0,0.0,10.0,,
Delaware,Art Directors,100.0,100.0,0.0,0.0,10.0,,
Delaware,Commercial and Industrial Designers,30.0,20.0,-10.0,-33.3,0.0,,
Delaware,Floral Designers,100.0,90.0,-10.0,-10.0,10.0,,
Delaware,Graphic Designers,570.0,580.0,10.0,1.8,60.0,,
Delaware,Interior Designers,180.0,180.0,0.0,0.0,20.0,,
Delaware,Merchandise Displayers and Window Trimmers,750.0,750.0,0.0,0.0,70.0,,
Delaware,Producers and Directors,80.0,80.0,0.0,0.0,10.0,,
