Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Florida,"Total, All Occupations",9490600.0,10439150.0,948550.0,10.0,1251320.0,,
Florida,Chief Executives,27070.0,27300.0,230.0,0.8,1960.0,,
Florida,General and Operations Managers,127090.0,144320.0,17230.0,13.6,13510.0,,
Florida,Legislators,1470.0,1590.0,120.0,8.2,130.0,,
Florida,Advertising and Promotions Managers,1140.0,1210.0,70.0,6.1,120.0,,
Florida,Marketing Managers,10170.0,11800.0,1630.0,16.0,1140.0,,
Florida,Sales Managers,21140.0,23790.0,2650.0,12.5,2260.0,,
Florida,Public Relations and Fundraising Managers,2310.0,2570.0,260.0,11.3,240.0,,
Florida,Administrative Services Managers,14660.0,16820.0,2160.0,14.7,1530.0,,
Florida,Computer and Information Systems Managers,17660.0,21230.0,3570.0,20.2,1870.0,,
Florida,Financial Managers,31000.0,38050.0,7050.0,22.7,3370.0,,
Florida,Industrial Production Managers,5730.0,6280.0,550.0,9.6,490.0,,
Florida,Purchasing Managers,3020.0,3410.0,390.0,12.9,310.0,,
Florida,"Transportation, Storage, and Distribution Managers",5200.0,5760.0,560.0,10.8,490.0,,
Florida,Compensation and Benefits Managers,830.0,910.0,80.0,9.6,80.0,,
Florida,Human Resources Managers,7490.0,8420.0,930.0,12.4,770.0,,
Florida,Training and Development Managers,1440.0,1660.0,220.0,15.3,160.0,,
Florida,"Farmers, Ranchers, and Other Agricultural Managers",50400.0,48550.0,-1850.0,-3.7,4730.0,,
Florida,Construction Managers,37400.0,42410.0,5010.0,13.4,3370.0,,
Florida,"Education Administrators, Preschool and Childcare Center/Program",2250.0,2520.0,270.0,12.0,210.0,,
Florida,"Education Administrators, All Other",1550.0,1870.0,320.0,20.6,160.0,,
Florida,Architectural and Engineering Managers,7140.0,8070.0,930.0,13.0,640.0,,
Florida,Food Service Managers,24640.0,28540.0,3900.0,15.8,3440.0,,
Florida,Funeral Service Managers,990.0,1070.0,80.0,8.1,90.0,,
Florida,Gaming Managers,270.0,310.0,40.0,14.8,40.0,,
Florida,Lodging Managers,4270.0,4520.0,250.0,5.9,480.0,,
Florida,Postmasters and Mail Superintendents,350.0,290.0,-60.0,-17.1,20.0,,
Florida,"Property, Real Estate, and Community Association Managers",39450.0,43860.0,4410.0,11.2,3650.0,,
Florida,Social and Community Service Managers,4320.0,5000.0,680.0,15.7,470.0,,
Florida,Emergency Management Directors,310.0,340.0,30.0,9.7,30.0,,
Florida,"Managers, All Other",52550.0,58540.0,5990.0,11.4,4810.0,,
Florida,Buyers and Purchasing Agents,22240.0,21940.0,-300.0,-1.3,2270.0,,
Florida,"Claims Adjusters, Examiners, and Investigators",22220.0,22830.0,610.0,2.7,1960.0,,
Florida,"Insurance Appraisers, Auto Damage",1250.0,1430.0,180.0,14.4,130.0,,
Florida,Compliance Officers,20570.0,22780.0,2210.0,10.7,2120.0,,
Florida,Cost Estimators,13660.0,15510.0,1850.0,13.5,1620.0,,
Florida,Human Resources Specialists,36500.0,40040.0,3540.0,9.7,4190.0,,
Florida,Labor Relations Specialists,2120.0,2010.0,-110.0,-5.2,200.0,,
Florida,Logisticians,7320.0,8300.0,980.0,13.4,840.0,,
Florida,Management Analysts,55200.0,66980.0,11780.0,21.3,6930.0,,
Florida,"Meeting, Convention, and Event Planners",8590.0,9590.0,1000.0,11.6,1140.0,,
Florida,Fundraisers,3230.0,3600.0,370.0,11.5,390.0,,
Florida,"Compensation, Benefits, and Job Analysis Specialists",6440.0,7130.0,690.0,10.7,710.0,,
Florida,Training and Development Specialists,17940.0,20900.0,2960.0,16.5,2380.0,,
Florida,Market Research Analysts and Marketing Specialists,36360.0,47320.0,10960.0,30.1,5370.0,,
Florida,"Business Operations Specialists, All Other",75640.0,85950.0,10310.0,13.6,8790.0,,
Florida,Accountants and Auditors,79560.0,90610.0,11050.0,13.9,9040.0,,
Florida,Appraisers and Assessors of Real Estate,5870.0,6520.0,650.0,11.1,530.0,,
Florida,Budget Analysts,3360.0,3660.0,300.0,8.9,300.0,,
Florida,Credit Analysts,2880.0,3150.0,270.0,9.4,300.0,,
Florida,Financial Analysts,14110.0,16060.0,1950.0,13.8,1480.0,,
Florida,Personal Financial Advisors,18840.0,22200.0,3360.0,17.8,1890.0,,
Florida,Insurance Underwriters,5020.0,5130.0,110.0,2.2,430.0,,
Florida,Financial Examiners,2470.0,2790.0,320.0,13.0,230.0,,
Florida,Credit Counselors,3010.0,3500.0,490.0,16.3,320.0,,
Florida,Loan Officers,17880.0,19480.0,1600.0,8.9,1720.0,,
Florida,"Tax Examiners and Collectors, and Revenue Agents",3750.0,3760.0,10.0,0.3,310.0,,
Florida,Tax Preparers,5150.0,6070.0,920.0,17.9,730.0,,
Florida,"Financial Specialists, All Other",7160.0,8010.0,850.0,11.9,740.0,,
Florida,Computer and Information Research Scientists,580.0,650.0,70.0,12.1,50.0,,
Florida,Computer Systems Analysts,26370.0,30960.0,4590.0,17.4,2530.0,,
Florida,Information Security Analysts,5730.0,8250.0,2520.0,44.0,750.0,,
Florida,Computer Programmers,11150.0,11360.0,210.0,1.9,810.0,,
Florida,"Software Developers, Applications",39440.0,53020.0,13580.0,34.4,4610.0,,
Florida,"Software Developers, Systems Software",17780.0,21830.0,4050.0,22.8,1800.0,,
Florida,Web Developers,8730.0,10290.0,1560.0,17.9,880.0,,
Florida,Database Administrators,7210.0,8410.0,1200.0,16.6,670.0,,
Florida,Network and Computer Systems Administrators,19360.0,21490.0,2130.0,11.0,1640.0,,
Florida,Computer Network Architects,10630.0,11940.0,1310.0,12.3,920.0,,
Florida,Computer User Support Specialists,43650.0,51600.0,7950.0,18.2,4700.0,,
Florida,Computer Network Support Specialists,9130.0,10180.0,1050.0,11.5,900.0,,
Florida,"Computer Occupations, All Other",11850.0,13730.0,1880.0,15.9,1120.0,,
Florida,Actuaries,610.0,780.0,170.0,27.9,60.0,,
Florida,Mathematicians,90.0,120.0,30.0,33.3,10.0,,
Florida,Operations Research Analysts,4260.0,5610.0,1350.0,31.7,460.0,,
Florida,Statisticians,670.0,940.0,270.0,40.3,90.0,,
Florida,Miscellaneous Mathematical Science Occupations,100.0,110.0,10.0,10.0,10.0,,
Florida,"Architects, Except Landscape and Naval",5440.0,6350.0,910.0,16.7,540.0,,
Florida,Landscape Architects,2110.0,2340.0,230.0,10.9,190.0,,
Florida,Cartographers and Photogrammetrists,720.0,900.0,180.0,25.0,80.0,,
Florida,Surveyors,3880.0,4390.0,510.0,13.1,350.0,,
Florida,Aerospace Engineers,2890.0,3320.0,430.0,14.9,240.0,,
Florida,Agricultural Engineers,110.0,110.0,0.0,0.0,10.0,,
Florida,Biomedical Engineers,550.0,610.0,60.0,10.9,50.0,,
Florida,Chemical Engineers,360.0,410.0,50.0,13.9,30.0,,
Florida,Civil Engineers,17620.0,20140.0,2520.0,14.3,1720.0,,
Florida,Computer Hardware Engineers,2250.0,2600.0,350.0,15.6,210.0,,
Florida,Electrical Engineers,6040.0,6960.0,920.0,15.2,520.0,,
Florida,"Electronics Engineers, Except Computer",4790.0,5090.0,300.0,6.3,360.0,,
Florida,Environmental Engineers,1520.0,1730.0,210.0,13.8,140.0,,
Florida,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",850.0,950.0,100.0,11.8,70.0,,
Florida,Industrial Engineers,10810.0,12910.0,2100.0,19.4,1020.0,,
Florida,Marine Engineers and Naval Architects,150.0,180.0,30.0,20.0,10.0,,
Florida,Materials Engineers,610.0,680.0,70.0,11.5,50.0,,
Florida,Mechanical Engineers,7570.0,8610.0,1040.0,13.7,650.0,,
Florida,"Mining and Geological Engineers, Including Mining Safety Engineers",170.0,190.0,20.0,11.8,20.0,,
Florida,"Engineers, All Other",9430.0,10220.0,790.0,8.4,760.0,,
Florida,Architectural and Civil Drafters,6580.0,7210.0,630.0,9.6,770.0,,
Florida,Electrical and Electronics Drafters,870.0,980.0,110.0,12.6,110.0,,
Florida,Mechanical Drafters,2780.0,2830.0,50.0,1.8,290.0,,
Florida,"Drafters, All Other",720.0,830.0,110.0,15.3,90.0,,
Florida,Aerospace Engineering and Operations Technicians,650.0,780.0,130.0,20.0,80.0,,
Florida,Civil Engineering Technicians,3570.0,4070.0,500.0,14.0,420.0,,
Florida,Electrical and Electronics Engineering Technicians,6480.0,7250.0,770.0,11.9,750.0,,
Florida,Electro-Mechanical Technicians,130.0,150.0,20.0,15.4,20.0,,
Florida,Environmental Engineering Technicians,700.0,840.0,140.0,20.0,90.0,,
Florida,Industrial Engineering Technicians,2460.0,2730.0,270.0,11.0,280.0,,
Florida,Mechanical Engineering Technicians,940.0,1080.0,140.0,14.9,110.0,,
Florida,"Engineering Technicians, Except Drafters, All Other",2670.0,2950.0,280.0,10.5,300.0,,
Florida,Surveying and Mapping Technicians,5290.0,6000.0,710.0,13.4,730.0,,
Florida,Food Scientists and Technologists,240.0,260.0,20.0,8.3,30.0,,
Florida,Soil and Plant Scientists,330.0,360.0,30.0,9.1,40.0,,
Florida,Biochemists and Biophysicists,390.0,480.0,90.0,23.1,50.0,,
Florida,Microbiologists,230.0,260.0,30.0,13.0,30.0,,
Florida,Zoologists and Wildlife Biologists,1390.0,1460.0,70.0,5.0,140.0,,
Florida,"Biological Scientists, All Other",1990.0,2130.0,140.0,7.0,200.0,,
Florida,Conservation Scientists,1040.0,1070.0,30.0,2.9,110.0,,
Florida,Foresters,160.0,160.0,0.0,0.0,20.0,,
Florida,Epidemiologists,280.0,290.0,10.0,3.6,30.0,,
Florida,"Medical Scientists, Except Epidemiologists",3640.0,4340.0,700.0,19.2,430.0,,
Florida,Physicists,250.0,290.0,40.0,16.0,30.0,,
Florida,Atmospheric and Space Scientists,410.0,460.0,50.0,12.2,50.0,,
Florida,Chemists,2120.0,2380.0,260.0,12.3,230.0,,
Florida,"Environmental Scientists and Specialists, Including Health",5020.0,5580.0,560.0,11.2,630.0,,
