Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Georgia,"Total, All Occupations",4680840.0,5233640.0,552800.0,11.8,623250.0,,
Georgia,Chief Executives,7920.0,7900.0,-20.0,-0.3,560.0,,
Georgia,General and Operations Managers,84820.0,95950.0,11130.0,13.1,8960.0,,
Georgia,Legislators,1830.0,2000.0,170.0,9.3,160.0,,
Georgia,Advertising and Promotions Managers,610.0,680.0,70.0,11.5,70.0,,
Georgia,Marketing Managers,7790.0,8880.0,1090.0,14.0,850.0,,
Georgia,Sales Managers,15070.0,17010.0,1940.0,12.9,1620.0,,
Georgia,Public Relations and Fundraising Managers,1920.0,2200.0,280.0,14.6,200.0,,
Georgia,Administrative Services Managers,8750.0,10020.0,1270.0,14.5,910.0,,
Georgia,Computer and Information Systems Managers,13330.0,15220.0,1890.0,14.2,1300.0,,
Georgia,Financial Managers,18040.0,22770.0,4730.0,26.2,2050.0,,
Georgia,Industrial Production Managers,4970.0,5530.0,560.0,11.3,440.0,,
Georgia,Purchasing Managers,1750.0,1970.0,220.0,12.6,180.0,,
Georgia,"Transportation, Storage, and Distribution Managers",3780.0,4300.0,520.0,13.8,370.0,,
Georgia,Compensation and Benefits Managers,540.0,600.0,60.0,11.1,50.0,,
Georgia,Human Resources Managers,5400.0,6240.0,840.0,15.6,580.0,,
Georgia,Training and Development Managers,1330.0,1500.0,170.0,12.8,140.0,,
Georgia,"Farmers, Ranchers, and Other Agricultural Managers",48020.0,50440.0,2420.0,5.0,5130.0,,
Georgia,Construction Managers,11320.0,12290.0,970.0,8.6,950.0,,
Georgia,"Education Administrators, Preschool and Childcare Center/Program",1770.0,1940.0,170.0,9.6,160.0,,
Georgia,"Education Administrators, Elementary and Secondary School",8090.0,9420.0,1330.0,16.4,810.0,,
Georgia,Architectural and Engineering Managers,4560.0,5120.0,560.0,12.3,410.0,,
Georgia,Food Service Managers,13820.0,15540.0,1720.0,12.4,1850.0,,
Georgia,Funeral Service Managers,1130.0,1180.0,50.0,4.4,90.0,,
Georgia,Lodging Managers,1430.0,1470.0,40.0,2.8,150.0,,
Georgia,Medical and Health Services Managers,9160.0,11610.0,2450.0,26.7,1070.0,,
Georgia,Postmasters and Mail Superintendents,330.0,260.0,-70.0,-21.2,20.0,,
Georgia,"Property, Real Estate, and Community Association Managers",6840.0,7490.0,650.0,9.5,620.0,,
Georgia,Social and Community Service Managers,4340.0,4830.0,490.0,11.3,450.0,,
Georgia,Emergency Management Directors,390.0,430.0,40.0,10.3,40.0,,
Georgia,"Managers, All Other",28430.0,30750.0,2320.0,8.2,2470.0,,
Georgia,"Agents and Business Managers of Artists, Performers, and Athletes",390.0,460.0,70.0,17.9,60.0,,
Georgia,Buyers and Purchasing Agents,10640.0,10670.0,30.0,0.3,1110.0,,
Georgia,"Claims Adjusters, Examiners, and Investigators",9470.0,9560.0,90.0,1.0,810.0,,
Georgia,"Insurance Appraisers, Auto Damage",490.0,540.0,50.0,10.2,50.0,,
Georgia,Compliance Officers,9450.0,10290.0,840.0,8.9,950.0,,
Georgia,Cost Estimators,4850.0,5350.0,500.0,10.3,550.0,,
Georgia,Human Resources Specialists,20940.0,23280.0,2340.0,11.2,2450.0,,
Georgia,Farm Labor Contractors,160.0,200.0,40.0,25.0,20.0,,
Georgia,Labor Relations Specialists,1130.0,1150.0,20.0,1.8,120.0,,
Georgia,Logisticians,7120.0,7960.0,840.0,11.8,800.0,,
Georgia,Management Analysts,23960.0,28800.0,4840.0,20.2,2970.0,,
Georgia,"Meeting, Convention, and Event Planners",3090.0,3480.0,390.0,12.6,410.0,,
Georgia,Fundraisers,2670.0,3170.0,500.0,18.7,360.0,,
Georgia,"Compensation, Benefits, and Job Analysis Specialists",2730.0,3140.0,410.0,15.0,320.0,,
Georgia,Training and Development Specialists,9280.0,10650.0,1370.0,14.8,1210.0,,
Georgia,Market Research Analysts and Marketing Specialists,20000.0,25570.0,5570.0,27.9,2890.0,,
Georgia,"Business Operations Specialists, All Other",38080.0,42720.0,4640.0,12.2,4340.0,,
Georgia,Accountants and Auditors,39410.0,47670.0,8260.0,21.0,4880.0,,
Georgia,Appraisers and Assessors of Real Estate,3660.0,4090.0,430.0,11.7,330.0,,
Georgia,Budget Analysts,1720.0,1840.0,120.0,7.0,150.0,,
Georgia,Credit Analysts,2230.0,2490.0,260.0,11.7,240.0,,
Georgia,Financial Analysts,7380.0,8550.0,1170.0,15.9,790.0,,
Georgia,Personal Financial Advisors,5840.0,7050.0,1210.0,20.7,610.0,,
Georgia,Insurance Underwriters,5780.0,5910.0,130.0,2.2,500.0,,
Georgia,Financial Examiners,640.0,680.0,40.0,6.3,50.0,,
Georgia,Credit Counselors,860.0,1050.0,190.0,22.1,100.0,,
Georgia,Loan Officers,7690.0,8650.0,960.0,12.5,780.0,,
Georgia,"Tax Examiners and Collectors, and Revenue Agents",2070.0,2050.0,-20.0,-1.0,170.0,,
Georgia,Tax Preparers,3200.0,4180.0,980.0,30.6,520.0,,
Georgia,"Financial Specialists, All Other",4980.0,5650.0,670.0,13.5,530.0,,
