Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Idaho,"Total, All Occupations",735510.0,831190.0,95680.0,13.0,9660.0,,
Idaho,Chief Executives,2870.0,3130.0,260.0,9.1,30.0,,
Idaho,General and Operations Managers,13790.0,15610.0,1820.0,13.2,180.0,,
Idaho,Legislators,450.0,450.0,0.0,0.0,0.0,,
Idaho,Advertising and Promotions Managers,150.0,150.0,0.0,0.0,0.0,,
Idaho,Marketing Managers,1100.0,1220.0,120.0,10.9,10.0,,
Idaho,Sales Managers,1740.0,2000.0,260.0,14.9,30.0,,
Idaho,Public Relations and Fundraising Managers,300.0,320.0,20.0,6.7,0.0,,
Idaho,Administrative Services Managers,970.0,1080.0,110.0,11.3,10.0,,
Idaho,Computer and Information Systems Managers,1530.0,1670.0,140.0,9.2,10.0,,
Idaho,Financial Managers,2920.0,3210.0,290.0,9.9,30.0,,
Idaho,Industrial Production Managers,640.0,740.0,100.0,15.6,10.0,,
Idaho,Purchasing Managers,310.0,350.0,40.0,12.9,0.0,,
Idaho,"Transportation, Storage, and Distribution Managers",590.0,660.0,70.0,11.9,10.0,,
Idaho,Compensation and Benefits Managers,80.0,80.0,0.0,0.0,0.0,,
Idaho,Human Resources Managers,2500.0,2650.0,150.0,6.0,20.0,,
Idaho,Training and Development Managers,110.0,130.0,20.0,18.2,0.0,,
Idaho,"Farmers, Ranchers, and Other Agricultural Managers",2960.0,3450.0,490.0,16.6,50.0,,
Idaho,Construction Managers,1510.0,1960.0,450.0,29.8,50.0,,
Idaho,"Education Administrators, Preschool and Childcare Center/Program",130.0,150.0,20.0,15.4,0.0,,
Idaho,"Education Administrators, Elementary and Secondary School",1280.0,1420.0,140.0,10.9,10.0,,
Idaho,"Education Administrators, Postsecondary",810.0,860.0,50.0,6.2,10.0,,
Idaho,"Education Administrators, All Other",120.0,140.0,20.0,16.7,0.0,,
Idaho,Architectural and Engineering Managers,1410.0,1540.0,130.0,9.2,10.0,,
Idaho,Food Service Managers,1100.0,1220.0,120.0,10.9,10.0,,
Idaho,Lodging Managers,210.0,240.0,30.0,14.3,0.0,,
Idaho,Medical and Health Services Managers,2130.0,2550.0,420.0,19.7,40.0,,
Idaho,Natural Sciences Managers,330.0,320.0,-10.0,-3.0,0.0,,
Idaho,"Property, Real Estate, and Community Association Managers",1920.0,2200.0,280.0,14.6,30.0,,
Idaho,Social and Community Service Managers,920.0,1000.0,80.0,8.7,10.0,,
Idaho,Emergency Management Directors,90.0,110.0,20.0,22.2,0.0,,
Idaho,"Managers, All Other",1400.0,1510.0,110.0,7.9,10.0,,
Idaho,"Buyers and Purchasing Agents, Farm Products",70.0,60.0,-10.0,-14.3,0.0,,
Idaho,"Wholesale and Retail Buyers, Except Farm Products",300.0,350.0,50.0,16.7,10.0,,
Idaho,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",430.0,490.0,60.0,14.0,10.0,,
Idaho,"Claims Adjusters, Examiners, and Investigators",1050.0,1190.0,140.0,13.3,10.0,,
Idaho,Compliance Officers,1200.0,1310.0,110.0,9.2,10.0,,
Idaho,Cost Estimators,1250.0,1580.0,330.0,26.4,30.0,,
Idaho,Human Resources Specialists,1840.0,2050.0,210.0,11.4,20.0,,
Idaho,Labor Relations Specialists,180.0,200.0,20.0,11.1,0.0,,
Idaho,Logisticians,590.0,670.0,80.0,13.6,10.0,,
Idaho,Management Analysts,2760.0,3030.0,270.0,9.8,30.0,,
Idaho,"Meeting, Convention, and Event Planners",430.0,480.0,50.0,11.6,10.0,,
Idaho,Fundraisers,260.0,290.0,30.0,11.5,0.0,,
Idaho,"Compensation, Benefits, and Job Analysis Specialists",220.0,250.0,30.0,13.6,0.0,,
Idaho,Training and Development Specialists,1240.0,1370.0,130.0,10.5,10.0,,
Idaho,Market Research Analysts and Marketing Specialists,1800.0,2020.0,220.0,12.2,20.0,,
Idaho,"Business Operations Specialists, All Other",2860.0,3010.0,150.0,5.2,20.0,,
Idaho,Accountants and Auditors,4130.0,4620.0,490.0,11.9,50.0,,
Idaho,Appraisers and Assessors of Real Estate,530.0,560.0,30.0,5.7,0.0,,
Idaho,Budget Analysts,160.0,160.0,0.0,0.0,0.0,,
Idaho,Credit Analysts,150.0,160.0,10.0,6.7,0.0,,
Idaho,Financial Analysts,550.0,590.0,40.0,7.3,0.0,,
Idaho,Personal Financial Advisors,580.0,610.0,30.0,5.2,0.0,,
Idaho,Insurance Underwriters,160.0,180.0,20.0,12.5,0.0,,
Idaho,Financial Examiners,90.0,90.0,0.0,0.0,0.0,,
Idaho,Loan Officers,2360.0,2510.0,150.0,6.4,20.0,,
Idaho,"Tax Examiners and Collectors, and Revenue Agents",270.0,260.0,-10.0,-3.7,0.0,,
Idaho,Tax Preparers,400.0,450.0,50.0,12.5,10.0,,
Idaho,"Financial Specialists, All Other",460.0,480.0,20.0,4.3,0.0,,
Idaho,Computer and Information Research Scientists,160.0,180.0,20.0,12.5,0.0,,
Idaho,Computer Systems Analysts,1590.0,1740.0,150.0,9.4,20.0,,
Idaho,Information Security Analysts,410.0,460.0,50.0,12.2,10.0,,
Idaho,Computer Programmers,590.0,680.0,90.0,15.3,10.0,,
Idaho,"Software Developers, Applications",3060.0,3470.0,410.0,13.4,40.0,,
Idaho,"Software Developers, Systems Software",960.0,1100.0,140.0,14.6,10.0,,
Idaho,Web Developers,730.0,830.0,100.0,13.7,10.0,,
Idaho,Database Administrators,510.0,560.0,50.0,9.8,10.0,,
Idaho,Network and Computer Systems Administrators,1510.0,1680.0,170.0,11.3,20.0,,
Idaho,Computer Network Architects,610.0,640.0,30.0,4.9,0.0,,
Idaho,Computer User Support Specialists,3430.0,3810.0,380.0,11.1,40.0,,
Idaho,Computer Network Support Specialists,490.0,550.0,60.0,12.2,10.0,,
Idaho,"Computer Occupations, All Other",780.0,820.0,40.0,5.1,0.0,,
Idaho,Operations Research Analysts,520.0,560.0,40.0,7.7,0.0,,
Idaho,Statisticians,80.0,80.0,0.0,0.0,0.0,,
Idaho,"Architects, Except Landscape and Naval",380.0,420.0,40.0,10.5,10.0,,
Idaho,Landscape Architects,80.0,90.0,10.0,12.5,0.0,,
Idaho,Cartographers and Photogrammetrists,150.0,160.0,10.0,6.7,0.0,,
Idaho,Surveyors,310.0,350.0,40.0,12.9,0.0,,
Idaho,Chemical Engineers,260.0,290.0,30.0,11.5,0.0,,
Idaho,Civil Engineers,2150.0,2470.0,320.0,14.9,30.0,,
Idaho,Computer Hardware Engineers,350.0,380.0,30.0,8.6,0.0,,
Idaho,Electrical Engineers,1060.0,1260.0,200.0,18.9,20.0,,
Idaho,"Electronics Engineers, Except Computer",2230.0,2510.0,280.0,12.6,30.0,,
Idaho,Environmental Engineers,450.0,610.0,160.0,35.6,20.0,,
Idaho,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170.0,200.0,30.0,17.6,0.0,,
Idaho,Industrial Engineers,1130.0,1300.0,170.0,15.0,20.0,,
Idaho,Materials Engineers,170.0,180.0,10.0,5.9,0.0,,
