Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Illinois,"Total, All Occupations",6460470.0,6614550.0,154080.0,2.4,752180.0,,
Illinois,Chief Executives,12070.0,11060.0,-1010.0,-8.4,720.0,,
Illinois,General and Operations Managers,123460.0,129370.0,5910.0,4.8,11570.0,,
Illinois,Legislators,4520.0,4610.0,90.0,2.0,360.0,,
Illinois,Advertising and Promotions Managers,2260.0,2310.0,50.0,2.2,220.0,,
Illinois,Marketing Managers,21230.0,22390.0,1160.0,5.5,2050.0,,
Illinois,Sales Managers,25570.0,26380.0,810.0,3.2,2390.0,,
Illinois,Public Relations and Fundraising Managers,5380.0,5640.0,260.0,4.8,500.0,,
Illinois,Administrative Services Managers,16820.0,17540.0,720.0,4.3,1500.0,,
Illinois,Computer and Information Systems Managers,17940.0,19230.0,1290.0,7.2,1580.0,,
Illinois,Financial Managers,40830.0,46750.0,5920.0,14.5,3970.0,,
Illinois,Industrial Production Managers,10750.0,10820.0,70.0,0.7,800.0,,
Illinois,Purchasing Managers,4390.0,4440.0,50.0,1.1,370.0,,
Illinois,"Transportation, Storage, and Distribution Managers",9430.0,9850.0,420.0,4.5,800.0,,
Illinois,Compensation and Benefits Managers,1120.0,1130.0,10.0,0.9,100.0,,
Illinois,Human Resources Managers,10040.0,10500.0,460.0,4.6,920.0,,
Illinois,Training and Development Managers,2390.0,2470.0,80.0,3.3,220.0,,
Illinois,"Farmers, Ranchers, and Other Agricultural Managers",58990.0,60510.0,1520.0,2.6,6090.0,,
Illinois,Construction Managers,18610.0,18260.0,-350.0,-1.9,1290.0,,
Illinois,"Education Administrators, Preschool and Childcare Center/Program",2770.0,3130.0,360.0,13.0,270.0,,
Illinois,"Education Administrators, Elementary and Secondary School",12100.0,12110.0,10.0,0.1,940.0,,
Illinois,"Education Administrators, Postsecondary",9960.0,9750.0,-210.0,-2.1,740.0,,
Illinois,"Education Administrators, All Other",1850.0,2010.0,160.0,8.6,170.0,,
Illinois,Architectural and Engineering Managers,9740.0,9700.0,-40.0,-0.4,700.0,,
Illinois,Funeral Service Managers,490.0,480.0,-10.0,-2.0,40.0,,
Illinois,Gaming Managers,70.0,60.0,-10.0,-14.3,10.0,,
Illinois,Lodging Managers,1890.0,1930.0,40.0,2.1,200.0,,
Illinois,Medical and Health Services Managers,14920.0,15810.0,890.0,6.0,1310.0,,
Illinois,Natural Sciences Managers,2010.0,1920.0,-90.0,-4.5,160.0,,
Illinois,Postmasters and Mail Superintendents,480.0,390.0,-90.0,-18.8,20.0,,
Illinois,"Property, Real Estate, and Community Association Managers",13870.0,14710.0,840.0,6.1,1180.0,,
Illinois,Social and Community Service Managers,5010.0,5350.0,340.0,6.8,480.0,,
Illinois,Emergency Management Directors,440.0,460.0,20.0,4.5,40.0,,
Illinois,Buyers and Purchasing Agents,15340.0,13910.0,-1430.0,-9.3,1380.0,,
Illinois,"Claims Adjusters, Examiners, and Investigators",12530.0,12130.0,-400.0,-3.2,1000.0,,
