Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Indiana,"Total, All Occupations",3330670.0,3496760.0,166090.0,5.0,407770.0,,
Indiana,Chief Executives,5340.0,5020.0,-320.0,-6.0,340.0,,
Indiana,General and Operations Managers,56370.0,60590.0,4220.0,7.5,5500.0,,
Indiana,Legislators,1490.0,1580.0,90.0,6.0,130.0,,
Indiana,Advertising and Promotions Managers,250.0,250.0,0.0,0.0,20.0,,
Indiana,Marketing Managers,3160.0,3410.0,250.0,7.9,320.0,,
Indiana,Sales Managers,5310.0,5600.0,290.0,5.5,510.0,,
Indiana,Public Relations and Fundraising Managers,1170.0,1280.0,110.0,9.4,120.0,,
Indiana,Administrative Services Managers,4230.0,4570.0,340.0,8.0,400.0,,
Indiana,Computer and Information Systems Managers,5020.0,5590.0,570.0,11.4,470.0,,
Indiana,Financial Managers,7840.0,9100.0,1260.0,16.1,780.0,,
Indiana,Industrial Production Managers,5850.0,6060.0,210.0,3.6,460.0,,
Indiana,Purchasing Managers,1350.0,1420.0,70.0,5.2,120.0,,
Indiana,"Transportation, Storage, and Distribution Managers",1990.0,2130.0,140.0,7.0,180.0,,
Indiana,Compensation and Benefits Managers,190.0,190.0,0.0,0.0,20.0,,
Indiana,Human Resources Managers,2310.0,2470.0,160.0,6.9,220.0,,
Indiana,Training and Development Managers,630.0,690.0,60.0,9.5,60.0,,
Indiana,"Farmers, Ranchers, and Other Agricultural Managers",74870.0,72290.0,-2580.0,-3.4,7050.0,,
Indiana,Construction Managers,7630.0,8360.0,730.0,9.6,650.0,,
Indiana,"Education Administrators, Preschool and Childcare Center/Program",940.0,1020.0,80.0,8.5,80.0,,
Indiana,"Education Administrators, Elementary and Secondary School",4830.0,5040.0,210.0,4.3,400.0,,
Indiana,"Education Administrators, Postsecondary",3750.0,4030.0,280.0,7.5,330.0,,
Indiana,"Education Administrators, All Other",300.0,330.0,30.0,10.0,30.0,,
Indiana,Architectural and Engineering Managers,4210.0,4390.0,180.0,4.3,330.0,,
Indiana,Food Service Managers,5390.0,5920.0,530.0,9.8,700.0,,
Indiana,Funeral Service Managers,680.0,710.0,30.0,4.4,60.0,,
Indiana,Gaming Managers,140.0,130.0,-10.0,-7.1,10.0,,
Indiana,Lodging Managers,700.0,720.0,20.0,2.9,70.0,,
Indiana,Medical and Health Services Managers,7710.0,9050.0,1340.0,17.4,800.0,,
Indiana,Natural Sciences Managers,1760.0,1790.0,30.0,1.7,160.0,,
Indiana,Postmasters and Mail Superintendents,300.0,220.0,-80.0,-26.7,10.0,,
Indiana,"Property, Real Estate, and Community Association Managers",6180.0,6610.0,430.0,7.0,540.0,,
Indiana,Social and Community Service Managers,2510.0,2880.0,370.0,14.7,270.0,,
Indiana,Emergency Management Directors,250.0,270.0,20.0,8.0,20.0,,
Indiana,"Managers, All Other",16140.0,17030.0,890.0,5.5,1350.0,,
Indiana,"Agents and Business Managers of Artists, Performers, and Athletes",190.0,210.0,20.0,10.5,30.0,,
Indiana,Buyers and Purchasing Agents,8820.0,8270.0,-550.0,-6.2,840.0,,
Indiana,"Claims Adjusters, Examiners, and Investigators",3870.0,3710.0,-160.0,-4.1,300.0,,
Indiana,Compliance Officers,4280.0,4610.0,330.0,7.7,420.0,,
Indiana,Cost Estimators,4390.0,4780.0,390.0,8.9,490.0,,
Indiana,Human Resources Specialists,12780.0,13430.0,650.0,5.1,1380.0,,
Indiana,Labor Relations Specialists,2400.0,2250.0,-150.0,-6.3,220.0,,
Indiana,Logisticians,2260.0,2390.0,130.0,5.8,230.0,,
Indiana,Management Analysts,12560.0,14340.0,1780.0,14.2,1440.0,,
Indiana,"Meeting, Convention, and Event Planners",1520.0,1640.0,120.0,7.9,190.0,,
Indiana,Fundraisers,2420.0,2690.0,270.0,11.2,290.0,,
Indiana,"Compensation, Benefits, and Job Analysis Specialists",930.0,980.0,50.0,5.4,100.0,,
Indiana,Training and Development Specialists,5360.0,5830.0,470.0,8.8,650.0,,
Indiana,Market Research Analysts and Marketing Specialists,9790.0,11820.0,2030.0,20.7,1310.0,,
Indiana,"Business Operations Specialists, All Other",11160.0,11930.0,770.0,6.9,1190.0,,
Indiana,Accountants and Auditors,22060.0,23670.0,1610.0,7.3,2290.0,,
Indiana,Appraisers and Assessors of Real Estate,1860.0,2000.0,140.0,7.5,160.0,,
Indiana,Budget Analysts,430.0,450.0,20.0,4.7,40.0,,
Indiana,Credit Analysts,720.0,760.0,40.0,5.6,70.0,,
Indiana,Financial Analysts,3270.0,3470.0,200.0,6.1,310.0,,
Indiana,Personal Financial Advisors,4800.0,5310.0,510.0,10.6,430.0,,
Indiana,Insurance Underwriters,1320.0,1270.0,-50.0,-3.8,100.0,,
Indiana,Financial Examiners,440.0,480.0,40.0,9.1,40.0,,
Indiana,Credit Counselors,200.0,220.0,20.0,10.0,20.0,,
Indiana,Loan Officers,4940.0,5260.0,320.0,6.5,460.0,,
Indiana,"Tax Examiners and Collectors, and Revenue Agents",620.0,620.0,0.0,0.0,50.0,,
Indiana,Tax Preparers,1910.0,2080.0,170.0,8.9,240.0,,
Indiana,"Financial Specialists, All Other",2350.0,2460.0,110.0,4.7,220.0,,
Indiana,Computer and Information Research Scientists,250.0,260.0,10.0,4.0,20.0,,
Indiana,Computer Systems Analysts,10250.0,11530.0,1280.0,12.5,920.0,,
Indiana,Information Security Analysts,1050.0,1310.0,260.0,24.8,110.0,,
Indiana,Computer Programmers,5380.0,5030.0,-350.0,-6.5,330.0,,
Indiana,"Software Developers, Applications",9950.0,12740.0,2790.0,28.0,1080.0,,
Indiana,"Software Developers, Systems Software",3700.0,4150.0,450.0,12.2,320.0,,
Indiana,Web Developers,2130.0,2400.0,270.0,12.7,200.0,,
Indiana,Database Administrators,1620.0,1750.0,130.0,8.0,130.0,,
Indiana,Network and Computer Systems Administrators,6730.0,6990.0,260.0,3.9,500.0,,
Indiana,Computer Network Architects,3690.0,4060.0,370.0,10.0,310.0,,
Indiana,Computer User Support Specialists,10500.0,11690.0,1190.0,11.3,1030.0,,
Indiana,Computer Network Support Specialists,1390.0,1500.0,110.0,7.9,130.0,,
Indiana,"Computer Occupations, All Other",2850.0,3050.0,200.0,7.0,230.0,,
Indiana,Actuaries,210.0,250.0,40.0,19.0,20.0,,
Indiana,Operations Research Analysts,1150.0,1440.0,290.0,25.2,110.0,,
Indiana,Statisticians,470.0,590.0,120.0,25.5,50.0,,
Indiana,"Architects, Except Landscape and Naval",1700.0,1880.0,180.0,10.6,160.0,,
Indiana,Landscape Architects,390.0,420.0,30.0,7.7,30.0,,
Indiana,Cartographers and Photogrammetrists,70.0,80.0,10.0,14.3,10.0,,
Indiana,Surveyors,940.0,1010.0,70.0,7.4,80.0,,
Indiana,Aerospace Engineers,560.0,580.0,20.0,3.6,40.0,,
Indiana,Agricultural Engineers,110.0,110.0,0.0,0.0,10.0,,
Indiana,Biomedical Engineers,570.0,600.0,30.0,5.3,50.0,,
Indiana,Chemical Engineers,390.0,420.0,30.0,7.7,30.0,,
Indiana,Civil Engineers,3940.0,4270.0,330.0,8.4,350.0,,
Indiana,Computer Hardware Engineers,410.0,440.0,30.0,7.3,30.0,,
Indiana,Electrical Engineers,3250.0,3340.0,90.0,2.8,230.0,,
Indiana,"Electronics Engineers, Except Computer",2430.0,2500.0,70.0,2.9,170.0,,
Indiana,Environmental Engineers,750.0,810.0,60.0,8.0,70.0,,
