Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Iowa,"Total, All Occupations",1833700.0,1966270.0,132570.0,7.2,229860.0,,
Iowa,Chief Executives,3700.0,3430.0,-270.0,-7.3,230.0,,
Iowa,General and Operations Managers,12670.0,13870.0,1200.0,9.5,1270.0,,
Iowa,Legislators,1330.0,1390.0,60.0,4.5,110.0,,
Iowa,Advertising and Promotions Managers,410.0,440.0,30.0,7.3,40.0,,
Iowa,Marketing Managers,1870.0,2070.0,200.0,10.7,190.0,,
Iowa,Sales Managers,3540.0,3890.0,350.0,9.9,370.0,,
Iowa,Public Relations and Fundraising Managers,1040.0,1180.0,140.0,13.5,110.0,,
Iowa,Administrative Services Managers,2440.0,2750.0,310.0,12.7,250.0,,
Iowa,Computer and Information Systems Managers,3790.0,4220.0,430.0,11.3,360.0,,
Iowa,Financial Managers,6990.0,8500.0,1510.0,21.6,750.0,,
Iowa,Industrial Production Managers,3100.0,3300.0,200.0,6.5,250.0,,
Iowa,Purchasing Managers,660.0,710.0,50.0,7.6,60.0,,
Iowa,"Transportation, Storage, and Distribution Managers",1650.0,1800.0,150.0,9.1,150.0,,
Iowa,Compensation and Benefits Managers,330.0,390.0,60.0,18.2,40.0,,
Iowa,Human Resources Managers,1080.0,1210.0,130.0,12.0,110.0,,
Iowa,Training and Development Managers,400.0,460.0,60.0,15.0,40.0,,
Iowa,"Farmers, Ranchers, and Other Agricultural Managers",87780.0,87150.0,-630.0,-0.7,8630.0,,
Iowa,Construction Managers,3940.0,4500.0,560.0,14.2,360.0,,
Iowa,"Education Administrators, Preschool and Childcare Center/Program",870.0,960.0,90.0,10.3,80.0,,
Iowa,"Education Administrators, Elementary and Secondary School",2960.0,3190.0,230.0,7.8,260.0,,
Iowa,"Education Administrators, Postsecondary",2430.0,2700.0,270.0,11.1,230.0,,
Iowa,"Education Administrators, All Other",840.0,950.0,110.0,13.1,80.0,,
Iowa,Architectural and Engineering Managers,1850.0,1990.0,140.0,7.6,150.0,,
Iowa,Food Service Managers,3090.0,3420.0,330.0,10.7,410.0,,
Iowa,Funeral Service Managers,260.0,280.0,20.0,7.7,20.0,,
Iowa,Gaming Managers,140.0,170.0,30.0,21.4,20.0,,
Iowa,Lodging Managers,920.0,990.0,70.0,7.6,110.0,,
Iowa,Medical and Health Services Managers,5370.0,6540.0,1170.0,21.8,590.0,,
Iowa,Natural Sciences Managers,410.0,440.0,30.0,7.3,40.0,,
Iowa,Postmasters and Mail Superintendents,510.0,420.0,-90.0,-17.6,30.0,,
Iowa,"Property, Real Estate, and Community Association Managers",1840.0,2060.0,220.0,12.0,170.0,,
Iowa,Social and Community Service Managers,2730.0,3190.0,460.0,16.8,300.0,,
Iowa,Emergency Management Directors,160.0,170.0,10.0,6.3,10.0,,
Iowa,"Managers, All Other",12990.0,13550.0,560.0,4.3,1060.0,,
Iowa,Buyers and Purchasing Agents,4330.0,4140.0,-190.0,-4.4,420.0,,
Iowa,"Claims Adjusters, Examiners, and Investigators",3200.0,3370.0,170.0,5.3,300.0,,
Iowa,"Insurance Appraisers, Auto Damage",130.0,150.0,20.0,15.4,10.0,,
Iowa,Compliance Officers,2320.0,2560.0,240.0,10.3,240.0,,
Iowa,Cost Estimators,2260.0,2530.0,270.0,11.9,260.0,,
Iowa,Human Resources Specialists,2440.0,2570.0,130.0,5.3,260.0,,
Iowa,Labor Relations Specialists,2030.0,1930.0,-100.0,-4.9,190.0,,
Iowa,Logisticians,1170.0,1240.0,70.0,6.0,120.0,,
Iowa,Management Analysts,5760.0,6520.0,760.0,13.2,650.0,,
Iowa,"Meeting, Convention, and Event Planners",610.0,680.0,70.0,11.5,80.0,,
Iowa,Fundraisers,990.0,1210.0,220.0,22.2,140.0,,
Iowa,"Compensation, Benefits, and Job Analysis Specialists",1120.0,1290.0,170.0,15.2,130.0,,
