Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Kansas,"Total, All Occupations",1494010.0,1532630.0,38620.0,2.6,176350.0,,
Kansas,Chief Executives,5020.0,4720.0,-300.0,-6.0,320.0,,
Kansas,General and Operations Managers,18720.0,19670.0,950.0,5.1,1760.0,,
Kansas,Legislators,550.0,560.0,10.0,1.8,40.0,,
Kansas,Advertising and Promotions Managers,140.0,140.0,0.0,0.0,10.0,,
Kansas,Marketing Managers,1860.0,2000.0,140.0,7.5,180.0,,
Kansas,Sales Managers,3000.0,3140.0,140.0,4.7,290.0,,
Kansas,Public Relations and Fundraising Managers,880.0,950.0,70.0,8.0,90.0,,
Kansas,Administrative Services Managers,2590.0,2780.0,190.0,7.3,240.0,,
Kansas,Computer and Information Systems Managers,3220.0,3620.0,400.0,12.4,310.0,,
Kansas,Financial Managers,4430.0,5180.0,750.0,16.9,450.0,,
Kansas,Industrial Production Managers,1840.0,1890.0,50.0,2.7,140.0,,
Kansas,Purchasing Managers,670.0,710.0,40.0,6.0,60.0,,
Kansas,"Transportation, Storage, and Distribution Managers",1090.0,1160.0,70.0,6.4,100.0,,
Kansas,Compensation and Benefits Managers,110.0,110.0,0.0,0.0,10.0,,
Kansas,Human Resources Managers,1280.0,1380.0,100.0,7.8,120.0,,
Kansas,Training and Development Managers,260.0,270.0,10.0,3.8,30.0,,
Kansas,"Farmers, Ranchers, and Other Agricultural Managers",8420.0,9140.0,720.0,8.6,940.0,,
Kansas,Construction Managers,4690.0,4930.0,240.0,5.1,370.0,,
Kansas,"Education Administrators, Preschool and Childcare Center/Program",580.0,610.0,30.0,5.2,50.0,,
Kansas,"Education Administrators, Elementary and Secondary School",2410.0,2520.0,110.0,4.6,200.0,,
Kansas,"Education Administrators, Postsecondary",1410.0,1510.0,100.0,7.1,130.0,,
Kansas,"Education Administrators, All Other",230.0,250.0,20.0,8.7,20.0,,
Kansas,Architectural and Engineering Managers,1620.0,1690.0,70.0,4.3,130.0,,
Kansas,Food Service Managers,1350.0,1400.0,50.0,3.7,160.0,,
Kansas,Funeral Service Managers,140.0,130.0,-10.0,-7.1,10.0,,
Kansas,Gaming Managers,60.0,60.0,0.0,0.0,10.0,,
