Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Kentucky,"Total, All Occupations",1995950.0,2119930.0,123980.0,6.2,249890.0,,
Kentucky,General and Operations Managers,31350.0,33990.0,2640.0,8.4,3100.0,,
Kentucky,Advertising and Promotions Managers,210.0,210.0,0.0,0.0,20.0,,
Kentucky,Marketing Managers,1820.0,2000.0,180.0,9.9,190.0,,
Kentucky,Sales Managers,3470.0,3720.0,250.0,7.2,340.0,,
Kentucky,Public Relations and Fundraising Managers,640.0,710.0,70.0,10.9,70.0,,
Kentucky,Administrative Services Managers,3080.0,3370.0,290.0,9.4,300.0,,
Kentucky,Computer and Information Systems Managers,2850.0,3300.0,450.0,15.8,280.0,,
Kentucky,Financial Managers,6440.0,7600.0,1160.0,18.0,660.0,,
Kentucky,Industrial Production Managers,3860.0,4160.0,300.0,7.8,320.0,,
Kentucky,Purchasing Managers,860.0,930.0,70.0,8.1,80.0,,
Kentucky,"Transportation, Storage, and Distribution Managers",1850.0,2140.0,290.0,15.7,190.0,,
Kentucky,Compensation and Benefits Managers,100.0,100.0,0.0,0.0,10.0,,
Kentucky,Human Resources Managers,1580.0,1730.0,150.0,9.5,160.0,,
Kentucky,Training and Development Managers,370.0,400.0,30.0,8.1,40.0,,
Kentucky,"Farmers, Ranchers, and Other Agricultural Managers",4560.0,4610.0,50.0,1.1,460.0,,
Kentucky,Construction Managers,3350.0,3570.0,220.0,6.6,270.0,,
Kentucky,"Education Administrators, Preschool and Childcare Center/Program",630.0,700.0,70.0,11.1,60.0,,
Kentucky,"Education Administrators, Elementary and Secondary School",4070.0,4310.0,240.0,5.9,350.0,,
Kentucky,"Education Administrators, Postsecondary",2090.0,2280.0,190.0,9.1,190.0,,
Kentucky,"Education Administrators, All Other",670.0,710.0,40.0,6.0,60.0,,
Kentucky,Architectural and Engineering Managers,1940.0,2040.0,100.0,5.2,150.0,,
Kentucky,Food Service Managers,4170.0,4590.0,420.0,10.1,540.0,,
Kentucky,Funeral Service Managers,600.0,640.0,40.0,6.7,50.0,,
Kentucky,Lodging Managers,310.0,320.0,10.0,3.2,30.0,,
Kentucky,Medical and Health Services Managers,5330.0,6190.0,860.0,16.1,540.0,,
Kentucky,Natural Sciences Managers,300.0,330.0,30.0,10.0,30.0,,
Kentucky,Postmasters and Mail Superintendents,260.0,190.0,-70.0,-26.9,10.0,,
Kentucky,"Property, Real Estate, and Community Association Managers",3930.0,4240.0,310.0,7.9,350.0,,
Kentucky,Social and Community Service Managers,2430.0,2780.0,350.0,14.4,260.0,,
Kentucky,"Managers, All Other",7410.0,8050.0,640.0,8.6,650.0,,
Kentucky,"Agents and Business Managers of Artists, Performers, and Athletes",30.0,40.0,10.0,33.3,0.0,,
Kentucky,Buyers and Purchasing Agents,4610.0,4450.0,-160.0,-3.5,460.0,,
Kentucky,"Claims Adjusters, Examiners, and Investigators",3350.0,3490.0,140.0,4.2,300.0,,
Kentucky,Compliance Officers,2750.0,2930.0,180.0,6.5,270.0,,
Kentucky,Cost Estimators,1800.0,1910.0,110.0,6.1,190.0,,
Kentucky,Human Resources Specialists,7550.0,7960.0,410.0,5.4,820.0,,
Kentucky,Labor Relations Specialists,3430.0,3280.0,-150.0,-4.4,320.0,,
Kentucky,Logisticians,1970.0,2140.0,170.0,8.6,210.0,,
Kentucky,Management Analysts,5490.0,6520.0,1030.0,18.8,670.0,,
Kentucky,"Meeting, Convention, and Event Planners",880.0,970.0,90.0,10.2,110.0,,
