Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Maine,"Total, All Occupations",678130.0,662360.0,-15770.0,-2.3,75150.0,,
Maine,Chief Executives,1220.0,1090.0,-130.0,-10.7,70.0,,
Maine,General and Operations Managers,12900.0,12680.0,-220.0,-1.7,1090.0,,
Maine,Advertising and Promotions Managers,120.0,120.0,0.0,0.0,10.0,,
Maine,Marketing Managers,1170.0,1200.0,30.0,2.6,110.0,,
Maine,Sales Managers,1050.0,1020.0,-30.0,-2.9,90.0,,
Maine,Public Relations and Fundraising Managers,550.0,560.0,10.0,1.8,50.0,,
Maine,Administrative Services Managers,1560.0,1570.0,10.0,0.6,130.0,,
Maine,Computer and Information Systems Managers,1420.0,1470.0,50.0,3.5,120.0,,
Maine,Financial Managers,2630.0,2900.0,270.0,10.3,240.0,,
Maine,Industrial Production Managers,800.0,770.0,-30.0,-3.8,60.0,,
Maine,Purchasing Managers,260.0,260.0,0.0,0.0,20.0,,
Maine,"Transportation, Storage, and Distribution Managers",560.0,570.0,10.0,1.8,40.0,,
Maine,Compensation and Benefits Managers,40.0,40.0,0.0,0.0,0.0,,
Maine,Human Resources Managers,580.0,590.0,10.0,1.7,50.0,,
Maine,Training and Development Managers,80.0,90.0,10.0,12.5,10.0,,
Maine,"Farmers, Ranchers, and Other Agricultural Managers",3410.0,3150.0,-260.0,-7.6,300.0,,
Maine,Construction Managers,2560.0,2400.0,-160.0,-6.3,160.0,,
Maine,"Education Administrators, Preschool and Childcare Center/Program",300.0,290.0,-10.0,-3.3,20.0,,
Maine,"Education Administrators, Elementary and Secondary School",1380.0,1300.0,-80.0,-5.8,100.0,,
Maine,"Education Administrators, Postsecondary",700.0,700.0,0.0,0.0,50.0,,
Maine,"Education Administrators, All Other",240.0,240.0,0.0,0.0,20.0,,
Maine,Architectural and Engineering Managers,770.0,750.0,-20.0,-2.6,50.0,,
Maine,Food Service Managers,2260.0,2290.0,30.0,1.3,260.0,,
Maine,Funeral Service Managers,140.0,140.0,0.0,0.0,10.0,,
Maine,Lodging Managers,920.0,930.0,10.0,1.1,100.0,,
Maine,Medical and Health Services Managers,2180.0,2370.0,190.0,8.7,200.0,,
Maine,Natural Sciences Managers,300.0,320.0,20.0,6.7,30.0,,
Maine,Postmasters and Mail Superintendents,180.0,160.0,-20.0,-11.1,10.0,,
Maine,"Property, Real Estate, and Community Association Managers",1240.0,1220.0,-20.0,-1.6,90.0,,
Maine,Social and Community Service Managers,1150.0,1170.0,20.0,1.7,100.0,,
Maine,"Managers, All Other",3990.0,3940.0,-50.0,-1.3,300.0,,
Maine,"Agents and Business Managers of Artists, Performers, and Athletes",20.0,20.0,0.0,0.0,0.0,,
Maine,Buyers and Purchasing Agents,1520.0,1350.0,-170.0,-11.2,130.0,,
Maine,"Claims Adjusters, Examiners, and Investigators",1790.0,1620.0,-170.0,-9.5,130.0,,
Maine,Compliance Officers,920.0,950.0,30.0,3.3,80.0,,
Maine,Cost Estimators,690.0,660.0,-30.0,-4.3,70.0,,
Maine,Human Resources Specialists,1760.0,1770.0,10.0,0.6,180.0,,
Maine,Labor Relations Specialists,300.0,270.0,-30.0,-10.0,30.0,,
Maine,Logisticians,370.0,380.0,10.0,2.7,40.0,,
Maine,Management Analysts,1440.0,1550.0,110.0,7.6,150.0,,
Maine,"Meeting, Convention, and Event Planners",360.0,360.0,0.0,0.0,40.0,,
Maine,Fundraisers,430.0,430.0,0.0,0.0,50.0,,
Maine,"Compensation, Benefits, and Job Analysis Specialists",360.0,370.0,10.0,2.8,40.0,,
Maine,Training and Development Specialists,960.0,990.0,30.0,3.1,110.0,,
Maine,Market Research Analysts and Marketing Specialists,800.0,900.0,100.0,12.5,100.0,,
Maine,"Business Operations Specialists, All Other",4030.0,4100.0,70.0,1.7,400.0,,
Maine,Accountants and Auditors,5270.0,5280.0,10.0,0.2,490.0,,
Maine,Appraisers and Assessors of Real Estate,560.0,560.0,0.0,0.0,40.0,,
Maine,Budget Analysts,130.0,130.0,0.0,0.0,10.0,,
Maine,Credit Analysts,170.0,180.0,10.0,5.9,20.0,,
Maine,Financial Analysts,520.0,530.0,10.0,1.9,50.0,,
Maine,Personal Financial Advisors,640.0,650.0,10.0,1.6,50.0,,
Maine,Insurance Underwriters,440.0,390.0,-50.0,-11.4,30.0,,
Maine,Financial Examiners,220.0,230.0,10.0,4.5,20.0,,
Maine,Credit Counselors,220.0,220.0,0.0,0.0,20.0,,
Maine,Loan Officers,1140.0,1170.0,30.0,2.6,100.0,,
Maine,"Tax Examiners and Collectors, and Revenue Agents",250.0,250.0,0.0,0.0,20.0,,
Maine,Tax Preparers,400.0,390.0,-10.0,-2.5,40.0,,
Maine,"Financial Specialists, All Other",560.0,580.0,20.0,3.6,50.0,,
Maine,Computer Systems Analysts,2120.0,2150.0,30.0,1.4,160.0,,
Maine,Information Security Analysts,240.0,290.0,50.0,20.8,20.0,,
Maine,Computer Programmers,870.0,730.0,-140.0,-16.1,40.0,,
Maine,"Software Developers, Applications",2390.0,2750.0,360.0,15.1,220.0,,
Maine,"Software Developers, Systems Software",400.0,430.0,30.0,7.5,30.0,,
Maine,Web Developers,560.0,570.0,10.0,1.8,40.0,,
Maine,Database Administrators,270.0,270.0,0.0,0.0,20.0,,
Maine,Network and Computer Systems Administrators,1180.0,1160.0,-20.0,-1.7,80.0,,
Maine,Computer Network Architects,660.0,620.0,-40.0,-6.1,40.0,,
Maine,Computer User Support Specialists,2190.0,2260.0,70.0,3.2,190.0,,
Maine,Computer Network Support Specialists,760.0,760.0,0.0,0.0,60.0,,
Maine,"Computer Occupations, All Other",920.0,960.0,40.0,4.3,70.0,,
Maine,Actuaries,130.0,150.0,20.0,15.4,10.0,,
Maine,Operations Research Analysts,350.0,430.0,80.0,22.9,30.0,,
Maine,"Architects, Except Landscape and Naval",520.0,500.0,-20.0,-3.8,40.0,,
Maine,Landscape Architects,60.0,60.0,0.0,0.0,0.0,,
Maine,Cartographers and Photogrammetrists,50.0,50.0,0.0,0.0,0.0,,
Maine,Surveyors,260.0,250.0,-10.0,-3.8,20.0,,
Maine,Biomedical Engineers,20.0,30.0,10.0,50.0,0.0,,
Maine,Chemical Engineers,30.0,20.0,-10.0,-33.3,0.0,,
Maine,Civil Engineers,1240.0,1210.0,-30.0,-2.4,90.0,,
Maine,Electrical Engineers,590.0,610.0,20.0,3.4,40.0,,
Maine,"Electronics Engineers, Except Computer",210.0,200.0,-10.0,-4.8,10.0,,
Maine,Environmental Engineers,120.0,110.0,-10.0,-8.3,10.0,,
Maine,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",110.0,110.0,0.0,0.0,10.0,,
Maine,Industrial Engineers,850.0,880.0,30.0,3.5,60.0,,
Maine,Materials Engineers,110.0,110.0,0.0,0.0,10.0,,
Maine,Mechanical Engineers,970.0,940.0,-30.0,-3.1,60.0,,
Maine,"Engineers, All Other",600.0,600.0,0.0,0.0,40.0,,
Maine,Architectural and Civil Drafters,380.0,350.0,-30.0,-7.9,30.0,,
Maine,Electrical and Electronics Drafters,100.0,90.0,-10.0,-10.0,10.0,,
Maine,Mechanical Drafters,920.0,830.0,-90.0,-9.8,80.0,,
Maine,Civil Engineering Technicians,450.0,450.0,0.0,0.0,40.0,,
Maine,Electrical and Electronics Engineering Technicians,330.0,330.0,0.0,0.0,30.0,,
Maine,Environmental Engineering Technicians,50.0,40.0,-10.0,-20.0,0.0,,
Maine,Industrial Engineering Technicians,450.0,430.0,-20.0,-4.4,40.0,,
Maine,Mechanical Engineering Technicians,50.0,50.0,0.0,0.0,10.0,,
Maine,"Engineering Technicians, Except Drafters, All Other",720.0,720.0,0.0,0.0,70.0,,
Maine,Surveying and Mapping Technicians,380.0,370.0,-10.0,-2.6,40.0,,
Maine,Soil and Plant Scientists,50.0,60.0,10.0,20.0,10.0,,
Maine,Biochemists and Biophysicists,240.0,260.0,20.0,8.3,30.0,,
Maine,Microbiologists,40.0,40.0,0.0,0.0,0.0,,
Maine,Zoologists and Wildlife Biologists,260.0,270.0,10.0,3.8,30.0,,
Maine,Conservation Scientists,100.0,90.0,-10.0,-10.0,10.0,,
Maine,Foresters,150.0,140.0,-10.0,-6.7,10.0,,
Maine,"Medical Scientists, Except Epidemiologists",190.0,200.0,10.0,5.3,20.0,,
Maine,Physicists,30.0,30.0,0.0,0.0,0.0,,
