Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Maryland,"Total, All Occupations",2907190.0,3210510.0,303320.0,10.4,427850.0,,
Maryland,Chief Executives,4520.0,4320.0,-200.0,-4.4,420.0,,
Maryland,General and Operations Managers,55230.0,60810.0,5580.0,10.1,5990.0,,
Maryland,Legislators,710.0,780.0,70.0,9.9,110.0,,
Maryland,Advertising and Promotions Managers,650.0,680.0,30.0,4.6,70.0,,
Maryland,Marketing Managers,5280.0,5780.0,500.0,9.5,560.0,,
Maryland,Sales Managers,7550.0,8100.0,550.0,7.3,780.0,,
Maryland,Public Relations and Fundraising Managers,1720.0,1920.0,200.0,11.6,180.0,,
Maryland,Administrative Services Managers,4170.0,4690.0,520.0,12.5,540.0,,
Maryland,Computer and Information Systems Managers,13840.0,15560.0,1720.0,12.4,1480.0,,
Maryland,Financial Managers,14770.0,17180.0,2410.0,16.3,1610.0,,
Maryland,Industrial Production Managers,1990.0,2070.0,80.0,4.0,160.0,,
Maryland,Purchasing Managers,2140.0,2270.0,130.0,6.1,270.0,,
Maryland,"Transportation, Storage, and Distribution Managers",2650.0,2940.0,290.0,10.9,290.0,,
Maryland,Compensation and Benefits Managers,400.0,420.0,20.0,5.0,40.0,,
Maryland,Human Resources Managers,3230.0,3570.0,340.0,10.5,350.0,,
Maryland,Training and Development Managers,1650.0,1830.0,180.0,10.9,180.0,,
Maryland,"Farmers, Ranchers, and Other Agricultural Managers",910.0,970.0,60.0,6.6,280.0,,
Maryland,Construction Managers,6950.0,7350.0,400.0,5.8,910.0,,
Maryland,"Education Administrators, Preschool and Childcare Center/Program",1180.0,1390.0,210.0,17.8,130.0,,
Maryland,"Education Administrators, Elementary and Secondary School",5920.0,6790.0,870.0,14.7,590.0,,
Maryland,"Education Administrators, Postsecondary",4870.0,5730.0,860.0,17.7,520.0,,
Maryland,"Education Administrators, All Other",1840.0,2070.0,230.0,12.5,220.0,,
Maryland,Architectural and Engineering Managers,6190.0,6510.0,320.0,5.2,590.0,,
Maryland,Food Service Managers,2960.0,3650.0,690.0,23.3,710.0,,
Maryland,Lodging Managers,410.0,490.0,80.0,19.5,70.0,,
Maryland,Medical and Health Services Managers,12940.0,15470.0,2530.0,19.6,1750.0,,
Maryland,Natural Sciences Managers,4580.0,4810.0,230.0,5.0,580.0,,
Maryland,"Property, Real Estate, and Community Association Managers",5500.0,6320.0,820.0,14.9,950.0,,
Maryland,Social and Community Service Managers,4350.0,5080.0,730.0,16.8,580.0,,
Maryland,Emergency Management Directors,180.0,200.0,20.0,11.1,20.0,,
Maryland,"Managers, All Other",17540.0,18940.0,1400.0,8.0,4700.0,,
Maryland,"Agents and Business Managers of Artists, Performers, and Athletes",200.0,220.0,20.0,10.0,30.0,,
Maryland,Buyers and Purchasing Agents,11040.0,10580.0,-460.0,-4.2,1110.0,,
Maryland,"Claims Adjusters, Examiners, and Investigators",6630.0,6000.0,-630.0,-9.5,680.0,,
Maryland,"Insurance Appraisers, Auto Damage",290.0,270.0,-20.0,-6.9,20.0,,
Maryland,Compliance Officers,9230.0,10070.0,840.0,9.1,1160.0,,
Maryland,Cost Estimators,4580.0,4850.0,270.0,5.9,500.0,,
Maryland,Human Resources Specialists,15430.0,16940.0,1510.0,9.8,2080.0,,
