Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Massachusetts,"Total, All Occupations",3814870.0,3927580.0,112710.0,3.0,439850.0,,
Massachusetts,Chief Executives,10480.0,9700.0,-780.0,-7.4,640.0,,
Massachusetts,General and Operations Managers,86640.0,91470.0,4830.0,5.6,8220.0,,
Massachusetts,Legislators,730.0,760.0,30.0,4.1,60.0,,
Massachusetts,Advertising and Promotions Managers,990.0,1010.0,20.0,2.0,100.0,,
Massachusetts,Marketing Managers,18500.0,19760.0,1260.0,6.8,1820.0,,
Massachusetts,Sales Managers,19310.0,20270.0,960.0,5.0,1850.0,,
Massachusetts,Public Relations and Fundraising Managers,3680.0,3910.0,230.0,6.3,350.0,,
Massachusetts,Administrative Services Managers,8850.0,9300.0,450.0,5.1,800.0,,
Massachusetts,Computer and Information Systems Managers,21210.0,23200.0,1990.0,9.4,1930.0,,
Massachusetts,Financial Managers,35960.0,40660.0,4700.0,13.1,3420.0,,
Massachusetts,Industrial Production Managers,6010.0,6130.0,120.0,2.0,450.0,,
Massachusetts,Purchasing Managers,3190.0,3280.0,90.0,2.8,280.0,,
Massachusetts,"Transportation, Storage, and Distribution Managers",3450.0,3580.0,130.0,3.8,290.0,,
Massachusetts,Compensation and Benefits Managers,880.0,880.0,0.0,0.0,70.0,,
Massachusetts,Human Resources Managers,7180.0,7550.0,370.0,5.2,660.0,,
Massachusetts,Training and Development Managers,2090.0,2200.0,110.0,5.3,200.0,,
Massachusetts,"Farmers, Ranchers, and Other Agricultural Managers",4910.0,5010.0,100.0,2.0,500.0,,
Massachusetts,Construction Managers,12400.0,12800.0,400.0,3.2,950.0,,
Massachusetts,"Education Administrators, Preschool and Childcare Center/Program",2630.0,2460.0,-170.0,-6.5,180.0,,
Massachusetts,"Education Administrators, Elementary and Secondary School",8540.0,8690.0,150.0,1.8,680.0,,
Massachusetts,"Education Administrators, Postsecondary",12100.0,12670.0,570.0,4.7,1020.0,,
Massachusetts,Architectural and Engineering Managers,8710.0,9050.0,340.0,3.9,680.0,,
Massachusetts,Food Service Managers,12330.0,12980.0,650.0,5.3,1510.0,,
Massachusetts,Funeral Service Managers,330.0,340.0,10.0,3.0,30.0,,
Massachusetts,Medical and Health Services Managers,18210.0,19940.0,1730.0,9.5,1690.0,,
Massachusetts,Natural Sciences Managers,4110.0,4350.0,240.0,5.8,400.0,,
Massachusetts,Postmasters and Mail Superintendents,370.0,290.0,-80.0,-21.6,20.0,,
Massachusetts,"Property, Real Estate, and Community Association Managers",9420.0,9950.0,530.0,5.6,800.0,,
Massachusetts,Social and Community Service Managers,9070.0,9500.0,430.0,4.7,850.0,,
Massachusetts,Emergency Management Directors,130.0,130.0,0.0,0.0,10.0,,
Massachusetts,"Managers, All Other",19520.0,20540.0,1020.0,5.2,1620.0,,
Massachusetts,"Agents and Business Managers of Artists, Performers, and Athletes",510.0,580.0,70.0,13.7,70.0,,
Massachusetts,Buyers and Purchasing Agents,10030.0,9350.0,-680.0,-6.8,940.0,,
Massachusetts,"Claims Adjusters, Examiners, and Investigators",6190.0,5760.0,-430.0,-6.9,460.0,,
Massachusetts,"Insurance Appraisers, Auto Damage",630.0,630.0,0.0,0.0,50.0,,
Massachusetts,Compliance Officers,8130.0,8560.0,430.0,5.3,780.0,,
Massachusetts,Cost Estimators,6060.0,6320.0,260.0,4.3,640.0,,
Massachusetts,Human Resources Specialists,20220.0,20950.0,730.0,3.6,2140.0,,
Massachusetts,Labor Relations Specialists,2890.0,2640.0,-250.0,-8.7,250.0,,
Massachusetts,Logisticians,3360.0,3530.0,170.0,5.1,350.0,,
Massachusetts,Management Analysts,32890.0,36470.0,3580.0,10.9,3630.0,,
Massachusetts,"Meeting, Convention, and Event Planners",3560.0,3790.0,230.0,6.5,440.0,,
Massachusetts,Fundraisers,4480.0,4730.0,250.0,5.6,500.0,,
Massachusetts,"Compensation, Benefits, and Job Analysis Specialists",2380.0,2480.0,100.0,4.2,240.0,,
Massachusetts,Training and Development Specialists,9210.0,9800.0,590.0,6.4,1080.0,,
Massachusetts,Market Research Analysts and Marketing Specialists,23220.0,27510.0,4290.0,18.5,3020.0,,
Massachusetts,"Business Operations Specialists, All Other",15680.0,16570.0,890.0,5.7,1640.0,,
Massachusetts,Accountants and Auditors,39030.0,40490.0,1460.0,3.7,3850.0,,
Massachusetts,Appraisers and Assessors of Real Estate,1490.0,1580.0,90.0,6.0,120.0,,
Massachusetts,Budget Analysts,1630.0,1680.0,50.0,3.1,130.0,,
Massachusetts,Credit Analysts,2270.0,2290.0,20.0,0.9,210.0,,
Massachusetts,Financial Analysts,15980.0,16490.0,510.0,3.2,1430.0,,
Massachusetts,Personal Financial Advisors,11050.0,11240.0,190.0,1.7,860.0,,
