Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Michigan,"Total, All Occupations",4672450.0,4675200.0,2750.0,0.1,529090.0,,
Michigan,Chief Executives,4430.0,4020.0,-410.0,-9.3,260.0,,
Michigan,General and Operations Managers,60520.0,61980.0,1460.0,2.4,5460.0,,
Michigan,Legislators,2330.0,2290.0,-40.0,-1.7,170.0,,
Michigan,Advertising and Promotions Managers,610.0,570.0,-40.0,-6.6,50.0,,
Michigan,Marketing Managers,4580.0,4730.0,150.0,3.3,430.0,,
Michigan,Sales Managers,9040.0,9090.0,50.0,0.6,810.0,,
Michigan,Public Relations and Fundraising Managers,1650.0,1690.0,40.0,2.4,150.0,,
Michigan,Administrative Services Managers,8160.0,8240.0,80.0,1.0,690.0,,
Michigan,Computer and Information Systems Managers,9680.0,9860.0,180.0,1.9,780.0,,
Michigan,Financial Managers,15610.0,17330.0,1720.0,11.0,1440.0,,
Michigan,Industrial Production Managers,13240.0,13610.0,370.0,2.8,1020.0,,
Michigan,Purchasing Managers,2190.0,2230.0,40.0,1.8,190.0,,
Michigan,"Transportation, Storage, and Distribution Managers",3400.0,3490.0,90.0,2.6,280.0,,
Michigan,Compensation and Benefits Managers,290.0,280.0,-10.0,-3.4,20.0,,
Michigan,Human Resources Managers,3880.0,3970.0,90.0,2.3,340.0,,
Michigan,Training and Development Managers,810.0,870.0,60.0,7.4,80.0,,
Michigan,"Farmers, Ranchers, and Other Agricultural Managers",22270.0,20450.0,-1820.0,-8.2,1940.0,,
Michigan,Construction Managers,7840.0,8050.0,210.0,2.7,590.0,,
Michigan,"Education Administrators, Preschool and Childcare Center/Program",970.0,1040.0,70.0,7.2,90.0,,
Michigan,"Education Administrators, Elementary and Secondary School",6420.0,6680.0,260.0,4.0,530.0,,
Michigan,"Education Administrators, Postsecondary",5560.0,5800.0,240.0,4.3,460.0,,
Michigan,"Education Administrators, All Other",900.0,960.0,60.0,6.7,80.0,,
Michigan,Architectural and Engineering Managers,10590.0,10700.0,110.0,1.0,780.0,,
Michigan,Food Service Managers,6950.0,7050.0,100.0,1.4,810.0,,
Michigan,Funeral Service Managers,760.0,740.0,-20.0,-2.6,60.0,,
Michigan,Gaming Managers,170.0,180.0,10.0,5.9,20.0,,
Michigan,Lodging Managers,1060.0,1010.0,-50.0,-4.7,100.0,,
Michigan,Medical and Health Services Managers,12490.0,13370.0,880.0,7.0,1110.0,,
Michigan,Natural Sciences Managers,1670.0,1700.0,30.0,1.8,150.0,,
Michigan,Postmasters and Mail Superintendents,430.0,310.0,-120.0,-27.9,20.0,,
Michigan,"Property, Real Estate, and Community Association Managers",8660.0,8710.0,50.0,0.6,670.0,,
Michigan,Social and Community Service Managers,5180.0,5520.0,340.0,6.6,500.0,,
Michigan,Emergency Management Directors,170.0,160.0,-10.0,-5.9,10.0,,
Michigan,"Managers, All Other",19980.0,19700.0,-280.0,-1.4,1480.0,,
Michigan,"Agents and Business Managers of Artists, Performers, and Athletes",320.0,330.0,10.0,3.1,40.0,,
Michigan,Buyers and Purchasing Agents,15040.0,13580.0,-1460.0,-9.7,1350.0,,
Michigan,"Claims Adjusters, Examiners, and Investigators",8360.0,7520.0,-840.0,-10.0,590.0,,
Michigan,"Insurance Appraisers, Auto Damage",220.0,230.0,10.0,4.5,20.0,,
Michigan,Compliance Officers,6790.0,6780.0,-10.0,-0.1,590.0,,
Michigan,Cost Estimators,6630.0,6870.0,240.0,3.6,690.0,,
Michigan,Human Resources Specialists,17040.0,17130.0,90.0,0.5,1720.0,,
Michigan,Labor Relations Specialists,6740.0,5710.0,-1030.0,-15.3,520.0,,
Michigan,Logisticians,9290.0,9380.0,90.0,1.0,900.0,,
Michigan,Management Analysts,19060.0,19950.0,890.0,4.7,1930.0,,
Michigan,"Meeting, Convention, and Event Planners",3380.0,3380.0,0.0,0.0,390.0,,
Michigan,Fundraisers,3010.0,3110.0,100.0,3.3,330.0,,
Michigan,"Compensation, Benefits, and Job Analysis Specialists",2170.0,2210.0,40.0,1.8,210.0,,
Michigan,Training and Development Specialists,6210.0,6460.0,250.0,4.0,700.0,,
Michigan,Market Research Analysts and Marketing Specialists,19980.0,22990.0,3010.0,15.1,2500.0,,
Michigan,"Business Operations Specialists, All Other",36710.0,36980.0,270.0,0.7,3560.0,,
