Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Minnesota,"Total, All Occupations",3145800.0,3295050.0,149250.0,4.7,379230.0,,
Minnesota,Chief Executives,6940.0,6480.0,-460.0,-6.6,430.0,,
Minnesota,General and Operations Managers,48050.0,51520.0,3470.0,7.2,4670.0,,
Minnesota,Legislators,1270.0,1330.0,60.0,4.7,110.0,,
Minnesota,Advertising and Promotions Managers,510.0,530.0,20.0,3.9,50.0,,
Minnesota,Marketing Managers,8740.0,9340.0,600.0,6.9,860.0,,
Minnesota,Sales Managers,11580.0,12210.0,630.0,5.4,1120.0,,
Minnesota,Public Relations and Fundraising Managers,2010.0,2140.0,130.0,6.5,190.0,,
Minnesota,Administrative Services Managers,6990.0,7420.0,430.0,6.2,640.0,,
Minnesota,Computer and Information Systems Managers,9790.0,10600.0,810.0,8.3,880.0,,
Minnesota,Financial Managers,16420.0,19090.0,2670.0,16.3,1640.0,,
Minnesota,Industrial Production Managers,5360.0,5460.0,100.0,1.9,400.0,,
Minnesota,Purchasing Managers,2190.0,2280.0,90.0,4.1,200.0,,
Minnesota,"Transportation, Storage, and Distribution Managers",2410.0,2540.0,130.0,5.4,210.0,,
Minnesota,Compensation and Benefits Managers,440.0,440.0,0.0,0.0,40.0,,
Minnesota,Human Resources Managers,4500.0,4770.0,270.0,6.0,420.0,,
Minnesota,Training and Development Managers,1060.0,1150.0,90.0,8.5,110.0,,
Minnesota,"Farmers, Ranchers, and Other Agricultural Managers",42330.0,40950.0,-1380.0,-3.3,4000.0,,
Minnesota,Construction Managers,7830.0,8480.0,650.0,8.3,650.0,,
Minnesota,"Education Administrators, Preschool and Childcare Center/Program",1010.0,1110.0,100.0,9.9,90.0,,
Minnesota,"Education Administrators, Elementary and Secondary School",3900.0,4080.0,180.0,4.6,330.0,,
Minnesota,"Education Administrators, Postsecondary",2590.0,2520.0,-70.0,-2.7,190.0,,
Minnesota,"Education Administrators, All Other",1180.0,1280.0,100.0,8.5,110.0,,
Minnesota,Architectural and Engineering Managers,4150.0,4310.0,160.0,3.9,320.0,,
Minnesota,Food Service Managers,4360.0,4580.0,220.0,5.0,530.0,,
Minnesota,Funeral Service Managers,230.0,250.0,20.0,8.7,20.0,,
Minnesota,Gaming Managers,170.0,150.0,-20.0,-11.8,20.0,,
