Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Mississippi,"Total, All Occupations",1282370.0,1344360.0,61990.0,4.8,6230.0,,
Mississippi,Chief Executives,1250.0,1290.0,40.0,3.2,0.0,,
Mississippi,General and Operations Managers,23920.0,24760.0,840.0,3.5,80.0,,
Mississippi,Legislators,170.0,170.0,0.0,0.0,0.0,,
Mississippi,Advertising and Promotions Managers,240.0,250.0,10.0,4.2,0.0,,
Mississippi,Marketing Managers,860.0,880.0,20.0,2.3,0.0,,
Mississippi,Sales Managers,1450.0,1490.0,40.0,2.8,0.0,,
Mississippi,Public Relations and Fundraising Managers,340.0,350.0,10.0,2.9,0.0,,
Mississippi,Administrative Services Managers,1540.0,1600.0,60.0,3.9,10.0,,
Mississippi,Computer and Information Systems Managers,1320.0,1360.0,40.0,3.0,0.0,,
Mississippi,Financial Managers,4880.0,5020.0,140.0,2.9,20.0,,
Mississippi,Industrial Production Managers,2120.0,2170.0,50.0,2.4,10.0,,
Mississippi,Purchasing Managers,500.0,520.0,20.0,4.0,0.0,,
Mississippi,"Transportation, Storage, and Distribution Managers",1210.0,1250.0,40.0,3.3,0.0,,
Mississippi,Compensation and Benefits Managers,80.0,80.0,0.0,0.0,0.0,,
Mississippi,Human Resources Managers,760.0,780.0,20.0,2.6,0.0,,
Mississippi,Training and Development Managers,190.0,200.0,10.0,5.3,0.0,,
Mississippi,"Farmers, Ranchers, and Other Agricultural Managers",10570.0,10590.0,20.0,0.2,0.0,,
Mississippi,Construction Managers,4020.0,4070.0,50.0,1.2,10.0,,
Mississippi,"Education Administrators, Preschool and Childcare Center/Program",620.0,700.0,80.0,12.9,10.0,,
Mississippi,"Education Administrators, Elementary and Secondary School",3330.0,3570.0,240.0,7.2,20.0,,
Mississippi,"Education Administrators, Postsecondary",1750.0,1870.0,120.0,6.9,10.0,,
Mississippi,"Education Administrators, All Other",210.0,220.0,10.0,4.8,0.0,,
Mississippi,Architectural and Engineering Managers,1060.0,1090.0,30.0,2.8,0.0,,
Mississippi,Food Service Managers,3740.0,4050.0,310.0,8.3,30.0,,
Mississippi,Funeral Service Managers,90.0,90.0,0.0,0.0,0.0,,
Mississippi,Gaming Managers,300.0,310.0,10.0,3.3,0.0,,
Mississippi,Lodging Managers,970.0,990.0,20.0,2.1,0.0,,
Mississippi,Medical and Health Services Managers,3510.0,3750.0,240.0,6.8,20.0,,
Mississippi,Natural Sciences Managers,250.0,250.0,0.0,0.0,0.0,,
Mississippi,Postmasters and Mail Superintendents,180.0,190.0,10.0,5.6,0.0,,
Mississippi,"Property, Real Estate, and Community Association Managers",3580.0,3640.0,60.0,1.7,10.0,,
Mississippi,Social and Community Service Managers,1370.0,1450.0,80.0,5.8,10.0,,
Mississippi,Emergency Management Directors,160.0,160.0,0.0,0.0,0.0,,
Mississippi,"Managers, All Other",3770.0,3800.0,30.0,0.8,0.0,,
Mississippi,Buyers and Purchasing Agents,2620.0,2680.0,60.0,2.3,10.0,,
Mississippi,"Claims Adjusters, Examiners, and Investigators",1390.0,1410.0,20.0,1.4,0.0,,
Mississippi,Compliance Officers,2290.0,2330.0,40.0,1.7,0.0,,
Mississippi,Cost Estimators,1350.0,1410.0,60.0,4.4,10.0,,
Mississippi,Human Resources Specialists,3560.0,3700.0,140.0,3.9,10.0,,
Mississippi,Labor Relations Specialists,1430.0,1470.0,40.0,2.8,0.0,,
Mississippi,Logisticians,1010.0,1040.0,30.0,3.0,0.0,,
Mississippi,Management Analysts,2880.0,2930.0,50.0,1.7,10.0,,
Mississippi,"Meeting, Convention, and Event Planners",520.0,540.0,20.0,3.8,0.0,,
Mississippi,Fundraisers,710.0,730.0,20.0,2.8,0.0,,
Mississippi,"Compensation, Benefits, and Job Analysis Specialists",500.0,510.0,10.0,2.0,0.0,,
Mississippi,Training and Development Specialists,1980.0,2080.0,100.0,5.1,10.0,,
Mississippi,Market Research Analysts and Marketing Specialists,3180.0,3260.0,80.0,2.5,10.0,,
Mississippi,"Business Operations Specialists, All Other",4850.0,4930.0,80.0,1.6,10.0,,
Mississippi,Accountants and Auditors,7470.0,7660.0,190.0,2.5,20.0,,
Mississippi,Appraisers and Assessors of Real Estate,480.0,480.0,0.0,0.0,0.0,,
Mississippi,Budget Analysts,510.0,520.0,10.0,2.0,0.0,,
Mississippi,Credit Analysts,310.0,320.0,10.0,3.2,0.0,,
Mississippi,Financial Analysts,540.0,550.0,10.0,1.9,0.0,,
Mississippi,Personal Financial Advisors,980.0,990.0,10.0,1.0,0.0,,
Mississippi,Insurance Underwriters,380.0,390.0,10.0,2.6,0.0,,
Mississippi,Financial Examiners,150.0,150.0,0.0,0.0,0.0,,
Mississippi,Credit Counselors,270.0,290.0,20.0,7.4,0.0,,
Mississippi,Loan Officers,2710.0,2770.0,60.0,2.2,10.0,,
Mississippi,"Tax Examiners and Collectors, and Revenue Agents",510.0,510.0,0.0,0.0,0.0,,
Mississippi,Tax Preparers,780.0,800.0,20.0,2.6,0.0,,
Mississippi,"Financial Specialists, All Other",440.0,450.0,10.0,2.3,0.0,,
Mississippi,Computer and Information Research Scientists,70.0,70.0,0.0,0.0,0.0,,
Mississippi,Computer Systems Analysts,1210.0,1240.0,30.0,2.5,0.0,,
Mississippi,Information Security Analysts,310.0,320.0,10.0,3.2,0.0,,
Mississippi,Computer Programmers,870.0,890.0,20.0,2.3,0.0,,
Mississippi,"Software Developers, Applications",720.0,740.0,20.0,2.8,0.0,,
Mississippi,"Software Developers, Systems Software",840.0,860.0,20.0,2.4,0.0,,
Mississippi,Web Developers,420.0,420.0,0.0,0.0,0.0,,
Mississippi,Database Administrators,300.0,300.0,0.0,0.0,0.0,,
Mississippi,Network and Computer Systems Administrators,1120.0,1150.0,30.0,2.7,0.0,,
Mississippi,Computer Network Architects,270.0,280.0,10.0,3.7,0.0,,
Mississippi,Computer User Support Specialists,1650.0,1710.0,60.0,3.6,10.0,,
Mississippi,Computer Network Support Specialists,790.0,810.0,20.0,2.5,0.0,,
Mississippi,"Computer Occupations, All Other",170.0,170.0,0.0,0.0,0.0,,
Mississippi,Operations Research Analysts,420.0,430.0,10.0,2.4,0.0,,
Mississippi,Miscellaneous Mathematical Science Occupations,50.0,50.0,0.0,0.0,0.0,,
Mississippi,"Architects, Except Landscape and Naval",450.0,460.0,10.0,2.2,0.0,,
Mississippi,Surveyors,470.0,480.0,10.0,2.1,0.0,,
Mississippi,Aerospace Engineers,90.0,100.0,10.0,11.1,0.0,,
Mississippi,Chemical Engineers,250.0,250.0,0.0,0.0,0.0,,
Mississippi,Civil Engineers,1960.0,1980.0,20.0,1.0,0.0,,
Mississippi,Computer Hardware Engineers,170.0,170.0,0.0,0.0,0.0,,
Mississippi,Electrical Engineers,1410.0,1440.0,30.0,2.1,0.0,,
Mississippi,"Electronics Engineers, Except Computer",590.0,590.0,0.0,0.0,0.0,,
Mississippi,Environmental Engineers,470.0,470.0,0.0,0.0,0.0,,
Mississippi,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",190.0,200.0,10.0,5.3,0.0,,
Mississippi,Industrial Engineers,2350.0,2440.0,90.0,3.8,10.0,,
Mississippi,Marine Engineers and Naval Architects,350.0,360.0,10.0,2.9,0.0,,
Mississippi,Materials Engineers,200.0,210.0,10.0,5.0,0.0,,
Mississippi,Mechanical Engineers,1610.0,1660.0,50.0,3.1,0.0,,
Mississippi,Petroleum Engineers,550.0,540.0,-10.0,-1.8,0.0,,
Mississippi,"Engineers, All Other",660.0,660.0,0.0,0.0,0.0,,
Mississippi,Architectural and Civil Drafters,560.0,580.0,20.0,3.6,0.0,,
Mississippi,Electrical and Electronics Drafters,130.0,140.0,10.0,7.7,0.0,,
Mississippi,Mechanical Drafters,500.0,520.0,20.0,4.0,0.0,,
Mississippi,"Drafters, All Other",100.0,100.0,0.0,0.0,0.0,,
Mississippi,Civil Engineering Technicians,940.0,940.0,0.0,0.0,0.0,,
Mississippi,Electrical and Electronics Engineering Technicians,1070.0,1100.0,30.0,2.8,0.0,,
Mississippi,Environmental Engineering Technicians,100.0,110.0,10.0,10.0,0.0,,
Mississippi,Industrial Engineering Technicians,340.0,350.0,10.0,2.9,0.0,,
Mississippi,Mechanical Engineering Technicians,190.0,190.0,0.0,0.0,0.0,,
Mississippi,"Engineering Technicians, Except Drafters, All Other",500.0,510.0,10.0,2.0,0.0,,
Mississippi,Surveying and Mapping Technicians,770.0,790.0,20.0,2.6,0.0,,
Mississippi,Soil and Plant Scientists,140.0,140.0,0.0,0.0,0.0,,
Mississippi,Zoologists and Wildlife Biologists,420.0,430.0,10.0,2.4,0.0,,
Mississippi,"Biological Scientists, All Other",340.0,340.0,0.0,0.0,0.0,,
Mississippi,Conservation Scientists,1110.0,1110.0,0.0,0.0,0.0,,
Mississippi,"Medical Scientists, Except Epidemiologists",280.0,300.0,20.0,7.1,0.0,,
Mississippi,Physicists,120.0,120.0,0.0,0.0,0.0,,
