Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Missouri,"Total, All Occupations",3058770.0,3195140.0,136370.0,4.5,370510.0,,
Missouri,Chief Executives,6010.0,5650.0,-360.0,-6.0,380.0,,
Missouri,General and Operations Managers,48200.0,51180.0,2980.0,6.2,4610.0,,
Missouri,Legislators,1210.0,1260.0,50.0,4.1,100.0,,
Missouri,Advertising and Promotions Managers,250.0,250.0,0.0,0.0,20.0,,
Missouri,Marketing Managers,2690.0,2900.0,210.0,7.8,270.0,,
Missouri,Sales Managers,5580.0,5790.0,210.0,3.8,530.0,,
Missouri,Public Relations and Fundraising Managers,940.0,1030.0,90.0,9.6,90.0,,
Missouri,Administrative Services Managers,4990.0,5250.0,260.0,5.2,450.0,,
Missouri,Computer and Information Systems Managers,5670.0,6350.0,680.0,12.0,540.0,,
Missouri,Financial Managers,8290.0,9570.0,1280.0,15.4,820.0,,
Missouri,Industrial Production Managers,3490.0,3530.0,40.0,1.1,260.0,,
Missouri,Purchasing Managers,680.0,730.0,50.0,7.4,60.0,,
Missouri,"Transportation, Storage, and Distribution Managers",2250.0,2400.0,150.0,6.7,200.0,,
Missouri,Compensation and Benefits Managers,160.0,170.0,10.0,6.3,10.0,,
Missouri,Human Resources Managers,1820.0,1950.0,130.0,7.1,170.0,,
Missouri,Training and Development Managers,420.0,460.0,40.0,9.5,40.0,,
Missouri,"Farmers, Ranchers, and Other Agricultural Managers",18620.0,18370.0,-250.0,-1.3,1810.0,,
Missouri,Construction Managers,4880.0,5190.0,310.0,6.4,390.0,,
Missouri,"Education Administrators, Preschool and Childcare Center/Program",800.0,860.0,60.0,7.5,70.0,,
Missouri,"Education Administrators, Elementary and Secondary School",5620.0,5770.0,150.0,2.7,460.0,,
Missouri,"Education Administrators, Postsecondary",2220.0,2340.0,120.0,5.4,190.0,,
Missouri,"Education Administrators, All Other",480.0,510.0,30.0,6.3,40.0,,
Missouri,Architectural and Engineering Managers,2770.0,2890.0,120.0,4.3,220.0,,
Missouri,Food Service Managers,4500.0,4890.0,390.0,8.7,580.0,,
Missouri,Funeral Service Managers,310.0,320.0,10.0,3.2,30.0,,
Missouri,Gaming Managers,70.0,70.0,0.0,0.0,10.0,,
Missouri,Lodging Managers,980.0,990.0,10.0,1.0,100.0,,
