Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Montana,"Total, All Occupations",509570.0,545710.0,36140.0,7.1,64880.0,,
Montana,Chief Executives,570.0,540.0,-30.0,-5.3,40.0,,
Montana,General and Operations Managers,5410.0,5950.0,540.0,10.0,550.0,,
Montana,Legislators,310.0,340.0,30.0,9.7,30.0,,
Montana,Marketing Managers,200.0,220.0,20.0,10.0,20.0,,
Montana,Sales Managers,250.0,280.0,30.0,12.0,30.0,,
Montana,Administrative Services Managers,230.0,240.0,10.0,4.3,20.0,,
Montana,Computer and Information Systems Managers,670.0,790.0,120.0,17.9,70.0,,
Montana,Financial Managers,810.0,970.0,160.0,19.8,80.0,,
Montana,Industrial Production Managers,150.0,150.0,0.0,0.0,10.0,,
Montana,Purchasing Managers,60.0,60.0,0.0,0.0,0.0,,
Montana,"Transportation, Storage, and Distribution Managers",150.0,160.0,10.0,6.7,10.0,,
Montana,Human Resources Managers,270.0,300.0,30.0,11.1,30.0,,
Montana,Construction Managers,970.0,1100.0,130.0,13.4,90.0,,
Montana,"Education Administrators, Preschool and Childcare Center/Program",150.0,160.0,10.0,6.7,10.0,,
Montana,"Education Administrators, Elementary and Secondary School",760.0,790.0,30.0,3.9,60.0,,
Montana,"Education Administrators, Postsecondary",390.0,410.0,20.0,5.1,30.0,,
Montana,"Education Administrators, All Other",60.0,70.0,10.0,16.7,10.0,,
Montana,Architectural and Engineering Managers,260.0,280.0,20.0,7.7,20.0,,
Montana,Food Service Managers,600.0,650.0,50.0,8.3,80.0,,
Montana,Lodging Managers,620.0,600.0,-20.0,-3.2,60.0,,
Montana,Medical and Health Services Managers,1530.0,1770.0,240.0,15.7,150.0,,
Montana,Natural Sciences Managers,260.0,270.0,10.0,3.8,30.0,,
Montana,"Property, Real Estate, and Community Association Managers",1630.0,1780.0,150.0,9.2,150.0,,
Montana,Social and Community Service Managers,590.0,670.0,80.0,13.6,60.0,,
Montana,Emergency Management Directors,50.0,60.0,10.0,20.0,10.0,,
Montana,"Managers, All Other",2010.0,2090.0,80.0,4.0,160.0,,
Montana,Buyers and Purchasing Agents,1400.0,1340.0,-60.0,-4.3,140.0,,
Montana,"Claims Adjusters, Examiners, and Investigators",1280.0,1310.0,30.0,2.3,110.0,,
Montana,Compliance Officers,990.0,1070.0,80.0,8.1,100.0,,
Montana,Cost Estimators,1080.0,1280.0,200.0,18.5,140.0,,
Montana,Human Resources Specialists,1560.0,1670.0,110.0,7.1,170.0,,
Montana,Labor Relations Specialists,120.0,110.0,-10.0,-8.3,10.0,,
Montana,Logisticians,140.0,150.0,10.0,7.1,10.0,,
Montana,Management Analysts,720.0,860.0,140.0,19.4,90.0,,
Montana,"Meeting, Convention, and Event Planners",570.0,620.0,50.0,8.8,70.0,,
Montana,Fundraisers,650.0,740.0,90.0,13.8,80.0,,
Montana,"Compensation, Benefits, and Job Analysis Specialists",120.0,130.0,10.0,8.3,10.0,,
Montana,Training and Development Specialists,730.0,840.0,110.0,15.1,100.0,,
Montana,Market Research Analysts and Marketing Specialists,1410.0,1790.0,380.0,27.0,200.0,,
Montana,"Business Operations Specialists, All Other",3200.0,3510.0,310.0,9.7,350.0,,
Montana,Accountants and Auditors,3490.0,3890.0,400.0,11.5,380.0,,
Montana,Appraisers and Assessors of Real Estate,410.0,440.0,30.0,7.3,40.0,,
Montana,Budget Analysts,220.0,230.0,10.0,4.5,20.0,,
Montana,Credit Analysts,150.0,170.0,20.0,13.3,20.0,,
Montana,Financial Analysts,170.0,190.0,20.0,11.8,20.0,,
Montana,Personal Financial Advisors,580.0,640.0,60.0,10.3,50.0,,
Montana,Insurance Underwriters,190.0,190.0,0.0,0.0,20.0,,
Montana,Credit Counselors,50.0,60.0,10.0,20.0,10.0,,
Montana,Loan Officers,1360.0,1580.0,220.0,16.2,150.0,,
Montana,"Tax Examiners and Collectors, and Revenue Agents",100.0,110.0,10.0,10.0,10.0,,
Montana,Tax Preparers,340.0,380.0,40.0,11.8,50.0,,
Montana,"Financial Specialists, All Other",270.0,300.0,30.0,11.1,30.0,,
Montana,Computer Systems Analysts,650.0,700.0,50.0,7.7,50.0,,
Montana,Computer Programmers,1190.0,1240.0,50.0,4.2,90.0,,
Montana,"Software Developers, Applications",1060.0,1400.0,340.0,32.1,120.0,,
Montana,"Software Developers, Systems Software",710.0,880.0,170.0,23.9,70.0,,
Montana,Web Developers,610.0,710.0,100.0,16.4,60.0,,
Montana,Database Administrators,240.0,280.0,40.0,16.7,20.0,,
Montana,Network and Computer Systems Administrators,600.0,620.0,20.0,3.3,40.0,,
Montana,Computer Network Architects,230.0,260.0,30.0,13.0,20.0,,
Montana,Computer User Support Specialists,2710.0,3140.0,430.0,15.9,280.0,,
Montana,Computer Network Support Specialists,370.0,380.0,10.0,2.7,30.0,,
Montana,"Computer Occupations, All Other",680.0,790.0,110.0,16.2,70.0,,
Montana,Operations Research Analysts,100.0,120.0,20.0,20.0,10.0,,
Montana,"Architects, Except Landscape and Naval",740.0,850.0,110.0,14.9,70.0,,
Montana,Landscape Architects,50.0,50.0,0.0,0.0,0.0,,
Montana,Cartographers and Photogrammetrists,90.0,100.0,10.0,11.1,10.0,,
Montana,Surveyors,380.0,410.0,30.0,7.9,30.0,,
Montana,Chemical Engineers,110.0,130.0,20.0,18.2,10.0,,
Montana,Civil Engineers,1370.0,1540.0,170.0,12.4,130.0,,
Montana,Electrical Engineers,550.0,590.0,40.0,7.3,40.0,,
Montana,"Electronics Engineers, Except Computer",110.0,110.0,0.0,0.0,10.0,,
Montana,Environmental Engineers,460.0,520.0,60.0,13.0,40.0,,
Montana,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",60.0,60.0,0.0,0.0,10.0,,
Montana,Industrial Engineers,200.0,230.0,30.0,15.0,20.0,,
Montana,Materials Engineers,70.0,80.0,10.0,14.3,10.0,,
Montana,Mechanical Engineers,550.0,630.0,80.0,14.5,50.0,,
Montana,"Mining and Geological Engineers, Including Mining Safety Engineers",100.0,100.0,0.0,0.0,10.0,,
Montana,Petroleum Engineers,220.0,210.0,-10.0,-4.5,20.0,,
Montana,"Engineers, All Other",200.0,210.0,10.0,5.0,20.0,,
Montana,Architectural and Civil Drafters,500.0,540.0,40.0,8.0,60.0,,
Montana,Electrical and Electronics Drafters,130.0,150.0,20.0,15.4,20.0,,
Montana,Mechanical Drafters,110.0,110.0,0.0,0.0,10.0,,
Montana,"Drafters, All Other",130.0,140.0,10.0,7.7,10.0,,
Montana,Civil Engineering Technicians,320.0,350.0,30.0,9.4,40.0,,
Montana,Electrical and Electronics Engineering Technicians,100.0,100.0,0.0,0.0,10.0,,
Montana,Environmental Engineering Technicians,140.0,170.0,30.0,21.4,20.0,,
Montana,Industrial Engineering Technicians,30.0,30.0,0.0,0.0,0.0,,
Montana,Mechanical Engineering Technicians,90.0,100.0,10.0,11.1,10.0,,
Montana,"Engineering Technicians, Except Drafters, All Other",140.0,140.0,0.0,0.0,20.0,,
Montana,Surveying and Mapping Technicians,240.0,260.0,20.0,8.3,30.0,,
Montana,Soil and Plant Scientists,150.0,160.0,10.0,6.7,20.0,,
Montana,Microbiologists,110.0,120.0,10.0,9.1,10.0,,
Montana,Zoologists and Wildlife Biologists,340.0,380.0,40.0,11.8,40.0,,
Montana,"Biological Scientists, All Other",400.0,410.0,10.0,2.5,40.0,,
Montana,Conservation Scientists,530.0,570.0,40.0,7.5,60.0,,
Montana,Foresters,200.0,210.0,10.0,5.0,20.0,,
Montana,"Medical Scientists, Except Epidemiologists",140.0,150.0,10.0,7.1,20.0,,
Montana,Atmospheric and Space Scientists,70.0,70.0,0.0,0.0,10.0,,
Montana,Chemists,310.0,340.0,30.0,9.7,30.0,,
Montana,"Environmental Scientists and Specialists, Including Health",400.0,450.0,50.0,12.5,50.0,,
Montana,"Geoscientists, Except Hydrologists and Geographers",210.0,230.0,20.0,9.5,30.0,,
Montana,Hydrologists,160.0,180.0,20.0,12.5,20.0,,
Montana,"Physical Scientists, All Other",110.0,120.0,10.0,9.1,10.0,,
Montana,Economists,90.0,110.0,20.0,22.2,10.0,,
Montana,"Clinical, Counseling, and School Psychologists",730.0,840.0,110.0,15.1,70.0,,
Montana,"Psychologists, All Other",100.0,120.0,20.0,20.0,10.0,,
Montana,Urban and Regional Planners,130.0,150.0,20.0,15.4,10.0,,
Montana,Anthropologists and Archeologists,50.0,50.0,0.0,0.0,10.0,,
Montana,"Social Scientists and Related Workers, All Other",90.0,90.0,0.0,0.0,10.0,,
Montana,Agricultural and Food Science Technicians,100.0,110.0,10.0,10.0,10.0,,
Montana,Biological Technicians,500.0,530.0,30.0,6.0,60.0,,
Montana,Chemical Technicians,100.0,100.0,0.0,0.0,10.0,,
Montana,Geological and Petroleum Technicians,250.0,260.0,10.0,4.0,30.0,,
Montana,"Environmental Science and Protection Technicians, Including Health",200.0,220.0,20.0,10.0,30.0,,
Montana,Forest and Conservation Technicians,1760.0,1770.0,10.0,0.6,210.0,,
Montana,"Life, Physical, and Social Science Technicians, All Other",170.0,180.0,10.0,5.9,20.0,,
Montana,"Educational, Guidance, School, and Vocational Counselors",640.0,690.0,50.0,7.8,70.0,,
Montana,Rehabilitation Counselors,460.0,510.0,50.0,10.9,50.0,,
Montana,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1560.0,1880.0,320.0,20.5,210.0,,
Montana,"Child, Family, and School Social Workers",1260.0,1380.0,120.0,9.5,140.0,,
Montana,Healthcare Social Workers,610.0,700.0,90.0,14.8,70.0,,
Montana,Mental Health and Substance Abuse Social Workers,440.0,520.0,80.0,18.2,60.0,,
Montana,"Social Workers, All Other",570.0,620.0,50.0,8.8,60.0,,
Montana,Health Educators,290.0,320.0,30.0,10.3,40.0,,
Montana,Probation Officers and Correctional Treatment Specialists,320.0,350.0,30.0,9.4,30.0,,
Montana,Social and Human Service Assistants,1360.0,1540.0,180.0,13.2,190.0,,
Montana,Community Health Workers,160.0,170.0,10.0,6.3,20.0,,
Montana,"Community and Social Service Specialists, All Other",510.0,570.0,60.0,11.8,70.0,,
Montana,Clergy,740.0,830.0,90.0,12.2,90.0,,
Montana,Lawyers,2620.0,2870.0,250.0,9.5,160.0,,
Montana,Judicial Law Clerks,80.0,90.0,10.0,12.5,10.0,,
Montana,"Arbitrators, Mediators, and Conciliators",60.0,70.0,10.0,16.7,0.0,,
Montana,"Judges, Magistrate Judges, and Magistrates",110.0,110.0,0.0,0.0,10.0,,
Montana,Paralegals and Legal Assistants,960.0,1130.0,170.0,17.7,130.0,,
Montana,Court Reporters,100.0,110.0,10.0,10.0,10.0,,
Montana,"Title Examiners, Abstractors, and Searchers",470.0,480.0,10.0,2.1,40.0,,
Montana,"Legal Support Workers, All Other",140.0,150.0,10.0,7.1,10.0,,
Montana,"Business Teachers, Postsecondary",180.0,210.0,30.0,16.7,20.0,,
Montana,"Computer Science Teachers, Postsecondary",80.0,90.0,10.0,12.5,10.0,,
Montana,"Mathematical Science Teachers, Postsecondary",180.0,190.0,10.0,5.6,20.0,,
Montana,"Engineering Teachers, Postsecondary",80.0,80.0,0.0,0.0,10.0,,
Montana,"Biological Science Teachers, Postsecondary",170.0,190.0,20.0,11.8,20.0,,
Montana,"Forestry and Conservation Science Teachers, Postsecondary",90.0,100.0,10.0,11.1,10.0,,
Montana,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",40.0,40.0,0.0,0.0,0.0,,
Montana,"Chemistry Teachers, Postsecondary",80.0,80.0,0.0,0.0,10.0,,
Montana,"Environmental Science Teachers, Postsecondary",30.0,30.0,0.0,0.0,0.0,,
Montana,"Anthropology and Archeology Teachers, Postsecondary",30.0,40.0,10.0,33.3,0.0,,
Montana,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",80.0,90.0,10.0,12.5,10.0,,
Montana,"Political Science Teachers, Postsecondary",40.0,40.0,0.0,0.0,0.0,,
Montana,"Sociology Teachers, Postsecondary",50.0,60.0,10.0,20.0,0.0,,
Montana,"Health Specialties Teachers, Postsecondary",350.0,430.0,80.0,22.9,40.0,,
Montana,"Nursing Instructors and Teachers, Postsecondary",140.0,160.0,20.0,14.3,20.0,,
Montana,"Education Teachers, Postsecondary",210.0,220.0,10.0,4.8,20.0,,
Montana,"Library Science Teachers, Postsecondary",30.0,30.0,0.0,0.0,0.0,,
Montana,"Law Teachers, Postsecondary",50.0,60.0,10.0,20.0,0.0,,
Montana,"Social Work Teachers, Postsecondary",30.0,30.0,0.0,0.0,0.0,,
Montana,"Art, Drama, and Music Teachers, Postsecondary",240.0,250.0,10.0,4.2,20.0,,
Montana,"Communications Teachers, Postsecondary",110.0,120.0,10.0,9.1,10.0,,
Montana,"English Language and Literature Teachers, Postsecondary",160.0,170.0,10.0,6.3,20.0,,
Montana,"Foreign Language and Literature Teachers, Postsecondary",70.0,70.0,0.0,0.0,10.0,,
Montana,"History Teachers, Postsecondary",60.0,60.0,0.0,0.0,10.0,,
Montana,"Philosophy and Religion Teachers, Postsecondary",60.0,60.0,0.0,0.0,10.0,,
Montana,Graduate Teaching Assistants,600.0,620.0,20.0,3.3,50.0,,
Montana,"Vocational Education Teachers, Postsecondary",380.0,380.0,0.0,0.0,30.0,,
Montana,"Postsecondary Teachers, All Other",80.0,90.0,10.0,12.5,10.0,,
