Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Nebraska,"Total, All Occupations",1131230,1193630,62400,5.5,138730,,
Nebraska,Chief Executives,1330,1300,-30,-2.3,90,,
Nebraska,General and Operations Managers,17330,18640,1310,7.6,1690,,
Nebraska,Legislators,840,870,30,3.6,70,,
Nebraska,Advertising and Promotions Managers,110,120,10,9.1,10,,
Nebraska,Marketing Managers,1560,1690,130,8.3,160,,
Nebraska,Sales Managers,2290,2450,160,7.0,230,,
Nebraska,Public Relations and Fundraising Managers,1160,1250,90,7.8,110,,
Nebraska,Administrative Services Managers,1850,2000,150,8.1,180,,
Nebraska,Computer and Information Systems Managers,2140,2380,240,11.2,200,,
Nebraska,Financial Managers,3060,3620,560,18.3,310,,
Nebraska,Industrial Production Managers,1090,1180,90,8.3,90,,
Nebraska,Purchasing Managers,470,500,30,6.4,40,,
Nebraska,"Transportation, Storage, and Distribution Managers",1760,1860,100,5.7,150,,
Nebraska,Compensation and Benefits Managers,180,180,0,0.0,20,,
Nebraska,Human Resources Managers,970,1060,90,9.3,100,,
Nebraska,Training and Development Managers,390,420,30,7.7,40,,
Nebraska,"Farmers, Ranchers, and Other Agricultural Managers",12680,13720,1040,8.2,1420,,
Nebraska,Construction Managers,4120,4410,290,7.0,340,,
Nebraska,"Education Administrators, Preschool and Childcare Center/Program",200,210,10,5.0,20,,
Nebraska,"Education Administrators, Elementary and Secondary School",1920,2020,100,5.2,160,,
Nebraska,"Education Administrators, Postsecondary",1400,1470,70,5.0,120,,
Nebraska,"Education Administrators, All Other",290,310,20,6.9,30,,
Nebraska,Architectural and Engineering Managers,550,590,40,7.3,50,,
Nebraska,Food Service Managers,1600,1690,90,5.6,200,,
Nebraska,Funeral Service Managers,90,90,0,0.0,10,,
Nebraska,Gaming Managers,20,10,-10,-50.0,0,,
Nebraska,Lodging Managers,150,170,20,13.3,20,,
Nebraska,Medical and Health Services Managers,3260,3750,490,15.0,330,,
Nebraska,Natural Sciences Managers,220,240,20,9.1,20,,
Nebraska,Postmasters and Mail Superintendents,160,150,-10,-6.3,10,,
Nebraska,"Property, Real Estate, and Community Association Managers",1520,1650,130,8.6,130,,
Nebraska,Social and Community Service Managers,940,1020,80,8.5,90,,
Nebraska,Emergency Management Directors,110,110,0,0.0,10,,
Nebraska,"Managers, All Other",3290,3490,200,6.1,280,,
Nebraska,"Agents and Business Managers of Artists, Performers, and Athletes",10,10,0,0.0,0,,
Nebraska,Buyers and Purchasing Agents,3270,3130,-140,-4.3,320,,
Nebraska,"Claims Adjusters, Examiners, and Investigators",3380,3240,-140,-4.1,270,,
Nebraska,"Insurance Appraisers, Auto Damage",30,30,0,0.0,0,,
Nebraska,Compliance Officers,3370,3620,250,7.4,330,,
Nebraska,Cost Estimators,1450,1570,120,8.3,160,,
Nebraska,Human Resources Specialists,4620,4940,320,6.9,510,,
Nebraska,Farm Labor Contractors,70,70,0,0.0,10,,
Nebraska,Labor Relations Specialists,920,850,-70,-7.6,80,,
Nebraska,Logisticians,990,1070,80,8.1,110,,
Nebraska,Management Analysts,2910,3310,400,13.7,330,,
Nebraska,"Meeting, Convention, and Event Planners",610,650,40,6.6,80,,
Nebraska,Fundraisers,840,920,80,9.5,100,,
Nebraska,"Compensation, Benefits, and Job Analysis Specialists",590,650,60,10.2,60,,
Nebraska,Training and Development Specialists,2770,3090,320,11.6,350,,
Nebraska,Market Research Analysts and Marketing Specialists,3570,4260,690,19.3,470,,
Nebraska,"Business Operations Specialists, All Other",4820,5170,350,7.3,520,,
Nebraska,Accountants and Auditors,9910,10690,780,7.9,1040,,
Nebraska,Appraisers and Assessors of Real Estate,530,580,50,9.4,50,,
Nebraska,Budget Analysts,300,320,20,6.7,30,,
Nebraska,Credit Analysts,540,610,70,13.0,60,,
Nebraska,Financial Analysts,1650,1810,160,9.7,160,,
Nebraska,Personal Financial Advisors,1870,2080,210,11.2,170,,
Nebraska,Insurance Underwriters,2100,1990,-110,-5.2,160,,
Nebraska,Financial Examiners,490,550,60,12.2,50,,
Nebraska,Credit Counselors,1230,1480,250,20.3,140,,
Nebraska,Loan Officers,2980,3450,470,15.8,320,,
Nebraska,"Tax Examiners and Collectors, and Revenue Agents",220,230,10,4.5,20,,
Nebraska,Tax Preparers,390,420,30,7.7,50,,
Nebraska,"Financial Specialists, All Other",460,510,50,10.9,50,,
Nebraska,Computer and Information Research Scientists,40,40,0,0.0,0,,
Nebraska,Computer Systems Analysts,3930,4260,330,8.4,330,,
Nebraska,Information Security Analysts,680,890,210,30.9,80,,
Nebraska,Computer Programmers,2880,2690,-190,-6.6,180,,
Nebraska,"Software Developers, Applications",4860,6040,1180,24.3,500,,
Nebraska,"Software Developers, Systems Software",2970,3370,400,13.5,260,,
Nebraska,Web Developers,1080,1230,150,13.9,100,,
Nebraska,Database Administrators,1170,1300,130,11.1,100,,
Nebraska,Network and Computer Systems Administrators,3360,3610,250,7.4,270,,
Nebraska,Computer Network Architects,1440,1590,150,10.4,120,,
Nebraska,Computer User Support Specialists,4060,4500,440,10.8,390,,
Nebraska,Computer Network Support Specialists,2070,2280,210,10.1,200,,
Nebraska,"Computer Occupations, All Other",2570,2820,250,9.7,220,,
Nebraska,Actuaries,540,630,90,16.7,40,,
Nebraska,Operations Research Analysts,1120,1420,300,26.8,110,,
Nebraska,Statisticians,280,360,80,28.6,30,,
Nebraska,"Architects, Except Landscape and Naval",830,910,80,9.6,80,,
Nebraska,Landscape Architects,140,150,10,7.1,10,,
Nebraska,Cartographers and Photogrammetrists,60,70,10,16.7,10,,
Nebraska,Surveyors,310,330,20,6.5,30,,
Nebraska,Aerospace Engineers,120,140,20,16.7,10,,
Nebraska,Agricultural Engineers,90,100,10,11.1,10,,
Nebraska,Biomedical Engineers,70,70,0,0.0,10,,
Nebraska,Chemical Engineers,130,150,20,15.4,10,,
Nebraska,Civil Engineers,1840,1950,110,6.0,160,,
Nebraska,Computer Hardware Engineers,400,470,70,17.5,40,,
Nebraska,Electrical Engineers,800,860,60,7.5,60,,
Nebraska,"Electronics Engineers, Except Computer",280,310,30,10.7,20,,
Nebraska,Environmental Engineers,340,360,20,5.9,30,,
Nebraska,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",80,80,0,0.0,10,,
Nebraska,Industrial Engineers,1300,1500,200,15.4,120,,
Nebraska,Materials Engineers,90,90,0,0.0,10,,
