Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Nevada,"Total, All Occupations",1461410.0,1712080.0,250670.0,17.2,88360.0,,
Nevada,Chief Executives,570.0,600.0,30.0,5.3,50.0,,
Nevada,General and Operations Managers,5320.0,6400.0,1080.0,20.3,620.0,,
Nevada,Legislators,50.0,60.0,10.0,20.0,10.0,,
Nevada,Advertising and Promotions Managers,80.0,90.0,10.0,12.5,10.0,,
Nevada,Marketing Managers,540.0,630.0,90.0,16.7,60.0,,
Nevada,Sales Managers,1000.0,1150.0,150.0,15.0,110.0,,
Nevada,Public Relations and Fundraising Managers,200.0,230.0,30.0,15.0,20.0,,
Nevada,Administrative Services Managers,320.0,380.0,60.0,18.8,40.0,,
Nevada,Computer and Information Systems Managers,530.0,640.0,110.0,20.8,60.0,,
Nevada,Financial Managers,1710.0,2220.0,510.0,29.8,200.0,,
Nevada,Industrial Production Managers,260.0,310.0,50.0,19.2,30.0,,
Nevada,Purchasing Managers,120.0,150.0,30.0,25.0,10.0,,
Nevada,"Transportation, Storage, and Distribution Managers",340.0,440.0,100.0,29.4,40.0,,
Nevada,Compensation and Benefits Managers,30.0,40.0,10.0,33.3,0.0,,
Nevada,Human Resources Managers,310.0,390.0,80.0,25.8,40.0,,
Nevada,Training and Development Managers,70.0,90.0,20.0,28.6,10.0,,
Nevada,"Farmers, Ranchers, and Other Agricultural Managers",7620.0,8210.0,590.0,7.7,840.0,,
Nevada,Construction Managers,3610.0,4420.0,810.0,22.4,370.0,,
Nevada,"Education Administrators, Preschool and Childcare Center/Program",70.0,80.0,10.0,14.3,10.0,,
Nevada,"Education Administrators, Elementary and Secondary School",430.0,500.0,70.0,16.3,40.0,,
Nevada,"Education Administrators, Postsecondary",230.0,270.0,40.0,17.4,20.0,,
Nevada,"Education Administrators, All Other",50.0,60.0,10.0,20.0,10.0,,
Nevada,Architectural and Engineering Managers,240.0,280.0,40.0,16.7,20.0,,
Nevada,Food Service Managers,2110.0,2560.0,450.0,21.3,310.0,,
Nevada,Funeral Service Managers,70.0,80.0,10.0,14.3,10.0,,
Nevada,Gaming Managers,280.0,340.0,60.0,21.4,40.0,,
Nevada,Lodging Managers,300.0,320.0,20.0,6.7,30.0,,
Nevada,Medical and Health Services Managers,730.0,950.0,220.0,30.1,90.0,,
Nevada,Natural Sciences Managers,60.0,60.0,0.0,0.0,10.0,,
Nevada,"Property, Real Estate, and Community Association Managers",2610.0,3050.0,440.0,16.9,260.0,,
Nevada,Social and Community Service Managers,280.0,330.0,50.0,17.9,30.0,,
Nevada,Emergency Management Directors,30.0,30.0,0.0,0.0,0.0,,
Nevada,"Managers, All Other",8350.0,9740.0,1390.0,16.6,820.0,,
Nevada,"Agents and Business Managers of Artists, Performers, and Athletes",100.0,120.0,20.0,20.0,20.0,,
Nevada,Buyers and Purchasing Agents,860.0,930.0,70.0,8.1,100.0,,
Nevada,"Claims Adjusters, Examiners, and Investigators",440.0,450.0,10.0,2.3,40.0,,
Nevada,"Insurance Appraisers, Auto Damage",190.0,210.0,20.0,10.5,20.0,,
Nevada,Compliance Officers,510.0,580.0,70.0,13.7,50.0,,
Nevada,Cost Estimators,560.0,720.0,160.0,28.6,80.0,,
Nevada,Human Resources Specialists,1090.0,1280.0,190.0,17.4,140.0,,
Nevada,Labor Relations Specialists,350.0,340.0,-10.0,-2.9,30.0,,
Nevada,Logisticians,130.0,160.0,30.0,23.1,20.0,,
Nevada,Management Analysts,1730.0,2120.0,390.0,22.5,220.0,,
Nevada,"Meeting, Convention, and Event Planners",430.0,500.0,70.0,16.3,60.0,,
Nevada,Fundraisers,100.0,110.0,10.0,10.0,10.0,,
