Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
New Hampshire,"Total, All Occupations",704620.0,741890.0,37270.0,5.3,86350.0,,
New Hampshire,Chief Executives,820.0,790.0,-30.0,-3.7,50.0,,
New Hampshire,General and Operations Managers,13270.0,14330.0,1060.0,8.0,1300.0,,
New Hampshire,Legislators,350.0,370.0,20.0,5.7,30.0,,
New Hampshire,Advertising and Promotions Managers,50.0,50.0,0.0,0.0,0.0,,
New Hampshire,Marketing Managers,1200.0,1310.0,110.0,9.2,120.0,,
New Hampshire,Sales Managers,1660.0,1800.0,140.0,8.4,170.0,,
New Hampshire,Public Relations and Fundraising Managers,480.0,530.0,50.0,10.4,50.0,,
New Hampshire,Administrative Services Managers,950.0,1020.0,70.0,7.4,90.0,,
New Hampshire,Computer and Information Systems Managers,2500.0,2800.0,300.0,12.0,240.0,,
New Hampshire,Financial Managers,3700.0,4330.0,630.0,17.0,370.0,,
New Hampshire,Industrial Production Managers,1200.0,1220.0,20.0,1.7,90.0,,
New Hampshire,Purchasing Managers,480.0,500.0,20.0,4.2,40.0,,
New Hampshire,"Transportation, Storage, and Distribution Managers",470.0,490.0,20.0,4.3,40.0,,
New Hampshire,Compensation and Benefits Managers,80.0,80.0,0.0,0.0,10.0,,
New Hampshire,Human Resources Managers,700.0,760.0,60.0,8.6,70.0,,
New Hampshire,Training and Development Managers,160.0,160.0,0.0,0.0,20.0,,
New Hampshire,"Farmers, Ranchers, and Other Agricultural Managers",3990.0,3920.0,-70.0,-1.8,390.0,,
New Hampshire,Construction Managers,1910.0,2100.0,190.0,9.9,160.0,,
New Hampshire,"Education Administrators, Preschool and Childcare Center/Program",470.0,510.0,40.0,8.5,40.0,,
New Hampshire,"Education Administrators, Elementary and Secondary School",1460.0,1480.0,20.0,1.4,120.0,,
New Hampshire,"Education Administrators, Postsecondary",810.0,860.0,50.0,6.2,70.0,,
New Hampshire,"Education Administrators, All Other",70.0,90.0,20.0,28.6,10.0,,
New Hampshire,Architectural and Engineering Managers,1440.0,1530.0,90.0,6.3,120.0,,
New Hampshire,Food Service Managers,1490.0,1650.0,160.0,10.7,200.0,,
New Hampshire,Funeral Service Managers,70.0,80.0,10.0,14.3,10.0,,
New Hampshire,Lodging Managers,330.0,340.0,10.0,3.0,40.0,,
