Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
New Jersey,"Total, All Occupations",4400060.0,4649570.0,249510.0,5.7,537520.0,,
New Jersey,Chief Executives,840.0,800.0,-40.0,-4.8,50.0,,
New Jersey,General and Operations Managers,44460.0,47800.0,3340.0,7.5,4340.0,,
New Jersey,Legislators,2730.0,2760.0,30.0,1.1,210.0,,
New Jersey,Advertising and Promotions Managers,500.0,510.0,10.0,2.0,50.0,,
New Jersey,Marketing Managers,12120.0,13240.0,1120.0,9.2,1240.0,,
New Jersey,Sales Managers,14680.0,15560.0,880.0,6.0,1430.0,,
New Jersey,Public Relations and Fundraising Managers,2300.0,2510.0,210.0,9.1,230.0,,
New Jersey,Administrative Services Managers,11540.0,12350.0,810.0,7.0,1080.0,,
New Jersey,Computer and Information Systems Managers,14800.0,15870.0,1070.0,7.2,1300.0,,
New Jersey,Financial Managers,22520.0,26050.0,3530.0,15.7,2230.0,,
New Jersey,Industrial Production Managers,5330.0,5610.0,280.0,5.3,430.0,,
New Jersey,Purchasing Managers,1900.0,2050.0,150.0,7.9,180.0,,
New Jersey,"Transportation, Storage, and Distribution Managers",5600.0,6220.0,620.0,11.1,530.0,,
New Jersey,Compensation and Benefits Managers,380.0,400.0,20.0,5.3,40.0,,
New Jersey,Human Resources Managers,4200.0,4530.0,330.0,7.9,400.0,,
New Jersey,Training and Development Managers,1100.0,1210.0,110.0,10.0,110.0,,
New Jersey,Construction Managers,10150.0,10900.0,750.0,7.4,830.0,,
New Jersey,"Education Administrators, Preschool and Childcare Center/Program",2110.0,2380.0,270.0,12.8,200.0,,
New Jersey,"Education Administrators, Elementary and Secondary School",9810.0,10190.0,380.0,3.9,810.0,,
New Jersey,"Education Administrators, Postsecondary",2300.0,2470.0,170.0,7.4,200.0,,
New Jersey,"Education Administrators, All Other",570.0,640.0,70.0,12.3,50.0,,
New Jersey,Architectural and Engineering Managers,4130.0,4400.0,270.0,6.5,330.0,,
New Jersey,Food Service Managers,5540.0,6260.0,720.0,13.0,750.0,,
New Jersey,Funeral Service Managers,690.0,770.0,80.0,11.6,60.0,,
New Jersey,Gaming Managers,230.0,260.0,30.0,13.0,30.0,,
New Jersey,Lodging Managers,730.0,680.0,-50.0,-6.8,70.0,,
New Jersey,Medical and Health Services Managers,12430.0,14630.0,2200.0,17.7,1290.0,,
New Jersey,Natural Sciences Managers,4590.0,5030.0,440.0,9.6,470.0,,
New Jersey,Postmasters and Mail Superintendents,420.0,310.0,-110.0,-26.2,20.0,,
New Jersey,"Property, Real Estate, and Community Association Managers",8200.0,8410.0,210.0,2.6,660.0,,
New Jersey,Social and Community Service Managers,4190.0,4830.0,640.0,15.3,460.0,,
New Jersey,Emergency Management Directors,250.0,250.0,0.0,0.0,20.0,,
New Jersey,"Managers, All Other",41630.0,45070.0,3440.0,8.3,3630.0,,
New Jersey,"Agents and Business Managers of Artists, Performers, and Athletes",200.0,230.0,30.0,15.0,30.0,,
New Jersey,Buyers and Purchasing Agents,11750.0,11520.0,-230.0,-2.0,1190.0,,
New Jersey,"Claims Adjusters, Examiners, and Investigators",12080.0,11360.0,-720.0,-6.0,920.0,,
New Jersey,"Insurance Appraisers, Auto Damage",820.0,830.0,10.0,1.2,70.0,,
New Jersey,Compliance Officers,12630.0,13380.0,750.0,5.9,1210.0,,
New Jersey,Cost Estimators,5370.0,5820.0,450.0,8.4,600.0,,
New Jersey,Human Resources Specialists,17980.0,19160.0,1180.0,6.6,1980.0,,
New Jersey,Labor Relations Specialists,7390.0,6770.0,-620.0,-8.4,650.0,,
New Jersey,Logisticians,7640.0,8380.0,740.0,9.7,840.0,,
New Jersey,Management Analysts,17980.0,20260.0,2280.0,12.7,2030.0,,
New Jersey,"Meeting, Convention, and Event Planners",3650.0,4050.0,400.0,11.0,480.0,,
New Jersey,Fundraisers,1740.0,1910.0,170.0,9.8,210.0,,
New Jersey,"Compensation, Benefits, and Job Analysis Specialists",2310.0,2420.0,110.0,4.8,240.0,,
New Jersey,Training and Development Specialists,6810.0,7490.0,680.0,10.0,830.0,,
New Jersey,Market Research Analysts and Marketing Specialists,20290.0,24170.0,3880.0,19.1,2660.0,,
New Jersey,"Business Operations Specialists, All Other",45240.0,48310.0,3070.0,6.8,4800.0,,
