Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
New Mexico,"Total, All Occupations",875470.0,930280.0,54810.0,6.3,110190.0,,
New Mexico,General and Operations Managers,14070.0,15140.0,1070.0,7.6,1380.0,,
New Mexico,Advertising and Promotions Managers,110.0,120.0,10.0,9.1,10.0,,
New Mexico,Marketing Managers,380.0,410.0,30.0,7.9,40.0,,
New Mexico,Sales Managers,1040.0,1100.0,60.0,5.8,100.0,,
New Mexico,Public Relations and Fundraising Managers,200.0,220.0,20.0,10.0,20.0,,
New Mexico,Administrative Services Managers,1810.0,1940.0,130.0,7.2,170.0,,
New Mexico,Computer and Information Systems Managers,1090.0,1220.0,130.0,11.9,100.0,,
New Mexico,Financial Managers,2310.0,2670.0,360.0,15.6,230.0,,
New Mexico,Industrial Production Managers,400.0,410.0,10.0,2.5,30.0,,
New Mexico,Purchasing Managers,210.0,230.0,20.0,9.5,20.0,,
New Mexico,"Transportation, Storage, and Distribution Managers",390.0,400.0,10.0,2.6,30.0,,
New Mexico,Human Resources Managers,510.0,540.0,30.0,5.9,50.0,,
New Mexico,Training and Development Managers,100.0,110.0,10.0,10.0,10.0,,
New Mexico,Construction Managers,2580.0,2830.0,250.0,9.7,220.0,,
New Mexico,"Education Administrators, Preschool and Childcare Center/Program",320.0,330.0,10.0,3.1,30.0,,
New Mexico,"Education Administrators, Elementary and Secondary School",1540.0,1610.0,70.0,4.5,130.0,,
New Mexico,"Education Administrators, Postsecondary",620.0,670.0,50.0,8.1,60.0,,
New Mexico,"Education Administrators, All Other",260.0,270.0,10.0,3.8,20.0,,
New Mexico,Architectural and Engineering Managers,1610.0,1720.0,110.0,6.8,130.0,,
New Mexico,Food Service Managers,1600.0,1760.0,160.0,10.0,210.0,,
New Mexico,Funeral Service Managers,150.0,160.0,10.0,6.7,10.0,,
New Mexico,Gaming Managers,90.0,100.0,10.0,11.1,10.0,,
New Mexico,Lodging Managers,460.0,460.0,0.0,0.0,50.0,,
New Mexico,Medical and Health Services Managers,1790.0,2060.0,270.0,15.1,180.0,,
New Mexico,Natural Sciences Managers,350.0,360.0,10.0,2.9,30.0,,
New Mexico,Postmasters and Mail Superintendents,150.0,110.0,-40.0,-26.7,10.0,,
New Mexico,"Property, Real Estate, and Community Association Managers",1310.0,1430.0,120.0,9.2,120.0,,
New Mexico,Social and Community Service Managers,710.0,780.0,70.0,9.9,70.0,,
New Mexico,"Managers, All Other",6050.0,6430.0,380.0,6.3,510.0,,
New Mexico,Buyers and Purchasing Agents,1790.0,1650.0,-140.0,-7.8,170.0,,
New Mexico,"Claims Adjusters, Examiners, and Investigators",1020.0,970.0,-50.0,-4.9,80.0,,
New Mexico,Compliance Officers,1370.0,1420.0,50.0,3.6,130.0,,
New Mexico,Cost Estimators,1020.0,1120.0,100.0,9.8,120.0,,
New Mexico,Human Resources Specialists,2730.0,2860.0,130.0,4.8,290.0,,
New Mexico,Labor Relations Specialists,250.0,240.0,-10.0,-4.0,20.0,,
New Mexico,Logisticians,650.0,710.0,60.0,9.2,70.0,,
New Mexico,Management Analysts,3230.0,3750.0,520.0,16.1,380.0,,
New Mexico,"Meeting, Convention, and Event Planners",460.0,510.0,50.0,10.9,60.0,,
New Mexico,Fundraisers,340.0,370.0,30.0,8.8,40.0,,
New Mexico,"Compensation, Benefits, and Job Analysis Specialists",230.0,240.0,10.0,4.3,30.0,,
New Mexico,Training and Development Specialists,2060.0,2230.0,170.0,8.3,250.0,,
New Mexico,Market Research Analysts and Marketing Specialists,1590.0,1920.0,330.0,20.8,210.0,,
New Mexico,"Business Operations Specialists, All Other",6860.0,7290.0,430.0,6.3,720.0,,
New Mexico,Accountants and Auditors,6600.0,7040.0,440.0,6.7,680.0,,
New Mexico,Appraisers and Assessors of Real Estate,830.0,880.0,50.0,6.0,70.0,,
New Mexico,Budget Analysts,550.0,590.0,40.0,7.3,50.0,,
New Mexico,Credit Analysts,190.0,210.0,20.0,10.5,20.0,,
New Mexico,Financial Analysts,1070.0,1180.0,110.0,10.3,110.0,,
New Mexico,Personal Financial Advisors,640.0,690.0,50.0,7.8,60.0,,
New Mexico,Insurance Underwriters,140.0,130.0,-10.0,-7.1,10.0,,
New Mexico,Credit Counselors,490.0,520.0,30.0,6.1,40.0,,
New Mexico,Loan Officers,1490.0,1620.0,130.0,8.7,140.0,,
New Mexico,"Tax Examiners and Collectors, and Revenue Agents",200.0,200.0,0.0,0.0,20.0,,
New Mexico,Tax Preparers,490.0,520.0,30.0,6.1,60.0,,
New Mexico,"Financial Specialists, All Other",860.0,890.0,30.0,3.5,80.0,,
New Mexico,Computer and Information Research Scientists,770.0,990.0,220.0,28.6,90.0,,
New Mexico,Computer Systems Analysts,1770.0,1970.0,200.0,11.3,160.0,,
New Mexico,Information Security Analysts,840.0,1200.0,360.0,42.9,110.0,,
New Mexico,Computer Programmers,650.0,620.0,-30.0,-4.6,40.0,,
