Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
New York,"Total, All Occupations",10489880.0,11577400.0,1087520.0,10.4,1345500.0,,
New York,Chief Executives,14480.0,14290.0,-190.0,-1.3,1000.0,,
New York,General and Operations Managers,168650.0,184880.0,16230.0,9.6,16970.0,,
New York,Legislators,7000.0,7570.0,570.0,8.1,610.0,,
New York,Advertising and Promotions Managers,7360.0,8040.0,680.0,9.2,800.0,,
New York,Marketing Managers,18310.0,20160.0,1850.0,10.1,1890.0,,
New York,Sales Managers,23770.0,25300.0,1530.0,6.4,2330.0,,
New York,Public Relations and Fundraising Managers,7510.0,8740.0,1230.0,16.4,820.0,,
New York,Administrative Services Managers,19910.0,22950.0,3040.0,15.3,2090.0,,
New York,Computer and Information Systems Managers,29300.0,34180.0,4880.0,16.7,2960.0,,
New York,Financial Managers,44880.0,54630.0,9750.0,21.7,4810.0,,
New York,Industrial Production Managers,5480.0,5660.0,180.0,3.3,430.0,,
New York,Purchasing Managers,4220.0,4570.0,350.0,8.3,400.0,,
New York,"Transportation, Storage, and Distribution Managers",4160.0,4670.0,510.0,12.3,400.0,,
New York,Compensation and Benefits Managers,1590.0,1730.0,140.0,8.8,150.0,,
New York,Human Resources Managers,10860.0,12280.0,1420.0,13.1,1120.0,,
New York,Training and Development Managers,3610.0,4280.0,670.0,18.6,420.0,,
New York,"Farmers, Ranchers, and Other Agricultural Managers",43750.0,43490.0,-260.0,-0.6,4310.0,,
New York,Construction Managers,21670.0,23530.0,1860.0,8.6,1810.0,,
New York,"Education Administrators, Preschool and Childcare Center/Program",4790.0,6190.0,1400.0,29.2,570.0,,
New York,"Education Administrators, Elementary and Secondary School",21200.0,23070.0,1870.0,8.8,1900.0,,
New York,"Education Administrators, Postsecondary",18080.0,22990.0,4910.0,27.2,2080.0,,
New York,"Education Administrators, All Other",2390.0,2990.0,600.0,25.1,270.0,,
New York,Architectural and Engineering Managers,7540.0,8030.0,490.0,6.5,610.0,,
New York,Food Service Managers,16420.0,17530.0,1110.0,6.8,2060.0,,
New York,Funeral Service Managers,1390.0,1440.0,50.0,3.6,110.0,,
New York,Lodging Managers,1650.0,1650.0,0.0,0.0,170.0,,
New York,Medical and Health Services Managers,29560.0,37140.0,7580.0,25.6,3400.0,,
New York,Natural Sciences Managers,1450.0,1590.0,140.0,9.7,150.0,,
New York,Postmasters and Mail Superintendents,850.0,730.0,-120.0,-14.1,50.0,,
New York,"Property, Real Estate, and Community Association Managers",17480.0,18770.0,1290.0,7.4,1520.0,,
New York,Social and Community Service Managers,15160.0,19350.0,4190.0,27.6,1920.0,,
New York,Emergency Management Directors,790.0,880.0,90.0,11.4,70.0,,
New York,"Managers, All Other",50540.0,54660.0,4120.0,8.2,4400.0,,
New York,"Agents and Business Managers of Artists, Performers, and Athletes",3800.0,4190.0,390.0,10.3,500.0,,
New York,Buyers and Purchasing Agents,23100.0,22070.0,-1030.0,-4.5,2250.0,,
New York,"Claims Adjusters, Examiners, and Investigators",19800.0,19480.0,-320.0,-1.6,1630.0,,
