Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
North Carolina,"Total, All Occupations",4791820.0,5094160.0,302340.0,6.3,598040.0,,
North Carolina,Chief Executives,5040.0,4890.0,-150.0,-3.0,340.0,,
North Carolina,General and Operations Managers,55840.0,60850.0,5010.0,9.0,5570.0,,
North Carolina,Advertising and Promotions Managers,240.0,250.0,10.0,4.2,20.0,,
North Carolina,Marketing Managers,6460.0,7230.0,770.0,11.9,690.0,,
North Carolina,Sales Managers,7210.0,7620.0,410.0,5.7,700.0,,
North Carolina,Public Relations and Fundraising Managers,1320.0,1460.0,140.0,10.6,130.0,,
North Carolina,Administrative Services Managers,4620.0,5010.0,390.0,8.4,440.0,,
North Carolina,Computer and Information Systems Managers,13060.0,15090.0,2030.0,15.5,1300.0,,
North Carolina,Financial Managers,16590.0,20150.0,3560.0,21.5,1770.0,,
North Carolina,Industrial Production Managers,5830.0,5830.0,0.0,0.0,430.0,,
North Carolina,Purchasing Managers,2290.0,2470.0,180.0,7.9,220.0,,
North Carolina,"Transportation, Storage, and Distribution Managers",2650.0,2840.0,190.0,7.2,240.0,,
North Carolina,Compensation and Benefits Managers,620.0,680.0,60.0,9.7,60.0,,
North Carolina,Human Resources Managers,3710.0,4060.0,350.0,9.4,370.0,,
North Carolina,Training and Development Managers,730.0,800.0,70.0,9.6,80.0,,
North Carolina,"Farmers, Ranchers, and Other Agricultural Managers",31340.0,31260.0,-80.0,-0.3,3100.0,,
North Carolina,Construction Managers,19830.0,22460.0,2630.0,13.3,1780.0,,
North Carolina,"Education Administrators, Preschool and Childcare Center/Program",1870.0,2030.0,160.0,8.6,170.0,,
North Carolina,"Education Administrators, Elementary and Secondary School",7970.0,8300.0,330.0,4.1,660.0,,
North Carolina,"Education Administrators, Postsecondary",4750.0,4970.0,220.0,4.6,400.0,,
North Carolina,"Education Administrators, All Other",1400.0,1520.0,120.0,8.6,130.0,,
North Carolina,Architectural and Engineering Managers,4120.0,4330.0,210.0,5.1,330.0,,
North Carolina,Food Service Managers,9310.0,10440.0,1130.0,12.1,1250.0,,
North Carolina,Funeral Service Managers,630.0,690.0,60.0,9.5,60.0,,
North Carolina,Medical and Health Services Managers,9880.0,11480.0,1600.0,16.2,1010.0,,
North Carolina,Natural Sciences Managers,3010.0,3340.0,330.0,11.0,310.0,,
North Carolina,Postmasters and Mail Superintendents,460.0,390.0,-70.0,-15.2,30.0,,
North Carolina,"Property, Real Estate, and Community Association Managers",9440.0,10370.0,930.0,9.9,860.0,,
North Carolina,Social and Community Service Managers,3280.0,3850.0,570.0,17.4,370.0,,
North Carolina,Emergency Management Directors,200.0,210.0,10.0,5.0,20.0,,
North Carolina,"Managers, All Other",28310.0,31200.0,2890.0,10.2,2550.0,,
North Carolina,"Agents and Business Managers of Artists, Performers, and Athletes",500.0,550.0,50.0,10.0,70.0,,
North Carolina,Buyers and Purchasing Agents,11970.0,11370.0,-600.0,-5.0,1160.0,,
North Carolina,"Claims Adjusters, Examiners, and Investigators",9360.0,9220.0,-140.0,-1.5,770.0,,
North Carolina,Compliance Officers,7210.0,7920.0,710.0,9.8,730.0,,
North Carolina,Cost Estimators,6790.0,7570.0,780.0,11.5,790.0,,
North Carolina,Human Resources Specialists,17880.0,19040.0,1160.0,6.5,1970.0,,
North Carolina,Labor Relations Specialists,780.0,750.0,-30.0,-3.8,70.0,,
North Carolina,Logisticians,4870.0,5290.0,420.0,8.6,530.0,,
North Carolina,Management Analysts,21620.0,25160.0,3540.0,16.4,2560.0,,
North Carolina,"Meeting, Convention, and Event Planners",3820.0,4180.0,360.0,9.4,490.0,,
North Carolina,Fundraisers,2830.0,3140.0,310.0,11.0,340.0,,
North Carolina,"Compensation, Benefits, and Job Analysis Specialists",2730.0,3020.0,290.0,10.6,300.0,,
North Carolina,Training and Development Specialists,8040.0,8980.0,940.0,11.7,1010.0,,
North Carolina,Market Research Analysts and Marketing Specialists,18580.0,23030.0,4450.0,24.0,2570.0,,
North Carolina,"Business Operations Specialists, All Other",32040.0,35130.0,3090.0,9.6,3530.0,,
North Carolina,Accountants and Auditors,38020.0,41280.0,3260.0,8.6,4020.0,,
North Carolina,Appraisers and Assessors of Real Estate,2630.0,2880.0,250.0,9.5,230.0,,
North Carolina,Budget Analysts,1100.0,1170.0,70.0,6.4,100.0,,
North Carolina,Credit Analysts,2640.0,3000.0,360.0,13.6,290.0,,
North Carolina,Financial Analysts,9580.0,10890.0,1310.0,13.7,1000.0,,
North Carolina,Personal Financial Advisors,9880.0,12040.0,2160.0,21.9,1040.0,,
North Carolina,Insurance Underwriters,2200.0,2140.0,-60.0,-2.7,170.0,,
North Carolina,Financial Examiners,4210.0,4880.0,670.0,15.9,410.0,,
North Carolina,Credit Counselors,500.0,570.0,70.0,14.0,50.0,,
North Carolina,Loan Officers,14560.0,16630.0,2070.0,14.2,1510.0,,
North Carolina,"Tax Examiners and Collectors, and Revenue Agents",1560.0,1600.0,40.0,2.6,140.0,,
North Carolina,Tax Preparers,1670.0,1780.0,110.0,6.6,210.0,,
North Carolina,"Financial Specialists, All Other",3750.0,4200.0,450.0,12.0,390.0,,
North Carolina,Computer and Information Research Scientists,140.0,160.0,20.0,14.3,10.0,,
North Carolina,Computer Systems Analysts,27820.0,31370.0,3550.0,12.8,2490.0,,
North Carolina,Information Security Analysts,3660.0,4970.0,1310.0,35.8,440.0,,
North Carolina,Computer Programmers,6740.0,6380.0,-360.0,-5.3,420.0,,
North Carolina,"Software Developers, Applications",31940.0,41250.0,9310.0,29.1,3510.0,,
North Carolina,"Software Developers, Systems Software",7370.0,7840.0,470.0,6.4,580.0,,
North Carolina,Web Developers,4150.0,4860.0,710.0,17.1,410.0,,
North Carolina,Database Administrators,3050.0,3450.0,400.0,13.1,270.0,,
North Carolina,Network and Computer Systems Administrators,11900.0,12790.0,890.0,7.5,950.0,,
North Carolina,Computer Network Architects,4950.0,5080.0,130.0,2.6,360.0,,
North Carolina,Computer User Support Specialists,23850.0,26680.0,2830.0,11.9,2350.0,,
North Carolina,Computer Network Support Specialists,5450.0,5960.0,510.0,9.4,520.0,,
North Carolina,"Computer Occupations, All Other",6450.0,7140.0,690.0,10.7,560.0,,
North Carolina,Actuaries,250.0,300.0,50.0,20.0,20.0,,
North Carolina,Operations Research Analysts,3060.0,3890.0,830.0,27.1,310.0,,
North Carolina,Statisticians,1570.0,2140.0,570.0,36.3,200.0,,
North Carolina,"Architects, Except Landscape and Naval",3070.0,3420.0,350.0,11.4,290.0,,
North Carolina,Landscape Architects,510.0,540.0,30.0,5.9,40.0,,
North Carolina,Cartographers and Photogrammetrists,680.0,830.0,150.0,22.1,70.0,,
North Carolina,Surveyors,1200.0,1310.0,110.0,9.2,100.0,,
North Carolina,Aerospace Engineers,600.0,640.0,40.0,6.7,40.0,,
North Carolina,Biomedical Engineers,350.0,370.0,20.0,5.7,30.0,,
North Carolina,Chemical Engineers,900.0,980.0,80.0,8.9,70.0,,
North Carolina,Civil Engineers,9510.0,10320.0,810.0,8.5,850.0,,
North Carolina,Computer Hardware Engineers,1490.0,1590.0,100.0,6.7,120.0,,
North Carolina,Electrical Engineers,5230.0,5710.0,480.0,9.2,410.0,,
North Carolina,"Electronics Engineers, Except Computer",2900.0,2850.0,-50.0,-1.7,190.0,,
North Carolina,Environmental Engineers,1280.0,1370.0,90.0,7.0,110.0,,
North Carolina,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",590.0,650.0,60.0,10.2,50.0,,
North Carolina,Industrial Engineers,9260.0,10240.0,980.0,10.6,760.0,,
North Carolina,Materials Engineers,470.0,490.0,20.0,4.3,30.0,,
North Carolina,Mechanical Engineers,8240.0,8940.0,700.0,8.5,650.0,,
North Carolina,Nuclear Engineers,560.0,560.0,0.0,0.0,30.0,,
North Carolina,"Engineers, All Other",1650.0,1760.0,110.0,6.7,130.0,,
North Carolina,Architectural and Civil Drafters,2780.0,2880.0,100.0,3.6,300.0,,
North Carolina,Electrical and Electronics Drafters,730.0,770.0,40.0,5.5,80.0,,
North Carolina,Mechanical Drafters,1220.0,1180.0,-40.0,-3.3,120.0,,
North Carolina,"Drafters, All Other",200.0,210.0,10.0,5.0,20.0,,
North Carolina,Aerospace Engineering and Operations Technicians,70.0,80.0,10.0,14.3,10.0,,
North Carolina,Civil Engineering Technicians,3300.0,3510.0,210.0,6.4,350.0,,
North Carolina,Electrical and Electronics Engineering Technicians,2100.0,2160.0,60.0,2.9,210.0,,
North Carolina,Electro-Mechanical Technicians,130.0,140.0,10.0,7.7,10.0,,
North Carolina,Environmental Engineering Technicians,150.0,160.0,10.0,6.7,20.0,,
North Carolina,Industrial Engineering Technicians,2820.0,2860.0,40.0,1.4,280.0,,
North Carolina,Mechanical Engineering Technicians,1130.0,1220.0,90.0,8.0,120.0,,
North Carolina,"Engineering Technicians, Except Drafters, All Other",800.0,860.0,60.0,7.5,90.0,,
North Carolina,Surveying and Mapping Technicians,3660.0,3960.0,300.0,8.2,480.0,,
North Carolina,Animal Scientists,150.0,160.0,10.0,6.7,20.0,,
North Carolina,Food Scientists and Technologists,180.0,190.0,10.0,5.6,20.0,,
North Carolina,Soil and Plant Scientists,1040.0,1160.0,120.0,11.5,130.0,,
North Carolina,Biochemists and Biophysicists,400.0,420.0,20.0,5.0,40.0,,
North Carolina,Microbiologists,440.0,480.0,40.0,9.1,50.0,,
North Carolina,Zoologists and Wildlife Biologists,440.0,480.0,40.0,9.1,50.0,,
North Carolina,"Biological Scientists, All Other",1130.0,1180.0,50.0,4.4,110.0,,
North Carolina,Conservation Scientists,400.0,420.0,20.0,5.0,50.0,,
North Carolina,Foresters,380.0,370.0,-10.0,-2.6,40.0,,
North Carolina,Epidemiologists,100.0,100.0,0.0,0.0,10.0,,
North Carolina,"Medical Scientists, Except Epidemiologists",4590.0,5130.0,540.0,11.8,490.0,,
North Carolina,"Life Scientists, All Other",180.0,190.0,10.0,5.6,20.0,,
