Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
North Dakota,"Total, All Occupations",478940,496210,17270,3.6,57330,,
North Dakota,Chief Executives,2360,2210,-150,-6.4,150,,
North Dakota,General and Operations Managers,7540,8030,490,6.5,730,,
North Dakota,Marketing Managers,260,280,20,7.7,30,,
North Dakota,Sales Managers,520,550,30,5.8,50,,
North Dakota,Public Relations and Fundraising Managers,140,150,10,7.1,10,,
North Dakota,Administrative Services Managers,630,680,50,7.9,60,,
North Dakota,Computer and Information Systems Managers,530,580,50,9.4,50,,
North Dakota,Financial Managers,1540,1860,320,20.8,160,,
North Dakota,Industrial Production Managers,560,610,50,8.9,50,,
North Dakota,Purchasing Managers,110,130,20,18.2,10,,
North Dakota,"Transportation, Storage, and Distribution Managers",530,540,10,1.9,40,,
North Dakota,Compensation and Benefits Managers,10,20,10,100.0,0,,
North Dakota,Human Resources Managers,290,310,20,6.9,30,,
North Dakota,Training and Development Managers,70,70,0,0.0,10,,
North Dakota,"Farmers, Ranchers, and Other Agricultural Managers",22880,21270,-1610,-7.0,2030,,
North Dakota,Construction Managers,1540,1640,100,6.5,120,,
North Dakota,"Education Administrators, Preschool and Childcare Center/Program",230,250,20,8.7,20,,
North Dakota,"Education Administrators, Elementary and Secondary School",650,700,50,7.7,60,,
North Dakota,"Education Administrators, Postsecondary",470,460,-10,-2.1,30,,
North Dakota,"Education Administrators, All Other",180,180,0,0.0,20,,
North Dakota,Architectural and Engineering Managers,400,430,30,7.5,30,,
North Dakota,Food Service Managers,1040,1100,60,5.8,130,,
North Dakota,Funeral Service Managers,30,30,0,0.0,0,,
North Dakota,Gaming Managers,40,30,-10,-25.0,0,,
North Dakota,Lodging Managers,380,410,30,7.9,40,,
North Dakota,Medical and Health Services Managers,990,1160,170,17.2,100,,
North Dakota,Natural Sciences Managers,190,200,10,5.3,20,,
North Dakota,Postmasters and Mail Superintendents,90,70,-20,-22.2,0,,
North Dakota,"Property, Real Estate, and Community Association Managers",1080,1170,90,8.3,100,,
North Dakota,Social and Community Service Managers,740,780,40,5.4,70,,
North Dakota,Emergency Management Directors,90,90,0,0.0,10,,
North Dakota,"Managers, All Other",1800,1840,40,2.2,140,,
North Dakota,Buyers and Purchasing Agents,1200,1160,-40,-3.3,120,,
North Dakota,"Claims Adjusters, Examiners, and Investigators",710,680,-30,-4.2,60,,
North Dakota,Compliance Officers,1170,1270,100,8.5,120,,
North Dakota,Cost Estimators,730,800,70,9.6,80,,
North Dakota,Human Resources Specialists,1470,1580,110,7.5,160,,
North Dakota,Labor Relations Specialists,70,60,-10,-14.3,10,,
North Dakota,Logisticians,310,330,20,6.5,30,,
North Dakota,Management Analysts,620,710,90,14.5,70,,
North Dakota,"Meeting, Convention, and Event Planners",170,180,10,5.9,20,,
North Dakota,Fundraisers,260,280,20,7.7,30,,
North Dakota,"Compensation, Benefits, and Job Analysis Specialists",130,140,10,7.7,10,,
North Dakota,Training and Development Specialists,750,820,70,9.3,90,,
North Dakota,Market Research Analysts and Marketing Specialists,1050,1270,220,21.0,140,,
North Dakota,"Business Operations Specialists, All Other",2580,2760,180,7.0,270,,
North Dakota,Accountants and Auditors,3870,4180,310,8.0,410,,
North Dakota,Appraisers and Assessors of Real Estate,190,200,10,5.3,20,,
North Dakota,Budget Analysts,120,120,0,0.0,10,,
North Dakota,Credit Analysts,130,150,20,15.4,10,,
North Dakota,Financial Analysts,230,260,30,13.0,20,,
North Dakota,Personal Financial Advisors,460,520,60,13.0,40,,
North Dakota,Insurance Underwriters,220,220,0,0.0,20,,
North Dakota,Financial Examiners,180,190,10,5.6,20,,
North Dakota,Credit Counselors,40,50,10,25.0,0,,
North Dakota,Loan Officers,1400,1620,220,15.7,150,,
North Dakota,"Tax Examiners and Collectors, and Revenue Agents",80,90,10,12.5,10,,
North Dakota,Tax Preparers,230,270,40,17.4,30,,
North Dakota,"Financial Specialists, All Other",340,370,30,8.8,40,,
North Dakota,Computer Systems Analysts,710,790,80,11.3,60,,
North Dakota,Information Security Analysts,170,220,50,29.4,20,,
North Dakota,Computer Programmers,700,620,-80,-11.4,40,,
North Dakota,"Software Developers, Applications",1120,1410,290,25.9,120,,
North Dakota,"Software Developers, Systems Software",460,510,50,10.9,40,,
North Dakota,Web Developers,260,270,10,3.8,20,,
North Dakota,Database Administrators,140,150,10,7.1,10,,
North Dakota,Network and Computer Systems Administrators,650,690,40,6.2,50,,
North Dakota,Computer Network Architects,150,170,20,13.3,10,,
North Dakota,Computer User Support Specialists,1780,1990,210,11.8,180,,
North Dakota,Computer Network Support Specialists,700,760,60,8.6,70,,
North Dakota,"Computer Occupations, All Other",960,1060,100,10.4,80,,
North Dakota,Actuaries,20,20,0,0.0,0,,
North Dakota,Operations Research Analysts,110,140,30,27.3,10,,
North Dakota,Statisticians,80,110,30,37.5,10,,
North Dakota,"Architects, Except Landscape and Naval",210,230,20,9.5,20,,
North Dakota,Cartographers and Photogrammetrists,30,30,0,0.0,0,,
North Dakota,Surveyors,360,410,50,13.9,30,,
North Dakota,Agricultural Engineers,20,20,0,0.0,0,,
North Dakota,Chemical Engineers,60,60,0,0.0,0,,
North Dakota,Civil Engineers,1370,1490,120,8.8,120,,
North Dakota,Computer Hardware Engineers,30,30,0,0.0,0,,
North Dakota,Electrical Engineers,470,510,40,8.5,40,,
North Dakota,"Electronics Engineers, Except Computer",150,160,10,6.7,10,,
North Dakota,Environmental Engineers,150,160,10,6.7,10,,
North Dakota,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",90,80,-10,-11.1,10,,
North Dakota,Industrial Engineers,310,350,40,12.9,30,,
North Dakota,Materials Engineers,30,30,0,0.0,0,,
North Dakota,Mechanical Engineers,590,670,80,13.6,50,,
North Dakota,Petroleum Engineers,250,290,40,16.0,20,,
North Dakota,"Engineers, All Other",340,340,0,0.0,20,,
North Dakota,Architectural and Civil Drafters,390,390,0,0.0,40,,
North Dakota,Electrical and Electronics Drafters,50,60,10,20.0,10,,
North Dakota,Mechanical Drafters,110,100,-10,-9.1,10,,
North Dakota,"Drafters, All Other",30,40,10,33.3,0,,
North Dakota,Civil Engineering Technicians,470,510,40,8.5,50,,
North Dakota,Electrical and Electronics Engineering Technicians,280,270,-10,-3.6,30,,
North Dakota,Environmental Engineering Technicians,80,90,10,12.5,10,,
North Dakota,Industrial Engineering Technicians,170,180,10,5.9,20,,
North Dakota,Mechanical Engineering Technicians,60,70,10,16.7,10,,
North Dakota,"Engineering Technicians, Except Drafters, All Other",810,850,40,4.9,80,,
North Dakota,Surveying and Mapping Technicians,200,210,10,5.0,30,,
