Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Ohio,"Total, All Occupations",5860010.0,5998700.0,138690.0,2.4,685260.0,,
Ohio,Chief Executives,5650.0,5160.0,-490.0,-8.7,340.0,,
Ohio,General and Operations Managers,59890.0,62230.0,2340.0,3.9,5540.0,,
Ohio,Legislators,2630.0,2650.0,20.0,0.8,200.0,,
Ohio,Advertising and Promotions Managers,400.0,380.0,-20.0,-5.0,40.0,,
Ohio,Marketing Managers,6840.0,7210.0,370.0,5.4,660.0,,
Ohio,Sales Managers,11080.0,11380.0,300.0,2.7,1030.0,,
Ohio,Public Relations and Fundraising Managers,1970.0,2080.0,110.0,5.6,180.0,,
Ohio,Administrative Services Managers,11570.0,12200.0,630.0,5.4,1050.0,,
Ohio,Computer and Information Systems Managers,13670.0,14660.0,990.0,7.2,1200.0,,
Ohio,Financial Managers,20760.0,23650.0,2890.0,13.9,2000.0,,
Ohio,Industrial Production Managers,11830.0,11870.0,40.0,0.3,870.0,,
Ohio,Purchasing Managers,2290.0,2390.0,100.0,4.4,200.0,,
Ohio,"Transportation, Storage, and Distribution Managers",5340.0,5770.0,430.0,8.1,480.0,,
Ohio,Compensation and Benefits Managers,540.0,540.0,0.0,0.0,50.0,,
Ohio,Human Resources Managers,4600.0,4860.0,260.0,5.7,430.0,,
Ohio,Training and Development Managers,870.0,920.0,50.0,5.7,80.0,,
Ohio,"Farmers, Ranchers, and Other Agricultural Managers",81500.0,85880.0,4380.0,5.4,8750.0,,
Ohio,Construction Managers,15050.0,16340.0,1290.0,8.6,1260.0,,
Ohio,"Education Administrators, Preschool and Childcare Center/Program",2370.0,2520.0,150.0,6.3,200.0,,
Ohio,"Education Administrators, Elementary and Secondary School",9600.0,9660.0,60.0,0.6,750.0,,
Ohio,"Education Administrators, Postsecondary",4830.0,4920.0,90.0,1.9,390.0,,
Ohio,"Education Administrators, All Other",970.0,1020.0,50.0,5.2,80.0,,
Ohio,Architectural and Engineering Managers,6320.0,6480.0,160.0,2.5,480.0,,
Ohio,Food Service Managers,12870.0,13470.0,600.0,4.7,1570.0,,
Ohio,Funeral Service Managers,1270.0,1300.0,30.0,2.4,100.0,,
Ohio,Gaming Managers,40.0,40.0,0.0,0.0,0.0,,
Ohio,Lodging Managers,1840.0,1890.0,50.0,2.7,200.0,,
Ohio,Medical and Health Services Managers,15550.0,17720.0,2170.0,14.0,1540.0,,
Ohio,Natural Sciences Managers,1010.0,1060.0,50.0,5.0,100.0,,
Ohio,Postmasters and Mail Superintendents,470.0,340.0,-130.0,-27.7,20.0,,
Ohio,"Property, Real Estate, and Community Association Managers",10990.0,11610.0,620.0,5.6,930.0,,
Ohio,Social and Community Service Managers,5380.0,6020.0,640.0,11.9,560.0,,
Ohio,Emergency Management Directors,340.0,350.0,10.0,2.9,30.0,,
Ohio,"Managers, All Other",31780.0,33750.0,1970.0,6.2,2680.0,,
Ohio,"Agents and Business Managers of Artists, Performers, and Athletes",90.0,90.0,0.0,0.0,10.0,,
Ohio,Buyers and Purchasing Agents,18580.0,17110.0,-1470.0,-7.9,1710.0,,
Ohio,"Claims Adjusters, Examiners, and Investigators",12400.0,11840.0,-560.0,-4.5,970.0,,
Ohio,"Insurance Appraisers, Auto Damage",520.0,550.0,30.0,5.8,50.0,,
Ohio,Compliance Officers,8060.0,8440.0,380.0,4.7,760.0,,
Ohio,Cost Estimators,10150.0,10910.0,760.0,7.5,1110.0,,
Ohio,Human Resources Specialists,24110.0,25060.0,950.0,3.9,2560.0,,
Ohio,Labor Relations Specialists,5770.0,5160.0,-610.0,-10.6,490.0,,
Ohio,Logisticians,6470.0,6720.0,250.0,3.9,650.0,,
Ohio,Management Analysts,24080.0,27000.0,2920.0,12.1,2700.0,,
Ohio,"Meeting, Convention, and Event Planners",3550.0,3710.0,160.0,4.5,430.0,,
Ohio,Fundraisers,4670.0,4960.0,290.0,6.2,530.0,,
Ohio,"Compensation, Benefits, and Job Analysis Specialists",3140.0,3380.0,240.0,7.6,330.0,,
Ohio,Training and Development Specialists,11100.0,11980.0,880.0,7.9,1330.0,,
Ohio,Market Research Analysts and Marketing Specialists,25270.0,29520.0,4250.0,16.8,3230.0,,
Ohio,"Business Operations Specialists, All Other",37900.0,39560.0,1660.0,4.4,3880.0,,
Ohio,Accountants and Auditors,50100.0,51340.0,1240.0,2.5,4850.0,,
Ohio,Appraisers and Assessors of Real Estate,2300.0,2420.0,120.0,5.2,190.0,,
Ohio,Budget Analysts,1000.0,1040.0,40.0,4.0,80.0,,
Ohio,Credit Analysts,2930.0,3100.0,170.0,5.8,290.0,,
Ohio,Financial Analysts,9570.0,10120.0,550.0,5.7,890.0,,
Ohio,Personal Financial Advisors,8100.0,8740.0,640.0,7.9,700.0,,
Ohio,Insurance Underwriters,5170.0,4760.0,-410.0,-7.9,370.0,,
Ohio,Financial Examiners,2660.0,2890.0,230.0,8.6,230.0,,
Ohio,Credit Counselors,1000.0,1030.0,30.0,3.0,90.0,,
Ohio,Loan Officers,11850.0,12730.0,880.0,7.4,1120.0,,
Ohio,"Tax Examiners and Collectors, and Revenue Agents",1370.0,1320.0,-50.0,-3.6,110.0,,
Ohio,Tax Preparers,2260.0,2210.0,-50.0,-2.2,250.0,,
Ohio,"Financial Specialists, All Other",5720.0,6030.0,310.0,5.4,540.0,,
Ohio,Computer and Information Research Scientists,490.0,530.0,40.0,8.2,40.0,,
Ohio,Computer Systems Analysts,30220.0,31950.0,1730.0,5.7,2420.0,,
Ohio,Information Security Analysts,3520.0,4540.0,1020.0,29.0,390.0,,
Ohio,Computer Programmers,5390.0,4810.0,-580.0,-10.8,300.0,,
Ohio,"Software Developers, Applications",35860.0,42810.0,6950.0,19.4,3470.0,,
Ohio,"Software Developers, Systems Software",5590.0,5850.0,260.0,4.7,430.0,,
Ohio,Web Developers,4860.0,5130.0,270.0,5.6,410.0,,
Ohio,Database Administrators,3710.0,3940.0,230.0,6.2,290.0,,
Ohio,Network and Computer Systems Administrators,12130.0,12190.0,60.0,0.5,860.0,,
Ohio,Computer Network Architects,4950.0,4960.0,10.0,0.2,350.0,,
Ohio,Computer User Support Specialists,21150.0,22360.0,1210.0,5.7,1910.0,,
Ohio,Computer Network Support Specialists,8500.0,8810.0,310.0,3.6,740.0,,
Ohio,"Computer Occupations, All Other",12630.0,13560.0,930.0,7.4,1040.0,,
Ohio,Actuaries,1640.0,2010.0,370.0,22.6,150.0,,
Ohio,Mathematicians,40.0,50.0,10.0,25.0,10.0,,
Ohio,Operations Research Analysts,3830.0,4650.0,820.0,21.4,360.0,,
Ohio,Statisticians,900.0,1140.0,240.0,26.7,100.0,,
Ohio,Miscellaneous Mathematical Science Occupations,60.0,60.0,0.0,0.0,10.0,,
Ohio,"Architects, Except Landscape and Naval",3900.0,4110.0,210.0,5.4,330.0,,
Ohio,Landscape Architects,930.0,940.0,10.0,1.1,70.0,,
Ohio,Cartographers and Photogrammetrists,100.0,110.0,10.0,10.0,10.0,,
Ohio,Surveyors,1350.0,1390.0,40.0,3.0,110.0,,
Ohio,Aerospace Engineers,4180.0,4340.0,160.0,3.8,290.0,,
Ohio,Agricultural Engineers,100.0,100.0,0.0,0.0,10.0,,
Ohio,Biomedical Engineers,630.0,640.0,10.0,1.6,50.0,,
Ohio,Chemical Engineers,1710.0,1800.0,90.0,5.3,120.0,,
Ohio,Civil Engineers,8620.0,8910.0,290.0,3.4,710.0,,
