Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Oklahoma,"Total, All Occupations",1802040.0,1876530.0,74490.0,4.1,216860.0,,
Oklahoma,Chief Executives,5110.0,4760.0,-350.0,-6.8,320.0,,
Oklahoma,General and Operations Managers,28030.0,29660.0,1630.0,5.8,2670.0,,
Oklahoma,Legislators,950.0,1020.0,70.0,7.4,80.0,,
Oklahoma,Advertising and Promotions Managers,140.0,140.0,0.0,0.0,10.0,,
Oklahoma,Marketing Managers,1490.0,1580.0,90.0,6.0,140.0,,
Oklahoma,Sales Managers,3070.0,3150.0,80.0,2.6,280.0,,
Oklahoma,Public Relations and Fundraising Managers,830.0,890.0,60.0,7.2,80.0,,
Oklahoma,Administrative Services Managers,7280.0,7700.0,420.0,5.8,670.0,,
Oklahoma,Computer and Information Systems Managers,3740.0,3960.0,220.0,5.9,320.0,,
Oklahoma,Financial Managers,7000.0,7990.0,990.0,14.1,680.0,,
Oklahoma,Industrial Production Managers,1930.0,2000.0,70.0,3.6,150.0,,
Oklahoma,Purchasing Managers,540.0,560.0,20.0,3.7,50.0,,
Oklahoma,"Transportation, Storage, and Distribution Managers",1650.0,1700.0,50.0,3.0,140.0,,
Oklahoma,Compensation and Benefits Managers,140.0,140.0,0.0,0.0,10.0,,
Oklahoma,Human Resources Managers,1440.0,1510.0,70.0,4.9,130.0,,
Oklahoma,Training and Development Managers,440.0,460.0,20.0,4.5,40.0,,
Oklahoma,"Farmers, Ranchers, and Other Agricultural Managers",10980.0,10930.0,-50.0,-0.5,1080.0,,
Oklahoma,Construction Managers,4230.0,4540.0,310.0,7.3,350.0,,
Oklahoma,"Education Administrators, Preschool and Childcare Center/Program",800.0,880.0,80.0,10.0,70.0,,
Oklahoma,"Education Administrators, Elementary and Secondary School",3220.0,3330.0,110.0,3.4,270.0,,
Oklahoma,"Education Administrators, Postsecondary",2550.0,2680.0,130.0,5.1,220.0,,
Oklahoma,"Education Administrators, All Other",360.0,370.0,10.0,2.8,30.0,,
Oklahoma,Architectural and Engineering Managers,2020.0,2070.0,50.0,2.5,150.0,,
Oklahoma,Food Service Managers,5080.0,5640.0,560.0,11.0,670.0,,
Oklahoma,Funeral Service Managers,450.0,470.0,20.0,4.4,40.0,,
Oklahoma,Gaming Managers,570.0,610.0,40.0,7.0,70.0,,
Oklahoma,Lodging Managers,710.0,730.0,20.0,2.8,80.0,,
