Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Oregon,"Total, All Occupations",2130020.0,2365260.0,235240.0,11.0,282060.0,,
Oregon,Chief Executives,1450.0,1400.0,-50.0,-3.4,100.0,,
Oregon,General and Operations Managers,33390.0,38060.0,4670.0,14.0,3570.0,,
Oregon,Legislators,250.0,250.0,0.0,0.0,20.0,,
Oregon,Advertising and Promotions Managers,320.0,370.0,50.0,15.6,40.0,,
Oregon,Marketing Managers,4820.0,5730.0,910.0,18.9,560.0,,
Oregon,Sales Managers,5900.0,6750.0,850.0,14.4,650.0,,
Oregon,Public Relations and Fundraising Managers,1320.0,1480.0,160.0,12.1,140.0,,
Oregon,Administrative Services Managers,4260.0,4760.0,500.0,11.7,430.0,,
Oregon,Computer and Information Systems Managers,5470.0,6460.0,990.0,18.1,560.0,,
Oregon,Financial Managers,7940.0,9770.0,1830.0,23.0,870.0,,
Oregon,Industrial Production Managers,2890.0,3220.0,330.0,11.4,260.0,,
Oregon,Purchasing Managers,1280.0,1510.0,230.0,18.0,140.0,,
Oregon,"Transportation, Storage, and Distribution Managers",2260.0,2630.0,370.0,16.4,230.0,,
Oregon,Compensation and Benefits Managers,140.0,150.0,10.0,7.1,10.0,,
Oregon,Human Resources Managers,2310.0,2650.0,340.0,14.7,240.0,,
Oregon,Training and Development Managers,290.0,330.0,40.0,13.8,30.0,,
Oregon,"Farmers, Ranchers, and Other Agricultural Managers",5520.0,5770.0,250.0,4.5,590.0,,
Oregon,Construction Managers,5770.0,6770.0,1000.0,17.3,550.0,,
Oregon,"Education Administrators, Preschool and Childcare Center/Program",1220.0,1470.0,250.0,20.5,130.0,,
Oregon,"Education Administrators, Elementary and Secondary School",3070.0,3320.0,250.0,8.1,270.0,,
Oregon,"Education Administrators, Postsecondary",1730.0,1840.0,110.0,6.4,150.0,,
Oregon,"Education Administrators, All Other",400.0,480.0,80.0,20.0,40.0,,
Oregon,Architectural and Engineering Managers,3640.0,4140.0,500.0,13.7,330.0,,
Oregon,Food Service Managers,5660.0,6450.0,790.0,14.0,770.0,,
Oregon,Funeral Service Managers,30.0,30.0,0.0,0.0,0.0,,
Oregon,Gaming Managers,50.0,60.0,10.0,20.0,10.0,,
Oregon,Lodging Managers,990.0,1130.0,140.0,14.1,120.0,,
Oregon,Medical and Health Services Managers,4950.0,5930.0,980.0,19.8,530.0,,
Oregon,Natural Sciences Managers,1220.0,1370.0,150.0,12.3,130.0,,
Oregon,Postmasters and Mail Superintendents,220.0,210.0,-10.0,-4.5,20.0,,
Oregon,"Property, Real Estate, and Community Association Managers",6190.0,6840.0,650.0,10.5,570.0,,
Oregon,Social and Community Service Managers,3400.0,3900.0,500.0,14.7,370.0,,
Oregon,Emergency Management Directors,90.0,100.0,10.0,11.1,10.0,,
Oregon,"Managers, All Other",13150.0,14950.0,1800.0,13.7,1250.0,,
Oregon,"Agents and Business Managers of Artists, Performers, and Athletes",140.0,150.0,10.0,7.1,20.0,,
Oregon,Buyers and Purchasing Agents,5600.0,5650.0,50.0,0.9,590.0,,
Oregon,"Claims Adjusters, Examiners, and Investigators",3300.0,3050.0,-250.0,-7.6,240.0,,
Oregon,Compliance Officers,2880.0,3210.0,330.0,11.5,300.0,,
Oregon,Cost Estimators,3100.0,3600.0,500.0,16.1,380.0,,
Oregon,Human Resources Specialists,7020.0,7780.0,760.0,10.8,820.0,,
Oregon,Labor Relations Specialists,1180.0,1160.0,-20.0,-1.7,120.0,,
Oregon,Logisticians,2130.0,2460.0,330.0,15.5,250.0,,
Oregon,Management Analysts,9980.0,12240.0,2260.0,22.6,1270.0,,
Oregon,"Meeting, Convention, and Event Planners",1540.0,1740.0,200.0,13.0,210.0,,
Oregon,Fundraisers,840.0,970.0,130.0,15.5,110.0,,
Oregon,"Compensation, Benefits, and Job Analysis Specialists",840.0,950.0,110.0,13.1,100.0,,
Oregon,Training and Development Specialists,3670.0,4260.0,590.0,16.1,480.0,,
Oregon,Market Research Analysts and Marketing Specialists,7640.0,10020.0,2380.0,31.2,1140.0,,
Oregon,"Business Operations Specialists, All Other",16890.0,19110.0,2220.0,13.1,1950.0,,
Oregon,Accountants and Auditors,13510.0,15210.0,1700.0,12.6,1510.0,,
Oregon,Appraisers and Assessors of Real Estate,1460.0,1590.0,130.0,8.9,130.0,,
Oregon,Budget Analysts,670.0,730.0,60.0,9.0,60.0,,
Oregon,Credit Analysts,770.0,820.0,50.0,6.5,80.0,,
Oregon,Financial Analysts,2570.0,3000.0,430.0,16.7,280.0,,
Oregon,Personal Financial Advisors,2970.0,3550.0,580.0,19.5,300.0,,
Oregon,Insurance Underwriters,770.0,690.0,-80.0,-10.4,50.0,,
