Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Pennsylvania,"Total, All Occupations",6329070.0,6647750.0,318680.0,5.0,771500.0,,
Pennsylvania,Chief Executives,9500.0,8880.0,-620.0,-6.5,590.0,,
Pennsylvania,General and Operations Managers,82580.0,88220.0,5640.0,6.8,7980.0,,
Pennsylvania,Legislators,1880.0,1950.0,70.0,3.7,150.0,,
Pennsylvania,Advertising and Promotions Managers,530.0,550.0,20.0,3.8,50.0,,
Pennsylvania,Marketing Managers,7990.0,8580.0,590.0,7.4,790.0,,
Pennsylvania,Sales Managers,8850.0,9330.0,480.0,5.4,860.0,,
Pennsylvania,Public Relations and Fundraising Managers,1740.0,1870.0,130.0,7.5,170.0,,
Pennsylvania,Administrative Services Managers,7590.0,8150.0,560.0,7.4,710.0,,
Pennsylvania,Computer and Information Systems Managers,13760.0,15020.0,1260.0,9.2,1250.0,,
Pennsylvania,Financial Managers,18770.0,21800.0,3030.0,16.1,1870.0,,
Pennsylvania,Industrial Production Managers,6650.0,6830.0,180.0,2.7,510.0,,
Pennsylvania,Purchasing Managers,2280.0,2400.0,120.0,5.3,210.0,,
Pennsylvania,"Transportation, Storage, and Distribution Managers",3840.0,4160.0,320.0,8.3,350.0,,
Pennsylvania,Compensation and Benefits Managers,410.0,430.0,20.0,4.9,40.0,,
Pennsylvania,Human Resources Managers,5070.0,5450.0,380.0,7.5,480.0,,
Pennsylvania,Training and Development Managers,1010.0,1090.0,80.0,7.9,100.0,,
Pennsylvania,"Farmers, Ranchers, and Other Agricultural Managers",40600.0,39530.0,-1070.0,-2.6,3870.0,,
Pennsylvania,Construction Managers,15100.0,16220.0,1120.0,7.4,1240.0,,
Pennsylvania,"Education Administrators, Preschool and Childcare Center/Program",3120.0,3320.0,200.0,6.4,270.0,,
Pennsylvania,"Education Administrators, Elementary and Secondary School",8290.0,8930.0,640.0,7.7,730.0,,
Pennsylvania,"Education Administrators, Postsecondary",4970.0,5290.0,320.0,6.4,430.0,,
Pennsylvania,"Education Administrators, All Other",1230.0,1310.0,80.0,6.5,110.0,,
Pennsylvania,Architectural and Engineering Managers,6710.0,7120.0,410.0,6.1,540.0,,
Pennsylvania,Food Service Managers,8860.0,9610.0,750.0,8.5,1130.0,,
Pennsylvania,Funeral Service Managers,1000.0,1040.0,40.0,4.0,80.0,,
Pennsylvania,Gaming Managers,120.0,130.0,10.0,8.3,20.0,,
Pennsylvania,Lodging Managers,1650.0,1690.0,40.0,2.4,180.0,,
Pennsylvania,Medical and Health Services Managers,14890.0,17820.0,2930.0,19.7,1590.0,,
Pennsylvania,Natural Sciences Managers,2380.0,2550.0,170.0,7.1,240.0,,
Pennsylvania,Postmasters and Mail Superintendents,760.0,610.0,-150.0,-19.7,40.0,,
Pennsylvania,"Property, Real Estate, and Community Association Managers",5180.0,5470.0,290.0,5.6,440.0,,
Pennsylvania,Social and Community Service Managers,9340.0,10250.0,910.0,9.7,940.0,,
Pennsylvania,Emergency Management Directors,460.0,470.0,10.0,2.2,40.0,,
Pennsylvania,"Managers, All Other",25200.0,26400.0,1200.0,4.8,2080.0,,
Pennsylvania,"Agents and Business Managers of Artists, Performers, and Athletes",180.0,180.0,0.0,0.0,20.0,,
Pennsylvania,Buyers and Purchasing Agents,15440.0,14420.0,-1020.0,-6.6,1450.0,,
Pennsylvania,"Claims Adjusters, Examiners, and Investigators",13680.0,13030.0,-650.0,-4.8,1060.0,,
Pennsylvania,"Insurance Appraisers, Auto Damage",690.0,700.0,10.0,1.4,60.0,,
Pennsylvania,Compliance Officers,13830.0,14670.0,840.0,6.1,1330.0,,
Pennsylvania,Cost Estimators,8780.0,9390.0,610.0,6.9,960.0,,
Pennsylvania,Human Resources Specialists,24920.0,26450.0,1530.0,6.1,2730.0,,
Pennsylvania,Farm Labor Contractors,70.0,80.0,10.0,14.3,10.0,,
Pennsylvania,Labor Relations Specialists,4660.0,4330.0,-330.0,-7.1,420.0,,
Pennsylvania,Logisticians,6470.0,6930.0,460.0,7.1,680.0,,
Pennsylvania,Management Analysts,31720.0,35350.0,3630.0,11.4,3520.0,,
Pennsylvania,"Meeting, Convention, and Event Planners",4520.0,4820.0,300.0,6.6,560.0,,
Pennsylvania,Fundraisers,3990.0,4300.0,310.0,7.8,460.0,,
Pennsylvania,"Compensation, Benefits, and Job Analysis Specialists",3270.0,3540.0,270.0,8.3,350.0,,
Pennsylvania,Training and Development Specialists,9940.0,10760.0,820.0,8.2,1190.0,,
Pennsylvania,Market Research Analysts and Marketing Specialists,26820.0,30090.0,3270.0,12.2,3240.0,,
Pennsylvania,"Business Operations Specialists, All Other",18370.0,19210.0,840.0,4.6,1890.0,,
Pennsylvania,Accountants and Auditors,57540.0,61020.0,3480.0,6.0,5870.0,,
Pennsylvania,Appraisers and Assessors of Real Estate,1500.0,1610.0,110.0,7.3,130.0,,
Pennsylvania,Budget Analysts,1580.0,1640.0,60.0,3.8,130.0,,
Pennsylvania,Credit Analysts,2330.0,2440.0,110.0,4.7,230.0,,
Pennsylvania,Financial Analysts,12570.0,13540.0,970.0,7.7,1210.0,,
Pennsylvania,Personal Financial Advisors,11040.0,12170.0,1130.0,10.2,990.0,,
Pennsylvania,Insurance Underwriters,4770.0,4490.0,-280.0,-5.9,360.0,,
Pennsylvania,Financial Examiners,1520.0,1610.0,90.0,5.9,130.0,,
Pennsylvania,Credit Counselors,1800.0,1960.0,160.0,8.9,170.0,,
Pennsylvania,Loan Officers,12310.0,13030.0,720.0,5.8,1130.0,,
Pennsylvania,"Tax Examiners and Collectors, and Revenue Agents",2780.0,2790.0,10.0,0.4,230.0,,
Pennsylvania,Tax Preparers,2410.0,2520.0,110.0,4.6,290.0,,
Pennsylvania,"Financial Specialists, All Other",3460.0,3660.0,200.0,5.8,330.0,,
Pennsylvania,Computer and Information Research Scientists,610.0,670.0,60.0,9.8,60.0,,
Pennsylvania,Computer Systems Analysts,23170.0,24590.0,1420.0,6.1,1870.0,,
Pennsylvania,Information Security Analysts,3010.0,3820.0,810.0,26.9,330.0,,
Pennsylvania,Computer Programmers,12290.0,11110.0,-1180.0,-9.6,700.0,,
Pennsylvania,"Software Developers, Applications",29510.0,35790.0,6280.0,21.3,2930.0,,
Pennsylvania,"Software Developers, Systems Software",9130.0,9930.0,800.0,8.8,750.0,,
Pennsylvania,Web Developers,5660.0,6190.0,530.0,9.4,500.0,,
Pennsylvania,Database Administrators,5570.0,6020.0,450.0,8.1,460.0,,
Pennsylvania,Network and Computer Systems Administrators,13150.0,13590.0,440.0,3.3,980.0,,
Pennsylvania,Computer Network Architects,7360.0,7590.0,230.0,3.1,540.0,,
Pennsylvania,Computer User Support Specialists,27120.0,29610.0,2490.0,9.2,2570.0,,
Pennsylvania,Computer Network Support Specialists,6660.0,6930.0,270.0,4.1,580.0,,
Pennsylvania,"Computer Occupations, All Other",13030.0,13940.0,910.0,7.0,1070.0,,
Pennsylvania,Actuaries,1670.0,2060.0,390.0,23.4,150.0,,
Pennsylvania,Operations Research Analysts,2920.0,3630.0,710.0,24.3,280.0,,
Pennsylvania,Statisticians,3400.0,4460.0,1060.0,31.2,410.0,,
Pennsylvania,"Architects, Except Landscape and Naval",4980.0,5280.0,300.0,6.0,420.0,,
Pennsylvania,Landscape Architects,840.0,880.0,40.0,4.8,70.0,,
Pennsylvania,Cartographers and Photogrammetrists,120.0,130.0,10.0,8.3,10.0,,
Pennsylvania,Surveyors,1750.0,1900.0,150.0,8.6,150.0,,
Pennsylvania,Aerospace Engineers,1290.0,1390.0,100.0,7.8,100.0,,
Pennsylvania,Biomedical Engineers,1190.0,1240.0,50.0,4.2,90.0,,
Pennsylvania,Chemical Engineers,1340.0,1460.0,120.0,9.0,100.0,,
Pennsylvania,Civil Engineers,13700.0,14820.0,1120.0,8.2,1220.0,,
Pennsylvania,Computer Hardware Engineers,2410.0,2610.0,200.0,8.3,200.0,,
Pennsylvania,Electrical Engineers,8850.0,9500.0,650.0,7.3,670.0,,
Pennsylvania,"Electronics Engineers, Except Computer",4260.0,4440.0,180.0,4.2,300.0,,
Pennsylvania,Environmental Engineers,3100.0,3280.0,180.0,5.8,260.0,,
Pennsylvania,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1020.0,1080.0,60.0,5.9,80.0,,
Pennsylvania,Industrial Engineers,9390.0,10290.0,900.0,9.6,760.0,,
Pennsylvania,Materials Engineers,1750.0,1820.0,70.0,4.0,120.0,,
Pennsylvania,Mechanical Engineers,16630.0,17760.0,1130.0,6.8,1280.0,,
Pennsylvania,"Mining and Geological Engineers, Including Mining Safety Engineers",340.0,350.0,10.0,2.9,30.0,,
Pennsylvania,Nuclear Engineers,1900.0,1860.0,-40.0,-2.1,120.0,,
Pennsylvania,Petroleum Engineers,910.0,960.0,50.0,5.5,70.0,,
Pennsylvania,"Engineers, All Other",4990.0,5250.0,260.0,5.2,380.0,,
Pennsylvania,Architectural and Civil Drafters,4800.0,5000.0,200.0,4.2,530.0,,
Pennsylvania,Electrical and Electronics Drafters,1170.0,1230.0,60.0,5.1,130.0,,
Pennsylvania,Mechanical Drafters,3310.0,3160.0,-150.0,-4.5,320.0,,
Pennsylvania,Civil Engineering Technicians,2510.0,2740.0,230.0,9.2,280.0,,
Pennsylvania,Electrical and Electronics Engineering Technicians,4840.0,4990.0,150.0,3.1,490.0,,
Pennsylvania,Electro-Mechanical Technicians,640.0,680.0,40.0,6.3,70.0,,
Pennsylvania,Environmental Engineering Technicians,870.0,940.0,70.0,8.0,100.0,,
Pennsylvania,Industrial Engineering Technicians,2480.0,2550.0,70.0,2.8,250.0,,
Pennsylvania,Mechanical Engineering Technicians,2680.0,2860.0,180.0,6.7,290.0,,
Pennsylvania,"Engineering Technicians, Except Drafters, All Other",3880.0,4020.0,140.0,3.6,400.0,,
Pennsylvania,Surveying and Mapping Technicians,1800.0,1920.0,120.0,6.7,230.0,,
Pennsylvania,Animal Scientists,70.0,80.0,10.0,14.3,10.0,,
Pennsylvania,Food Scientists and Technologists,360.0,380.0,20.0,5.6,40.0,,
Pennsylvania,Soil and Plant Scientists,290.0,310.0,20.0,6.9,40.0,,
Pennsylvania,Biochemists and Biophysicists,1150.0,1230.0,80.0,7.0,120.0,,
Pennsylvania,Microbiologists,1030.0,1090.0,60.0,5.8,100.0,,
Pennsylvania,Zoologists and Wildlife Biologists,330.0,340.0,10.0,3.0,30.0,,
Pennsylvania,"Biological Scientists, All Other",960.0,1000.0,40.0,4.2,90.0,,
Pennsylvania,Conservation Scientists,910.0,940.0,30.0,3.3,100.0,,
Pennsylvania,Foresters,360.0,380.0,20.0,5.6,40.0,,
Pennsylvania,Epidemiologists,130.0,140.0,10.0,7.7,10.0,,
Pennsylvania,"Medical Scientists, Except Epidemiologists",8430.0,9010.0,580.0,6.9,840.0,,
Pennsylvania,"Life Scientists, All Other",190.0,200.0,10.0,5.3,20.0,,
Pennsylvania,Physicists,400.0,430.0,30.0,7.5,40.0,,
Pennsylvania,Atmospheric and Space Scientists,130.0,130.0,0.0,0.0,10.0,,
Pennsylvania,Chemists,5720.0,6080.0,360.0,6.3,570.0,,
Pennsylvania,Materials Scientists,360.0,380.0,20.0,5.6,40.0,,
Pennsylvania,"Environmental Scientists and Specialists, Including Health",2170.0,2370.0,200.0,9.2,270.0,,
Pennsylvania,"Geoscientists, Except Hydrologists and Geographers",1340.0,1470.0,130.0,9.7,170.0,,
Pennsylvania,Hydrologists,160.0,170.0,10.0,6.3,20.0,,
Pennsylvania,"Physical Scientists, All Other",360.0,370.0,10.0,2.8,30.0,,
Pennsylvania,Economists,750.0,790.0,40.0,5.3,60.0,,
Pennsylvania,Survey Researchers,2880.0,3130.0,250.0,8.7,370.0,,
Pennsylvania,"Clinical, Counseling, and School Psychologists",6210.0,7020.0,810.0,13.0,550.0,,
Pennsylvania,"Psychologists, All Other",580.0,640.0,60.0,10.3,50.0,,
Pennsylvania,Sociologists,70.0,70.0,0.0,0.0,10.0,,
Pennsylvania,Urban and Regional Planners,1460.0,1610.0,150.0,10.3,160.0,,
Pennsylvania,Anthropologists and Archeologists,110.0,120.0,10.0,9.1,20.0,,
Pennsylvania,Historians,150.0,160.0,10.0,6.7,20.0,,
Pennsylvania,Political Scientists,220.0,230.0,10.0,4.5,30.0,,
Pennsylvania,"Social Scientists and Related Workers, All Other",730.0,750.0,20.0,2.7,90.0,,
Pennsylvania,Agricultural and Food Science Technicians,740.0,770.0,30.0,4.1,100.0,,
Pennsylvania,Biological Technicians,4160.0,4410.0,250.0,6.0,480.0,,
Pennsylvania,Chemical Technicians,4090.0,4310.0,220.0,5.4,440.0,,
Pennsylvania,Geological and Petroleum Technicians,550.0,610.0,60.0,10.9,60.0,,
Pennsylvania,Nuclear Technicians,480.0,460.0,-20.0,-4.2,50.0,,
Pennsylvania,Social Science Research Assistants,1110.0,1180.0,70.0,6.3,140.0,,
Pennsylvania,"Environmental Science and Protection Technicians, Including Health",1190.0,1290.0,100.0,8.4,160.0,,
Pennsylvania,Forensic Science Technicians,330.0,370.0,40.0,12.1,50.0,,
Pennsylvania,Forest and Conservation Technicians,1020.0,1040.0,20.0,2.0,120.0,,
Pennsylvania,"Life, Physical, and Social Science Technicians, All Other",2360.0,2550.0,190.0,8.1,310.0,,
Pennsylvania,"Educational, Guidance, School, and Vocational Counselors",8290.0,9010.0,720.0,8.7,960.0,,
Pennsylvania,Marriage and Family Therapists,1970.0,2210.0,240.0,12.2,240.0,,
Pennsylvania,Rehabilitation Counselors,8110.0,8790.0,680.0,8.4,930.0,,
Pennsylvania,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",23700.0,27890.0,4190.0,17.7,3060.0,,
Pennsylvania,"Counselors, All Other",1120.0,1210.0,90.0,8.0,130.0,,
Pennsylvania,"Child, Family, and School Social Workers",20990.0,22200.0,1210.0,5.8,2230.0,,
Pennsylvania,Healthcare Social Workers,7970.0,9340.0,1370.0,17.2,980.0,,
Pennsylvania,Mental Health and Substance Abuse Social Workers,8780.0,9970.0,1190.0,13.6,1030.0,,
Pennsylvania,"Social Workers, All Other",1300.0,1360.0,60.0,4.6,140.0,,
Pennsylvania,Health Educators,2220.0,2440.0,220.0,9.9,290.0,,
Pennsylvania,Probation Officers and Correctional Treatment Specialists,4350.0,4500.0,150.0,3.4,390.0,,
Pennsylvania,Social and Human Service Assistants,19750.0,21670.0,1920.0,9.7,2650.0,,
Pennsylvania,Community Health Workers,2160.0,2490.0,330.0,15.3,300.0,,
Pennsylvania,"Community and Social Service Specialists, All Other",1420.0,1500.0,80.0,5.6,170.0,,
