Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Rhode Island,"Total, All Occupations",527630.0,547990.0,20360.0,3.9,62620.0,,
Rhode Island,Chief Executives,420.0,390.0,-30.0,-7.1,30.0,,
Rhode Island,General and Operations Managers,5970.0,6390.0,420.0,7.0,580.0,,
Rhode Island,Advertising and Promotions Managers,80.0,80.0,0.0,0.0,10.0,,
Rhode Island,Marketing Managers,710.0,760.0,50.0,7.0,70.0,,
Rhode Island,Sales Managers,800.0,840.0,40.0,5.0,80.0,,
Rhode Island,Public Relations and Fundraising Managers,370.0,400.0,30.0,8.1,40.0,,
Rhode Island,Administrative Services Managers,570.0,610.0,40.0,7.0,50.0,,
Rhode Island,Computer and Information Systems Managers,1310.0,1430.0,120.0,9.2,120.0,,
Rhode Island,Financial Managers,2860.0,3250.0,390.0,13.6,280.0,,
Rhode Island,Industrial Production Managers,430.0,430.0,0.0,0.0,30.0,,
Rhode Island,Purchasing Managers,190.0,210.0,20.0,10.5,20.0,,
Rhode Island,"Transportation, Storage, and Distribution Managers",380.0,420.0,40.0,10.5,40.0,,
Rhode Island,Compensation and Benefits Managers,60.0,60.0,0.0,0.0,10.0,,
Rhode Island,Human Resources Managers,330.0,350.0,20.0,6.1,30.0,,
Rhode Island,Training and Development Managers,70.0,70.0,0.0,0.0,10.0,,
Rhode Island,Construction Managers,540.0,600.0,60.0,11.1,50.0,,
Rhode Island,"Education Administrators, Preschool and Childcare Center/Program",210.0,200.0,-10.0,-4.8,10.0,,
Rhode Island,"Education Administrators, Elementary and Secondary School",930.0,950.0,20.0,2.2,80.0,,
Rhode Island,"Education Administrators, Postsecondary",780.0,820.0,40.0,5.1,70.0,,
Rhode Island,"Education Administrators, All Other",100.0,110.0,10.0,10.0,10.0,,
Rhode Island,Architectural and Engineering Managers,490.0,530.0,40.0,8.2,40.0,,
Rhode Island,Food Service Managers,650.0,700.0,50.0,7.7,80.0,,
Rhode Island,Lodging Managers,120.0,160.0,40.0,33.3,20.0,,
Rhode Island,Medical and Health Services Managers,1790.0,1950.0,160.0,8.9,160.0,,
Rhode Island,Natural Sciences Managers,80.0,80.0,0.0,0.0,10.0,,
Rhode Island,"Property, Real Estate, and Community Association Managers",1470.0,1560.0,90.0,6.1,130.0,,
Rhode Island,Social and Community Service Managers,450.0,480.0,30.0,6.7,40.0,,
Rhode Island,"Managers, All Other",2050.0,2180.0,130.0,6.3,170.0,,
Rhode Island,"Wholesale and Retail Buyers, Except Farm Products",120.0,130.0,10.0,8.3,0.0,,
Rhode Island,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",370.0,370.0,0.0,0.0,0.0,,
