Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
South Carolina,"Total, All Occupations",2264520.0,2473570.0,209050.0,9.2,296530.0,,
South Carolina,Chief Executives,4020.0,4020.0,0.0,0.0,290.0,,
South Carolina,General and Operations Managers,35160.0,39410.0,4250.0,12.1,3660.0,,
South Carolina,Advertising and Promotions Managers,160.0,160.0,0.0,0.0,20.0,,
South Carolina,Marketing Managers,1910.0,2190.0,280.0,14.7,210.0,,
South Carolina,Sales Managers,3680.0,4140.0,460.0,12.5,390.0,,
South Carolina,Public Relations and Fundraising Managers,710.0,800.0,90.0,12.7,70.0,,
South Carolina,Administrative Services Managers,3700.0,4110.0,410.0,11.1,370.0,,
South Carolina,Computer and Information Systems Managers,3250.0,3760.0,510.0,15.7,320.0,,
South Carolina,Financial Managers,5580.0,6800.0,1220.0,21.9,600.0,,
South Carolina,Industrial Production Managers,3070.0,3560.0,490.0,16.0,290.0,,
South Carolina,Purchasing Managers,760.0,860.0,100.0,13.2,80.0,,
South Carolina,"Transportation, Storage, and Distribution Managers",1210.0,1390.0,180.0,14.9,120.0,,
South Carolina,Compensation and Benefits Managers,150.0,160.0,10.0,6.7,10.0,,
South Carolina,Human Resources Managers,1890.0,2150.0,260.0,13.8,200.0,,
South Carolina,Training and Development Managers,810.0,910.0,100.0,12.3,90.0,,
South Carolina,"Farmers, Ranchers, and Other Agricultural Managers",5580.0,5420.0,-160.0,-2.9,530.0,,
South Carolina,Construction Managers,5030.0,5600.0,570.0,11.3,440.0,,
South Carolina,"Education Administrators, Preschool and Childcare Center/Program",650.0,700.0,50.0,7.7,60.0,,
South Carolina,"Education Administrators, Elementary and Secondary School",3990.0,4160.0,170.0,4.3,330.0,,
South Carolina,"Education Administrators, Postsecondary",2480.0,2660.0,180.0,7.3,220.0,,
South Carolina,"Education Administrators, All Other",290.0,310.0,20.0,6.9,30.0,,
South Carolina,Architectural and Engineering Managers,2850.0,3260.0,410.0,14.4,260.0,,
South Carolina,Food Service Managers,4900.0,5520.0,620.0,12.7,660.0,,
South Carolina,Funeral Service Managers,580.0,610.0,30.0,5.2,50.0,,
South Carolina,Lodging Managers,750.0,820.0,70.0,9.3,90.0,,
South Carolina,Medical and Health Services Managers,5780.0,6770.0,990.0,17.1,600.0,,
South Carolina,Natural Sciences Managers,540.0,620.0,80.0,14.8,60.0,,
South Carolina,Postmasters and Mail Superintendents,200.0,180.0,-20.0,-10.0,10.0,,
South Carolina,"Property, Real Estate, and Community Association Managers",3610.0,4110.0,500.0,13.9,350.0,,
South Carolina,Social and Community Service Managers,1210.0,1390.0,180.0,14.9,130.0,,
South Carolina,Emergency Management Directors,210.0,230.0,20.0,9.5,20.0,,
South Carolina,"Managers, All Other",4310.0,4740.0,430.0,10.0,390.0,,
South Carolina,Buyers and Purchasing Agents,3910.0,3900.0,-10.0,-0.3,410.0,,
South Carolina,"Claims Adjusters, Examiners, and Investigators",2760.0,2670.0,-90.0,-3.3,220.0,,
South Carolina,Compliance Officers,3810.0,4200.0,390.0,10.2,390.0,,
South Carolina,Cost Estimators,2530.0,2880.0,350.0,13.8,300.0,,
South Carolina,Human Resources Specialists,7150.0,7960.0,810.0,11.3,840.0,,
South Carolina,Labor Relations Specialists,770.0,740.0,-30.0,-3.9,70.0,,
South Carolina,Logisticians,2950.0,3470.0,520.0,17.6,360.0,,
South Carolina,Management Analysts,10980.0,13060.0,2080.0,18.9,1340.0,,
South Carolina,"Meeting, Convention, and Event Planners",2200.0,2550.0,350.0,15.9,310.0,,
South Carolina,Fundraisers,1500.0,1670.0,170.0,11.3,180.0,,
South Carolina,"Compensation, Benefits, and Job Analysis Specialists",890.0,1010.0,120.0,13.5,100.0,,
South Carolina,Training and Development Specialists,4630.0,5340.0,710.0,15.3,610.0,,
South Carolina,Market Research Analysts and Marketing Specialists,6950.0,8810.0,1860.0,26.8,990.0,,
South Carolina,"Business Operations Specialists, All Other",4330.0,4690.0,360.0,8.3,470.0,,
South Carolina,Accountants and Auditors,17350.0,19420.0,2070.0,11.9,1920.0,,
South Carolina,Appraisers and Assessors of Real Estate,960.0,1070.0,110.0,11.5,90.0,,
South Carolina,Budget Analysts,310.0,340.0,30.0,9.7,30.0,,
South Carolina,Credit Analysts,990.0,1080.0,90.0,9.1,100.0,,
South Carolina,Financial Analysts,1990.0,2280.0,290.0,14.6,210.0,,
South Carolina,Personal Financial Advisors,2470.0,3000.0,530.0,21.5,260.0,,
South Carolina,Insurance Underwriters,830.0,790.0,-40.0,-4.8,60.0,,
South Carolina,Financial Examiners,570.0,660.0,90.0,15.8,60.0,,
South Carolina,Credit Counselors,350.0,400.0,50.0,14.3,40.0,,
South Carolina,Loan Officers,3930.0,4400.0,470.0,12.0,400.0,,
South Carolina,Tax Preparers,1040.0,1160.0,120.0,11.5,140.0,,
South Carolina,"Financial Specialists, All Other",920.0,1010.0,90.0,9.8,90.0,,
South Carolina,Computer and Information Research Scientists,410.0,430.0,20.0,4.9,30.0,,
South Carolina,Computer Systems Analysts,7620.0,8980.0,1360.0,17.8,740.0,,
South Carolina,Information Security Analysts,1330.0,1750.0,420.0,31.6,150.0,,
South Carolina,Computer Programmers,3330.0,3160.0,-170.0,-5.1,210.0,,
South Carolina,"Software Developers, Applications",4780.0,6500.0,1720.0,36.0,570.0,,
South Carolina,"Software Developers, Systems Software",2340.0,2720.0,380.0,16.2,220.0,,
South Carolina,Web Developers,1630.0,1930.0,300.0,18.4,170.0,,
South Carolina,Database Administrators,880.0,1000.0,120.0,13.6,80.0,,
South Carolina,Network and Computer Systems Administrators,6020.0,6650.0,630.0,10.5,510.0,,
South Carolina,Computer Network Architects,1150.0,1290.0,140.0,12.2,100.0,,
South Carolina,Computer User Support Specialists,7150.0,8350.0,1200.0,16.8,760.0,,
South Carolina,Computer Network Support Specialists,2740.0,3090.0,350.0,12.8,270.0,,
South Carolina,"Computer Occupations, All Other",1670.0,1840.0,170.0,10.2,140.0,,
South Carolina,Operations Research Analysts,870.0,1170.0,300.0,34.5,100.0,,
South Carolina,Statisticians,250.0,340.0,90.0,36.0,30.0,,
South Carolina,"Architects, Except Landscape and Naval",1120.0,1270.0,150.0,13.4,110.0,,
South Carolina,Landscape Architects,510.0,580.0,70.0,13.7,50.0,,
South Carolina,Cartographers and Photogrammetrists,460.0,520.0,60.0,13.0,40.0,,
South Carolina,Surveyors,910.0,1010.0,100.0,11.0,80.0,,
South Carolina,Biomedical Engineers,130.0,140.0,10.0,7.7,10.0,,
South Carolina,Chemical Engineers,890.0,1010.0,120.0,13.5,70.0,,
South Carolina,Civil Engineers,6670.0,7370.0,700.0,10.5,620.0,,
South Carolina,Computer Hardware Engineers,460.0,520.0,60.0,13.0,40.0,,
South Carolina,Electrical Engineers,2510.0,2870.0,360.0,14.3,210.0,,
South Carolina,"Electronics Engineers, Except Computer",1590.0,1700.0,110.0,6.9,120.0,,
South Carolina,Environmental Engineers,870.0,970.0,100.0,11.5,80.0,,
South Carolina,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",670.0,760.0,90.0,13.4,60.0,,
South Carolina,Industrial Engineers,7290.0,9490.0,2200.0,30.2,790.0,,
South Carolina,Marine Engineers and Naval Architects,90.0,110.0,20.0,22.2,10.0,,
South Carolina,Materials Engineers,580.0,710.0,130.0,22.4,50.0,,
South Carolina,Mechanical Engineers,6150.0,7100.0,950.0,15.4,540.0,,
South Carolina,Nuclear Engineers,1020.0,1010.0,-10.0,-1.0,60.0,,
South Carolina,"Engineers, All Other",790.0,880.0,90.0,11.4,70.0,,
South Carolina,Architectural and Civil Drafters,1080.0,1160.0,80.0,7.4,120.0,,
South Carolina,Electrical and Electronics Drafters,280.0,310.0,30.0,10.7,40.0,,
South Carolina,Mechanical Drafters,820.0,830.0,10.0,1.2,90.0,,
South Carolina,Civil Engineering Technicians,1010.0,1120.0,110.0,10.9,120.0,,
South Carolina,Electrical and Electronics Engineering Technicians,1700.0,1870.0,170.0,10.0,190.0,,
South Carolina,Electro-Mechanical Technicians,160.0,180.0,20.0,12.5,20.0,,
South Carolina,Environmental Engineering Technicians,300.0,330.0,30.0,10.0,30.0,,
South Carolina,Industrial Engineering Technicians,1430.0,1680.0,250.0,17.5,180.0,,
South Carolina,Mechanical Engineering Technicians,920.0,1070.0,150.0,16.3,110.0,,
South Carolina,"Engineering Technicians, Except Drafters, All Other",670.0,770.0,100.0,14.9,80.0,,
South Carolina,Surveying and Mapping Technicians,1480.0,1610.0,130.0,8.8,190.0,,
South Carolina,Food Scientists and Technologists,30.0,40.0,10.0,33.3,10.0,,
South Carolina,Microbiologists,150.0,170.0,20.0,13.3,20.0,,
