Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
South Dakota,"Total, All Occupations",491590.0,526250.0,34660.0,7.1,62660.0,,
South Dakota,Chief Executives,1300.0,1320.0,20.0,1.5,90.0,,
South Dakota,General and Operations Managers,4040.0,4410.0,370.0,9.2,400.0,,
South Dakota,Marketing Managers,70.0,80.0,10.0,14.3,10.0,,
South Dakota,Sales Managers,350.0,380.0,30.0,8.6,40.0,,
South Dakota,Administrative Services Managers,350.0,380.0,30.0,8.6,30.0,,
South Dakota,Computer and Information Systems Managers,220.0,250.0,30.0,13.6,20.0,,
South Dakota,Financial Managers,710.0,860.0,150.0,21.1,80.0,,
South Dakota,Industrial Production Managers,440.0,490.0,50.0,11.4,40.0,,
South Dakota,Purchasing Managers,50.0,60.0,10.0,20.0,10.0,,
South Dakota,"Transportation, Storage, and Distribution Managers",220.0,230.0,10.0,4.5,20.0,,
South Dakota,Human Resources Managers,260.0,280.0,20.0,7.7,30.0,,
South Dakota,Construction Managers,430.0,460.0,30.0,7.0,40.0,,
South Dakota,"Education Administrators, Preschool and Childcare Center/Program",180.0,200.0,20.0,11.1,20.0,,
South Dakota,"Education Administrators, Elementary and Secondary School",640.0,690.0,50.0,7.8,60.0,,
South Dakota,"Education Administrators, Postsecondary",230.0,250.0,20.0,8.7,20.0,,
South Dakota,"Education Administrators, All Other",80.0,80.0,0.0,0.0,10.0,,
South Dakota,Architectural and Engineering Managers,120.0,130.0,10.0,8.3,10.0,,
South Dakota,Food Service Managers,1320.0,1450.0,130.0,9.8,170.0,,
South Dakota,Funeral Service Managers,50.0,60.0,10.0,20.0,0.0,,
South Dakota,Lodging Managers,330.0,350.0,20.0,6.1,40.0,,
South Dakota,Medical and Health Services Managers,780.0,860.0,80.0,10.3,70.0,,
South Dakota,Natural Sciences Managers,80.0,90.0,10.0,12.5,10.0,,
South Dakota,Postmasters and Mail Superintendents,100.0,90.0,-10.0,-10.0,10.0,,
South Dakota,"Property, Real Estate, and Community Association Managers",1480.0,1610.0,130.0,8.8,130.0,,
