Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Tennessee,"Total, All Occupations",3283030.0,3521090.0,238060.0,7.3,414870.0,,
Tennessee,Chief Executives,8970.0,8850.0,-120.0,-1.3,620.0,,
Tennessee,General and Operations Managers,43430.0,48640.0,5210.0,12.0,4520.0,,
Tennessee,Legislators,540.0,590.0,50.0,9.3,50.0,,
Tennessee,Advertising and Promotions Managers,730.0,780.0,50.0,6.8,80.0,,
Tennessee,Marketing Managers,4110.0,4640.0,530.0,12.9,440.0,,
Tennessee,Sales Managers,7220.0,7950.0,730.0,10.1,750.0,,
Tennessee,Public Relations and Fundraising Managers,1080.0,1240.0,160.0,14.8,120.0,,
Tennessee,Administrative Services Managers,7350.0,8200.0,850.0,11.6,730.0,,
Tennessee,Computer and Information Systems Managers,5930.0,6780.0,850.0,14.3,580.0,,
Tennessee,Financial Managers,16920.0,20780.0,3860.0,22.8,1840.0,,
Tennessee,Industrial Production Managers,4530.0,4800.0,270.0,6.0,370.0,,
Tennessee,Purchasing Managers,1650.0,1860.0,210.0,12.7,170.0,,
Tennessee,"Transportation, Storage, and Distribution Managers",4030.0,4260.0,230.0,5.7,350.0,,
Tennessee,Training and Development Managers,1150.0,1320.0,170.0,14.8,130.0,,
Tennessee,"Farmers, Ranchers, and Other Agricultural Managers",19620.0,19620.0,0.0,0.0,1950.0,,
Tennessee,Construction Managers,9470.0,10420.0,950.0,10.0,810.0,,
Tennessee,"Education Administrators, Preschool and Childcare Center/Program",1170.0,1280.0,110.0,9.4,110.0,,
Tennessee,"Education Administrators, Elementary and Secondary School",5570.0,5900.0,330.0,5.9,480.0,,
Tennessee,"Education Administrators, Postsecondary",5220.0,5960.0,740.0,14.2,510.0,,
Tennessee,"Education Administrators, All Other",1670.0,1870.0,200.0,12.0,160.0,,
Tennessee,Architectural and Engineering Managers,3350.0,3700.0,350.0,10.4,290.0,,
Tennessee,Food Service Managers,16170.0,18720.0,2550.0,15.8,2250.0,,
