Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Texas,"Total, All Occupations",13451120.0,15152870.0,1701750.0,12.7,1812850.0,,
Texas,Chief Executives,7220.0,7440.0,220.0,3.0,540.0,,
Texas,General and Operations Managers,201050.0,235280.0,34230.0,17.0,22370.0,,
Texas,Legislators,1800.0,1960.0,160.0,8.9,160.0,,
Texas,Advertising and Promotions Managers,1710.0,1960.0,250.0,14.6,200.0,,
Texas,Marketing Managers,13570.0,16140.0,2570.0,18.9,1580.0,,
Texas,Sales Managers,27940.0,32460.0,4520.0,16.2,3130.0,,
Texas,Public Relations and Fundraising Managers,4820.0,5600.0,780.0,16.2,520.0,,
Texas,Administrative Services Managers,26570.0,30680.0,4110.0,15.5,2800.0,,
Texas,Computer and Information Systems Managers,22620.0,27400.0,4780.0,21.1,2430.0,,
Texas,Financial Managers,41400.0,53840.0,12440.0,30.0,4920.0,,
Texas,Industrial Production Managers,11850.0,12810.0,960.0,8.1,1000.0,,
Texas,Purchasing Managers,5430.0,6140.0,710.0,13.1,560.0,,
Texas,"Transportation, Storage, and Distribution Managers",11810.0,13770.0,1960.0,16.6,1200.0,,
Texas,Compensation and Benefits Managers,980.0,1110.0,130.0,13.3,100.0,,
Texas,Human Resources Managers,8440.0,9860.0,1420.0,16.8,920.0,,
Texas,Training and Development Managers,1960.0,2310.0,350.0,17.9,220.0,,
Texas,"Farmers, Ranchers, and Other Agricultural Managers",246400.0,212960.0,-33440.0,-13.6,19470.0,,
Texas,Construction Managers,51750.0,60570.0,8820.0,17.0,4920.0,,
Texas,"Education Administrators, Preschool and Childcare Center/Program",4010.0,4480.0,470.0,11.7,380.0,,
Texas,"Education Administrators, Elementary and Secondary School",28500.0,31810.0,3310.0,11.6,2670.0,,
Texas,"Education Administrators, All Other",2220.0,2640.0,420.0,18.9,230.0,,
Texas,Architectural and Engineering Managers,13100.0,14260.0,1160.0,8.9,1100.0,,
Texas,Food Service Managers,20380.0,24700.0,4320.0,21.2,3010.0,,
Texas,Funeral Service Managers,1120.0,1220.0,100.0,8.9,100.0,,
Texas,Lodging Managers,4660.0,5380.0,720.0,15.5,590.0,,
Texas,Medical and Health Services Managers,32320.0,39400.0,7080.0,21.9,3550.0,,
Texas,Natural Sciences Managers,2680.0,3130.0,450.0,16.8,300.0,,
Texas,Postmasters and Mail Superintendents,790.0,640.0,-150.0,-19.0,40.0,,
Texas,"Property, Real Estate, and Community Association Managers",25180.0,29930.0,4750.0,18.9,2600.0,,
Texas,Social and Community Service Managers,6120.0,7690.0,1570.0,25.7,760.0,,
Texas,Emergency Management Directors,560.0,610.0,50.0,8.9,50.0,,
Texas,"Managers, All Other",50410.0,58790.0,8380.0,16.6,4980.0,,
Texas,Buyers and Purchasing Agents,38650.0,39130.0,480.0,1.2,4100.0,,
Texas,"Claims Adjusters, Examiners, and Investigators",24360.0,24980.0,620.0,2.5,2150.0,,
Texas,"Insurance Appraisers, Auto Damage",1790.0,2010.0,220.0,12.3,180.0,,
Texas,Compliance Officers,27840.0,31840.0,4000.0,14.4,3020.0,,
Texas,Cost Estimators,17710.0,20220.0,2510.0,14.2,2120.0,,
Texas,Human Resources Specialists,49590.0,56570.0,6980.0,14.1,6020.0,,
Texas,Labor Relations Specialists,2570.0,2740.0,170.0,6.6,280.0,,
Texas,Logisticians,14450.0,16920.0,2470.0,17.1,1740.0,,
Texas,Management Analysts,44820.0,56770.0,11950.0,26.7,5980.0,,
Texas,"Meeting, Convention, and Event Planners",8770.0,10440.0,1670.0,19.0,1260.0,,
Texas,Fundraisers,5260.0,6410.0,1150.0,21.9,720.0,,
Texas,"Compensation, Benefits, and Job Analysis Specialists",5700.0,6580.0,880.0,15.4,670.0,,
Texas,Training and Development Specialists,24610.0,29570.0,4960.0,20.2,3400.0,,
Texas,Market Research Analysts and Marketing Specialists,30610.0,40780.0,10170.0,33.2,4670.0,,
Texas,"Business Operations Specialists, All Other",92380.0,106610.0,14230.0,15.4,10970.0,,
Texas,Accountants and Auditors,128250.0,152310.0,24060.0,18.8,15480.0,,
Texas,Appraisers and Assessors of Real Estate,7530.0,8690.0,1160.0,15.4,720.0,,
Texas,Budget Analysts,4390.0,4880.0,490.0,11.2,410.0,,
Texas,Credit Analysts,7760.0,9160.0,1400.0,18.0,900.0,,
Texas,Financial Analysts,28260.0,33640.0,5380.0,19.0,3160.0,,
Texas,Personal Financial Advisors,14950.0,18730.0,3780.0,25.3,1650.0,,
Texas,Insurance Underwriters,7750.0,7980.0,230.0,3.0,680.0,,
Texas,Financial Examiners,4340.0,5190.0,850.0,19.6,450.0,,
Texas,Credit Counselors,2150.0,2370.0,220.0,10.2,210.0,,
Texas,Loan Officers,20640.0,24630.0,3990.0,19.3,2290.0,,
Texas,"Tax Examiners and Collectors, and Revenue Agents",4240.0,4180.0,-60.0,-1.4,350.0,,
Texas,Tax Preparers,8050.0,9680.0,1630.0,20.2,1170.0,,
Texas,"Financial Specialists, All Other",11790.0,13890.0,2100.0,17.8,1320.0,,
Texas,Computer and Information Research Scientists,1830.0,2320.0,490.0,26.8,210.0,,
Texas,Computer Systems Analysts,54100.0,62740.0,8640.0,16.0,5080.0,,
Texas,Information Security Analysts,8450.0,11680.0,3230.0,38.2,1040.0,,
Texas,Computer Programmers,22300.0,22010.0,-290.0,-1.3,1530.0,,
Texas,"Software Developers, Applications",68290.0,89740.0,21450.0,31.4,7710.0,,
Texas,"Software Developers, Systems Software",28340.0,32920.0,4580.0,16.2,2610.0,,
Texas,Web Developers,9780.0,11820.0,2040.0,20.9,1030.0,,
Texas,Database Administrators,10640.0,12540.0,1900.0,17.9,1010.0,,
Texas,Network and Computer Systems Administrators,34970.0,39690.0,4720.0,13.5,3080.0,,
Texas,Computer Network Architects,10940.0,12550.0,1610.0,14.7,980.0,,
Texas,Computer User Support Specialists,61570.0,73180.0,11610.0,18.9,6680.0,,
Texas,Computer Network Support Specialists,12840.0,14990.0,2150.0,16.7,1360.0,,
Texas,"Computer Occupations, All Other",25750.0,30850.0,5100.0,19.8,2560.0,,
Texas,Actuaries,1040.0,1430.0,390.0,37.5,110.0,,
Texas,Mathematicians,160.0,210.0,50.0,31.3,20.0,,
Texas,Operations Research Analysts,11080.0,15270.0,4190.0,37.8,1280.0,,
Texas,Statisticians,2000.0,2890.0,890.0,44.5,280.0,,
Texas,Miscellaneous Mathematical Science Occupations,210.0,250.0,40.0,19.0,20.0,,
Texas,"Architects, Except Landscape and Naval",11190.0,12700.0,1510.0,13.5,1070.0,,
Texas,Landscape Architects,1390.0,1510.0,120.0,8.6,120.0,,
Texas,Cartographers and Photogrammetrists,1360.0,1610.0,250.0,18.4,140.0,,
Texas,Surveyors,4780.0,5320.0,540.0,11.3,420.0,,
Texas,Aerospace Engineers,7060.0,7360.0,300.0,4.2,490.0,,
Texas,Biomedical Engineers,910.0,1020.0,110.0,12.1,80.0,,
Texas,Chemical Engineers,8250.0,8500.0,250.0,3.0,550.0,,
Texas,Civil Engineers,26110.0,29140.0,3030.0,11.6,2450.0,,
Texas,Computer Hardware Engineers,2220.0,2450.0,230.0,10.4,190.0,,
Texas,Electrical Engineers,15000.0,16960.0,1960.0,13.1,1250.0,,
Texas,"Electronics Engineers, Except Computer",11360.0,12820.0,1460.0,12.9,940.0,,
Texas,Environmental Engineers,3380.0,3980.0,600.0,17.8,340.0,,
Texas,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",3700.0,4160.0,460.0,12.4,310.0,,
Texas,Industrial Engineers,18170.0,20810.0,2640.0,14.5,1590.0,,
Texas,Marine Engineers and Naval Architects,690.0,840.0,150.0,21.7,60.0,,
Texas,Materials Engineers,2420.0,2650.0,230.0,9.5,180.0,,
Texas,Mechanical Engineers,21380.0,23380.0,2000.0,9.4,1710.0,,
Texas,Nuclear Engineers,560.0,570.0,10.0,1.8,40.0,,
Texas,Petroleum Engineers,19790.0,22600.0,2810.0,14.2,1820.0,,
Texas,"Engineers, All Other",11680.0,12920.0,1240.0,10.6,970.0,,
Texas,Architectural and Civil Drafters,11670.0,12480.0,810.0,6.9,1320.0,,
Texas,Electrical and Electronics Drafters,2950.0,3260.0,310.0,10.5,350.0,,
Texas,Mechanical Drafters,4990.0,5050.0,60.0,1.2,520.0,,
Texas,"Drafters, All Other",1880.0,2120.0,240.0,12.8,230.0,,
Texas,Aerospace Engineering and Operations Technicians,1020.0,1100.0,80.0,7.8,110.0,,
Texas,Civil Engineering Technicians,11220.0,12010.0,790.0,7.0,1210.0,,
Texas,Electrical and Electronics Engineering Technicians,12430.0,13370.0,940.0,7.6,1350.0,,
Texas,Electro-Mechanical Technicians,1670.0,1890.0,220.0,13.2,200.0,,
Texas,Environmental Engineering Technicians,1280.0,1560.0,280.0,21.9,170.0,,
Texas,Industrial Engineering Technicians,5210.0,5420.0,210.0,4.0,540.0,,
Texas,Mechanical Engineering Technicians,3320.0,3670.0,350.0,10.5,380.0,,
Texas,"Engineering Technicians, Except Drafters, All Other",7770.0,8510.0,740.0,9.5,870.0,,
Texas,Surveying and Mapping Technicians,7740.0,8510.0,770.0,9.9,1030.0,,
Texas,Animal Scientists,300.0,320.0,20.0,6.7,40.0,,
Texas,Food Scientists and Technologists,680.0,820.0,140.0,20.6,100.0,,
Texas,Soil and Plant Scientists,770.0,880.0,110.0,14.3,100.0,,
Texas,Biochemists and Biophysicists,1420.0,1760.0,340.0,23.9,180.0,,
Texas,Microbiologists,1030.0,1130.0,100.0,9.7,110.0,,
Texas,Zoologists and Wildlife Biologists,430.0,570.0,140.0,32.6,60.0,,
Texas,"Biological Scientists, All Other",2210.0,2410.0,200.0,9.0,230.0,,
Texas,Conservation Scientists,2250.0,2430.0,180.0,8.0,260.0,,
Texas,Foresters,190.0,250.0,60.0,31.6,30.0,,
Texas,Epidemiologists,700.0,760.0,60.0,8.6,70.0,,
Texas,"Medical Scientists, Except Epidemiologists",5250.0,5950.0,700.0,13.3,570.0,,
Texas,"Life Scientists, All Other",140.0,150.0,10.0,7.1,10.0,,
Texas,Astronomers,210.0,220.0,10.0,4.8,20.0,,
Texas,Physicists,1020.0,1190.0,170.0,16.7,110.0,,
Texas,Atmospheric and Space Scientists,670.0,840.0,170.0,25.4,90.0,,
Texas,Chemists,5310.0,5800.0,490.0,9.2,550.0,,
Texas,Materials Scientists,690.0,730.0,40.0,5.8,70.0,,
Texas,"Environmental Scientists and Specialists, Including Health",4360.0,5300.0,940.0,21.6,620.0,,
Texas,"Geoscientists, Except Hydrologists and Geographers",8090.0,8860.0,770.0,9.5,990.0,,
Texas,Hydrologists,330.0,390.0,60.0,18.2,50.0,,
Texas,"Physical Scientists, All Other",1550.0,1660.0,110.0,7.1,150.0,,
Texas,Economists,910.0,1150.0,240.0,26.4,100.0,,
Texas,Survey Researchers,440.0,470.0,30.0,6.8,60.0,,
Texas,"Clinical, Counseling, and School Psychologists",9730.0,11280.0,1550.0,15.9,890.0,,
Texas,"Psychologists, All Other",1040.0,1180.0,140.0,13.5,90.0,,
Texas,Urban and Regional Planners,2330.0,2720.0,390.0,16.7,270.0,,
Texas,Anthropologists and Archeologists,290.0,320.0,30.0,10.3,40.0,,
Texas,Geographers,160.0,170.0,10.0,6.3,20.0,,
Texas,Historians,140.0,160.0,20.0,14.3,20.0,,
Texas,Political Scientists,230.0,250.0,20.0,8.7,30.0,,
Texas,"Social Scientists and Related Workers, All Other",2140.0,2330.0,190.0,8.9,280.0,,
Texas,Agricultural and Food Science Technicians,1180.0,1260.0,80.0,6.8,160.0,,
Texas,Biological Technicians,5890.0,6520.0,630.0,10.7,710.0,,
Texas,Chemical Technicians,7520.0,7300.0,-220.0,-2.9,720.0,,
Texas,Geological and Petroleum Technicians,6530.0,7330.0,800.0,12.3,770.0,,
Texas,Nuclear Technicians,250.0,260.0,10.0,4.0,30.0,,
Texas,Social Science Research Assistants,1510.0,1680.0,170.0,11.3,210.0,,
Texas,"Environmental Science and Protection Technicians, Including Health",2940.0,3650.0,710.0,24.1,460.0,,
Texas,Forensic Science Technicians,1370.0,1630.0,260.0,19.0,200.0,,
Texas,Forest and Conservation Technicians,430.0,460.0,30.0,7.0,60.0,,
Texas,"Life, Physical, and Social Science Technicians, All Other",5210.0,6180.0,970.0,18.6,770.0,,
Texas,"Educational, Guidance, School, and Vocational Counselors",26290.0,30050.0,3760.0,14.3,3260.0,,
Texas,Rehabilitation Counselors,3750.0,4450.0,700.0,18.7,490.0,,
Texas,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",11430.0,14380.0,2950.0,25.8,1620.0,,
Texas,"Counselors, All Other",2880.0,3520.0,640.0,22.2,390.0,,
Texas,"Child, Family, and School Social Workers",21520.0,24290.0,2770.0,12.9,2510.0,,
Texas,Healthcare Social Workers,10350.0,12260.0,1910.0,18.5,1300.0,,
Texas,Mental Health and Substance Abuse Social Workers,6370.0,7550.0,1180.0,18.5,800.0,,
Texas,"Social Workers, All Other",1940.0,2220.0,280.0,14.4,230.0,,
Texas,Health Educators,2510.0,2970.0,460.0,18.3,360.0,,
Texas,Social and Human Service Assistants,21280.0,25340.0,4060.0,19.1,3180.0,,
Texas,Community Health Workers,3120.0,3650.0,530.0,17.0,440.0,,
Texas,"Community and Social Service Specialists, All Other",3010.0,3500.0,490.0,16.3,420.0,,
Texas,Clergy,32440.0,36290.0,3850.0,11.9,4110.0,,
Texas,"Directors, Religious Activities and Education",10510.0,11700.0,1190.0,11.3,1490.0,,
Texas,"Religious Workers, All Other",4050.0,4530.0,480.0,11.9,600.0,,
Texas,Lawyers,55370.0,65530.0,10160.0,18.3,3910.0,,
Texas,"Administrative Law Judges, Adjudicators, and Hearing Officers",1210.0,1290.0,80.0,6.6,70.0,,
Texas,"Arbitrators, Mediators, and Conciliators",580.0,620.0,40.0,6.9,30.0,,
Texas,Paralegals and Legal Assistants,25540.0,32070.0,6530.0,25.6,3700.0,,
Texas,"Title Examiners, Abstractors, and Searchers",7280.0,7860.0,580.0,8.0,730.0,,
Texas,"Business Teachers, Postsecondary",5890.0,6940.0,1050.0,17.8,640.0,,
Texas,"Computer Science Teachers, Postsecondary",2500.0,2720.0,220.0,8.8,240.0,,
Texas,"Mathematical Science Teachers, Postsecondary",4580.0,4990.0,410.0,9.0,440.0,,
Texas,"Architecture Teachers, Postsecondary",680.0,740.0,60.0,8.8,60.0,,
Texas,"Engineering Teachers, Postsecondary",3800.0,4290.0,490.0,12.9,380.0,,
Texas,"Agricultural Sciences Teachers, Postsecondary",980.0,1040.0,60.0,6.1,90.0,,
Texas,"Biological Science Teachers, Postsecondary",4310.0,4960.0,650.0,15.1,450.0,,
Texas,"Forestry and Conservation Science Teachers, Postsecondary",100.0,100.0,0.0,0.0,10.0,,
Texas,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",900.0,970.0,70.0,7.8,80.0,,
Texas,"Chemistry Teachers, Postsecondary",1640.0,1790.0,150.0,9.1,160.0,,
Texas,"Environmental Science Teachers, Postsecondary",280.0,300.0,20.0,7.1,30.0,,
Texas,"Physics Teachers, Postsecondary",1150.0,1250.0,100.0,8.7,110.0,,
Texas,"Anthropology and Archeology Teachers, Postsecondary",370.0,400.0,30.0,8.1,40.0,,
Texas,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",490.0,540.0,50.0,10.2,50.0,,
Texas,"Economics Teachers, Postsecondary",990.0,1090.0,100.0,10.1,100.0,,
Texas,"Geography Teachers, Postsecondary",270.0,300.0,30.0,11.1,30.0,,
Texas,"Political Science Teachers, Postsecondary",1840.0,2000.0,160.0,8.7,180.0,,
Texas,"Psychology Teachers, Postsecondary",2980.0,3390.0,410.0,13.8,300.0,,
Texas,"Sociology Teachers, Postsecondary",970.0,1070.0,100.0,10.3,100.0,,
Texas,"Social Sciences Teachers, Postsecondary, All Other",950.0,1020.0,70.0,7.4,90.0,,
Texas,"Health Specialties Teachers, Postsecondary",13570.0,16940.0,3370.0,24.8,1600.0,,
Texas,"Nursing Instructors and Teachers, Postsecondary",3760.0,4740.0,980.0,26.1,450.0,,
Texas,"Education Teachers, Postsecondary",4520.0,4950.0,430.0,9.5,430.0,,
Texas,"Library Science Teachers, Postsecondary",370.0,400.0,30.0,8.1,40.0,,
Texas,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1170.0,1360.0,190.0,16.2,120.0,,
Texas,"Law Teachers, Postsecondary",1240.0,1370.0,130.0,10.5,120.0,,
Texas,"Social Work Teachers, Postsecondary",590.0,640.0,50.0,8.5,60.0,,
Texas,"Art, Drama, and Music Teachers, Postsecondary",6050.0,6680.0,630.0,10.4,590.0,,
Texas,"Communications Teachers, Postsecondary",2370.0,2570.0,200.0,8.4,220.0,,
Texas,"English Language and Literature Teachers, Postsecondary",5150.0,5650.0,500.0,9.7,500.0,,
Texas,"Foreign Language and Literature Teachers, Postsecondary",1580.0,1800.0,220.0,13.9,160.0,,
Texas,"History Teachers, Postsecondary",2060.0,2260.0,200.0,9.7,200.0,,
Texas,"Philosophy and Religion Teachers, Postsecondary",1480.0,1640.0,160.0,10.8,150.0,,
Texas,Graduate Teaching Assistants,9880.0,10450.0,570.0,5.8,900.0,,
Texas,"Home Economics Teachers, Postsecondary",130.0,140.0,10.0,7.7,10.0,,
Texas,"Recreation and Fitness Studies Teachers, Postsecondary",1580.0,1720.0,140.0,8.9,150.0,,
