Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Utah,"Total, All Occupations",1578420.0,1963350.0,384930.0,24.4,238560.0,,
Utah,Chief Executives,6340.0,7220.0,880.0,13.9,570.0,,
Utah,General and Operations Managers,50460.0,64710.0,14250.0,28.2,6430.0,,
Utah,Legislators,580.0,710.0,130.0,22.4,60.0,,
Utah,Advertising and Promotions Managers,120.0,130.0,10.0,8.3,10.0,,
Utah,Marketing Managers,3630.0,4890.0,1260.0,34.7,500.0,,
Utah,Sales Managers,5480.0,7260.0,1780.0,32.5,740.0,,
Utah,Public Relations and Fundraising Managers,370.0,480.0,110.0,29.7,50.0,,
Utah,Administrative Services Managers,1500.0,1910.0,410.0,27.3,180.0,,
Utah,Computer and Information Systems Managers,5770.0,7990.0,2220.0,38.5,760.0,,
Utah,Financial Managers,8530.0,12320.0,3790.0,44.4,1180.0,,
Utah,Industrial Production Managers,1760.0,2250.0,490.0,27.8,190.0,,
Utah,Purchasing Managers,500.0,640.0,140.0,28.0,60.0,,
Utah,"Transportation, Storage, and Distribution Managers",1700.0,2110.0,410.0,24.1,190.0,,
Utah,Compensation and Benefits Managers,210.0,280.0,70.0,33.3,30.0,,
Utah,Human Resources Managers,1760.0,2280.0,520.0,29.5,220.0,,
Utah,Training and Development Managers,710.0,930.0,220.0,31.0,100.0,,
Utah,"Farmers, Ranchers, and Other Agricultural Managers",6510.0,6920.0,410.0,6.3,710.0,,
Utah,Construction Managers,4170.0,5180.0,1010.0,24.2,440.0,,
Utah,"Education Administrators, Preschool and Childcare Center/Program",160.0,240.0,80.0,50.0,20.0,,
Utah,"Education Administrators, Elementary and Secondary School",2380.0,2780.0,400.0,16.8,240.0,,
Utah,"Education Administrators, Postsecondary",1780.0,2320.0,540.0,30.3,210.0,,
Utah,"Education Administrators, All Other",480.0,590.0,110.0,22.9,50.0,,
Utah,Architectural and Engineering Managers,2140.0,2730.0,590.0,27.6,230.0,,
Utah,Food Service Managers,2960.0,3860.0,900.0,30.4,480.0,,
Utah,Funeral Service Managers,150.0,210.0,60.0,40.0,20.0,,
Utah,Lodging Managers,450.0,550.0,100.0,22.2,60.0,,
Utah,Medical and Health Services Managers,4330.0,5620.0,1290.0,29.8,520.0,,
Utah,Natural Sciences Managers,1000.0,1340.0,340.0,34.0,140.0,,
Utah,"Property, Real Estate, and Community Association Managers",4830.0,6890.0,2060.0,42.7,660.0,,
Utah,Social and Community Service Managers,1450.0,1820.0,370.0,25.5,180.0,,
Utah,Emergency Management Directors,110.0,140.0,30.0,27.3,10.0,,
Utah,"Managers, All Other",9190.0,11540.0,2350.0,25.6,1020.0,,
Utah,Buyers and Purchasing Agents,4550.0,5030.0,480.0,10.5,550.0,,
Utah,"Claims Adjusters, Examiners, and Investigators",1870.0,2080.0,210.0,11.2,190.0,,
Utah,Compliance Officers,3300.0,4200.0,900.0,27.3,420.0,,
Utah,Cost Estimators,2710.0,3470.0,760.0,28.0,380.0,,
Utah,Human Resources Specialists,7230.0,9150.0,1920.0,26.6,1010.0,,
Utah,Labor Relations Specialists,520.0,500.0,-20.0,-3.8,50.0,,
Utah,Logisticians,2520.0,2960.0,440.0,17.5,310.0,,
Utah,Management Analysts,5320.0,7460.0,2140.0,40.2,820.0,,
Utah,"Meeting, Convention, and Event Planners",1690.0,2190.0,500.0,29.6,270.0,,
Utah,Fundraisers,620.0,770.0,150.0,24.2,90.0,,
Utah,"Compensation, Benefits, and Job Analysis Specialists",770.0,1000.0,230.0,29.9,110.0,,
Utah,Training and Development Specialists,5580.0,7520.0,1940.0,34.8,900.0,,
Utah,Market Research Analysts and Marketing Specialists,9460.0,14210.0,4750.0,50.2,1680.0,,
Utah,"Business Operations Specialists, All Other",12760.0,15910.0,3150.0,24.7,1660.0,,
Utah,Accountants and Auditors,11470.0,15040.0,3570.0,31.1,1590.0,,
Utah,Appraisers and Assessors of Real Estate,640.0,890.0,250.0,39.1,80.0,,
Utah,Budget Analysts,410.0,510.0,100.0,24.4,50.0,,
Utah,Credit Analysts,630.0,850.0,220.0,34.9,90.0,,
Utah,Financial Analysts,3590.0,4640.0,1050.0,29.2,460.0,,
Utah,Personal Financial Advisors,3190.0,3580.0,390.0,12.2,300.0,,
Utah,Insurance Underwriters,640.0,790.0,150.0,23.4,80.0,,
Utah,Financial Examiners,630.0,840.0,210.0,33.3,80.0,,
Utah,Credit Counselors,740.0,980.0,240.0,32.4,100.0,,
Utah,Loan Officers,6290.0,9010.0,2720.0,43.2,910.0,,
Utah,"Tax Examiners and Collectors, and Revenue Agents",1920.0,1820.0,-100.0,-5.2,150.0,,
Utah,Tax Preparers,990.0,1360.0,370.0,37.4,170.0,,
Utah,"Financial Specialists, All Other",1770.0,2340.0,570.0,32.2,230.0,,
Utah,Computer and Information Research Scientists,280.0,480.0,200.0,71.4,50.0,,
Utah,Computer Systems Analysts,2710.0,3610.0,900.0,33.2,320.0,,
Utah,Information Security Analysts,540.0,860.0,320.0,59.3,80.0,,
Utah,Computer Programmers,2230.0,2570.0,340.0,15.2,200.0,,
Utah,"Software Developers, Applications",8670.0,14040.0,5370.0,61.9,1340.0,,
Utah,"Software Developers, Systems Software",4380.0,6340.0,1960.0,44.7,570.0,,
Utah,Web Developers,1860.0,2520.0,660.0,35.5,230.0,,
Utah,Database Administrators,810.0,1060.0,250.0,30.9,90.0,,
Utah,Network and Computer Systems Administrators,2850.0,3790.0,940.0,33.0,330.0,,
Utah,Computer Network Architects,590.0,770.0,180.0,30.5,70.0,,
Utah,Computer User Support Specialists,7770.0,10550.0,2780.0,35.8,1030.0,,
Utah,Computer Network Support Specialists,1030.0,1320.0,290.0,28.2,130.0,,
Utah,"Computer Occupations, All Other",4510.0,6390.0,1880.0,41.7,580.0,,
Utah,Actuaries,170.0,210.0,40.0,23.5,20.0,,
Utah,Operations Research Analysts,1800.0,2720.0,920.0,51.1,240.0,,
Utah,Statisticians,640.0,1160.0,520.0,81.3,120.0,,
Utah,"Architects, Except Landscape and Naval",1210.0,1640.0,430.0,35.5,150.0,,
Utah,Landscape Architects,120.0,160.0,40.0,33.3,20.0,,
Utah,Cartographers and Photogrammetrists,180.0,260.0,80.0,44.4,20.0,,
Utah,Surveyors,580.0,730.0,150.0,25.9,60.0,,
Utah,Aerospace Engineers,740.0,940.0,200.0,27.0,70.0,,
Utah,Biomedical Engineers,420.0,550.0,130.0,31.0,50.0,,
Utah,Chemical Engineers,180.0,250.0,70.0,38.9,20.0,,
Utah,Civil Engineers,3250.0,4200.0,950.0,29.2,390.0,,
Utah,Computer Hardware Engineers,1080.0,1190.0,110.0,10.2,90.0,,
Utah,Electrical Engineers,1810.0,2420.0,610.0,33.7,200.0,,
Utah,"Electronics Engineers, Except Computer",1290.0,1470.0,180.0,14.0,110.0,,
Utah,Environmental Engineers,610.0,760.0,150.0,24.6,70.0,,
Utah,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",700.0,890.0,190.0,27.1,70.0,,
Utah,Industrial Engineers,2380.0,3270.0,890.0,37.4,280.0,,
Utah,Materials Engineers,430.0,540.0,110.0,25.6,40.0,,
Utah,Mechanical Engineers,3760.0,5000.0,1240.0,33.0,420.0,,
Utah,"Mining and Geological Engineers, Including Mining Safety Engineers",250.0,260.0,10.0,4.0,20.0,,
Utah,Petroleum Engineers,180.0,200.0,20.0,11.1,20.0,,
Utah,"Engineers, All Other",1630.0,2030.0,400.0,24.5,170.0,,
Utah,Architectural and Civil Drafters,2070.0,2560.0,490.0,23.7,290.0,,
Utah,Electrical and Electronics Drafters,230.0,300.0,70.0,30.4,30.0,,
Utah,Mechanical Drafters,630.0,740.0,110.0,17.5,80.0,,
Utah,"Drafters, All Other",170.0,220.0,50.0,29.4,30.0,,
Utah,Aerospace Engineering and Operations Technicians,150.0,190.0,40.0,26.7,20.0,,
Utah,Civil Engineering Technicians,610.0,770.0,160.0,26.2,80.0,,
Utah,Electrical and Electronics Engineering Technicians,1580.0,1980.0,400.0,25.3,210.0,,
Utah,Electro-Mechanical Technicians,160.0,220.0,60.0,37.5,20.0,,
Utah,Environmental Engineering Technicians,230.0,290.0,60.0,26.1,30.0,,
Utah,Industrial Engineering Technicians,1100.0,1370.0,270.0,24.5,150.0,,
Utah,Mechanical Engineering Technicians,1000.0,1340.0,340.0,34.0,150.0,,
Utah,"Engineering Technicians, Except Drafters, All Other",1570.0,1920.0,350.0,22.3,210.0,,
Utah,Surveying and Mapping Technicians,520.0,680.0,160.0,30.8,90.0,,
Utah,Food Scientists and Technologists,180.0,250.0,70.0,38.9,30.0,,
Utah,Soil and Plant Scientists,70.0,80.0,10.0,14.3,10.0,,
Utah,Biochemists and Biophysicists,170.0,230.0,60.0,35.3,20.0,,
Utah,Microbiologists,160.0,200.0,40.0,25.0,20.0,,
Utah,Zoologists and Wildlife Biologists,320.0,380.0,60.0,18.8,40.0,,
Utah,"Biological Scientists, All Other",360.0,460.0,100.0,27.8,50.0,,
Utah,Conservation Scientists,260.0,290.0,30.0,11.5,30.0,,
Utah,Foresters,70.0,80.0,10.0,14.3,10.0,,
Utah,"Medical Scientists, Except Epidemiologists",1470.0,2300.0,830.0,56.5,250.0,,
Utah,Atmospheric and Space Scientists,280.0,420.0,140.0,50.0,50.0,,
Utah,Chemists,700.0,890.0,190.0,27.1,90.0,,
Utah,Materials Scientists,160.0,190.0,30.0,18.8,20.0,,
Utah,"Environmental Scientists and Specialists, Including Health",870.0,1140.0,270.0,31.0,130.0,,
Utah,"Geoscientists, Except Hydrologists and Geographers",290.0,360.0,70.0,24.1,40.0,,
Utah,Hydrologists,80.0,90.0,10.0,12.5,10.0,,
Utah,"Physical Scientists, All Other",140.0,150.0,10.0,7.1,10.0,,
Utah,Economists,120.0,160.0,40.0,33.3,10.0,,
Utah,Survey Researchers,160.0,240.0,80.0,50.0,30.0,,
Utah,"Clinical, Counseling, and School Psychologists",1030.0,1380.0,350.0,34.0,120.0,,
Utah,"Psychologists, All Other",110.0,130.0,20.0,18.2,10.0,,
Utah,Sociologists,60.0,80.0,20.0,33.3,10.0,,
Utah,Urban and Regional Planners,360.0,470.0,110.0,30.6,50.0,,
Utah,Anthropologists and Archeologists,70.0,80.0,10.0,14.3,10.0,,
Utah,"Social Scientists and Related Workers, All Other",140.0,160.0,20.0,14.3,20.0,,
Utah,Agricultural and Food Science Technicians,80.0,100.0,20.0,25.0,10.0,,
Utah,Biological Technicians,650.0,920.0,270.0,41.5,110.0,,
