Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Vermont,"Total, All Occupations",358390.0,364870.0,6480.0,1.8,41730.0,,
Vermont,Chief Executives,1210.0,1120.0,-90.0,-7.4,70.0,,
Vermont,General and Operations Managers,3620.0,3750.0,130.0,3.6,330.0,,
Vermont,Advertising and Promotions Managers,50.0,50.0,0.0,0.0,10.0,,
Vermont,Marketing Managers,650.0,680.0,30.0,4.6,60.0,,
Vermont,Sales Managers,590.0,600.0,10.0,1.7,50.0,,
Vermont,Public Relations and Fundraising Managers,270.0,280.0,10.0,3.7,20.0,,
Vermont,Administrative Services Managers,780.0,810.0,30.0,3.8,70.0,,
Vermont,Computer and Information Systems Managers,600.0,640.0,40.0,6.7,50.0,,
Vermont,Financial Managers,1100.0,1220.0,120.0,10.9,100.0,,
Vermont,Industrial Production Managers,490.0,490.0,0.0,0.0,40.0,,
Vermont,Purchasing Managers,170.0,170.0,0.0,0.0,10.0,,
Vermont,"Transportation, Storage, and Distribution Managers",200.0,210.0,10.0,5.0,20.0,,
Vermont,Human Resources Managers,300.0,310.0,10.0,3.3,30.0,,
Vermont,Training and Development Managers,60.0,60.0,0.0,0.0,10.0,,
Vermont,"Farmers, Ranchers, and Other Agricultural Managers",5350.0,5520.0,170.0,3.2,560.0,,
Vermont,Construction Managers,1260.0,1300.0,40.0,3.2,100.0,,
Vermont,"Education Administrators, Preschool and Childcare Center/Program",290.0,300.0,10.0,3.4,20.0,,
Vermont,"Education Administrators, Elementary and Secondary School",830.0,810.0,-20.0,-2.4,60.0,,
Vermont,Architectural and Engineering Managers,320.0,320.0,0.0,0.0,20.0,,
Vermont,Food Service Managers,1520.0,1580.0,60.0,3.9,180.0,,
Vermont,Lodging Managers,370.0,360.0,-10.0,-2.7,40.0,,
Vermont,Medical and Health Services Managers,1210.0,1350.0,140.0,11.6,120.0,,
Vermont,Natural Sciences Managers,110.0,120.0,10.0,9.1,10.0,,
Vermont,Postmasters and Mail Superintendents,110.0,90.0,-20.0,-18.2,10.0,,
Vermont,"Property, Real Estate, and Community Association Managers",1120.0,1180.0,60.0,5.4,100.0,,
Vermont,Social and Community Service Managers,1000.0,1090.0,90.0,9.0,100.0,,
Vermont,Emergency Management Directors,50.0,50.0,0.0,0.0,0.0,,
Vermont,"Managers, All Other",2140.0,2190.0,50.0,2.3,170.0,,
Vermont,Buyers and Purchasing Agents,480.0,440.0,-40.0,-8.3,40.0,,
Vermont,"Claims Adjusters, Examiners, and Investigators",310.0,300.0,-10.0,-3.2,20.0,,
Vermont,"Insurance Appraisers, Auto Damage",30.0,30.0,0.0,0.0,0.0,,
Vermont,Compliance Officers,2140.0,2280.0,140.0,6.5,210.0,,
Vermont,Cost Estimators,390.0,410.0,20.0,5.1,40.0,,
