Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Virginia,"Total, All Occupations",4179860.0,4455780.0,275920.0,6.6,515290.0,,
Virginia,Chief Executives,7620.0,7330.0,-290.0,-3.8,500.0,,
Virginia,General and Operations Managers,53550.0,57910.0,4360.0,8.1,5280.0,,
Virginia,Legislators,480.0,510.0,30.0,6.3,40.0,,
Virginia,Marketing Managers,5260.0,5800.0,540.0,10.3,540.0,,
Virginia,Sales Managers,6290.0,6740.0,450.0,7.2,620.0,,
Virginia,Administrative Services Managers,3870.0,4160.0,290.0,7.5,360.0,,
Virginia,Computer and Information Systems Managers,13980.0,15990.0,2010.0,14.4,1370.0,,
Virginia,Financial Managers,15970.0,18570.0,2600.0,16.3,1590.0,,
Virginia,Industrial Production Managers,2670.0,2670.0,0.0,0.0,190.0,,
Virginia,Purchasing Managers,2970.0,3150.0,180.0,6.1,270.0,,
Virginia,"Transportation, Storage, and Distribution Managers",2170.0,2250.0,80.0,3.7,180.0,,
Virginia,Compensation and Benefits Managers,310.0,320.0,10.0,3.2,30.0,,
Virginia,Human Resources Managers,3960.0,4270.0,310.0,7.8,380.0,,
Virginia,Training and Development Managers,880.0,970.0,90.0,10.2,90.0,,
Virginia,"Farmers, Ranchers, and Other Agricultural Managers",33660.0,32830.0,-830.0,-2.5,3220.0,,
Virginia,Construction Managers,8950.0,9920.0,970.0,10.8,780.0,,
Virginia,"Education Administrators, Preschool and Childcare Center/Program",1090.0,1150.0,60.0,5.5,90.0,,
Virginia,"Education Administrators, Elementary and Secondary School",6880.0,7120.0,240.0,3.5,570.0,,
Virginia,"Education Administrators, Postsecondary",2810.0,2990.0,180.0,6.4,240.0,,
Virginia,"Education Administrators, All Other",1390.0,1470.0,80.0,5.8,120.0,,
Virginia,Architectural and Engineering Managers,4180.0,4390.0,210.0,5.0,330.0,,
Virginia,Food Service Managers,5280.0,5840.0,560.0,10.6,690.0,,
Virginia,Funeral Service Managers,490.0,530.0,40.0,8.2,40.0,,
Virginia,Lodging Managers,1200.0,1230.0,30.0,2.5,130.0,,
Virginia,Medical and Health Services Managers,8210.0,9710.0,1500.0,18.3,860.0,,
Virginia,Natural Sciences Managers,1350.0,1400.0,50.0,3.7,130.0,,
Virginia,Postmasters and Mail Superintendents,340.0,240.0,-100.0,-29.4,10.0,,
Virginia,"Property, Real Estate, and Community Association Managers",4370.0,4620.0,250.0,5.7,370.0,,
Virginia,Social and Community Service Managers,2920.0,3240.0,320.0,11.0,300.0,,
Virginia,Emergency Management Directors,370.0,390.0,20.0,5.4,30.0,,
Virginia,"Managers, All Other",40420.0,42870.0,2450.0,6.1,3400.0,,
Virginia,Buyers and Purchasing Agents,15550.0,14690.0,-860.0,-5.5,1490.0,,
Virginia,"Claims Adjusters, Examiners, and Investigators",5280.0,5140.0,-140.0,-2.7,430.0,,
Virginia,"Insurance Appraisers, Auto Damage",330.0,360.0,30.0,9.1,30.0,,
Virginia,Compliance Officers,8960.0,9530.0,570.0,6.4,870.0,,
Virginia,Cost Estimators,9390.0,10360.0,970.0,10.3,1070.0,,
Virginia,Human Resources Specialists,21600.0,23120.0,1520.0,7.0,2400.0,,
Virginia,Labor Relations Specialists,1220.0,1170.0,-50.0,-4.1,120.0,,
Virginia,Logisticians,8160.0,8790.0,630.0,7.7,870.0,,
Virginia,Management Analysts,61910.0,70810.0,8900.0,14.4,7140.0,,
Virginia,"Meeting, Convention, and Event Planners",4220.0,4600.0,380.0,9.0,540.0,,
Virginia,Fundraisers,2940.0,3250.0,310.0,10.5,350.0,,
Virginia,"Compensation, Benefits, and Job Analysis Specialists",2350.0,2510.0,160.0,6.8,250.0,,
Virginia,Training and Development Specialists,12960.0,14990.0,2030.0,15.7,1700.0,,
Virginia,Market Research Analysts and Marketing Specialists,20920.0,25490.0,4570.0,21.8,2830.0,,
Virginia,"Business Operations Specialists, All Other",34540.0,36490.0,1950.0,5.6,3600.0,,
Virginia,Accountants and Auditors,45510.0,48820.0,3310.0,7.3,4730.0,,
Virginia,Appraisers and Assessors of Real Estate,1900.0,2060.0,160.0,8.4,160.0,,
Virginia,Budget Analysts,3870.0,4240.0,370.0,9.6,350.0,,
Virginia,Credit Analysts,1710.0,1870.0,160.0,9.4,180.0,,
Virginia,Financial Analysts,9060.0,9910.0,850.0,9.4,890.0,,
Virginia,Personal Financial Advisors,5930.0,6350.0,420.0,7.1,510.0,,
Virginia,Insurance Underwriters,2220.0,2170.0,-50.0,-2.3,180.0,,
Virginia,Financial Examiners,1910.0,2170.0,260.0,13.6,180.0,,
Virginia,Credit Counselors,740.0,810.0,70.0,9.5,70.0,,
Virginia,Loan Officers,10170.0,11700.0,1530.0,15.0,1070.0,,
Virginia,"Tax Examiners and Collectors, and Revenue Agents",1440.0,1480.0,40.0,2.8,130.0,,
Virginia,Tax Preparers,2120.0,2260.0,140.0,6.6,260.0,,
Virginia,"Financial Specialists, All Other",5050.0,5370.0,320.0,6.3,480.0,,
Virginia,Computer and Information Research Scientists,2860.0,3300.0,440.0,15.4,280.0,,
Virginia,Computer Systems Analysts,28330.0,32690.0,4360.0,15.4,2640.0,,
