Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Washington,"Total, All Occupations",3825520,4373660,548140,14.3,593400,,
Washington,Chief Executives,4120,4810,690,16.7,460,,
Washington,General and Operations Managers,50600,58890,8290,16.4,6420,,
Washington,Legislators,680,740,60,8.8,70,,
Washington,Advertising and Promotions Managers,580,770,190,32.8,100,,
Washington,Marketing Managers,14550,23090,8540,58.7,3380,,
Washington,Sales Managers,8250,9650,1400,17.0,1070,,
Washington,Public Relations and Fundraising Managers,2590,3450,860,33.2,430,,
Washington,Administrative Services Managers,5150,5960,810,15.7,630,,
Washington,Computer and Information Systems Managers,14590,19090,4500,30.8,2220,,
Washington,Financial Managers,14280,17440,3160,22.1,1860,,
Washington,Industrial Production Managers,3020,3200,180,6.0,260,,
Washington,Purchasing Managers,1880,2410,530,28.2,290,,
Washington,"Transportation, Storage, and Distribution Managers",2730,3100,370,13.6,310,,
Washington,Compensation and Benefits Managers,320,390,70,21.9,50,,
Washington,Human Resources Managers,4080,5390,1310,32.1,660,,
Washington,Training and Development Managers,880,1140,260,29.5,140,,
Washington,"Farmers, Ranchers, and Other Agricultural Managers",4070,4120,50,1.2,410,,
Washington,Construction Managers,18280,19810,1530,8.4,1690,,
Washington,"Education Administrators, Preschool and Childcare Center/Program",1900,2440,540,28.4,280,,
Washington,"Education Administrators, Elementary and Secondary School",6320,7500,1180,18.7,770,,
Washington,"Education Administrators, Postsecondary",2600,3020,420,16.2,300,,
Washington,"Education Administrators, All Other",910,1080,170,18.7,110,,
Washington,Architectural and Engineering Managers,4610,5070,460,10.0,440,,
Washington,Food Service Managers,5540,6660,1120,20.2,920,,
Washington,Funeral Service Managers,230,230,0,0.0,20,,
Washington,Gaming Managers,190,210,20,10.5,30,,
Washington,Lodging Managers,1400,1660,260,18.6,210,,
Washington,Medical and Health Services Managers,7950,9740,1790,22.5,1060,,
Washington,Natural Sciences Managers,1940,2260,320,16.5,250,,
Washington,Postmasters and Mail Superintendents,280,250,-30,-10.7,10,,
Washington,"Property, Real Estate, and Community Association Managers",5780,6790,1010,17.5,690,,
Washington,Social and Community Service Managers,4090,4830,740,18.1,540,,
Washington,Emergency Management Directors,150,180,30,20.0,20,,
Washington,"Managers, All Other",31930,38010,6080,19.0,3880,,
Washington,"Agents and Business Managers of Artists, Performers, and Athletes",120,110,-10,-8.3,10,,
Washington,Buyers and Purchasing Agents,15960,17990,2030,12.7,2180,,
Washington,"Claims Adjusters, Examiners, and Investigators",6280,6360,80,1.3,550,,
Washington,"Insurance Appraisers, Auto Damage",350,360,10,2.9,30,,
Washington,Compliance Officers,8990,10140,1150,12.8,1070,,
Washington,Cost Estimators,5860,6310,450,7.7,700,,
Washington,Human Resources Specialists,18810,22840,4030,21.4,2900,,
Washington,Farm Labor Contractors,240,240,0,0.0,20,,
Washington,Labor Relations Specialists,2580,2720,140,5.4,290,,
Washington,Logisticians,6550,7370,820,12.5,830,,
Washington,Management Analysts,31040,40010,8970,28.9,5150,,
Washington,"Meeting, Convention, and Event Planners",4070,5100,1030,25.3,730,,
Washington,Fundraisers,2780,3580,800,28.8,500,,
Washington,"Compensation, Benefits, and Job Analysis Specialists",1740,2070,330,19.0,250,,
Washington,Training and Development Specialists,7360,9110,1750,23.8,1240,,
Washington,Market Research Analysts and Marketing Specialists,23740,32590,8850,37.3,4650,,
Washington,"Business Operations Specialists, All Other",45460,53050,7590,16.7,6270,,
Washington,Accountants and Auditors,37580,43870,6290,16.7,5060,,
Washington,Appraisers and Assessors of Real Estate,2200,2520,320,14.5,240,,
Washington,Budget Analysts,930,1010,80,8.6,90,,
Washington,Credit Analysts,1820,1910,90,4.9,190,,
Washington,Personal Financial Advisors,5340,6660,1320,24.7,720,,
Washington,Insurance Underwriters,1550,1610,60,3.9,140,,
Washington,Financial Examiners,660,710,50,7.6,60,,
Washington,Credit Counselors,440,520,80,18.2,60,,
Washington,Loan Officers,7140,7340,200,2.8,640,,
Washington,"Tax Examiners and Collectors, and Revenue Agents",1030,1030,0,0.0,90,,
Washington,Tax Preparers,1350,1480,130,9.6,190,,
Washington,"Financial Specialists, All Other",11290,13470,2180,19.3,1510,,
Washington,Computer and Information Research Scientists,2780,3760,980,35.3,450,,
Washington,Computer Systems Analysts,18360,21430,3070,16.7,2060,,
Washington,Information Security Analysts,3310,4310,1000,30.2,470,,
Washington,Computer Programmers,6510,6570,60,0.9,480,,
Washington,"Software Developers, Applications",86730,116710,29980,34.6,35620,,
Washington,Web Developers,18200,23320,5120,28.1,2630,,
Washington,Database Administrators,2760,3300,540,19.6,330,,
Washington,Network and Computer Systems Administrators,8690,10420,1730,19.9,1020,,
Washington,Computer Network Architects,4990,5430,440,8.8,450,,
Washington,Computer User Support Specialists,18900,22560,3660,19.4,2440,,
Washington,Computer Network Support Specialists,3580,4100,520,14.5,420,,
Washington,"Computer Occupations, All Other",17280,23460,6180,35.8,2730,,
Washington,Actuaries,470,530,60,12.8,40,,
Washington,Mathematicians,110,120,10,9.1,10,,
Washington,Operations Research Analysts,2970,3770,800,26.9,380,,
Washington,Statisticians,1370,1760,390,28.5,200,,
Washington,"Mathematical Science Occupations, All Other",7330,9510,2180,29.7,1040,,
Washington,"Architects, Except Landscape and Naval",7000,7530,530,7.6,670,,
Washington,Landscape Architects,1240,1360,120,9.7,130,,
Washington,Cartographers and Photogrammetrists,340,400,60,17.6,40,,
Washington,Surveyors,970,1050,80,8.2,90,,
Washington,Aerospace Engineers,7260,7740,480,6.6,590,,
Washington,Agricultural Engineers,10,10,0,0.0,0,,
Washington,Biomedical Engineers,620,700,80,12.9,60,,
Washington,Chemical Engineers,640,690,50,7.8,50,,
Washington,Civil Engineers,13220,14280,1060,8.0,1290,,
Washington,Computer Hardware Engineers,2110,2470,360,17.1,240,,
Washington,Electrical Engineers,6390,6990,600,9.4,570,,
Washington,"Electronics Engineers, Except Computer",3590,3760,170,4.7,280,,
Washington,Environmental Engineers,2130,2390,260,12.2,220,,
Washington,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",580,710,130,22.4,70,,
Washington,Industrial Engineers,7580,9010,1430,18.9,860,,
Washington,Marine Engineers and Naval Architects,610,650,40,6.6,40,,
Washington,Materials Engineers,1080,1180,100,9.3,90,,
Washington,Mechanical Engineers,8020,8980,960,12.0,770,,
Washington,"Mining and Geological Engineers, Including Mining Safety Engineers",50,50,0,0.0,0,,
Washington,Nuclear Engineers,1410,1520,110,7.8,110,,
Washington,Petroleum Engineers,90,90,0,0.0,10,,
Washington,"Engineers, All Other",3480,3720,240,6.9,300,,
