Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
West Virginia,"Total, All Occupations",735470.0,774510.0,39040.0,5.3,90060.0,,
West Virginia,Chief Executives,1280.0,1220.0,-60.0,-4.7,80.0,,
West Virginia,General and Operations Managers,11270.0,11850.0,580.0,5.1,1060.0,,
West Virginia,Legislators,640.0,660.0,20.0,3.1,50.0,,
West Virginia,Advertising and Promotions Managers,50.0,50.0,0.0,0.0,10.0,,
West Virginia,Marketing Managers,370.0,390.0,20.0,5.4,40.0,,
West Virginia,Sales Managers,890.0,930.0,40.0,4.5,80.0,,
West Virginia,Public Relations and Fundraising Managers,140.0,160.0,20.0,14.3,20.0,,
West Virginia,Administrative Services Managers,1340.0,1450.0,110.0,8.2,130.0,,
West Virginia,Computer and Information Systems Managers,830.0,940.0,110.0,13.3,80.0,,
West Virginia,Financial Managers,1600.0,1890.0,290.0,18.1,160.0,,
West Virginia,Industrial Production Managers,900.0,970.0,70.0,7.8,80.0,,
West Virginia,Purchasing Managers,110.0,110.0,0.0,0.0,10.0,,
West Virginia,"Transportation, Storage, and Distribution Managers",340.0,370.0,30.0,8.8,30.0,,
West Virginia,Compensation and Benefits Managers,30.0,30.0,0.0,0.0,0.0,,
West Virginia,Human Resources Managers,370.0,410.0,40.0,10.8,40.0,,
West Virginia,Training and Development Managers,80.0,90.0,10.0,12.5,10.0,,
West Virginia,"Farmers, Ranchers, and Other Agricultural Managers",620.0,620.0,0.0,0.0,60.0,,
West Virginia,Construction Managers,1560.0,1640.0,80.0,5.1,120.0,,
West Virginia,"Education Administrators, Preschool and Childcare Center/Program",220.0,220.0,0.0,0.0,20.0,,
West Virginia,"Education Administrators, Elementary and Secondary School",1330.0,1390.0,60.0,4.5,110.0,,
West Virginia,"Education Administrators, Postsecondary",870.0,930.0,60.0,6.9,80.0,,
West Virginia,"Education Administrators, All Other",180.0,200.0,20.0,11.1,20.0,,
West Virginia,Architectural and Engineering Managers,500.0,530.0,30.0,6.0,40.0,,
West Virginia,Food Service Managers,2390.0,2630.0,240.0,10.0,310.0,,
West Virginia,Funeral Service Managers,420.0,410.0,-10.0,-2.4,30.0,,
West Virginia,Lodging Managers,240.0,250.0,10.0,4.2,30.0,,
West Virginia,Medical and Health Services Managers,1750.0,2010.0,260.0,14.9,180.0,,
West Virginia,Natural Sciences Managers,160.0,170.0,10.0,6.3,20.0,,
West Virginia,Postmasters and Mail Superintendents,170.0,150.0,-20.0,-11.8,10.0,,
West Virginia,"Property, Real Estate, and Community Association Managers",1280.0,1330.0,50.0,3.9,110.0,,
West Virginia,Social and Community Service Managers,490.0,540.0,50.0,10.2,50.0,,
West Virginia,"Managers, All Other",3970.0,4250.0,280.0,7.1,340.0,,
West Virginia,Buyers and Purchasing Agents,1020.0,970.0,-50.0,-4.9,100.0,,
West Virginia,"Claims Adjusters, Examiners, and Investigators",1280.0,1190.0,-90.0,-7.0,100.0,,
West Virginia,"Insurance Appraisers, Auto Damage",50.0,50.0,0.0,0.0,0.0,,
West Virginia,Compliance Officers,1040.0,1130.0,90.0,8.7,100.0,,
West Virginia,Cost Estimators,920.0,980.0,60.0,6.5,100.0,,
West Virginia,Human Resources Specialists,1800.0,1920.0,120.0,6.7,200.0,,
West Virginia,Labor Relations Specialists,870.0,800.0,-70.0,-8.0,80.0,,
West Virginia,Logisticians,310.0,320.0,10.0,3.2,30.0,,
West Virginia,Management Analysts,2340.0,2720.0,380.0,16.2,280.0,,
West Virginia,"Meeting, Convention, and Event Planners",190.0,210.0,20.0,10.5,20.0,,
West Virginia,Fundraisers,200.0,220.0,20.0,10.0,20.0,,
West Virginia,"Compensation, Benefits, and Job Analysis Specialists",250.0,260.0,10.0,4.0,30.0,,
West Virginia,Training and Development Specialists,1330.0,1460.0,130.0,9.8,160.0,,
West Virginia,Market Research Analysts and Marketing Specialists,1040.0,1240.0,200.0,19.2,140.0,,
West Virginia,"Business Operations Specialists, All Other",2830.0,3040.0,210.0,7.4,300.0,,
West Virginia,Accountants and Auditors,4100.0,4400.0,300.0,7.3,430.0,,
West Virginia,Appraisers and Assessors of Real Estate,950.0,980.0,30.0,3.2,80.0,,
West Virginia,Budget Analysts,200.0,210.0,10.0,5.0,20.0,,
West Virginia,Credit Analysts,130.0,140.0,10.0,7.7,10.0,,
West Virginia,Financial Analysts,410.0,450.0,40.0,9.8,40.0,,
West Virginia,Personal Financial Advisors,650.0,680.0,30.0,4.6,50.0,,
West Virginia,Insurance Underwriters,140.0,140.0,0.0,0.0,10.0,,
West Virginia,Financial Examiners,70.0,70.0,0.0,0.0,10.0,,
West Virginia,Credit Counselors,130.0,140.0,10.0,7.7,10.0,,
West Virginia,Loan Officers,730.0,790.0,60.0,8.2,70.0,,
West Virginia,"Tax Examiners and Collectors, and Revenue Agents",220.0,230.0,10.0,4.5,20.0,,
West Virginia,Tax Preparers,470.0,490.0,20.0,4.3,60.0,,
West Virginia,"Financial Specialists, All Other",810.0,860.0,50.0,6.2,80.0,,
West Virginia,Computer and Information Research Scientists,60.0,70.0,10.0,16.7,10.0,,
West Virginia,Computer Systems Analysts,1180.0,1330.0,150.0,12.7,110.0,,
West Virginia,Information Security Analysts,280.0,370.0,90.0,32.1,30.0,,
West Virginia,Computer Programmers,480.0,470.0,-10.0,-2.1,30.0,,
West Virginia,"Software Developers, Applications",1170.0,1530.0,360.0,30.8,130.0,,
West Virginia,"Software Developers, Systems Software",440.0,500.0,60.0,13.6,40.0,,
West Virginia,Web Developers,320.0,360.0,40.0,12.5,30.0,,
West Virginia,Database Administrators,440.0,490.0,50.0,11.4,40.0,,
West Virginia,Network and Computer Systems Administrators,1240.0,1310.0,70.0,5.6,100.0,,
West Virginia,Computer Network Architects,220.0,230.0,10.0,4.5,20.0,,
West Virginia,Computer User Support Specialists,1970.0,2140.0,170.0,8.6,190.0,,
West Virginia,Computer Network Support Specialists,730.0,790.0,60.0,8.2,70.0,,
West Virginia,"Computer Occupations, All Other",2260.0,2400.0,140.0,6.2,180.0,,
West Virginia,Operations Research Analysts,240.0,300.0,60.0,25.0,20.0,,
West Virginia,Statisticians,110.0,150.0,40.0,36.4,10.0,,
West Virginia,"Architects, Except Landscape and Naval",220.0,230.0,10.0,4.5,20.0,,
West Virginia,Landscape Architects,50.0,60.0,10.0,20.0,0.0,,
West Virginia,Cartographers and Photogrammetrists,60.0,70.0,10.0,16.7,10.0,,
West Virginia,Surveyors,680.0,710.0,30.0,4.4,50.0,,
West Virginia,Aerospace Engineers,90.0,90.0,0.0,0.0,10.0,,
West Virginia,Biomedical Engineers,50.0,50.0,0.0,0.0,0.0,,
West Virginia,Chemical Engineers,300.0,370.0,70.0,23.3,30.0,,
West Virginia,Civil Engineers,1570.0,1680.0,110.0,7.0,140.0,,
West Virginia,Computer Hardware Engineers,240.0,270.0,30.0,12.5,20.0,,
