Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Wisconsin,"Total, All Occupations",3160940.0,3272860.0,111920.0,3.5,380270.0,,
Wisconsin,Chief Executives,6880.0,6370.0,-510.0,-7.4,420.0,,
Wisconsin,General and Operations Managers,34820.0,36880.0,2060.0,5.9,3320.0,,
Wisconsin,Legislators,910.0,910.0,0.0,0.0,70.0,,
Wisconsin,Advertising and Promotions Managers,130.0,130.0,0.0,0.0,10.0,,
Wisconsin,Marketing Managers,2930.0,3120.0,190.0,6.5,290.0,,
Wisconsin,Sales Managers,5260.0,5550.0,290.0,5.5,510.0,,
Wisconsin,Public Relations and Fundraising Managers,1440.0,1560.0,120.0,8.3,140.0,,
Wisconsin,Administrative Services Managers,7130.0,7590.0,460.0,6.5,660.0,,
Wisconsin,Computer and Information Systems Managers,6540.0,7140.0,600.0,9.2,590.0,,
Wisconsin,Financial Managers,8620.0,9920.0,1300.0,15.1,850.0,,
Wisconsin,Industrial Production Managers,6780.0,7150.0,370.0,5.5,550.0,,
Wisconsin,Purchasing Managers,1290.0,1370.0,80.0,6.2,120.0,,
Wisconsin,"Transportation, Storage, and Distribution Managers",2780.0,2990.0,210.0,7.6,250.0,,
Wisconsin,Compensation and Benefits Managers,300.0,300.0,0.0,0.0,30.0,,
Wisconsin,Human Resources Managers,2770.0,2930.0,160.0,5.8,260.0,,
Wisconsin,Training and Development Managers,590.0,630.0,40.0,6.8,60.0,,
Wisconsin,"Farmers, Ranchers, and Other Agricultural Managers",23960.0,25070.0,1110.0,4.6,2550.0,,
Wisconsin,Construction Managers,4570.0,5100.0,530.0,11.6,400.0,,
Wisconsin,"Education Administrators, Preschool and Childcare Center/Program",1120.0,1120.0,0.0,0.0,90.0,,
Wisconsin,"Education Administrators, Elementary and Secondary School",5590.0,5940.0,350.0,6.3,480.0,,
Wisconsin,"Education Administrators, Postsecondary",3600.0,3940.0,340.0,9.4,330.0,,
Wisconsin,"Education Administrators, All Other",300.0,320.0,20.0,6.7,30.0,,
Wisconsin,Architectural and Engineering Managers,3880.0,4040.0,160.0,4.1,300.0,,
Wisconsin,Food Service Managers,7890.0,8270.0,380.0,4.8,960.0,,
Wisconsin,Funeral Service Managers,320.0,350.0,30.0,9.4,30.0,,
Wisconsin,Gaming Managers,70.0,70.0,0.0,0.0,10.0,,
Wisconsin,Lodging Managers,660.0,680.0,20.0,3.0,70.0,,
Wisconsin,Medical and Health Services Managers,7860.0,8700.0,840.0,10.7,740.0,,
Wisconsin,Natural Sciences Managers,630.0,680.0,50.0,7.9,60.0,,
Wisconsin,Postmasters and Mail Superintendents,330.0,280.0,-50.0,-15.2,20.0,,
Wisconsin,"Property, Real Estate, and Community Association Managers",2260.0,2410.0,150.0,6.6,190.0,,
Wisconsin,Social and Community Service Managers,4040.0,4320.0,280.0,6.9,390.0,,
Wisconsin,Emergency Management Directors,160.0,170.0,10.0,6.3,10.0,,
Wisconsin,"Managers, All Other",24700.0,26100.0,1400.0,5.7,2060.0,,
Wisconsin,"Agents and Business Managers of Artists, Performers, and Athletes",80.0,90.0,10.0,12.5,10.0,,
Wisconsin,Buyers and Purchasing Agents,10450.0,9900.0,-550.0,-5.3,1010.0,,
Wisconsin,"Claims Adjusters, Examiners, and Investigators",6960.0,6760.0,-200.0,-2.9,560.0,,
Wisconsin,"Insurance Appraisers, Auto Damage",60.0,60.0,0.0,0.0,10.0,,
Wisconsin,Compliance Officers,3730.0,3950.0,220.0,5.9,360.0,,
Wisconsin,Cost Estimators,4820.0,5210.0,390.0,8.1,530.0,,
Wisconsin,Human Resources Specialists,13930.0,14540.0,610.0,4.4,1490.0,,
Wisconsin,Farm Labor Contractors,50.0,60.0,10.0,20.0,10.0,,
Wisconsin,Labor Relations Specialists,12610.0,11750.0,-860.0,-6.8,1140.0,,
Wisconsin,Logisticians,3440.0,3710.0,270.0,7.8,370.0,,
Wisconsin,Management Analysts,14690.0,16770.0,2080.0,14.2,1690.0,,
Wisconsin,"Meeting, Convention, and Event Planners",2760.0,2950.0,190.0,6.9,340.0,,
Wisconsin,Fundraisers,2910.0,3180.0,270.0,9.3,340.0,,
Wisconsin,"Compensation, Benefits, and Job Analysis Specialists",1470.0,1540.0,70.0,4.8,150.0,,
Wisconsin,Training and Development Specialists,6470.0,6810.0,340.0,5.3,750.0,,
Wisconsin,Market Research Analysts and Marketing Specialists,13370.0,15890.0,2520.0,18.8,1750.0,,
Wisconsin,"Business Operations Specialists, All Other",11120.0,11850.0,730.0,6.6,1180.0,,
Wisconsin,Accountants and Auditors,25500.0,26990.0,1490.0,5.8,2600.0,,
Wisconsin,Appraisers and Assessors of Real Estate,1020.0,1070.0,50.0,4.9,80.0,,
Wisconsin,Budget Analysts,1100.0,1150.0,50.0,4.5,90.0,,
Wisconsin,Credit Analysts,1880.0,1930.0,50.0,2.7,180.0,,
Wisconsin,Financial Analysts,4510.0,4770.0,260.0,5.8,420.0,,
Wisconsin,Personal Financial Advisors,6420.0,7010.0,590.0,9.2,570.0,,
Wisconsin,Insurance Underwriters,2210.0,2120.0,-90.0,-4.1,170.0,,
Wisconsin,Financial Examiners,1550.0,1630.0,80.0,5.2,130.0,,
Wisconsin,Credit Counselors,470.0,500.0,30.0,6.4,50.0,,
Wisconsin,Loan Officers,7420.0,7620.0,200.0,2.7,650.0,,
Wisconsin,"Tax Examiners and Collectors, and Revenue Agents",510.0,500.0,-10.0,-2.0,40.0,,
Wisconsin,Tax Preparers,890.0,910.0,20.0,2.2,100.0,,
Wisconsin,"Financial Specialists, All Other",1780.0,1890.0,110.0,6.2,170.0,,
Wisconsin,Computer and Information Research Scientists,210.0,280.0,70.0,33.3,30.0,,
Wisconsin,Computer Systems Analysts,15280.0,16560.0,1280.0,8.4,1280.0,,
Wisconsin,Information Security Analysts,1290.0,1600.0,310.0,24.0,130.0,,
Wisconsin,Computer Programmers,5820.0,5350.0,-470.0,-8.1,350.0,,
Wisconsin,"Software Developers, Applications",16560.0,20900.0,4340.0,26.2,1750.0,,
Wisconsin,"Software Developers, Systems Software",4170.0,4620.0,450.0,10.8,360.0,,
Wisconsin,Web Developers,3630.0,3960.0,330.0,9.1,320.0,,
Wisconsin,Database Administrators,1850.0,2000.0,150.0,8.1,150.0,,
Wisconsin,Network and Computer Systems Administrators,7270.0,7450.0,180.0,2.5,530.0,,
Wisconsin,Computer Network Architects,2150.0,2320.0,170.0,7.9,170.0,,
Wisconsin,Computer User Support Specialists,12270.0,13340.0,1070.0,8.7,1160.0,,
Wisconsin,Computer Network Support Specialists,4180.0,4450.0,270.0,6.5,380.0,,
Wisconsin,"Computer Occupations, All Other",3970.0,4360.0,390.0,9.8,340.0,,
Wisconsin,Actuaries,700.0,850.0,150.0,21.4,60.0,,
Wisconsin,Operations Research Analysts,1410.0,1780.0,370.0,26.2,140.0,,
Wisconsin,"Architects, Except Landscape and Naval",1680.0,1800.0,120.0,7.1,150.0,,
Wisconsin,Landscape Architects,600.0,630.0,30.0,5.0,50.0,,
Wisconsin,Cartographers and Photogrammetrists,260.0,290.0,30.0,11.5,20.0,,
Wisconsin,Surveyors,840.0,850.0,10.0,1.2,60.0,,
Wisconsin,Aerospace Engineers,40.0,40.0,0.0,0.0,0.0,,
Wisconsin,Agricultural Engineers,50.0,50.0,0.0,0.0,0.0,,
Wisconsin,Biomedical Engineers,190.0,210.0,20.0,10.5,20.0,,
Wisconsin,Chemical Engineers,640.0,740.0,100.0,15.6,50.0,,
Wisconsin,Civil Engineers,6750.0,7090.0,340.0,5.0,570.0,,
Wisconsin,Computer Hardware Engineers,680.0,770.0,90.0,13.2,60.0,,
Wisconsin,Electrical Engineers,3930.0,4150.0,220.0,5.6,290.0,,
Wisconsin,"Electronics Engineers, Except Computer",700.0,730.0,30.0,4.3,50.0,,
Wisconsin,Environmental Engineers,750.0,840.0,90.0,12.0,70.0,,
Wisconsin,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",770.0,830.0,60.0,7.8,60.0,,
Wisconsin,Industrial Engineers,8610.0,9560.0,950.0,11.0,720.0,,
Wisconsin,Materials Engineers,480.0,490.0,10.0,2.1,30.0,,
Wisconsin,Mechanical Engineers,11130.0,11920.0,790.0,7.1,860.0,,
Wisconsin,"Mining and Geological Engineers, Including Mining Safety Engineers",50.0,50.0,0.0,0.0,0.0,,
