Area Name,Occupation Name,Base,Projection,Change,Percent Change,Average Annual Openings,Unnamed: 7,Unnamed: 8
Wyoming,"Total, All Occupations",292410.0,312820.0,20410.0,7.0,37080.0,,
Wyoming,General and Operations Managers,5370.0,5840.0,470.0,8.8,530.0,,
Wyoming,Marketing Managers,60.0,60.0,0.0,0.0,10.0,,
Wyoming,Sales Managers,210.0,220.0,10.0,4.8,20.0,,
Wyoming,Administrative Services Managers,160.0,170.0,10.0,6.3,10.0,,
Wyoming,Computer and Information Systems Managers,220.0,240.0,20.0,9.1,20.0,,
Wyoming,Financial Managers,700.0,810.0,110.0,15.7,70.0,,
Wyoming,Industrial Production Managers,410.0,400.0,-10.0,-2.4,30.0,,
Wyoming,Purchasing Managers,30.0,30.0,0.0,0.0,0.0,,
Wyoming,"Transportation, Storage, and Distribution Managers",210.0,210.0,0.0,0.0,20.0,,
Wyoming,Human Resources Managers,160.0,180.0,20.0,12.5,20.0,,
Wyoming,"Farmers, Ranchers, and Other Agricultural Managers",2010.0,2080.0,70.0,3.5,210.0,,
Wyoming,Construction Managers,870.0,940.0,70.0,8.0,70.0,,
Wyoming,"Education Administrators, Preschool and Childcare Center/Program",130.0,140.0,10.0,7.7,10.0,,
Wyoming,"Education Administrators, Elementary and Secondary School",410.0,430.0,20.0,4.9,40.0,,
Wyoming,"Education Administrators, Postsecondary",130.0,140.0,10.0,7.7,10.0,,
Wyoming,"Education Administrators, All Other",90.0,100.0,10.0,11.1,10.0,,
Wyoming,Architectural and Engineering Managers,190.0,190.0,0.0,0.0,10.0,,
Wyoming,Food Service Managers,670.0,750.0,80.0,11.9,90.0,,
Wyoming,Lodging Managers,480.0,550.0,70.0,14.6,60.0,,
Wyoming,Medical and Health Services Managers,890.0,1070.0,180.0,20.2,100.0,,
Wyoming,Natural Sciences Managers,160.0,160.0,0.0,0.0,20.0,,
Wyoming,Postmasters and Mail Superintendents,80.0,70.0,-10.0,-12.5,10.0,,
Wyoming,"Property, Real Estate, and Community Association Managers",680.0,780.0,100.0,14.7,70.0,,
Wyoming,Social and Community Service Managers,360.0,410.0,50.0,13.9,40.0,,
Wyoming,Emergency Management Directors,40.0,40.0,0.0,0.0,0.0,,
Wyoming,"Managers, All Other",1730.0,1820.0,90.0,5.2,140.0,,
Wyoming,Buyers and Purchasing Agents,480.0,460.0,-20.0,-4.2,50.0,,
Wyoming,"Claims Adjusters, Examiners, and Investigators",170.0,170.0,0.0,0.0,10.0,,
Wyoming,Compliance Officers,410.0,430.0,20.0,4.9,40.0,,
Wyoming,Cost Estimators,260.0,300.0,40.0,15.4,30.0,,
Wyoming,Human Resources Specialists,820.0,860.0,40.0,4.9,90.0,,
Wyoming,Farm Labor Contractors,0.0,0.0,0.0,0.0,0.0,,
Wyoming,Labor Relations Specialists,100.0,90.0,-10.0,-10.0,10.0,,
Wyoming,Logisticians,90.0,90.0,0.0,0.0,10.0,,
Wyoming,Management Analysts,490.0,610.0,120.0,24.5,60.0,,
Wyoming,"Meeting, Convention, and Event Planners",170.0,200.0,30.0,17.6,20.0,,
Wyoming,Fundraisers,100.0,120.0,20.0,20.0,10.0,,
Wyoming,"Compensation, Benefits, and Job Analysis Specialists",50.0,50.0,0.0,0.0,10.0,,
Wyoming,Training and Development Specialists,390.0,420.0,30.0,7.7,50.0,,
Wyoming,Market Research Analysts and Marketing Specialists,370.0,460.0,90.0,24.3,50.0,,
Wyoming,"Business Operations Specialists, All Other",1160.0,1250.0,90.0,7.8,120.0,,
Wyoming,Accountants and Auditors,1990.0,2190.0,200.0,10.1,220.0,,
Wyoming,Appraisers and Assessors of Real Estate,320.0,360.0,40.0,12.5,30.0,,
Wyoming,Budget Analysts,110.0,120.0,10.0,9.1,10.0,,
Wyoming,Credit Analysts,50.0,60.0,10.0,20.0,10.0,,
Wyoming,Financial Analysts,100.0,110.0,10.0,10.0,10.0,,
Wyoming,Personal Financial Advisors,350.0,410.0,60.0,17.1,30.0,,
Wyoming,Financial Examiners,30.0,30.0,0.0,0.0,0.0,,
Wyoming,Credit Counselors,40.0,40.0,0.0,0.0,0.0,,
Wyoming,Loan Officers,810.0,870.0,60.0,7.4,80.0,,
Wyoming,"Tax Examiners and Collectors, and Revenue Agents",60.0,60.0,0.0,0.0,10.0,,
Wyoming,Tax Preparers,70.0,80.0,10.0,14.3,10.0,,
Wyoming,"Financial Specialists, All Other",80.0,90.0,10.0,12.5,10.0,,
Wyoming,Computer Systems Analysts,190.0,220.0,30.0,15.8,20.0,,
Wyoming,Information Security Analysts,50.0,60.0,10.0,20.0,10.0,,
Wyoming,Computer Programmers,250.0,240.0,-10.0,-4.0,20.0,,
Wyoming,"Software Developers, Applications",300.0,400.0,100.0,33.3,30.0,,
Wyoming,"Software Developers, Systems Software",100.0,120.0,20.0,20.0,10.0,,
Wyoming,Web Developers,190.0,210.0,20.0,10.5,20.0,,
Wyoming,Database Administrators,200.0,210.0,10.0,5.0,20.0,,
Wyoming,Network and Computer Systems Administrators,550.0,580.0,30.0,5.5,40.0,,
Wyoming,Computer Network Architects,90.0,100.0,10.0,11.1,10.0,,
Wyoming,Computer User Support Specialists,670.0,740.0,70.0,10.4,70.0,,
Wyoming,Computer Network Support Specialists,350.0,370.0,20.0,5.7,30.0,,
Wyoming,"Computer Occupations, All Other",150.0,160.0,10.0,6.7,10.0,,
Wyoming,Statisticians,50.0,60.0,10.0,20.0,10.0,,
Wyoming,"Architects, Except Landscape and Naval",140.0,160.0,20.0,14.3,10.0,,
Wyoming,Landscape Architects,50.0,50.0,0.0,0.0,0.0,,
Wyoming,Cartographers and Photogrammetrists,120.0,130.0,10.0,8.3,10.0,,
Wyoming,Surveyors,250.0,280.0,30.0,12.0,20.0,,
Wyoming,Chemical Engineers,70.0,70.0,0.0,0.0,10.0,,
Wyoming,Civil Engineers,910.0,1000.0,90.0,9.9,80.0,,
Wyoming,Electrical Engineers,250.0,280.0,30.0,12.0,20.0,,
Wyoming,"Electronics Engineers, Except Computer",80.0,90.0,10.0,12.5,10.0,,
Wyoming,Environmental Engineers,240.0,260.0,20.0,8.3,20.0,,
Wyoming,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",20.0,20.0,0.0,0.0,0.0,,
Wyoming,Industrial Engineers,140.0,150.0,10.0,7.1,10.0,,
Wyoming,Mechanical Engineers,240.0,270.0,30.0,12.5,20.0,,
Wyoming,"Mining and Geological Engineers, Including Mining Safety Engineers",160.0,140.0,-20.0,-12.5,10.0,,
Wyoming,Nuclear Engineers,0.0,0.0,0.0,0.0,0.0,,
Wyoming,Petroleum Engineers,470.0,480.0,10.0,2.1,40.0,,
Wyoming,"Engineers, All Other",90.0,100.0,10.0,11.1,10.0,,
Wyoming,Architectural and Civil Drafters,260.0,270.0,10.0,3.8,30.0,,
Wyoming,Electrical and Electronics Drafters,40.0,40.0,0.0,0.0,0.0,,
Wyoming,Mechanical Drafters,60.0,60.0,0.0,0.0,10.0,,
Wyoming,Civil Engineering Technicians,310.0,330.0,20.0,6.5,30.0,,
Wyoming,Electrical and Electronics Engineering Technicians,140.0,150.0,10.0,7.1,10.0,,
Wyoming,Electro-Mechanical Technicians,90.0,90.0,0.0,0.0,10.0,,
Wyoming,Environmental Engineering Technicians,30.0,40.0,10.0,33.3,0.0,,
Wyoming,Mechanical Engineering Technicians,30.0,30.0,0.0,0.0,0.0,,
Wyoming,"Engineering Technicians, Except Drafters, All Other",140.0,140.0,0.0,0.0,10.0,,
Wyoming,Surveying and Mapping Technicians,140.0,150.0,10.0,7.1,20.0,,
Wyoming,Soil and Plant Scientists,20.0,20.0,0.0,0.0,0.0,,
Wyoming,Zoologists and Wildlife Biologists,310.0,330.0,20.0,6.5,30.0,,
Wyoming,"Biological Scientists, All Other",150.0,150.0,0.0,0.0,10.0,,
Wyoming,Conservation Scientists,170.0,170.0,0.0,0.0,20.0,,
Wyoming,Foresters,60.0,60.0,0.0,0.0,10.0,,
Wyoming,Epidemiologists,20.0,20.0,0.0,0.0,0.0,,
Wyoming,Atmospheric and Space Scientists,70.0,90.0,20.0,28.6,10.0,,
Wyoming,Chemists,120.0,130.0,10.0,8.3,10.0,,
Wyoming,"Environmental Scientists and Specialists, Including Health",490.0,540.0,50.0,10.2,60.0,,
Wyoming,"Geoscientists, Except Hydrologists and Geographers",160.0,180.0,20.0,12.5,20.0,,
Wyoming,Hydrologists,40.0,40.0,0.0,0.0,10.0,,
Wyoming,"Physical Scientists, All Other",30.0,30.0,0.0,0.0,0.0,,
Wyoming,Survey Researchers,50.0,50.0,0.0,0.0,10.0,,
Wyoming,"Clinical, Counseling, and School Psychologists",420.0,480.0,60.0,14.3,40.0,,
Wyoming,"Psychologists, All Other",30.0,30.0,0.0,0.0,0.0,,
Wyoming,Urban and Regional Planners,70.0,80.0,10.0,14.3,10.0,,
Wyoming,Anthropologists and Archeologists,70.0,80.0,10.0,14.3,10.0,,
Wyoming,"Social Scientists and Related Workers, All Other",30.0,30.0,0.0,0.0,0.0,,
Wyoming,Biological Technicians,210.0,220.0,10.0,4.8,20.0,,
Wyoming,Chemical Technicians,390.0,410.0,20.0,5.1,40.0,,
Wyoming,Geological and Petroleum Technicians,160.0,160.0,0.0,0.0,20.0,,
Wyoming,"Environmental Science and Protection Technicians, Including Health",120.0,140.0,20.0,16.7,20.0,,
Wyoming,Forensic Science Technicians,50.0,50.0,0.0,0.0,10.0,,
Wyoming,Forest and Conservation Technicians,610.0,630.0,20.0,3.3,80.0,,
Wyoming,"Life, Physical, and Social Science Technicians, All Other",170.0,190.0,20.0,11.8,20.0,,
Wyoming,"Educational, Guidance, School, and Vocational Counselors",620.0,690.0,70.0,11.3,70.0,,
Wyoming,Marriage and Family Therapists,60.0,70.0,10.0,16.7,10.0,,
Wyoming,Rehabilitation Counselors,170.0,180.0,10.0,5.9,20.0,,
Wyoming,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",560.0,710.0,150.0,26.8,80.0,,
Wyoming,"Child, Family, and School Social Workers",780.0,840.0,60.0,7.7,90.0,,
Wyoming,Healthcare Social Workers,170.0,200.0,30.0,17.6,20.0,,
Wyoming,Mental Health and Substance Abuse Social Workers,210.0,260.0,50.0,23.8,30.0,,
Wyoming,"Social Workers, All Other",160.0,170.0,10.0,6.3,20.0,,
Wyoming,Health Educators,160.0,170.0,10.0,6.3,20.0,,
Wyoming,Probation Officers and Correctional Treatment Specialists,170.0,180.0,10.0,5.9,20.0,,
Wyoming,Social and Human Service Assistants,780.0,870.0,90.0,11.5,110.0,,
