occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse
All Occupations,146875480,0.1,25.72,53490,0.1
Management Occupations,8054120,0.2,58.88,122480,0.1
Top Executives,2658440,0.3,61.09,127070,0.2
Chief Executives,205890,0.8,93.2,193850,0.4
Chief Executives,205890,0.8,93.2,193850,0.4
General and Operations Managers,2400280,0.3,59.15,123030,0.2
General and Operations Managers,2400280,0.3,59.15,123030,0.2
Legislators,52280,2.2,*,49440,1.3
Legislators,52280,2.2,*,49440,1.3
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",770540,0.5,68.91,143330,0.2
Advertising and Promotions Managers,25100,3.0,68.22,141890,1.3
Advertising and Promotions Managers,25100,3.0,68.22,141890,1.3
Marketing and Sales Managers,666280,0.5,69.55,144660,0.2
Marketing Managers,263680,0.8,71.73,149200,0.3
Sales Managers,402600,0.6,68.12,141690,0.3
Public Relations and Fundraising Managers,79160,1.3,63.77,132630,0.6
Public Relations and Fundraising Managers,79160,1.3,63.77,132630,0.6
Operations Specialties Managers,1996160,0.3,64.69,134550,0.2
Administrative Services and Facilities Managers,307280,0.5,51.23,106550,0.3
Administrative Services and Facilities Managers,307280,0.5,51.23,106550,0.3
Computer and Information Systems Managers,433960,0.6,75.19,156390,0.3
Computer and Information Systems Managers,433960,0.6,75.19,156390,0.3
Financial Managers,654790,0.6,70.93,147530,0.3
Financial Managers,654790,0.6,70.93,147530,0.3
Industrial Production Managers,185790,0.9,55.34,115110,0.3
Industrial Production Managers,185790,0.9,55.34,115110,0.3
Purchasing Managers,72100,0.8,61.73,128400,0.4
Purchasing Managers,72100,0.8,61.73,128400,0.4
"Transportation, Storage, and Distribution Managers",132040,0.9,49.67,103320,0.4
"Transportation, Storage, and Distribution Managers",132040,0.9,49.67,103320,0.4
Compensation and Benefits Managers,16900,1.9,64.52,134210,0.7
Compensation and Benefits Managers,16900,1.9,64.52,134210,0.7
Human Resources Managers,154800,0.7,62.29,129570,0.3
Human Resources Managers,154800,0.7,62.29,129570,0.3
Training and Development Managers,38510,1.2,59.36,123470,0.4
Training and Development Managers,38510,1.2,59.36,123470,0.4
Other Management Occupations,2628970,0.3,49.31,102560,0.2
"Farmers, Ranchers, and Other Agricultural Managers",5060,5.1,38.63,80360,2.3
"Farmers, Ranchers, and Other Agricultural Managers",5060,5.1,38.63,80360,2.3
Construction Managers,293380,0.9,50.48,105000,0.4
Construction Managers,293380,0.9,50.48,105000,0.4
Education and Childcare Administrators,512820,0.6,47.25,98270,0.6
"Education and Childcare Administrators, Preschool and Daycare",52360,1.7,25.81,53690,1.0
"Education Administrators, Kindergarten through Secondary",271020,0.8,*,100340,0.8
"Education Administrators, Postsecondary",144880,1.1,54.04,112400,0.7
"Education Administrators, All Other",44550,2.2,44.3,92150,1.0
Architectural and Engineering Managers,194250,1.0,73.52,152930,0.3
Architectural and Engineering Managers,194250,1.0,73.52,152930,0.3
Food Service Managers,235470,1.2,28.76,59820,0.5
Food Service Managers,235470,1.2,28.76,59820,0.5
Gambling Managers,4450,3.5,40.72,84700,1.2
Lodging Managers,38340,2.4,30.56,63570,1.1
Lodging Managers,38340,2.4,30.56,63570,1.1
Medical and Health Services Managers,394910,0.6,55.37,115160,0.3
Medical and Health Services Managers,394910,0.6,55.37,115160,0.3
Natural Sciences Managers,67720,4.8,69.93,145450,2.0
Natural Sciences Managers,67720,4.8,69.93,145450,2.0
Postmasters and Mail Superintendents,13850,0.4,37.6,78220,0.1
Postmasters and Mail Superintendents,13850,0.4,37.6,78220,0.1
"Property, Real Estate, and Community Association Managers",220750,1.3,34.48,71720,0.9
"Property, Real Estate, and Community Association Managers",220750,1.3,34.48,71720,0.9
Social and Community Service Managers,156460,1.5,35.05,72900,0.5
Social and Community Service Managers,156460,1.5,35.05,72900,0.5
Emergency Management Directors,10060,1.4,39.68,82530,0.8
Emergency Management Directors,10060,1.4,39.68,82530,0.8
Funeral Home Managers,9400,3.3,45.78,95220,3.6
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",472060,0.5,57.07,118710,0.3
Business and Financial Operations Occupations,8183750,0.2,37.56,78130,0.2
Business Operations Specialists,5427140,0.3,36.31,75530,0.2
"Agents and Business Managers of Artists, Performers, and Athletes",17060,12.4,46.72,97170,4.0
"Agents and Business Managers of Artists, Performers, and Athletes",17060,12.4,46.72,97170,4.0
Buyers and Purchasing Agents,421280,0.7,33.5,69680,0.3
Buyers and Purchasing Agents,421280,0.7,33.5,69680,0.3
"Claims Adjusters, Appraisers, Examiners, and Investigators",301710,1.4,33.09,68820,0.4
"Claims Adjusters, Examiners, and Investigators",287960,1.4,33.15,68940,0.4
"Insurance Appraisers, Auto Damage",13750,5.5,31.85,66240,0.9
Compliance Officers,317600,0.6,35.03,72850,0.2
Compliance Officers,317600,0.6,35.03,72850,0.2
Cost Estimators,210000,0.9,34.31,71350,0.3
Cost Estimators,210000,0.9,34.31,71350,0.3
Human Resources Workers,708780,0.5,32.79,68200,0.2
Human Resources Specialists,633040,0.5,32.58,67760,0.2
Farm Labor Contractors,160,10.8,29.84,62060,7.9
Labor Relations Specialists,75580,1.9,34.55,71870,1.4
Logisticians,182050,1.0,37.83,78680,0.4
Management Analysts,709750,0.7,45.94,95560,0.4
Management Analysts,709750,0.7,45.94,95560,0.4
"Meeting, Convention, and Event Planners",117610,1.6,26.39,54880,0.7
"Meeting, Convention, and Event Planners",117610,1.6,26.39,54880,0.7
Fundraisers,81660,1.5,30.21,62830,0.8
Fundraisers,81660,1.5,30.21,62830,0.8
"Compensation, Benefits, and Job Analysis Specialists",89300,1.8,33.58,69840,0.6
"Compensation, Benefits, and Job Analysis Specialists",89300,1.8,33.58,69840,0.6
Training and Development Specialists,312450,0.7,31.56,65640,0.3
Training and Development Specialists,312450,0.7,31.56,65640,0.3
Market Research Analysts and Marketing Specialists,678500,0.7,34.41,71570,0.4
Market Research Analysts and Marketing Specialists,678500,0.7,34.41,71570,0.4
"Project Management Specialists and Business Operations Specialists, All Other",1279390,0.5,38.57,80220,0.3
Financial Specialists,2756610,0.4,40.03,83260,0.3
Accountants and Auditors,1280700,0.6,38.23,79520,0.3
Accountants and Auditors,1280700,0.6,38.23,79520,0.3
Property Appraisers and Assessors,56320,2.7,30.58,63610,1.2
Property Appraisers and Assessors,56320,2.7,30.58,63610,1.2
Budget Analysts,51460,1.0,38.61,80300,0.4
Budget Analysts,51460,1.0,38.61,80300,0.4
Credit Analysts,73930,2.2,40.83,84930,1.1
Credit Analysts,73930,2.2,40.83,84930,1.1
Personal Financial Advisors,210190,1.5,57.35,119290,1.1
Insurance Underwriters,100050,2.3,37.33,77640,0.8
Financial Examiners,64550,2.3,44.39,92330,1.4
Financial Examiners,64550,2.3,44.39,92330,1.4
Credit Counselors and Loan Officers,340480,1.1,35.46,73750,0.6
Credit Counselors,32110,2.8,24.15,50230,0.9
Loan Officers,308370,1.2,36.64,76200,0.6
"Tax Examiners, Collectors and Preparers, and Revenue Agents",120430,1.6,26.27,54640,0.9
"Tax Examiners and Collectors, and Revenue Agents",53760,0.5,29.31,60960,0.3
Tax Preparers,66670,2.8,23.82,49550,1.4
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",458510,0.9,45.27,94160,0.6
Computer and Mathematical Occupations,4552880,0.4,45.08,93760,0.5
Computer Occupations,4358410,0.4,45.01,93620,0.5
Computer and Information Analysts,714640,0.9,46.91,97570,0.3
Computer Systems Analysts,589060,1.0,46.23,96160,0.4
Information Security Analysts,125570,1.8,50.1,104210,0.5
Computer and Information Research Scientists,30780,3.6,61.28,127460,1.4
Computer and Information Research Scientists,30780,3.6,61.28,127460,1.4
Computer Support Specialists,832750,0.7,28.51,59290,0.3
Computer Network Support Specialists,185430,1.3,33.1,68860,0.5
Computer User Support Specialists,647330,0.8,27.19,56550,0.4
Database and Network Administrators and Architects,632330,0.6,46.33,96380,0.2
Computer Network Architects,152420,1.5,55.34,115110,0.5
Network and Computer Systems Administrators,354450,0.8,42.51,88410,0.2
Database Administrators and Architects,125460,1.1,46.21,96110,0.4
"Software and Web Developers, Programmers, and Testers",1754750,0.7,51.44,106980,0.8
Computer Programmers,199540,1.6,44.53,92610,1.4
Software Developers and Software Quality Assurance Analysts and Testers,1406870,0.8,53.66,111620,0.7
Web Developers and Digital Interface Designers,148340,1.4,39.6,82370,3.3
Miscellaneous Computer Occupations,393160,0.9,44.43,92410,0.5
"Computer Occupations, All Other",393160,0.9,44.43,92410,0.5
Mathematical Science Occupations,194460,1.3,46.59,96900,0.4
Actuaries,22260,3.8,58.16,120970,1.1
Actuaries,22260,3.8,58.16,120970,1.1
Mathematicians,2630,7.6,51.57,107280,1.8
Mathematicians,2630,7.6,51.57,107280,1.8
Operations Research Analysts,99680,1.8,43.56,90600,0.5
Operations Research Analysts,99680,1.8,43.56,90600,0.5
Statisticians,39090,2.2,46,95680,0.8
Statisticians,39090,2.2,46,95680,0.8
"Data Scientists and Mathematical Science Occupations, All Other",30810,3.1,48.35,100560,1.0
Architecture and Engineering Occupations,2592680,0.5,42.69,88800,0.3
"Architects, Surveyors, and Cartographers",182650,1.2,39.06,81250,0.7
"Architects, Except Naval",126130,1.5,41.85,87060,0.8
"Architects, Except Landscape and Naval",105850,1.8,43.06,89560,0.9
Landscape Architects,20280,4.5,35.56,73970,1.1
"Surveyors, Cartographers, and Photogrammetrists",56520,1.6,32.84,68300,0.6
Cartographers and Photogrammetrists,11300,2.6,33.55,69790,0.8
Surveyors,45220,1.9,32.66,67920,0.7
Engineers,1730720,0.6,48.45,100770,0.3
Aerospace Engineers,63200,3.4,57.32,119220,0.8
Aerospace Engineers,63200,3.4,57.32,119220,0.8
Agricultural Engineers,1550,10.6,47.26,98290,12.4
Agricultural Engineers,1550,10.6,47.26,98290,12.4
Bioengineers and Biomedical Engineers,19780,4.9,46.68,97090,1.1
Bioengineers and Biomedical Engineers,19780,4.9,46.68,97090,1.1
Chemical Engineers,30120,2.6,56.29,117090,1.5
Chemical Engineers,30120,2.6,56.29,117090,1.5
Civil Engineers,310850,1.0,45.36,94360,0.4
Civil Engineers,310850,1.0,45.36,94360,0.4
Computer Hardware Engineers,67880,3.8,59.15,123030,1.7
Computer Hardware Engineers,67880,3.8,59.15,123030,1.7
Electrical and Electronics Engineers,314360,1.2,51.08,106240,0.4
Electrical Engineers,185570,1.4,49.75,103480,0.4
"Electronics Engineers, Except Computer",128800,1.9,52.99,110210,0.7
Environmental Engineers,53150,1.9,45.3,94220,0.7
Environmental Engineers,53150,1.9,45.3,94220,0.7
"Industrial Engineers, Including Health and Safety",317560,1.3,44.63,92830,0.3
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",25860,2.3,45.58,94810,0.7
Industrial Engineers,291710,1.4,44.55,92660,0.3
Marine Engineers and Naval Architects,11360,4.6,47.47,98730,1.6
Marine Engineers and Naval Architects,11360,4.6,47.47,98730,1.6
Materials Engineers,26820,2.4,47.06,97890,0.8
Materials Engineers,26820,2.4,47.06,97890,0.8
Mechanical Engineers,306990,1.3,44.97,93540,0.3
Mechanical Engineers,306990,1.3,44.97,93540,0.3
"Mining and Geological Engineers, Including Mining Safety Engineers",6280,6.0,46.63,96990,2.1
"Mining and Geological Engineers, Including Mining Safety Engineers",6280,6.0,46.63,96990,2.1
Nuclear Engineers,15850,4.1,58.03,120700,3.0
Nuclear Engineers,15850,4.1,58.03,120700,3.0
Petroleum Engineers,32620,4.2,75.37,156780,2.5
Petroleum Engineers,32620,4.2,75.37,156780,2.5
Miscellaneous Engineers,152340,1.5,49.26,102460,0.9
"Engineers, All Other",152340,1.5,49.26,102460,0.9
"Drafters, Engineering Technicians, and Mapping Technicians",679310,0.6,29,60320,0.3
Drafters,192760,1.1,28.6,59480,0.4
Architectural and Civil Drafters,98800,1.7,27.92,58080,0.4
Electrical and Electronics Drafters,24140,3.6,31.6,65720,1.2
Mechanical Drafters,55210,1.5,29.09,60500,0.8
"Drafters, All Other",14600,3.5,26.37,54840,0.8
"Engineering Technologists and Technicians, Except Drafters",433520,0.8,29.87,62130,0.3
Aerospace Engineering and Operations Technologists and Technicians,11540,6.4,32.86,68340,1.6
Civil Engineering Technologists and Technicians,68870,1.5,26.67,55480,0.5
Electrical and Electronic Engineering Technologists and Technicians,122550,1.4,31.84,66240,0.4
Electro-Mechanical and Mechatronics Technologists and Technicians,14290,3.9,29.53,61420,1.1
Environmental Engineering Technologists and Technicians,18010,4.5,26.32,54740,1.1
Industrial Engineering Technologists and Technicians,67110,2.8,28.56,59400,0.9
Mechanical Engineering Technologists and Technicians,42820,2.1,28.44,59160,0.7
Surveying and Mapping Technicians,53030,1.8,23.32,48500,0.5
Surveying and Mapping Technicians,53030,1.8,23.32,48500,0.5
"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",88330,1.7,31.7,65940,0.8
"Life, Physical, and Social Science Occupations",1288920,0.7,37.28,77540,0.4
Life Scientists,311910,1.6,42.68,88770,1.0
Agricultural and Food Scientists,30300,3.2,34.88,72550,1.0
Animal Scientists,2690,6.1,32.96,68570,2.0
Food Scientists and Technologists,13460,4.4,36.63,76190,1.4
Soil and Plant Scientists,14150,4.8,33.58,69860,1.3
Biological Scientists,108980,2.4,42.84,89100,1.8
Biochemists and Biophysicists,31360,5.7,52.01,108180,5.1
Microbiologists,18270,6.2,39.79,82760,2.4
Zoologists and Wildlife Biologists,19250,2.2,32.31,67200,0.6
"Biological Scientists, All Other",40100,2.9,42.11,87590,0.8
Conservation Scientists and Foresters,31580,1.7,31.68,65900,0.5
Conservation Scientists,22070,1.5,32.23,67040,0.6
Foresters,9510,4.3,30.42,63270,1.0
Medical Scientists,134600,3.0,46.95,97650,1.1
Epidemiologists,7410,2.0,37.64,78290,1.1
"Medical Scientists, Except Epidemiologists",127180,3.2,47.49,98770,1.2
Miscellaneous Life Scientists,6450,5.2,41.29,85890,3.5
"Life Scientists, All Other",6450,5.2,41.29,85890,3.5
Physical Scientists,255790,1.2,43.8,91110,0.7
Astronomers and Physicists,18800,5.0,62.56,130110,2.0
Astronomers,2070,11.1,58.79,122270,3.4
Physicists,16730,5.4,63.02,131080,2.1
Atmospheric and Space Scientists,9290,3.8,46.71,97160,1.4
Atmospheric and Space Scientists,9290,3.8,46.71,97160,1.4
Chemists and Materials Scientists,90240,2.2,41.04,85360,0.9
Chemists,83530,2.3,40.46,84150,1.0
Materials Scientists,6710,6.0,48.28,100430,1.8
Environmental Scientists and Geoscientists,119920,1.6,41.25,85790,0.8
"Environmental Scientists and Specialists, Including Health",84290,1.8,37.47,77940,0.8
"Geoscientists, Except Hydrologists and Geographers",29200,3.2,52.09,108350,1.8
Hydrologists,6440,3.6,41.5,86330,1.0
Miscellaneous Physical Scientists,17550,2.8,53.88,112070,1.4
"Physical Scientists, All Other",17550,2.8,53.88,112070,1.4
Social Scientists and Related Workers,249120,1.1,42.32,88030,0.6
Economists,19000,4.3,56.07,116630,1.4
Economists,19000,4.3,56.07,116630,1.4
Survey Researchers,9930,5.4,31.61,65760,2.3
Survey Researchers,9930,5.4,31.61,65760,2.3
Psychologists,128130,1.5,42.68,88770,0.9
"Clinical, Counseling, and School Psychologists",113270,1.4,42.04,87450,1.0
Industrial-Organizational Psychologists,630,12.3,53.44,111150,6.2
"Psychologists, All Other",14220,7.8,47.23,98230,1.7
Sociologists,2630,7.6,43.55,90590,2.6
Sociologists,2630,7.6,43.55,90590,2.6
Urban and Regional Planners,38560,1.7,37.38,77750,0.6
Urban and Regional Planners,38560,1.7,37.38,77750,0.6
Miscellaneous Social Scientists and Related Workers,50870,1.9,42.06,87480,1.7
Anthropologists and Archeologists,6720,6.1,32.12,66810,1.3
Geographers,1400,3.5,39.41,81970,1.2
Historians,3040,5.2,33.02,68690,2.6
Political Scientists,6010,7.6,57.82,120260,2.9
"Social Scientists and Related Workers, All Other",33690,2.2,42.16,87690,0.9
"Life, Physical, and Social Science Technicians",358740,1.2,25.17,52340,0.4
Agricultural and Food Science Technicians,21870,2.9,21.37,44440,1.2
Agricultural and Food Science Technicians,21870,2.9,21.37,44440,1.2
Biological Technicians,79530,2.6,23.61,49110,0.7
Biological Technicians,79530,2.6,23.61,49110,0.7
Chemical Technicians,65760,1.8,25.44,52910,0.7
Chemical Technicians,65760,1.8,25.44,52910,0.7
Environmental Science and Geoscience Technicians,49730,2.6,26.07,54220,1.2
"Environmental Science and Protection Technicians, Including Health",32620,3.1,24.41,50760,1.0
Geological and Hydrologic Technicians,17110,4.7,29.23,60800,2.5
Nuclear Technicians,6420,6.9,39.77,82710,1.8
Nuclear Technicians,6420,6.9,39.77,82710,1.8
Social Science Research Assistants,35580,5.8,24.68,51340,1.5
Social Science Research Assistants,35580,5.8,24.68,51340,1.5
Forest and Conservation Technicians,19060,1.6,22.05,45860,0.4
Forest and Conservation Technicians,19060,1.6,22.05,45860,0.4
"Miscellaneous Life, Physical, and Social Science Technicians",80780,2.3,26.74,55610,0.7
Forensic Science Technicians,16520,1.3,30.37,63170,0.9
"Life, Physical, and Social Science Technicians, All Other",64260,2.9,25.8,53670,0.8
Occupational Health and Safety Specialists and Technicians,113360,0.9,34.95,72690,0.3
Occupational Health and Safety Specialists and Technicians,113360,0.9,34.95,72690,0.3
Occupational Health and Safety Specialists,92780,1.0,36.68,76290,0.3
Occupational Health and Safety Technicians,20580,1.9,27.15,56470,1.1
Community and Social Service Occupations,2244310,0.4,24.27,50480,0.4
"Counselors, Social Workers, and Other Community and Social Service Specialists",2159870,0.5,24.23,50410,0.5
Counselors,773500,0.7,25.54,53120,0.4
"Educational, Guidance, and Career Counselors and Advisors",296460,0.8,29.33,61000,0.6
Marriage and Family Therapists,59050,4.0,26.25,54590,1.5
Rehabilitation Counselors,109040,1.9,19.31,40160,0.7
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",283540,1.1,24.01,49950,0.5
"Counselors, All Other",25420,3.7,23.46,48800,1.4
Social Workers,678780,0.7,26.05,54190,0.6
"Child, Family, and School Social Workers",327710,0.9,24.53,51030,1.0
Healthcare Social Workers,174890,1.5,28.51,59300,0.7
Mental Health and Substance Abuse Social Workers,117770,1.6,24.84,51670,0.9
"Social Workers, All Other",58410,1.5,29.69,61750,0.8
Miscellaneous Community and Social Service Specialists,707590,0.9,21.06,43810,0.6
Health Education Specialists,58590,1.7,29.09,60500,1.5
Probation Officers and Correctional Treatment Specialists,88120,0.6,28.8,59910,0.9
Social and Human Service Assistants,404450,1.4,17.81,37050,0.4
Community Health Workers,58950,2.2,21.34,44390,0.7
"Community and Social Service Specialists, All Other",97480,1.5,22.55,46900,1.0
Religious Workers,84440,1.6,25.12,52260,1.0
Clergy,53180,1.9,26.53,55190,1.1
Clergy,53180,1.9,26.53,55190,1.1
"Directors, Religious Activities and Education",21820,3.3,24.28,50490,1.7
"Directors, Religious Activities and Education",21820,3.3,24.28,50490,1.7
Miscellaneous Religious Workers,9450,6.7,19.15,39830,3.7
"Religious Workers, All Other",9450,6.7,19.15,39830,3.7
Legal Occupations,1150780,0.5,52.71,109630,0.6
"Lawyers, Judges, and Related Workers",722940,0.6,67.87,141180,0.7
Lawyers and Judicial Law Clerks,673800,0.7,68.84,143200,0.7
Lawyers,657170,0.7,69.86,145300,0.7
Judicial Law Clerks,16630,1.6,28.79,59890,2.4
"Judges, Magistrates, and Other Judicial Workers",49140,0.6,54.55,113470,1.4
"Administrative Law Judges, Adjudicators, and Hearing Officers",14380,0.4,48.19,100230,0.5
"Arbitrators, Mediators, and Conciliators",6090,3.8,35.44,73720,1.8
"Judges, Magistrate Judges, and Magistrates",28670,0.5,61.8,128550,1.3
Legal Support Workers,427840,1.0,27.08,56320,0.4
Paralegals and Legal Assistants,329870,1.1,26.45,55020,0.5
Paralegals and Legal Assistants,329870,1.1,26.45,55020,0.5
Miscellaneous Legal Support Workers,97970,2.2,29.18,60690,3.5
"Title Examiners, Abstractors, and Searchers",52890,3.5,25.02,52050,1.1
"Legal Support Workers, All Other",45080,2.4,34.06,70840,1.0
Educational Instruction and Library Occupations,8886600,0.4,27.75,57710,0.5
Postsecondary Teachers,1407110,1.0,*,90830,0.9
"Business Teachers, Postsecondary",83920,1.6,*,105440,1.3
"Business Teachers, Postsecondary",83920,1.6,*,105440,1.3
"Math and Computer Science Teachers, Postsecondary",82940,1.3,*,90970,1.1
"Computer Science Teachers, Postsecondary",31800,1.7,*,98430,1.4
"Mathematical Science Teachers, Postsecondary",51150,1.4,*,86330,1.1
"Engineering and Architecture Teachers, Postsecondary",42860,2.0,*,110040,1.4
"Architecture Teachers, Postsecondary",6780,3.5,*,98980,2.9
"Engineering Teachers, Postsecondary",36080,2.0,*,112110,1.4
"Life Sciences Teachers, Postsecondary",64330,1.7,*,97110,2.1
"Agricultural Sciences Teachers, Postsecondary",9470,3.2,*,89320,2.4
"Biological Science Teachers, Postsecondary",53090,1.8,*,98700,2.4
"Forestry and Conservation Science Teachers, Postsecondary",1770,4.7,*,90940,2.2
"Physical Sciences Teachers, Postsecondary",52240,1.7,*,97090,1.0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11020,2.3,*,102690,1.5
"Chemistry Teachers, Postsecondary",21380,1.9,*,92650,0.9
"Environmental Science Teachers, Postsecondary",6060,3.7,*,93450,1.9
"Physics Teachers, Postsecondary",13780,2.3,*,101110,1.3
"Social Sciences Teachers, Postsecondary",117590,1.5,*,92920,1.0
"Anthropology and Archeology Teachers, Postsecondary",5850,2.9,*,95140,1.2
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",10600,2.9,*,88410,1.6
"Economics Teachers, Postsecondary",13270,2.3,*,119160,1.4
"Geography Teachers, Postsecondary",3970,4.2,*,86540,1.1
"Political Science Teachers, Postsecondary",15750,1.7,*,102290,2.5
"Psychology Teachers, Postsecondary",37480,2.1,*,87530,1.0
"Sociology Teachers, Postsecondary",13850,2.1,*,85240,1.3
"Social Sciences Teachers, Postsecondary, All Other",16830,2.9,*,85390,2.1
"Health Teachers, Postsecondary",261590,2.4,*,112850,2.1
"Health Specialties Teachers, Postsecondary",201920,2.9,*,121620,2.3
"Nursing Instructors and Teachers, Postsecondary",59680,1.8,*,83160,1.9
"Education and Library Science Teachers, Postsecondary",65690,1.5,*,74740,1.0
"Education Teachers, Postsecondary",61300,1.5,*,74560,1.1
"Library Science Teachers, Postsecondary",4390,3.2,*,77170,1.2
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",43890,2.3,*,95510,1.6
"Criminal Justice and Law Enforcement Teachers, Postsecondary",14070,2.6,*,72980,1.4
"Law Teachers, Postsecondary",16180,3.7,*,129950,2.1
"Social Work Teachers, Postsecondary",13640,3.8,*,77910,1.9
"Arts, Communications, History, and Humanities Teachers, Postsecondary",260500,1.5,*,82360,0.9
"Art, Drama, and Music Teachers, Postsecondary",94060,2.1,*,83220,1.4
"Communications Teachers, Postsecondary",29120,2.1,*,79830,1.1
"English Language and Literature Teachers, Postsecondary",67930,1.3,*,80180,1.1
"Foreign Language and Literature Teachers, Postsecondary",24860,2.5,*,80170,1.0
"History Teachers, Postsecondary",21030,1.6,*,84210,1.1
"Philosophy and Religion Teachers, Postsecondary",23490,4.1,*,88970,2.2
Miscellaneous Postsecondary Teachers,331560,2.0,*,73540,1.3
"Family and Consumer Sciences Teachers, Postsecondary",2150,4.6,*,85270,3.3
"Recreation and Fitness Studies Teachers, Postsecondary",15880,2.3,*,73720,1.2
"Career/Technical Education Teachers, Postsecondary",112210,1.6,29.05,60420,0.9
"Postsecondary Teachers, All Other",201320,3.3,*,80720,1.7
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",4211470,0.6,*,61420,0.7
Preschool and Kindergarten Teachers,555650,1.1,19.41,40370,0.6
"Preschool Teachers, Except Special Education",431350,1.2,16.66,34650,0.6
"Kindergarten Teachers, Except Special Education",124290,1.7,*,60210,0.7
Elementary and Middle School Teachers,2064680,0.7,*,63820,0.7
"Elementary School Teachers, Except Special Education",1430480,0.9,*,63930,0.7
"Middle School Teachers, Except Special and Career/Technical Education",622330,1.4,*,63550,0.8
"Career/Technical Education Teachers, Middle School",11860,8.2,*,64900,1.7
Secondary School Teachers,1110370,1.3,*,65850,0.6
"Secondary School Teachers, Except Special and Career/Technical Education",1035850,1.3,*,65930,0.6
"Career/Technical Education Teachers, Secondary School",74520,4.0,*,64800,0.7
Special Education Teachers,480780,1.0,*,65230,1.2
