area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Alabama,All Occupations,1974170,0.4,1000,1,21.6,44930,0.5,,,,,,,,,,,,,,,,,,,,,
Alabama,Management Occupations,83760,1.2,42.428,0.77,51.86,107860,0.6,,,,,,,,,,,,,,,,,,,,,
Alabama,Chief Executives,1320,6.8,0.67,0.48,92.84,193110,3.1,,,,,,,,,,,,,,,,,,,,,
Alabama,General and Operations Managers,30790,1.8,15.598,0.95,56.41,117340,0.9,,,,,,,,,,,,,,,,,,,,,
Alabama,Legislators,1110,7.5,0.562,1.58,*,29130,4.8,,,,,,,,,,,,,,,,,,,,,
Alabama,Advertising and Promotions Managers,70,17.3,0.034,0.2,49.85,103680,9.6,,,,,,,,,,,,,,,,,,,,,
Alabama,Marketing Managers,1040,5.4,0.528,0.29,55.99,116450,2.4,,,,,,,,,,,,,,,,,,,,,
Alabama,Sales Managers,2670,5.1,1.35,0.49,53.81,111930,1.8,,,,,,,,,,,,,,,,,,,,,
Alabama,Public Relations and Fundraising Managers,510,9,0.26,0.48,41.62,86570,3.3,,,,,,,,,,,,,,,,,,,,,
Alabama,Administrative Services and Facilities Managers,1050,5.1,0.531,0.25,48.56,101000,2,,,,,,,,,,,,,,,,,,,,,
Alabama,Computer and Information Systems Managers,3650,4.7,1.851,0.63,62.43,129860,1.2,,,,,,,,,,,,,,,,,,,,,
Alabama,Financial Managers,5480,2.8,2.775,0.62,62.06,129090,1.4,,,,,,,,,,,,,,,,,,,,,
Alabama,Industrial Production Managers,3320,3.4,1.684,1.33,52.78,109770,1.1,,,,,,,,,,,,,,,,,,,,,
Alabama,Purchasing Managers,880,3.3,0.448,0.91,51.8,107740,2,,,,,,,,,,,,,,,,,,,,,
Alabama,"Transportation, Storage, and Distribution Managers",1250,9.7,0.633,0.7,43.5,90480,3.9,,,,,,,,,,,,,,,,,,,,,
Alabama,Compensation and Benefits Managers,60,10.6,0.031,0.27,51.53,107190,7.3,,,,,,,,,,,,,,,,,,,,,
Alabama,Human Resources Managers,1440,3.7,0.731,0.69,52.17,108510,1.2,,,,,,,,,,,,,,,,,,,,,
Alabama,Training and Development Managers,210,8.3,0.106,0.4,51.94,108040,4.2,,,,,,,,,,,,,,,,,,,,,
Alabama,Construction Managers,3650,5.2,1.849,0.93,47.38,98550,1.9,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education and Childcare Administrators, Preschool and Daycare",470,18.3,0.24,0.67,22.55,46910,7.9,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education Administrators, Kindergarten through Secondary",3630,4.5,1.838,1,*,83710,1.3,,,,,,,,,,,,,,,,,,,,,
Alabama,"Education Administrators, Postsecondary",**,**,**,**,52.21,108600,3.5,,,,,,,,,,,,,,,,,,,,,
Alabama,Architectural and Engineering Managers,2340,4.6,1.188,0.9,68.51,142490,1.8,,,,,,,,,,,,,,,,,,,,,
Alabama,Food Service Managers,2690,6.5,1.364,0.85,28.16,58580,2.8,,,,,,,,,,,,,,,,,,,,,
Alabama,Lodging Managers,490,13.4,0.25,0.96,26.31,54720,5.6,,,,,,,,,,,,,,,,,,,,,
Alabama,Medical and Health Services Managers,**,**,**,**,45.27,94160,1.5,,,,,,,,,,,,,,,,,,,,,
Alabama,Natural Sciences Managers,200,12.9,0.103,0.22,56.4,117310,3.4,,,,,,,,,,,,,,,,,,,,,
Alabama,Postmasters and Mail Superintendents,280,0,0.142,1.5,38.35,79760,0.7,,,,,,,,,,,,,,,,,,,,,
Alabama,"Property, Real Estate, and Community Association Managers",1750,8.8,0.888,0.59,29.04,60390,3.5,,,,,,,,,,,,,,,,,,,,,
Alabama,Social and Community Service Managers,**,**,**,**,30.82,64110,1.6,,,,,,,,,,,,,,,,,,,,,
Alabama,Emergency Management Directors,220,3.6,0.111,1.62,36.9,76750,2.6,,,,,,,,,,,,,,,,,,,,,
