area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Alaska,All Occupations,317090,0.8,1000,1,28.51,59290,0.8
Alaska,Management Occupations,21680,2.3,68.366,1.25,51.48,107070,0.9
Alaska,Chief Executives,920,6.9,2.903,2.07,85,176790,2.5
Alaska,General and Operations Managers,6760,3.5,21.325,1.3,52.54,109290,1.6
Alaska,Legislators,180,22.8,0.565,1.59,*,75690,9.8
Alaska,Advertising and Promotions Managers,70,19.7,0.222,1.3,40.99,85260,7.1
Alaska,Marketing Managers,300,7.5,0.938,0.52,48.85,101620,2.9
Alaska,Sales Managers,530,10.8,1.664,0.61,48.1,100050,6.3
Alaska,Public Relations and Fundraising Managers,260,9.4,0.811,1.5,47.77,99360,4
Alaska,Administrative Services and Facilities Managers,1000,5,3.159,1.51,45.48,94590,2.3
Alaska,Computer and Information Systems Managers,500,5,1.577,0.53,54.15,112640,1.5
Alaska,Financial Managers,1320,4.1,4.166,0.93,53.08,110410,1.5
Alaska,Industrial Production Managers,210,10.7,0.658,0.52,57.22,119020,6.1
Alaska,Purchasing Managers,160,8.9,0.499,1.02,50.39,104820,3.1
Alaska,"Transportation, Storage, and Distribution Managers",870,9.6,2.728,3.03,45.96,95600,1.4
Alaska,Compensation and Benefits Managers,50,16.9,0.159,1.38,51.33,106770,4.3
Alaska,Human Resources Managers,320,5.3,1.011,0.96,58.94,122590,3.3
Alaska,Training and Development Managers,110,12.3,0.332,1.27,50.83,105730,6.6
Alaska,Construction Managers,1210,12.2,3.825,1.91,50.22,104460,3.9
Alaska,"Education and Childcare Administrators, Preschool and Daycare",150,21.8,0.465,1.3,26.2,54490,4.2
Alaska,"Education Administrators, Kindergarten through Secondary",760,3.8,2.411,1.31,*,111450,1.9
Alaska,"Education Administrators, Postsecondary",180,22.9,0.557,0.56,52.19,108560,6.3
Alaska,"Education Administrators, All Other",190,7.5,0.586,1.93,37.44,77870,3.7
