area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Arizona,All Occupations,2866820,0.6,1000,1,24.49,50930,0.7
Arizona,Management Occupations,169310,1.2,59.058,1.08,52.07,108310,0.7
Arizona,Chief Executives,4270,5.1,1.489,1.06,88.3,183660,2.4
Arizona,General and Operations Managers,54780,2.3,19.108,1.17,51.38,106870,1.1
Arizona,Legislators,590,6.1,0.207,0.58,*,63990,7.2
Arizona,Advertising and Promotions Managers,**,**,**,**,45.14,93890,5.5
Arizona,Marketing Managers,5230,4.9,1.824,1.02,59.06,122850,2.6
Arizona,Sales Managers,9970,4.1,3.476,1.27,56.73,118000,2.5
Arizona,Public Relations and Fundraising Managers,1190,5.6,0.416,0.77,53.78,111870,3.7
Arizona,Administrative Services and Facilities Managers,8300,3.5,2.895,1.38,45.25,94130,1.1
Arizona,Computer and Information Systems Managers,8790,3.6,3.065,1.04,67.84,141110,1.1
Arizona,Financial Managers,12000,2.7,4.185,0.94,59.24,123220,1.2
Arizona,Industrial Production Managers,2860,4.2,0.998,0.79,52.05,108260,1.6
Arizona,Purchasing Managers,1310,5.8,0.456,0.93,57.61,119820,2
Arizona,"Transportation, Storage, and Distribution Managers",2700,5.1,0.942,1.05,44.25,92040,1.8
Arizona,Compensation and Benefits Managers,270,7.3,0.095,0.82,53.31,110890,4.4
Arizona,Human Resources Managers,3000,3.7,1.047,0.99,53.76,111810,1.3
Arizona,Training and Development Managers,950,4.5,0.332,1.27,48.5,100880,2
Arizona,"Farmers, Ranchers, and Other Agricultural Managers",90,12,0.032,0.92,30.11,62630,7.9
Arizona,Construction Managers,6240,6.7,2.178,1.09,47.2,98180,2.5
Arizona,"Education and Childcare Administrators, Preschool and Daycare",1170,12.5,0.409,1.15,21.33,44380,3.8
Arizona,"Education Administrators, Kindergarten through Secondary",5050,3.2,1.762,0.95,*,82310,1.3
Arizona,"Education Administrators, Postsecondary",3070,4,1.072,1.09,53.99,112300,3.6
Arizona,"Education Administrators, All Other",730,8.6,0.255,0.84,39.24,81630,2.8
Arizona,Architectural and Engineering Managers,3530,6.8,1.232,0.93,70.46,146560,2.2
Arizona,Food Service Managers,4500,7.5,1.568,0.98,28.02,58280,2.1
Arizona,Lodging Managers,980,11.1,0.341,1.31,31.54,65600,5.1
Arizona,Medical and Health Services Managers,8050,3.4,2.808,1.04,57.83,120280,2
Arizona,Natural Sciences Managers,880,9.2,0.307,0.67,54.9,114200,2.9
Arizona,Postmasters and Mail Superintendents,150,0,0.053,0.56,38.83,80760,1.1
Arizona,"Property, Real Estate, and Community Association Managers",6630,9,2.312,1.54,30.88,64240,6.1
Arizona,Social and Community Service Managers,2820,4.2,0.984,0.92,32.84,68300,1.4
Arizona,Emergency Management Directors,160,26.8,0.054,0.79,*,*,*
Arizona,Funeral Home Managers,120,21.9,0.04,0.63,34.12,70960,7
Arizona,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",8340,2.7,2.908,0.9,53.13,110510,1.3
Arizona,Business and Financial Operations Occupations,166190,1.7,57.972,1.04,33.44,69560,0.9
Arizona,"Agents and Business Managers of Artists, Performers, and Athletes",70,18.3,0.025,0.22,34.05,70820,13.1
Arizona,Buyers and Purchasing Agents,7590,4.8,2.648,0.92,32.42,67420,1.7
Arizona,"Claims Adjusters, Examiners, and Investigators",10930,8,3.812,1.94,32.45,67500,5.4
Arizona,"Insurance Appraisers, Auto Damage",**,**,**,**,29.08,60480,2.3
Arizona,Compliance Officers,7430,2.6,2.59,1.2,33.12,68890,0.9
Arizona,Cost Estimators,4500,5.1,1.569,1.1,32.55,67710,1.6
Arizona,Human Resources Specialists,12760,3.2,4.451,1.03,30.9,64280,1.6
Arizona,Labor Relations Specialists,500,29.7,0.174,0.34,34.13,70990,6.2
Arizona,Logisticians,3100,7.9,1.082,0.87,36.56,76030,3.2
Arizona,Management Analysts,11800,5,4.118,0.85,42.55,88500,4.8
Arizona,"Meeting, Convention, and Event Planners",2070,12.3,0.724,0.9,25.49,53010,6.1
Arizona,Fundraisers,1150,18.5,0.401,0.72,26.14,54380,4
Arizona,"Compensation, Benefits, and Job Analysis Specialists",1980,19.9,0.69,1.13,29.77,61920,1.6
Arizona,Training and Development Specialists,9530,3.7,3.325,1.56,29.2,60740,1.9
Arizona,Market Research Analysts and Marketing Specialists,14260,5.5,4.974,1.08,30.35,63140,2.7
Arizona,"Project Management Specialists and Business Operations Specialists, All Other",23150,4.2,8.075,0.93,35.53,73910,1.5
Arizona,Accountants and Auditors,22450,3.5,7.832,0.9,35.31,73450,1.3
Arizona,Property Appraisers and Assessors,1130,20.1,0.396,1.03,22.59,46990,2.8
Arizona,Budget Analysts,1120,3.9,0.392,1.12,35.21,73240,1.9
Arizona,Credit Analysts,1640,9.2,0.573,1.14,31.11,64700,3.7
Arizona,Personal Financial Advisors,4050,12.5,1.412,0.99,43.19,89830,5.9
Arizona,Insurance Underwriters,1610,14.5,0.56,0.82,36.82,76590,2.6
Arizona,Financial Examiners,1890,5,0.659,1.5,28.78,59860,6.6
Arizona,Credit Counselors,2080,13.5,0.726,3.32,19.36,40270,3.3
Arizona,Loan Officers,8980,6.7,3.131,1.49,29.17,60680,3.8
Arizona,"Tax Examiners and Collectors, and Revenue Agents",400,15.2,0.14,0.38,37.27,77530,2.8
Arizona,Tax Preparers,1470,40.4,0.512,1.13,20.59,42830,5.9
Arizona,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",7550,6.2,2.635,0.84,37.93,78890,2.4
Arizona,Computer and Mathematical Occupations,97920,2.1,34.156,1.1,40.95,85170,1.2
Arizona,Computer Systems Analysts,11740,5.9,4.094,1.02,43.39,90250,1
Arizona,Information Security Analysts,3630,7,1.265,1.48,46.86,97470,1.4
Arizona,Computer and Information Research Scientists,280,8.9,0.098,0.47,54.43,113220,4.3
Arizona,Computer Network Support Specialists,4950,6.9,1.725,1.37,27.32,56830,2
Arizona,Computer User Support Specialists,17740,2.9,6.188,1.4,25.8,53670,1.8
Arizona,Computer Network Architects,3200,7.9,1.116,1.08,50.65,105350,1.5
Arizona,Network and Computer Systems Administrators,7030,4.4,2.451,1.02,40.93,85130,1.1
Arizona,Database Administrators and Architects,2320,7.9,0.811,0.95,48.58,101040,2.4
Arizona,Computer Programmers,2870,7.6,1.002,0.74,*,*,*
Arizona,Software Developers and Software Quality Assurance Analysts and Testers,29660,3.1,10.345,1.08,48.43,100730,1.3
Arizona,Web Developers and Digital Interface Designers,2810,6.6,0.979,0.97,32.68,67970,5.2
Arizona,"Computer Occupations, All Other",7910,5.8,2.76,1.03,40.82,84910,2.2
Arizona,Actuaries,150,25.3,0.052,0.35,50.58,105220,4.3
Arizona,Operations Research Analysts,2220,9.9,0.776,1.14,42.12,87610,1.8
Arizona,Statisticians,560,10.5,0.194,0.73,42.7,88820,2.6
Arizona,"Data Scientists and Mathematical Science Occupations, All Other",850,26.4,0.295,1.41,52.31,108800,2.4
Arizona,Architecture and Engineering Occupations,51730,3.4,18.044,1.02,39.81,82800,1.8
Arizona,"Architects, Except Landscape and Naval",1150,13.5,0.4,0.56,42.56,88520,7.9
Arizona,Landscape Architects,760,34.9,0.266,1.93,32.23,67030,2.9
Arizona,Cartographers and Photogrammetrists,220,8.5,0.075,0.98,31.88,66310,1.8
Arizona,Surveyors,1100,13.1,0.382,1.24,29.9,62180,3
Arizona,Aerospace Engineers,1580,24.7,0.55,1.28,53.92,112140,1.8
Arizona,Bioengineers and Biomedical Engineers,250,13.4,0.087,0.65,45.27,94170,4.6
Arizona,Chemical Engineers,100,44.9,0.034,0.17,42.19,87750,3.7
Arizona,Civil Engineers,5000,7.3,1.745,0.82,38.98,81080,1.8
Arizona,Computer Hardware Engineers,1690,17,0.59,1.28,58.64,121960,6.1
Arizona,Electrical Engineers,5120,11.4,1.787,1.41,47,97750,3.4
Arizona,"Electronics Engineers, Except Computer",3140,6.7,1.095,1.25,49.13,102200,2.8
Arizona,Environmental Engineers,1290,19.6,0.449,1.24,40.37,83960,4.7
Arizona,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",540,8,0.19,1.08,36.47,75870,3.9
Arizona,Industrial Engineers,4740,3.3,1.652,0.83,45.66,94980,2.3
Arizona,Materials Engineers,510,8.5,0.177,0.97,45.59,94820,2.1
Arizona,Mechanical Engineers,5290,4.6,1.846,0.88,45.57,94780,1.4
Arizona,"Mining and Geological Engineers, Including Mining Safety Engineers",520,16,0.18,4.22,40.43,84100,3.1
Arizona,Nuclear Engineers,**,**,**,**,69.9,145400,4.4
Arizona,"Engineers, All Other",1710,7,0.595,0.57,55.67,115800,11.3
Arizona,Architectural and Civil Drafters,2640,11.5,0.922,1.37,27.77,57760,1.7
Arizona,Electrical and Electronics Drafters,1190,20.2,0.416,2.53,30.97,64410,3.8
Arizona,Mechanical Drafters,790,20.1,0.275,0.73,31.74,66030,2.7
Arizona,"Drafters, All Other",270,20.3,0.093,0.93,25.27,52570,4.6
Arizona,Aerospace Engineering and Operations Technologists and Technicians,920,42.5,0.321,4.08,30.82,64100,4.8
Arizona,Civil Engineering Technologists and Technicians,1500,16.1,0.524,1.12,26.12,54330,2.2
Arizona,Electrical and Electronic Engineering Technologists and Technicians,3290,9.2,1.146,1.37,29.34,61030,2.5
Arizona,Electro-Mechanical and Mechatronics Technologists and Technicians,230,23.2,0.082,0.84,29.63,61630,7.8
Arizona,Environmental Engineering Technologists and Technicians,380,15.7,0.131,1.07,23.92,49740,3.3
Arizona,Industrial Engineering Technologists and Technicians,1370,4.9,0.477,1.04,29.32,60980,3.5
Arizona,Mechanical Engineering Technologists and Technicians,1050,12.7,0.366,1.26,28.14,58530,2.3
