area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Arkansas,All Occupations,1217420,0.7,1000,1,20.52,42690,0.9
Arkansas,Management Occupations,65430,1.4,53.745,0.98,44.17,91880,1.8
Arkansas,Chief Executives,2090,3.6,1.716,1.22,60.11,125020,3.3
Arkansas,General and Operations Managers,20910,2.3,17.173,1.05,43.13,89710,2.2
Arkansas,Legislators,1310,6.6,1.078,3.03,*,21830,1.2
Arkansas,Advertising and Promotions Managers,100,8.2,0.081,0.47,65.97,137220,8.3
Arkansas,Marketing Managers,1320,5.9,1.08,0.6,73.27,152410,7.4
Arkansas,Sales Managers,2040,7.5,1.675,0.61,62.7,130410,3.7
Arkansas,Public Relations and Fundraising Managers,310,9.6,0.258,0.48,57.67,119950,7
Arkansas,Administrative Services and Facilities Managers,1840,8.8,1.514,0.72,46.35,96400,2.7
Arkansas,Computer and Information Systems Managers,2410,3.8,1.98,0.67,53.46,111200,2.6
Arkansas,Financial Managers,4810,2.8,3.949,0.89,51.92,107990,3.9
Arkansas,Industrial Production Managers,2010,4.2,1.648,1.3,47.05,97860,1.7
Arkansas,Purchasing Managers,600,5.1,0.494,1.01,54.51,113380,11.6
Arkansas,"Transportation, Storage, and Distribution Managers",1180,7.5,0.971,1.08,53.77,111850,6.4
Arkansas,Compensation and Benefits Managers,150,8.2,0.119,1.04,50.95,105980,8.1
Arkansas,Human Resources Managers,1030,4.4,0.844,0.8,51.44,106990,7.3
Arkansas,Training and Development Managers,270,6.1,0.223,0.85,52.73,109670,9.4
Arkansas,"Farmers, Ranchers, and Other Agricultural Managers",**,**,**,**,31,64490,7.2
Arkansas,Construction Managers,2160,10.7,1.773,0.89,40,83200,6.4
Arkansas,"Education and Childcare Administrators, Preschool and Daycare",610,11.6,0.498,1.4,20.98,43640,3.5
Arkansas,"Education Administrators, Kindergarten through Secondary",2400,1.6,1.971,1.07,*,80090,1.2
Arkansas,"Education Administrators, Postsecondary",1260,8.8,1.039,1.05,53.16,110560,7.2
Arkansas,"Education Administrators, All Other",590,8.7,0.487,1.61,32.75,68110,2.5
Arkansas,Architectural and Engineering Managers,850,9,0.695,0.53,60.36,125550,1.9
Arkansas,Food Service Managers,1800,9.3,1.475,0.92,23.8,49510,2.4
Arkansas,Lodging Managers,700,19.8,0.573,2.19,18.75,38990,9.7
Arkansas,Medical and Health Services Managers,5680,3.9,4.666,1.74,41.96,87290,2.3
Arkansas,Natural Sciences Managers,230,2.7,0.19,0.41,53.41,111090,6
Arkansas,Postmasters and Mail Superintendents,190,0,0.154,1.63,38.92,80950,0.6
Arkansas,"Property, Real Estate, and Community Association Managers",1510,8.1,1.236,0.82,25.41,52850,5.6
Arkansas,Social and Community Service Managers,1400,6.4,1.152,1.08,27.19,56560,2
Arkansas,Emergency Management Directors,140,6,0.118,1.72,22.44,46680,4
Arkansas,Funeral Home Managers,110,14.9,0.087,1.35,37.22,77410,12.2
Arkansas,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",3370,3.9,2.766,0.86,42.29,87950,3.6
