area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
California,All Occupations,17382400,0.2,1000,1,29.47,61290,0.4
California,Management Occupations,1070120,0.6,61.563,1.12,66.22,137750,0.4
California,Chief Executives,31730,1.8,1.826,1.3,104.1,216520,0.8
California,General and Operations Managers,259550,1.1,14.932,0.91,65.89,137050,0.6
California,Legislators,3190,5.4,0.183,0.52,*,70530,2.1
California,Advertising and Promotions Managers,2670,7.2,0.154,0.9,71.79,149320,2.1
California,Marketing Managers,40900,2,2.353,1.31,81.34,169200,0.7
California,Sales Managers,80610,1.7,4.638,1.69,65.86,137000,0.8
California,Public Relations and Fundraising Managers,9210,4.6,0.53,0.98,67.65,140710,1.3
California,Administrative Services and Facilities Managers,41650,1.7,2.396,1.15,55.31,115050,0.8
California,Computer and Information Systems Managers,75700,2,4.355,1.47,89.25,185640,0.7
California,Financial Managers,92060,1.9,5.296,1.19,75.24,156500,0.7
California,Industrial Production Managers,20770,2,1.195,0.94,59.67,124110,0.9
California,Purchasing Managers,7830,2.8,0.45,0.92,68.44,142350,0.9
California,"Transportation, Storage, and Distribution Managers",19430,3.3,1.118,1.24,51.43,106980,1.3
California,Compensation and Benefits Managers,**,**,**,**,71.7,149130,1.6
California,Human Resources Managers,21600,1.7,1.243,1.18,70.05,145710,0.6
California,Training and Development Managers,5180,3.7,0.298,1.14,66.59,138500,1.4
California,"Farmers, Ranchers, and Other Agricultural Managers",1490,13,0.086,2.49,46.67,97080,5.2
California,Construction Managers,32830,3.5,1.889,0.95,58.43,121540,1.7
California,"Education and Childcare Administrators, Preschool and Daycare",7420,4.5,0.427,1.2,27.97,58170,3.3
California,"Education Administrators, Kindergarten through Secondary",24540,4.8,1.412,0.77,*,128880,1.1
California,"Education Administrators, Postsecondary",11670,6.7,0.671,0.68,62.21,129400,1.1
California,"Education Administrators, All Other",**,**,**,**,48.43,100730,2.5
California,Architectural and Engineering Managers,34140,4.1,1.964,1.49,86.47,179860,0.9
California,Food Service Managers,40440,3.7,2.326,1.45,29.25,60840,1.6
California,Gambling Managers,690,8.4,0.04,1.31,45.99,95650,2.1
California,Lodging Managers,4290,6.9,0.247,0.94,36.02,74910,2.8
California,Medical and Health Services Managers,36940,2.2,2.125,0.79,63.96,133040,0.9
California,Natural Sciences Managers,**,**,**,**,90.73,188710,4
California,Postmasters and Mail Superintendents,790,0,0.045,0.48,39.41,81970,0.6
California,"Property, Real Estate, and Community Association Managers",37870,3.3,2.179,1.45,36.35,75600,2.4
California,Social and Community Service Managers,**,**,**,**,36.26,75420,2.2
California,Emergency Management Directors,760,4,0.044,0.64,56.68,117900,2.3
California,Funeral Home Managers,650,14.6,0.037,0.58,45.19,93980,4.2
California,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",69780,1.6,4.014,1.25,70.63,146910,0.7
California,Business and Financial Operations Occupations,1052970,0.7,60.577,1.09,40.31,83840,0.4
California,"Agents and Business Managers of Artists, Performers, and Athletes",**,**,**,**,51.93,108010,4.3
California,Buyers and Purchasing Agents,45970,1.8,2.645,0.92,35.06,72930,0.6
California,"Claims Adjusters, Examiners, and Investigators",**,**,**,**,37.07,77110,1
California,"Insurance Appraisers, Auto Damage",2340,13.5,0.134,1.44,33.21,69070,1.5
California,Compliance Officers,39250,1.7,2.258,1.04,39.57,82310,0.6
California,Cost Estimators,27130,2.9,1.561,1.09,38.27,79610,1.3
California,Human Resources Specialists,71130,1.9,4.092,0.95,36.63,76200,0.6
California,Farm Labor Contractors,130,13,0.007,6.89,29.29,60910,9.7
California,Labor Relations Specialists,7860,6.7,0.452,0.88,39.17,81480,2.9
California,Logisticians,23020,3.3,1.325,1.07,40.72,84690,0.8
California,Management Analysts,103970,2.1,5.981,1.24,46.72,97170,1.2
California,"Meeting, Convention, and Event Planners",17020,6.3,0.979,1.22,28.84,59980,1.7
California,Fundraisers,9400,6.6,0.541,0.97,33.46,69590,4.4
California,"Compensation, Benefits, and Job Analysis Specialists",10630,4.1,0.612,1.01,36.52,75950,0.9
California,Training and Development Specialists,29600,3.1,1.703,0.8,36,74890,0.8
California,Market Research Analysts and Marketing Specialists,98760,1.8,5.682,1.23,38.02,79070,0.7
California,"Project Management Specialists and Business Operations Specialists, All Other",209160,1.7,12.033,1.38,40.09,83390,0.7
California,Accountants and Auditors,148500,2.4,8.543,0.98,40.34,83910,1
