area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Colorado,All Occupations,2678490,0.3,1000,1,27.73,57690,0.5
Colorado,Management Occupations,118210,1.1,44.132,0.8,64.75,134670,0.6
Colorado,Chief Executives,570,6,0.214,0.15,95.91,199500,3.5
Colorado,General and Operations Managers,38220,1.9,14.269,0.87,64.65,134480,0.9
Colorado,Legislators,710,8.8,0.263,0.74,*,64130,3.3
Colorado,Advertising and Promotions Managers,430,23.4,0.161,0.94,68.71,142910,7.2
Colorado,Marketing Managers,3800,8.7,1.419,0.79,82.68,171970,1.9
Colorado,Sales Managers,5150,4.7,1.922,0.7,80.42,167260,2.1
Colorado,Public Relations and Fundraising Managers,1180,5.1,0.442,0.82,68.73,142970,2.8
Colorado,Administrative Services and Facilities Managers,2670,4.5,0.995,0.48,58.19,121040,1.5
Colorado,Computer and Information Systems Managers,7920,4.1,2.958,1,83.08,172810,2
Colorado,Financial Managers,7480,3.7,2.793,0.63,79.02,164370,1.4
Colorado,Industrial Production Managers,1200,5.4,0.447,0.35,65.8,136860,1.9
Colorado,Purchasing Managers,910,5,0.341,0.69,72.6,151000,1.6
Colorado,"Transportation, Storage, and Distribution Managers",1560,5.8,0.583,0.65,56.98,118510,2.8
Colorado,Compensation and Benefits Managers,160,8.7,0.06,0.52,75.34,156700,2
Colorado,Human Resources Managers,1910,3.5,0.712,0.68,70.14,145890,1.7
Colorado,Training and Development Managers,500,10.7,0.186,0.71,64.06,133250,4.8
Colorado,Construction Managers,10300,5.8,3.844,1.92,48.79,101490,2.4
Colorado,"Education and Childcare Administrators, Preschool and Daycare",720,12.3,0.268,0.75,25.2,52410,3.3
Colorado,"Education Administrators, Kindergarten through Secondary",4890,1,1.826,0.99,*,94150,1.1
Colorado,"Education Administrators, Postsecondary",1870,4.1,0.697,0.71,53.71,111710,3.1
Colorado,"Education Administrators, All Other",590,4.4,0.219,0.72,49.95,103900,2.2
Colorado,Architectural and Engineering Managers,3400,6.8,1.27,0.96,85.75,178360,1.5
Colorado,Food Service Managers,1520,14.7,0.568,0.35,*,*,*
Colorado,Gambling Managers,60,14,0.022,0.72,41.46,86230,7.6
Colorado,Lodging Managers,1030,15.2,0.385,1.47,45.47,94580,5.7
Colorado,Medical and Health Services Managers,5790,3.6,2.161,0.8,57.71,120040,1.5
Colorado,Natural Sciences Managers,1160,1.7,0.433,0.94,70.9,147480,2.6
Colorado,Postmasters and Mail Superintendents,200,0,0.075,0.79,35.42,73680,0.7
Colorado,"Property, Real Estate, and Community Association Managers",1700,11.8,0.634,0.42,42.65,88710,4
Colorado,Social and Community Service Managers,1550,6.2,0.579,0.54,41.59,86510,2.2
Colorado,Emergency Management Directors,170,16.9,0.063,0.93,41.5,86320,2.4
Colorado,Funeral Home Managers,60,21.1,0.024,0.37,39.63,82440,10.3
Colorado,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",8820,1.9,3.293,1.02,68.18,141820,1
Colorado,Business and Financial Operations Occupations,207380,1.1,77.423,1.39,39.11,81340,0.7
Colorado,"Agents and Business Managers of Artists, Performers, and Athletes",90,23.1,0.033,0.28,*,*,*
Colorado,Buyers and Purchasing Agents,9720,3.2,3.629,1.27,33.13,68900,1.1
Colorado,"Claims Adjusters, Examiners, and Investigators",5560,8.8,2.074,1.06,34.62,72010,1.8
Colorado,"Insurance Appraisers, Auto Damage",220,30.9,0.084,0.9,27.66,57540,11.1
Colorado,Compliance Officers,6790,2.5,2.535,1.17,35.8,74460,1.1
Colorado,Cost Estimators,5580,4.7,2.083,1.46,35.88,74630,1.6
Colorado,Human Resources Specialists,14140,2,5.28,1.23,34.09,70900,0.9
Colorado,Labor Relations Specialists,380,10.6,0.143,0.28,39.84,82880,6.2
Colorado,Logisticians,3500,4.7,1.306,1.05,38.23,79530,2.4
Colorado,Management Analysts,11400,6.7,4.257,0.88,46.91,97570,2.5
Colorado,"Meeting, Convention, and Event Planners",3530,5.4,1.319,1.65,26.24,54580,2.2
Colorado,Fundraisers,2110,5.8,0.787,1.42,30.15,62720,2
Colorado,"Compensation, Benefits, and Job Analysis Specialists",1520,8.4,0.568,0.93,36.52,75960,2.2
Colorado,Training and Development Specialists,7250,4.3,2.707,1.27,34.73,72240,1.9
Colorado,Market Research Analysts and Marketing Specialists,20330,3.1,7.59,1.64,36.55,76020,1.3
