area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Connecticut,All Occupations,1665100,0.8,1000,1,29.98,62350,0.8
Connecticut,Management Occupations,120810,1.7,72.553,1.32,69.64,144850,0.7
Connecticut,Chief Executives,970,7.8,0.582,0.42,111.34,231590,2.1
Connecticut,General and Operations Managers,30480,2.2,18.306,1.12,75.56,157170,0.9
Connecticut,Legislators,440,5.1,0.264,0.74,*,60010,11.6
Connecticut,Advertising and Promotions Managers,240,19.9,0.141,0.83,63,131030,6.8
Connecticut,Marketing Managers,5680,4.6,3.413,1.9,76.41,158940,2.2
Connecticut,Sales Managers,7000,3.7,4.204,1.53,72.09,149950,1.5
Connecticut,Public Relations and Fundraising Managers,1010,4.8,0.61,1.13,60.94,126760,1.9
Connecticut,Administrative Services and Facilities Managers,4080,4.6,2.45,1.17,56.76,118060,1.5
Connecticut,Computer and Information Systems Managers,9360,3.4,5.623,1.9,71.34,148380,1.4
Connecticut,Financial Managers,17790,3.4,10.687,2.4,80.29,167000,1.4
Connecticut,Industrial Production Managers,2850,4.7,1.709,1.35,65.44,136110,2
Connecticut,Purchasing Managers,1780,6.9,1.069,2.18,61.67,128270,1.8
Connecticut,"Transportation, Storage, and Distribution Managers",1200,7.3,0.718,0.8,53.51,111310,2.7
Connecticut,Compensation and Benefits Managers,410,8.4,0.244,2.12,84.29,175330,3.1
Connecticut,Human Resources Managers,2990,4.1,1.796,1.7,72.61,151030,2.3
Connecticut,Training and Development Managers,740,6.6,0.444,1.7,61.12,127130,2.5
Connecticut,Construction Managers,2310,7.3,1.388,0.69,56.78,118090,2.4
Connecticut,"Education and Childcare Administrators, Preschool and Daycare",800,15.5,0.48,1.35,29.55,61470,4.5
Connecticut,"Education Administrators, Kindergarten through Secondary",4190,3.5,2.518,1.36,*,129700,1.1
Connecticut,"Education Administrators, Postsecondary",1780,4.9,1.071,1.09,*,*,*
Connecticut,"Education Administrators, All Other",440,13.7,0.265,0.87,39.68,82530,6.9
Connecticut,Architectural and Engineering Managers,3760,8.7,2.256,1.71,71.14,147970,2.7
Connecticut,Food Service Managers,1090,10.2,0.656,0.41,35.21,73240,2.9
Connecticut,Lodging Managers,120,22.9,0.073,0.28,32.83,68280,5.4
Connecticut,Medical and Health Services Managers,6270,3.8,3.768,1.4,62.01,128970,2.2
Connecticut,Natural Sciences Managers,630,9.9,0.38,0.83,80.8,168060,5.6
Connecticut,Postmasters and Mail Superintendents,170,0,0.101,1.07,38.6,80290,0.6
Connecticut,"Property, Real Estate, and Community Association Managers",2200,9.7,1.321,0.88,36.97,76910,4.3
Connecticut,Social and Community Service Managers,2940,5,1.767,1.66,35.14,73090,1.3
Connecticut,Emergency Management Directors,160,11,0.093,1.36,44.77,93110,4.4
Connecticut,Funeral Home Managers,110,28.7,0.069,1.08,56.97,118510,23.6
Connecticut,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",6760,4,4.058,1.26,66.31,137930,1.7
Connecticut,Business and Financial Operations Occupations,94570,1.8,56.793,1.02,41.48,86280,0.9
Connecticut,"Agents and Business Managers of Artists, Performers, and Athletes",110,32.1,0.069,0.59,51.9,107950,20.1
Connecticut,Buyers and Purchasing Agents,5870,4.4,3.527,1.23,34.03,70790,1.5
Connecticut,"Claims Adjusters, Examiners, and Investigators",3970,7,2.386,1.22,39.59,82340,2.4
Connecticut,"Insurance Appraisers, Auto Damage",170,6.9,0.101,1.07,33.86,70420,2.8
Connecticut,Compliance Officers,3340,3.9,2.006,0.93,41.94,87240,2.4
Connecticut,Cost Estimators,1880,6.4,1.126,0.79,38.36,79780,2.4
Connecticut,Human Resources Specialists,7040,4,4.225,0.98,35.25,73330,1.4
Connecticut,Labor Relations Specialists,1730,13.1,1.037,2.01,35.46,73760,5.2
Connecticut,Logisticians,1150,5.7,0.688,0.56,36.93,76820,2.5
Connecticut,Management Analysts,8380,4,5.034,1.04,50.71,105480,2.1
Connecticut,"Meeting, Convention, and Event Planners",1000,15.7,0.6,0.75,29.76,61900,2.1
Connecticut,Fundraisers,1090,9.3,0.657,1.18,34.09,70910,3.5
Connecticut,"Compensation, Benefits, and Job Analysis Specialists",1220,7.9,0.734,1.21,37.67,78350,1.7
Connecticut,Training and Development Specialists,3430,4.9,2.057,0.97,35.32,73470,2.1
Connecticut,Market Research Analysts and Marketing Specialists,7830,4.3,4.702,1.02,36.16,75200,2.9
Connecticut,"Project Management Specialists and Business Operations Specialists, All Other",8880,4.1,5.332,0.61,40.92,85110,1.7
Connecticut,Accountants and Auditors,15450,3.4,9.278,1.06,40.23,83680,1.1
Connecticut,Property Appraisers and Assessors,650,10.1,0.389,1.01,35.74,74340,2.8
Connecticut,Budget Analysts,1020,2.8,0.61,1.74,40.41,84050,1.8
Connecticut,Credit Analysts,1090,8.4,0.656,1.3,45.41,94460,4.6
Connecticut,Personal Financial Advisors,4250,10.1,2.555,1.79,66.08,137440,6.5
Connecticut,Insurance Underwriters,3100,8.4,1.864,2.74,43.11,89670,3.3
Connecticut,Financial Examiners,310,7.2,0.185,0.42,51.08,106240,5.1
Connecticut,Credit Counselors,620,32.9,0.373,1.71,23.25,48350,6.1
Connecticut,Loan Officers,2170,7.7,1.302,0.62,39.93,83050,4.9
Connecticut,"Tax Examiners and Collectors, and Revenue Agents",870,1.6,0.523,1.43,41.31,85920,1.4
Connecticut,Tax Preparers,550,28.7,0.328,0.72,26.21,54510,11.1
Connecticut,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",7410,5.3,4.449,1.43,49.64,103250,2.6
Connecticut,Computer and Mathematical Occupations,48650,3.4,29.219,0.94,45.82,95310,1
Connecticut,Computer Systems Analysts,7160,4.1,4.299,1.07,46.59,96910,1.7
Connecticut,Information Security Analysts,850,6.8,0.512,0.6,48.81,101530,1.9
Connecticut,Computer Network Support Specialists,890,11.2,0.534,0.42,36.63,76200,2.2
Connecticut,Computer User Support Specialists,9050,5.9,5.437,1.23,29.57,61500,1.2
Connecticut,Computer Network Architects,1370,6.8,0.821,0.79,57.33,119250,3.8
Connecticut,Network and Computer Systems Administrators,2510,5.7,1.509,0.63,45.91,95500,1.4
Connecticut,Database Administrators and Architects,1530,6.3,0.92,1.08,50.59,105230,1.5
Connecticut,Computer Programmers,2630,9,1.578,1.16,46.39,96480,4.8
Connecticut,Software Developers and Software Quality Assurance Analysts and Testers,16350,4.6,9.819,1.03,51.7,107540,1.6
Connecticut,Web Developers and Digital Interface Designers,1430,6.8,0.859,0.85,40.37,83970,3.6
Connecticut,"Computer Occupations, All Other",1410,9.3,0.847,0.32,40.56,84370,2.8
Connecticut,Actuaries,1350,14.4,0.813,5.37,*,*,*
Connecticut,Operations Research Analysts,1100,8,0.66,0.97,48.71,101320,6.5
Connecticut,Statisticians,380,7.2,0.227,0.85,50.09,104190,5.8
Connecticut,"Data Scientists and Mathematical Science Occupations, All Other",600,21.3,0.358,1.71,46.16,96000,1.5
Connecticut,Architecture and Engineering Occupations,35730,4.4,21.458,1.22,44,91520,0.7
Connecticut,"Architects, Except Landscape and Naval",1040,16.3,0.626,0.87,42.09,87560,3.8
Connecticut,Landscape Architects,430,33.9,0.258,1.87,40.91,85090,5.9
Connecticut,Cartographers and Photogrammetrists,60,17.4,0.035,0.45,36.1,75080,5.8
Connecticut,Surveyors,390,14.1,0.236,0.77,35.08,72970,4
Connecticut,Aerospace Engineers,1450,20.7,0.873,2.03,52.71,109630,3.3
Connecticut,Bioengineers and Biomedical Engineers,250,30.9,0.153,1.13,49.01,101940,2.5
Connecticut,Chemical Engineers,460,21.2,0.277,1.35,41.56,86430,3.2
Connecticut,Civil Engineers,3720,4.7,2.231,1.05,45.39,94400,1.2
Connecticut,Computer Hardware Engineers,690,17.5,0.413,0.89,52.81,109830,2.5
Connecticut,Electrical Engineers,2570,6.1,1.541,1.22,48.7,101310,2.1
Connecticut,"Electronics Engineers, Except Computer",1020,18.4,0.615,0.7,52.01,108170,1.9
Connecticut,Environmental Engineers,650,13.1,0.391,1.08,46.57,96870,2.1
Connecticut,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",130,10.3,0.077,0.44,49.86,103700,2.5
Connecticut,Industrial Engineers,5780,8.3,3.474,1.75,44.74,93070,1.6
Connecticut,Materials Engineers,330,15.7,0.201,1.1,45.52,94680,3
Connecticut,Mechanical Engineers,4510,9.1,2.707,1.3,45.89,95460,2
Connecticut,Nuclear Engineers,580,14.8,0.346,3.2,55.77,116000,2.2
Connecticut,"Engineers, All Other",1220,8,0.734,0.71,52.07,108300,1.8
Connecticut,Architectural and Civil Drafters,680,12.2,0.411,0.61,30.14,62680,2.5
Connecticut,Electrical and Electronics Drafters,330,9.3,0.197,1.2,27.85,57920,2
Connecticut,Mechanical Drafters,710,9.2,0.427,1.14,32.64,67880,4.7
Connecticut,"Drafters, All Other",340,8.7,0.203,2.04,24.29,50520,4
Connecticut,Civil Engineering Technologists and Technicians,350,16.3,0.209,0.44,33.81,70330,2.5
Connecticut,Electrical and Electronic Engineering Technologists and Technicians,1550,4.7,0.933,1.12,31.54,65600,3
Connecticut,Electro-Mechanical and Mechatronics Technologists and Technicians,70,18.7,0.039,0.4,27.65,57500,3
Connecticut,Environmental Engineering Technologists and Technicians,80,12.4,0.049,0.4,27.82,57870,3.7
Connecticut,Industrial Engineering Technologists and Technicians,940,11.1,0.566,1.24,29.89,62160,2.4
Connecticut,Mechanical Engineering Technologists and Technicians,400,8.8,0.24,0.82,32.92,68480,4.5
Connecticut,Surveying and Mapping Technicians,340,13.4,0.204,0.57,29.95,62300,2.8
Connecticut,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",630,14.5,0.38,0.63,32.08,66720,2.3
Connecticut,"Life, Physical, and Social Science Occupations",12210,3.7,7.334,0.84,40.6,84450,2.2
Connecticut,Food Scientists and Technologists,40,36.6,0.026,0.29,42.11,87590,12.8
Connecticut,Soil and Plant Scientists,120,22.2,0.072,0.75,35.74,74340,2.7
Connecticut,Microbiologists,**,**,**,**,37.59,78190,2.7
Connecticut,Zoologists and Wildlife Biologists,60,5.1,0.036,0.27,37.75,78510,5.4
Connecticut,"Biological Scientists, All Other",240,16.7,0.147,0.54,44.74,93050,2.2
Connecticut,Conservation Scientists,50,22.2,0.03,0.2,42.98,89400,4.4
Connecticut,Foresters,60,9.9,0.036,0.55,35.24,73310,6.2
Connecticut,Epidemiologists,150,14.7,0.087,1.73,39.21,81550,3.3
Connecticut,"Medical Scientists, Except Epidemiologists",1510,8.6,0.905,1.04,60.62,126090,3.5
Connecticut,Physicists,130,49.8,0.078,0.69,79.64,165650,7.9
Connecticut,Chemists,920,14.6,0.55,0.97,40.89,85060,2.7
Connecticut,"Environmental Scientists and Specialists, Including Health",860,11.8,0.516,0.9,35.44,73710,3.3
Connecticut,"Geoscientists, Except Hydrologists and Geographers",60,35.3,0.038,0.19,42.33,88050,4.3
Connecticut,"Physical Scientists, All Other",170,13.7,0.101,0.84,55.07,114550,6.8
Connecticut,Economists,120,7.5,0.07,0.54,44.07,91660,3.2
Connecticut,Survey Researchers,430,14.1,0.256,3.78,25.81,53690,4.6
Connecticut,"Clinical, Counseling, and School Psychologists",1800,6.4,1.078,1.4,44.61,92790,2.4
Connecticut,"Psychologists, All Other",190,16.6,0.116,1.19,42.53,88460,2
Connecticut,Urban and Regional Planners,350,6.3,0.209,0.8,38.72,80530,1.4
Connecticut,Anthropologists and Archeologists,40,29.3,0.025,0.56,31.53,65590,3.6
Connecticut,"Social Scientists and Related Workers, All Other",240,6.5,0.144,0.63,39.04,81200,1.2
Connecticut,Agricultural and Food Science Technicians,60,14.3,0.034,0.23,19.71,40990,2.8
Connecticut,Biological Technicians,710,14.2,0.428,0.79,33.3,69260,2.6
Connecticut,Chemical Technicians,890,12.3,0.535,1.19,24.64,51240,2.1
Connecticut,"Environmental Science and Protection Technicians, Including Health",270,20.5,0.159,0.72,27.42,57030,7.1
Connecticut,Geological and Hydrologic Technicians,50,21.8,0.03,0.25,19.93,41460,8
Connecticut,Social Science Research Assistants,220,18,0.129,0.53,21.7,45130,4.9
Connecticut,Forest and Conservation Technicians,40,45.5,0.024,0.18,26.62,55360,26.5
Connecticut,Forensic Science Technicians,110,10.5,0.064,0.57,33.16,68960,3.1
Connecticut,"Life, Physical, and Social Science Technicians, All Other",480,14.2,0.291,0.67,30.27,62970,2.9
Connecticut,Occupational Health and Safety Specialists,780,5.1,0.468,0.74,40.4,84030,1.5
Connecticut,Occupational Health and Safety Technicians,130,12.4,0.081,0.58,26.56,55240,4.1
Connecticut,Community and Social Service Occupations,34190,3,20.531,1.34,27.89,58010,2
Connecticut,"Educational, Guidance, and Career Counselors and Advisors",4240,12.9,2.548,1.26,31.68,65890,2.2
Connecticut,Marriage and Family Therapists,370,22.7,0.224,0.56,26.34,54790,5.8
Connecticut,Rehabilitation Counselors,2570,15.3,1.545,2.08,21.39,44490,4.9
Connecticut,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",4160,5.5,2.501,1.3,26.7,55530,2.3
Connecticut,"Counselors, All Other",370,49.6,0.22,1.27,27.59,57390,13.1
Connecticut,"Child, Family, and School Social Workers",5360,3.4,3.22,1.44,32.87,68360,2.5
Connecticut,Healthcare Social Workers,2210,9,1.325,1.11,35.09,72980,1.9
Connecticut,Mental Health and Substance Abuse Social Workers,1920,7.6,1.155,1.44,31.05,64590,2.6
Connecticut,"Social Workers, All Other",750,29.4,0.45,1.13,31.76,66060,7.8
Connecticut,Health Education Specialists,590,11.8,0.352,0.88,34.85,72490,3.1
Connecticut,Social and Human Service Assistants,8270,6.1,4.966,1.8,20.22,42050,2.3
Connecticut,Community Health Workers,400,11.3,0.241,0.6,24.81,51610,2.8
Connecticut,"Community and Social Service Specialists, All Other",750,9.3,0.451,0.68,28.21,58670,5.5
Connecticut,Clergy,680,8.3,0.408,1.13,27.4,56990,3.9
Connecticut,"Directors, Religious Activities and Education",260,21.3,0.155,1.04,24.16,50250,4.6
Connecticut,"Religious Workers, All Other",80,45.1,0.05,0.78,31,64480,4.4
Connecticut,Legal Occupations,14100,3.5,8.469,1.08,54.81,114000,2.9
Connecticut,Lawyers,7600,5.5,4.566,1.02,74.33,154610,3.2
Connecticut,Judicial Law Clerks,260,12.4,0.158,1.4,38.57,80220,4.2
Connecticut,"Administrative Law Judges, Adjudicators, and Hearing Officers",200,0,0.122,1.24,48.38,100620,1.6
Connecticut,"Arbitrators, Mediators, and Conciliators",110,28,0.068,1.64,32.44,67480,4
Connecticut,"Judges, Magistrate Judges, and Magistrates",240,9.2,0.143,0.73,77.75,161720,2.2
Connecticut,Paralegals and Legal Assistants,5160,7.4,3.098,1.38,28.96,60240,2.6
Connecticut,"Title Examiners, Abstractors, and Searchers",270,47.7,0.162,0.45,26.16,54400,3.6
Connecticut,"Legal Support Workers, All Other",250,10.6,0.152,0.5,36.2,75300,4.6
Connecticut,Educational Instruction and Library Occupations,121290,2.3,72.844,1.2,32.43,67460,2.8
Connecticut,"Business Teachers, Postsecondary",1040,2.6,0.624,1.09,*,95030,4.2
Connecticut,"Computer Science Teachers, Postsecondary",300,4.1,0.181,0.84,*,91620,2.4
Connecticut,"Mathematical Science Teachers, Postsecondary",540,2.6,0.322,0.92,*,80300,1.8
Connecticut,"Architecture Teachers, Postsecondary",**,**,**,**,*,63270,9.5
Connecticut,"Engineering Teachers, Postsecondary",410,4.3,0.246,1,*,79190,5.4
Connecticut,"Biological Science Teachers, Postsecondary",1170,3.6,0.702,1.94,*,108500,4.2
Connecticut,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",**,**,**,**,*,75220,3.4
Connecticut,"Chemistry Teachers, Postsecondary",360,3,0.217,1.49,*,85130,2.5
Connecticut,"Environmental Science Teachers, Postsecondary",60,4.4,0.035,0.84,*,88850,3.6
