area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Delaware,All Occupations,451900,1.1,1000,1,26.14,54370,1.3
Delaware,Management Occupations,19680,3,43.548,0.79,68.07,141580,1.1
Delaware,Chief Executives,370,5.2,0.822,0.59,*,*,*
Delaware,General and Operations Managers,4070,3.7,9.006,0.55,72.72,151260,1.6
Delaware,Legislators,150,8.2,0.339,0.95,*,*,*
Delaware,Advertising and Promotions Managers,**,**,**,**,75.72,157510,4.8
Delaware,Marketing Managers,970,19.6,2.145,1.19,78.06,162360,2.4
Delaware,Sales Managers,1020,9,2.249,0.82,85.36,177560,3.9
Delaware,Public Relations and Fundraising Managers,240,11.9,0.524,0.97,62.92,130880,3.8
Delaware,Administrative Services and Facilities Managers,840,8.2,1.855,0.89,60.05,124910,2.1
Delaware,Computer and Information Systems Managers,1370,8.4,3.037,1.03,79.79,165970,2.8
Delaware,Financial Managers,2290,7.6,5.073,1.14,81.3,169100,1.8
Delaware,Industrial Production Managers,350,5.8,0.772,0.61,65.02,135240,1.8
Delaware,"Transportation, Storage, and Distribution Managers",390,11.4,0.87,0.97,63.72,132540,3.4
Delaware,Human Resources Managers,400,7.2,0.894,0.85,68.19,141840,4.2
Delaware,Training and Development Managers,60,17.3,0.128,0.49,70.01,145620,5.5
Delaware,Construction Managers,620,9.4,1.374,0.69,59.97,124730,2.2
Delaware,"Education and Childcare Administrators, Preschool and Daycare",240,12.3,0.526,1.48,28.37,59010,8.3
Delaware,"Education Administrators, Kindergarten through Secondary",830,2.7,1.842,1,*,114460,1.4
Delaware,"Education Administrators, Postsecondary",280,8.3,0.625,0.63,64.39,133930,4.1
Delaware,"Education Administrators, All Other",60,21.5,0.13,0.43,52.07,108300,5.2
Delaware,Architectural and Engineering Managers,420,6.4,0.922,0.7,75.26,156550,1.8
Delaware,Food Service Managers,560,13,1.244,0.78,38.13,79320,3.3
Delaware,Lodging Managers,80,37.1,0.18,0.69,34.97,72740,2.8
Delaware,Medical and Health Services Managers,1050,5.4,2.314,0.86,63.24,131540,4.4
Delaware,Natural Sciences Managers,370,8.5,0.818,1.77,*,*,*
Delaware,Postmasters and Mail Superintendents,40,0,0.093,0.99,40.54,84320,2.2
Delaware,"Property, Real Estate, and Community Association Managers",590,9.7,1.314,0.87,31,64480,5.7
Delaware,Social and Community Service Managers,750,5.1,1.657,1.56,33.73,70150,2.3
Delaware,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",930,9.7,2.068,0.64,66.62,138570,2.6
Delaware,Business and Financial Operations Occupations,29410,5,65.085,1.17,37.84,78700,1.2
Delaware,Buyers and Purchasing Agents,990,6.6,2.194,0.76,34.36,71460,2.3
Delaware,"Claims Adjusters, Examiners, and Investigators",610,30.6,1.356,0.69,30.07,62540,2.3
Delaware,Compliance Officers,1340,7.4,2.965,1.37,36.99,76950,4
Delaware,Cost Estimators,950,9.8,2.111,1.48,33.9,70500,2.6
Delaware,Human Resources Specialists,2170,4.2,4.8,1.11,32.19,66950,1.6
Delaware,Labor Relations Specialists,340,7.4,0.757,1.47,*,*,*
Delaware,Logisticians,610,9.7,1.346,1.09,44.59,92750,2.8
Delaware,Management Analysts,2600,6,5.742,1.19,41.55,86420,2.4
Delaware,"Meeting, Convention, and Event Planners",300,26.4,0.672,0.84,25.21,52430,2.9
Delaware,Fundraisers,330,8.2,0.738,1.33,29.19,60720,1.8
Delaware,"Compensation, Benefits, and Job Analysis Specialists",270,23.4,0.595,0.98,35,72790,3.7
Delaware,Training and Development Specialists,1100,13.8,2.439,1.15,33.18,69010,2.1
Delaware,Market Research Analysts and Marketing Specialists,2030,11,4.487,0.97,40.86,84990,2
Delaware,"Project Management Specialists and Business Operations Specialists, All Other",1670,9,3.691,0.42,41.28,85850,1.7
Delaware,Accountants and Auditors,4950,5.6,10.948,1.26,38.47,80010,2
Delaware,Property Appraisers and Assessors,90,22,0.197,0.51,26.27,54640,3.2
Delaware,Budget Analysts,120,4.2,0.272,0.78,34.33,71400,2.4
Delaware,Insurance Underwriters,230,38.5,0.505,0.74,39.71,82590,4.2
Delaware,Financial Examiners,830,5.7,1.838,4.18,38.53,80140,3.7
Delaware,Credit Counselors,100,37.4,0.223,1.02,23.63,49150,2.4
Delaware,"Tax Examiners and Collectors, and Revenue Agents",100,1.1,0.219,0.6,29.83,62050,1.6
Delaware,Tax Preparers,200,28.1,0.439,0.97,*,*,*
Delaware,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",3480,6.2,7.711,2.47,44,91510,3.6
Delaware,Computer and Mathematical Occupations,15530,4,34.355,1.11,45.41,94450,1.9
Delaware,Computer Systems Analysts,2090,5.5,4.626,1.15,47.04,97850,2.2
Delaware,Information Security Analysts,680,7.9,1.502,1.76,54.33,113000,2.7
Delaware,Computer and Information Research Scientists,30,12.4,0.068,0.32,48.77,101440,3.7
Delaware,Computer Network Support Specialists,460,16,1.025,0.81,30.1,62600,6.1
Delaware,Computer User Support Specialists,1820,9.3,4.02,0.91,29.16,60650,3.1
Delaware,Computer Network Architects,470,13.5,1.035,1,60.44,125720,3.7
Delaware,Network and Computer Systems Administrators,1170,7.3,2.593,1.07,37.93,78890,1.8
Delaware,Database Administrators and Architects,780,9,1.736,2.03,44.45,92450,2.7
Delaware,Computer Programmers,1080,14.2,2.394,1.76,39.53,82220,3.1
Delaware,Software Developers and Software Quality Assurance Analysts and Testers,4590,7.9,10.146,1.06,53.56,111400,1.8
Delaware,Web Developers and Digital Interface Designers,340,17.8,0.751,0.74,37.53,78060,3.8
Delaware,"Computer Occupations, All Other",970,4.4,2.148,0.8,48.03,99910,4.2
Delaware,Operations Research Analysts,870,11,1.916,2.82,43.07,89580,2.9
Delaware,Statisticians,130,44.9,0.295,1.11,48.35,100580,2.3
Delaware,Architecture and Engineering Occupations,6490,11.5,14.363,0.81,44.26,92070,3.2
Delaware,"Architects, Except Landscape and Naval",150,17.6,0.333,0.46,41.71,86760,5.8
Delaware,Landscape Architects,30,37.4,0.073,0.53,32.16,66880,5.1
Delaware,Surveyors,120,13.3,0.275,0.89,34.52,71800,5.2
Delaware,Chemical Engineers,470,16.8,1.036,5.05,60.89,126650,4.7
Delaware,Civil Engineers,880,8.2,1.954,0.92,44.55,92650,2.1
Delaware,Computer Hardware Engineers,30,23.6,0.069,0.15,*,*,*
Delaware,Electrical Engineers,530,20.4,1.183,0.94,50.92,105920,3.1
Delaware,Environmental Engineers,150,13.6,0.328,0.91,44.54,92650,2.5
Delaware,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",110,17.2,0.247,1.41,50.88,105820,4.6
Delaware,Industrial Engineers,520,9.5,1.156,0.58,46.6,96930,1.9
Delaware,Materials Engineers,50,12.7,0.118,0.64,41.81,86960,4.1
Delaware,Mechanical Engineers,590,15.8,1.304,0.62,49.37,102690,3.7
Delaware,Architectural and Civil Drafters,390,11,0.862,1.28,25.46,52960,3
Delaware,Electrical and Electronics Drafters,70,21.5,0.145,0.88,31.15,64790,4.8
Delaware,Mechanical Drafters,220,19.7,0.494,1.31,26.51,55150,3.4
Delaware,"Drafters, All Other",**,**,**,**,24.92,51840,5.3
Delaware,Civil Engineering Technologists and Technicians,320,8.5,0.708,1.51,22.95,47740,2.9
Delaware,Electrical and Electronic Engineering Technologists and Technicians,**,**,**,**,28.8,59900,3.6
Delaware,Environmental Engineering Technologists and Technicians,60,23,0.135,1.1,29.08,60490,4.1
Delaware,Industrial Engineering Technologists and Technicians,40,13.8,0.094,0.21,26.74,55610,3.4
Delaware,Surveying and Mapping Technicians,150,8.4,0.331,0.92,21.56,44850,2.6
Delaware,"Life, Physical, and Social Science Occupations",5860,4.6,12.973,1.48,39.32,81780,4.1
Delaware,Soil and Plant Scientists,70,18,0.162,1.68,30.94,64350,4
Delaware,Biochemists and Biophysicists,390,12.8,0.858,4.02,*,*,*
Delaware,Microbiologists,170,8.6,0.368,2.96,30.41,63260,3.2
Delaware,Conservation Scientists,60,0,0.14,0.93,27.03,56220,1.3
Delaware,"Medical Scientists, Except Epidemiologists",400,19.1,0.889,1.03,54.42,113190,3.3
Delaware,Chemists,1350,10,2.993,5.26,50.97,106020,1.9
Delaware,Materials Scientists,60,12,0.133,2.9,50.04,104080,10.8
Delaware,"Environmental Scientists and Specialists, Including Health",340,9.5,0.756,1.32,29.7,61780,4.5
Delaware,"Geoscientists, Except Hydrologists and Geographers",90,37.8,0.208,1.05,40.67,84590,7.4
Delaware,Survey Researchers,70,21.9,0.159,2.36,29.84,62070,3.2
Delaware,"Clinical, Counseling, and School Psychologists",560,15.2,1.235,1.6,38.49,80060,5.1
Delaware,Urban and Regional Planners,200,1.5,0.453,1.72,31.51,65530,2.1
Delaware,"Social Scientists and Related Workers, All Other",40,0,0.087,0.38,36.78,76500,1.8
Delaware,Agricultural and Food Science Technicians,**,**,**,**,19.2,39940,4
Delaware,Biological Technicians,200,20,0.442,0.82,23.51,48900,2.2
Delaware,Chemical Technicians,640,14,1.422,3.17,30.05,62500,3.6
Delaware,"Environmental Science and Protection Technicians, Including Health",190,19,0.421,1.9,17.7,36810,4
Delaware,"Life, Physical, and Social Science Technicians, All Other",80,23.7,0.182,0.42,24.93,51860,6.8
Delaware,Occupational Health and Safety Specialists,420,10.1,0.938,1.49,38.2,79460,4.7
Delaware,Occupational Health and Safety Technicians,50,13.5,0.11,0.78,24.68,51340,4
Delaware,Community and Social Service Occupations,7330,3.6,16.222,1.06,23.24,48330,2.7
Delaware,"Educational, Guidance, and Career Counselors and Advisors",1140,7,2.52,1.25,32.11,66790,2.5
Delaware,Rehabilitation Counselors,330,10.3,0.731,0.98,17.05,35470,2
Delaware,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",820,12.4,1.821,0.94,22.66,47130,3.3
Delaware,"Child, Family, and School Social Workers",1320,9.1,2.917,1.31,19.17,39880,3.1
Delaware,Healthcare Social Workers,620,9.5,1.374,1.15,27.55,57310,4.1
Delaware,Mental Health and Substance Abuse Social Workers,400,7.2,0.895,1.12,24.13,50190,4.7
Delaware,"Social Workers, All Other",130,5.7,0.277,0.7,30.11,62630,3.6
Delaware,Health Education Specialists,230,9.4,0.503,1.26,32.06,66690,2.7
Delaware,Social and Human Service Assistants,840,7.9,1.853,0.67,16.53,34380,2.2
Delaware,Community Health Workers,170,17.6,0.381,0.95,18.33,38120,3.5
Delaware,"Community and Social Service Specialists, All Other",500,13.8,1.116,1.68,19.89,41370,3.7
Delaware,Clergy,60,19.6,0.127,0.35,28.49,59260,3.5
Delaware,Legal Occupations,4700,4.1,10.398,1.33,62.16,129290,6
Delaware,Lawyers,2600,7.3,5.757,1.29,*,*,*
Delaware,"Administrative Law Judges, Adjudicators, and Hearing Officers",70,2,0.164,1.67,31.4,65320,6.3
