area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Florida,All Occupations,8794050,0.6,1000,1,22.96,47750,0.4
Florida,Management Occupations,474730,0.9,53.983,0.98,51.56,107250,0.5
Florida,Chief Executives,26300,3.1,2.991,2.13,87.02,181000,1.5
Florida,General and Operations Managers,147680,1.3,16.794,1.03,50.61,105260,0.7
Florida,Legislators,1260,4.3,0.144,0.4,*,61940,4.4
Florida,Advertising and Promotions Managers,1290,14.8,0.146,0.86,43.18,89810,4.7
Florida,Marketing Managers,12090,3.3,1.375,0.77,59.91,124600,1.7
Florida,Sales Managers,25020,2.9,2.845,1.04,60.48,125810,1.3
Florida,Public Relations and Fundraising Managers,2730,5.5,0.31,0.58,52.37,108940,3.2
Florida,Administrative Services and Facilities Managers,15970,2.8,1.816,0.87,44.58,92740,1.9
Florida,Computer and Information Systems Managers,20090,3.8,2.284,0.77,66.54,138400,1.4
Florida,Financial Managers,32860,2,3.736,0.84,62.98,131000,1
Florida,Industrial Production Managers,5900,2.8,0.671,0.53,52.02,108200,1.1
Florida,Purchasing Managers,3270,3.8,0.372,0.76,54,112320,1.5
Florida,"Transportation, Storage, and Distribution Managers",5890,3.6,0.67,0.74,44.15,91830,1.6
Florida,Compensation and Benefits Managers,800,10.3,0.091,0.79,51.68,107490,2.3
Florida,Human Resources Managers,7980,3.3,0.907,0.86,51.69,107520,1.3
Florida,Training and Development Managers,1840,4.6,0.21,0.8,47.63,99070,2
Florida,"Farmers, Ranchers, and Other Agricultural Managers",180,29.2,0.02,0.58,30.78,64020,10.1
Florida,Construction Managers,23820,3.3,2.708,1.36,47.52,98840,2
Florida,"Education and Childcare Administrators, Preschool and Daycare",**,**,**,**,21.66,45060,2.9
Florida,"Education Administrators, Kindergarten through Secondary",**,**,**,**,*,84530,2
Florida,"Education Administrators, All Other",1430,7.1,0.162,0.54,39.31,81770,3.4
Florida,Architectural and Engineering Managers,7520,3.2,0.856,0.65,65.38,135990,1.5
Florida,Food Service Managers,20150,4.7,2.291,1.43,27.84,57900,2.1
Florida,Gambling Managers,310,13.8,0.035,1.15,38.42,79910,3.6
Florida,Lodging Managers,3990,6.8,0.454,1.74,29.92,62220,2.5
Florida,Medical and Health Services Managers,**,**,**,**,51.3,106710,1.6
Florida,Natural Sciences Managers,2230,7.2,0.254,0.55,42.34,88070,2.7
