area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Georgia,All Occupations,4471860,0.3,1000,1,23.85,49620,0.5
Georgia,Management Occupations,272140,1,60.855,1.11,56.12,116740,0.7
Georgia,General and Operations Managers,83090,1.7,18.58,1.14,54.23,112800,1
Georgia,Legislators,1650,4.8,0.369,1.04,*,24380,4.3
Georgia,Advertising and Promotions Managers,670,9.2,0.149,0.87,67.17,139710,4.3
Georgia,Marketing Managers,9220,4.7,2.061,1.15,68.61,142700,2.5
Georgia,Sales Managers,15290,3.7,3.419,1.25,68.65,142790,1.3
Georgia,Public Relations and Fundraising Managers,2190,7.5,0.489,0.91,56.98,118520,1.8
Georgia,Administrative Services and Facilities Managers,10100,3.7,2.258,1.08,54.98,114360,2.6
Georgia,Computer and Information Systems Managers,14950,2.7,3.343,1.13,71.68,149080,0.9
Georgia,Financial Managers,18280,2.8,4.088,0.92,70.07,145750,1.7
Georgia,Industrial Production Managers,4470,3.7,1,0.79,51.45,107010,1
Georgia,Purchasing Managers,2370,4.2,0.531,1.08,59.13,122980,2.1
Georgia,"Transportation, Storage, and Distribution Managers",4290,4.8,0.959,1.07,54.4,113150,2.9
Georgia,Compensation and Benefits Managers,710,9.8,0.159,1.39,59.88,124560,2.4
Georgia,Human Resources Managers,5670,3,1.269,1.2,61.15,127190,1.5
Georgia,Training and Development Managers,1540,5.3,0.345,1.32,55.39,115200,2
Georgia,"Farmers, Ranchers, and Other Agricultural Managers",60,23.6,0.014,0.41,35.83,74520,6.7
Georgia,Construction Managers,7830,4.7,1.751,0.88,49.58,103130,1.8
Georgia,"Education and Childcare Administrators, Preschool and Daycare",2040,15.3,0.455,1.28,20.57,42780,6.9
Georgia,"Education Administrators, Kindergarten through Secondary",8240,2.9,1.843,1,*,96110,1
Georgia,"Education Administrators, All Other",**,**,**,**,45.52,94670,4.2
Georgia,Architectural and Engineering Managers,4700,4.9,1.05,0.79,70.8,147260,1.6
Georgia,Food Service Managers,9660,5.7,2.161,1.35,28.22,58700,2.6
Georgia,Lodging Managers,1200,11.7,0.269,1.03,32.14,66850,6.1
Georgia,Medical and Health Services Managers,**,**,**,**,51.74,107610,4.1
Georgia,Postmasters and Mail Superintendents,340,0,0.076,0.81,38.67,80440,0.5
Georgia,"Property, Real Estate, and Community Association Managers",6830,10.3,1.527,1.02,31.09,64660,5.9
Georgia,Social and Community Service Managers,3800,4.2,0.849,0.8,32.56,67720,3.3
Georgia,Emergency Management Directors,350,2.8,0.079,1.16,34.33,71410,2.1
Georgia,Funeral Home Managers,410,11.5,0.092,1.43,34.61,71990,6.8
Georgia,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",**,**,**,**,52.61,109440,1.6
Georgia,Business and Financial Operations Occupations,260840,1.4,58.329,1.05,35.71,74280,0.7
Georgia,"Agents and Business Managers of Artists, Performers, and Athletes",330,28.6,0.074,0.64,25.63,53310,9.8
Georgia,Buyers and Purchasing Agents,12330,2.9,2.757,0.96,33.57,69820,2.2
Georgia,"Claims Adjusters, Examiners, and Investigators",**,**,**,**,32.63,67860,1.7
Georgia,"Insurance Appraisers, Auto Damage",470,18.7,0.105,1.12,32.97,68580,4.2
Georgia,Compliance Officers,10350,2.4,2.315,1.07,30.47,63380,2.4
Georgia,Cost Estimators,4880,7.5,1.092,0.76,34.02,70760,1.8
Georgia,Human Resources Specialists,21060,3.2,4.71,1.09,29.97,62340,1.2
Georgia,Labor Relations Specialists,1100,10.1,0.246,0.48,30.43,63300,9.3
Georgia,Logisticians,7780,4.9,1.739,1.4,33.68,70050,1.9
Georgia,Management Analysts,19860,3.7,4.442,0.92,45.45,94530,2
Georgia,"Meeting, Convention, and Event Planners",2820,6.9,0.631,0.79,24.68,51330,2.8
Georgia,Fundraisers,2010,9.5,0.449,0.81,24.44,50840,5.5
Georgia,"Compensation, Benefits, and Job Analysis Specialists",3240,8.7,0.725,1.19,31.28,65050,1.4
Georgia,Training and Development Specialists,9810,3.6,2.193,1.03,30.97,64430,1.5
Georgia,Market Research Analysts and Marketing Specialists,21300,3.6,4.763,1.03,33.31,69290,1.4
