area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Hawaii,All Occupations,635500,0.7,1000,1,26.41,54930,1.6
Hawaii,Management Occupations,34110,1.8,53.677,0.98,52.74,109690,1
Hawaii,Chief Executives,910,8.4,1.43,1.02,91.35,190010,3.9
Hawaii,General and Operations Managers,9370,2.7,14.748,0.9,55.37,115160,1.6
Hawaii,Legislators,120,0,0.187,0.53,*,61330,3.2
Hawaii,Advertising and Promotions Managers,100,16.5,0.164,0.96,46.78,97300,4.6
Hawaii,Marketing Managers,670,9.2,1.055,0.59,51.86,107880,3.8
Hawaii,Sales Managers,1830,10.7,2.872,1.05,52.33,108840,4.1
Hawaii,Public Relations and Fundraising Managers,430,9.6,0.676,1.25,54.27,112880,5.2
Hawaii,Administrative Services and Facilities Managers,1610,6.2,2.531,1.21,50,103990,3
Hawaii,Computer and Information Systems Managers,990,6.8,1.55,0.52,61.27,127450,1.8
Hawaii,Financial Managers,2820,3.2,4.445,1,59.03,122780,2
Hawaii,Industrial Production Managers,130,14.2,0.208,0.16,47.67,99160,4.6
Hawaii,Purchasing Managers,260,6.8,0.412,0.84,49.19,102310,2.2
Hawaii,"Transportation, Storage, and Distribution Managers",500,7.6,0.791,0.88,46.29,96290,2.6
Hawaii,Compensation and Benefits Managers,40,12.1,0.061,0.53,52.09,108350,3.6
Hawaii,Human Resources Managers,600,4.6,0.946,0.9,53.15,110540,1.5
Hawaii,Training and Development Managers,130,9.6,0.2,0.76,49.51,102970,3.9
Hawaii,Construction Managers,2160,6.7,3.401,1.7,56.21,116910,3.5
Hawaii,"Education and Childcare Administrators, Preschool and Daycare",180,21.9,0.284,0.8,27.18,56540,4.5
Hawaii,"Education Administrators, Kindergarten through Secondary",1080,5.3,1.698,0.92,*,102290,2.1
Hawaii,"Education Administrators, Postsecondary",410,11.8,0.642,0.65,61.19,127280,5.8
Hawaii,"Education Administrators, All Other",200,12.5,0.318,1.05,49.7,103370,8.7
Hawaii,Architectural and Engineering Managers,890,8.5,1.402,1.06,67.48,140370,2.5
Hawaii,Food Service Managers,1170,14.5,1.844,1.15,35.17,73160,2.8
Hawaii,Lodging Managers,350,14.9,0.552,2.11,48.43,100730,5.4
