area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Idaho,All Occupations,727160,0.7,1000,1,21.58,44890,1.1
Idaho,Management Occupations,41680,1.5,57.312,1.05,41.03,85350,1.2
Idaho,General and Operations Managers,14600,2.2,20.079,1.23,38.98,81080,1.3
Idaho,Legislators,360,12.4,0.489,1.37,*,25160,6.7
Idaho,Advertising and Promotions Managers,110,17.6,0.149,0.87,33.53,69740,2.1
Idaho,Marketing Managers,990,11.1,1.365,0.76,56.2,116900,4.6
Idaho,Sales Managers,1470,6.5,2.019,0.74,50.52,105080,3
Idaho,Public Relations and Fundraising Managers,270,7,0.377,0.7,42.59,88580,3.3
Idaho,Administrative Services and Facilities Managers,830,5.9,1.139,0.54,37.55,78100,3
Idaho,Computer and Information Systems Managers,1440,5.1,1.983,0.67,51.64,107410,2.2
Idaho,Financial Managers,2970,3.8,4.085,0.92,46.28,96260,1.8
Idaho,Industrial Production Managers,660,4.9,0.902,0.71,48.69,101280,2.3
Idaho,Purchasing Managers,270,5.8,0.372,0.76,47.89,99610,4.3
Idaho,"Transportation, Storage, and Distribution Managers",650,15.8,0.89,0.99,38.57,80230,3.4
Idaho,Compensation and Benefits Managers,80,7,0.103,0.9,42.94,89320,3.4
Idaho,Human Resources Managers,610,4.2,0.834,0.79,44.92,93430,1.9
Idaho,Training and Development Managers,140,17.5,0.188,0.72,41.36,86040,3
Idaho,"Farmers, Ranchers, and Other Agricultural Managers",230,22.1,0.317,9.22,29.34,61020,2.4
Idaho,Construction Managers,1410,8.8,1.938,0.97,38.36,79800,2.6
Idaho,"Education and Childcare Administrators, Preschool and Daycare",110,13.9,0.153,0.43,22.27,46330,6
Idaho,"Education Administrators, Kindergarten through Secondary",1500,8.7,2.064,1.12,*,79160,1.9
Idaho,"Education Administrators, Postsecondary",1390,6.2,1.917,1.94,44.79,93160,2.7
Idaho,"Education Administrators, All Other",90,22,0.118,0.39,28.06,58370,4.3
Idaho,Architectural and Engineering Managers,1290,4.7,1.771,1.34,70.13,145860,3.8
Idaho,Food Service Managers,1040,12.2,1.426,0.89,24.22,50390,3.4
Idaho,Lodging Managers,190,20.1,0.26,0.99,28.57,59430,10.4
Idaho,Medical and Health Services Managers,2170,5.9,2.979,1.11,45.65,94960,2.5
Idaho,Natural Sciences Managers,370,2.6,0.505,1.1,46.39,96480,2.4
Idaho,Postmasters and Mail Superintendents,130,0,0.179,1.9,35.27,73370,0.8
Idaho,"Property, Real Estate, and Community Association Managers",1620,8.8,2.222,1.48,18.07,37580,5
Idaho,Social and Community Service Managers,890,5.5,1.22,1.15,27.51,57230,3.8
Idaho,Emergency Management Directors,100,7.3,0.138,2.01,44.43,92400,6.8
Idaho,Funeral Home Managers,40,43.8,0.059,0.93,31.57,65670,3.5
Idaho,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1210,8.8,1.666,0.52,45.27,94160,2.5
Idaho,Business and Financial Operations Occupations,28910,1.9,39.762,0.71,31.59,65720,1.3
Idaho,Buyers and Purchasing Agents,1770,4.8,2.439,0.85,28.99,60290,2.2
Idaho,"Claims Adjusters, Examiners, and Investigators",1210,10.3,1.661,0.85,29.61,61600,3.6
Idaho,Compliance Officers,1270,5,1.751,0.81,29.04,60410,2.3
Idaho,Cost Estimators,1140,12,1.57,1.1,29.11,60540,2.5
Idaho,Human Resources Specialists,2290,4.1,3.148,0.73,30.68,63810,3.1
Idaho,Labor Relations Specialists,160,25.3,0.214,0.42,30.74,63940,4.1
Idaho,Logisticians,560,8.5,0.772,0.62,34.97,72740,4.1
Idaho,Management Analysts,2850,4.8,3.924,0.81,37.88,78800,3.4
Idaho,"Meeting, Convention, and Event Planners",420,10.2,0.579,0.72,19.22,39990,3.5
Idaho,Fundraisers,260,14.7,0.361,0.65,26.41,54940,5.7
Idaho,"Compensation, Benefits, and Job Analysis Specialists",210,10.9,0.287,0.47,31.85,66250,4.9
Idaho,Training and Development Specialists,1550,5.2,2.126,1,28.66,59610,4
Idaho,Market Research Analysts and Marketing Specialists,1880,6.3,2.589,0.56,29.12,60560,3.3
Idaho,"Project Management Specialists and Business Operations Specialists, All Other",3600,2.9,4.957,0.57,34.35,71440,2
Idaho,Accountants and Auditors,3940,4.4,5.42,0.62,31.46,65440,2.4
Idaho,Property Appraisers and Assessors,470,12.3,0.652,1.7,26.89,55930,4.8
Idaho,Budget Analysts,170,4.9,0.228,0.65,33.11,68870,1.5
Idaho,Credit Analysts,150,20.4,0.2,0.4,29.65,61670,4
Idaho,Personal Financial Advisors,920,13.7,1.26,0.88,47.7,99220,8.9
Idaho,Insurance Underwriters,100,34.7,0.138,0.2,29.29,60920,8.4
Idaho,Financial Examiners,90,20.2,0.128,0.29,36.65,76230,2.9
Idaho,Credit Counselors,60,24.5,0.084,0.39,18.62,38720,7.4
Idaho,Loan Officers,1980,7.7,2.719,1.29,29.29,60930,2.9
Idaho,"Tax Examiners and Collectors, and Revenue Agents",280,3.5,0.379,1.04,26.58,55280,3.8
Idaho,Tax Preparers,610,31.1,0.833,1.83,18.35,38170,7.7
Idaho,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",920,8.3,1.26,0.4,35.27,73360,3
Idaho,Computer and Mathematical Occupations,16060,4,22.082,0.71,36.34,75580,3.1
Idaho,Computer Systems Analysts,1560,8.3,2.145,0.53,39.14,81410,1.8
Idaho,Information Security Analysts,470,6.6,0.64,0.75,43.56,90610,4.2
Idaho,Computer and Information Research Scientists,230,5.5,0.315,1.51,66.41,138120,2.7
Idaho,Computer Network Support Specialists,570,23.6,0.779,0.62,25.36,52760,2.3
Idaho,Computer User Support Specialists,3320,10.5,4.566,1.04,24.1,50130,4.2
Idaho,Computer Network Architects,660,23.5,0.903,0.87,*,*,*
Idaho,Network and Computer Systems Administrators,1380,7,1.902,0.79,34.41,71580,3
Idaho,Database Administrators and Architects,460,7,0.627,0.73,34.02,70770,8.6
Idaho,Computer Programmers,520,12.2,0.716,0.53,34.72,72210,4.6
Idaho,Software Developers and Software Quality Assurance Analysts and Testers,4690,8.1,6.455,0.67,45.74,95140,2.6
Idaho,Web Developers and Digital Interface Designers,590,11.6,0.807,0.8,24.9,51780,3.5
Idaho,"Computer Occupations, All Other",900,9.2,1.243,0.46,37.03,77020,2.6
Idaho,Actuaries,40,14.8,0.057,0.38,55.41,115260,13.7
Idaho,Operations Research Analysts,570,20,0.787,1.16,33.39,69450,9.9
Idaho,Statisticians,90,8.8,0.13,0.49,53.36,111000,10
Idaho,Architecture and Engineering Occupations,14410,2.3,19.815,1.12,41.64,86620,3.1
Idaho,"Architects, Except Landscape and Naval",450,23.4,0.615,0.85,31.32,65140,11
