area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Illinois,All Occupations,6025790,0.3,1000,1,26.51,55130,0.5
Illinois,Management Occupations,451260,0.9,74.888,1.37,57.14,118840,0.5
Illinois,Chief Executives,10010,4,1.661,1.18,106.34,221180,1.3
Illinois,General and Operations Managers,128580,1.5,21.337,1.31,59.41,123570,0.8
Illinois,Advertising and Promotions Managers,**,**,**,**,60.12,125040,3.7
Illinois,Marketing Managers,21980,3.5,3.648,2.03,64.08,133280,0.9
Illinois,Sales Managers,25650,3,4.256,1.55,65.29,135790,1.2
Illinois,Public Relations and Fundraising Managers,5280,5.8,0.876,1.63,58.98,122670,2.8
Illinois,Administrative Services and Facilities Managers,19310,2.6,3.205,1.53,48.27,100400,1
Illinois,Computer and Information Systems Managers,20370,2.6,3.381,1.14,71.63,148990,0.8
Illinois,Financial Managers,41900,2,6.954,1.56,70.36,146350,1.1
Illinois,Industrial Production Managers,11330,2.7,1.88,1.49,51.06,106200,0.9
Illinois,Purchasing Managers,4380,4.1,0.727,1.48,57.78,120170,1.5
Illinois,"Transportation, Storage, and Distribution Managers",9310,3.5,1.544,1.72,48.83,101560,1.2
Illinois,Compensation and Benefits Managers,1210,6,0.201,1.75,66.13,137540,3
Illinois,Human Resources Managers,10890,2.2,1.807,1.71,58.52,121720,0.9
Illinois,Training and Development Managers,2580,5.6,0.428,1.63,58.06,120770,2.7
Illinois,"Farmers, Ranchers, and Other Agricultural Managers",260,15.6,0.044,1.28,34.64,72040,7.2
Illinois,Construction Managers,13040,6.4,2.164,1.08,45.73,95120,3.2
Illinois,"Education and Childcare Administrators, Preschool and Daycare",2610,7.3,0.434,1.22,27.44,57070,4.1
Illinois,"Education Administrators, Kindergarten through Secondary",12480,2.8,2.071,1.12,*,105620,2.2
Illinois,"Education Administrators, Postsecondary",8120,3.2,1.348,1.37,46.41,96540,2
Illinois,"Education Administrators, All Other",1770,9,0.294,0.97,38.96,81030,4.4
Illinois,Architectural and Engineering Managers,8900,3.7,1.478,1.12,67.64,140690,1.1
Illinois,Food Service Managers,18250,5.2,3.029,1.89,23.89,49690,1.7
Illinois,Gambling Managers,160,13.8,0.026,0.86,*,*,*
Illinois,Lodging Managers,1120,15.5,0.186,0.71,26.29,54690,3.7
Illinois,Medical and Health Services Managers,14510,3,2.408,0.9,60.26,125330,2
Illinois,Natural Sciences Managers,2170,12.5,0.36,0.78,61.13,127150,3.1
Illinois,Postmasters and Mail Superintendents,550,8.8,0.092,0.97,36.9,76750,0.9
Illinois,"Property, Real Estate, and Community Association Managers",7390,8.8,1.226,0.82,35.14,73080,3.5
Illinois,Social and Community Service Managers,5640,4.1,0.935,0.88,35.22,73250,3.4
Illinois,Emergency Management Directors,550,7,0.091,1.32,35.02,72830,4.7
Illinois,Funeral Home Managers,370,21.8,0.061,0.96,61.02,126910,16.2
Illinois,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",34600,2.6,5.742,1.79,48.22,100310,1
Illinois,Business and Financial Operations Occupations,343380,1.2,56.986,1.02,37.22,77420,0.8
Illinois,"Agents and Business Managers of Artists, Performers, and Athletes",300,40.2,0.05,0.43,*,*,*
Illinois,Buyers and Purchasing Agents,14840,3.8,2.462,0.86,32.51,67610,0.9
Illinois,"Claims Adjusters, Examiners, and Investigators",12090,6.6,2.006,1.02,31.79,66110,2.1
Illinois,"Insurance Appraisers, Auto Damage",**,**,**,**,32.62,67850,7.2
Illinois,Compliance Officers,10150,4.4,1.684,0.78,36.38,75670,1.6
Illinois,Cost Estimators,5600,6,0.93,0.65,34.56,71890,2.4
Illinois,Human Resources Specialists,27580,3.2,4.577,1.06,30.72,63890,0.9
Illinois,Labor Relations Specialists,4890,6.8,0.812,1.58,29.25,60850,5.8
Illinois,Logisticians,9190,5.1,1.525,1.23,32.35,67290,2.2
Illinois,Management Analysts,36340,4.3,6.031,1.25,48.34,100560,2.4
Illinois,"Meeting, Convention, and Event Planners",4710,7.9,0.781,0.98,24.87,51740,1.9
Illinois,Fundraisers,2750,7.6,0.456,0.82,29.26,60850,3
Illinois,"Compensation, Benefits, and Job Analysis Specialists",4030,6.3,0.669,1.1,33.41,69480,1.1
Illinois,Training and Development Specialists,10600,3.6,1.759,0.83,32.1,66770,1.1
Illinois,Market Research Analysts and Marketing Specialists,33670,2.6,5.587,1.21,31.2,64910,1.1
Illinois,"Project Management Specialists and Business Operations Specialists, All Other",52030,2.7,8.635,0.99,38.45,79970,1.4
Illinois,Accountants and Auditors,51740,2.7,8.587,0.98,37.33,77640,1.6
Illinois,Property Appraisers and Assessors,2330,16,0.387,1.01,25.77,53590,5
Illinois,Budget Analysts,1380,6.4,0.23,0.66,37.62,78240,1.6
Illinois,Credit Analysts,3040,8.8,0.505,1,38.09,79230,3.8
Illinois,Personal Financial Advisors,7800,8.7,1.295,0.91,68.48,142440,5.6
Illinois,Insurance Underwriters,7720,9.8,1.282,1.88,35.77,74400,4.7
Illinois,Financial Examiners,2010,7.1,0.334,0.76,48.34,100540,4.6
Illinois,Credit Counselors,1670,8.2,0.278,1.27,22.25,46280,3
Illinois,Loan Officers,12310,8.2,2.042,0.97,37.86,78740,2.9
Illinois,"Tax Examiners and Collectors, and Revenue Agents",1370,0.5,0.227,0.62,34.35,71450,1.3
Illinois,Tax Preparers,2600,10.7,0.432,0.95,19.22,39980,7.4
Illinois,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",20510,4.3,3.403,1.09,43.8,91110,1.3
Illinois,Computer and Mathematical Occupations,184990,1.9,30.7,0.99,43.32,90110,0.8
Illinois,Computer Systems Analysts,30710,4.1,5.096,1.27,43.92,91340,1.8
Illinois,Information Security Analysts,4120,6.7,0.684,0.8,49.41,102780,1.4
Illinois,Computer and Information Research Scientists,430,21.3,0.071,0.34,57.2,118970,2.2
Illinois,Computer Network Support Specialists,11130,4,1.847,1.46,30.8,64070,1.2
Illinois,Computer User Support Specialists,23450,5.2,3.891,0.88,25.66,53370,1.2
Illinois,Computer Network Architects,5150,6.3,0.854,0.82,59.18,123100,1.4
Illinois,Network and Computer Systems Administrators,11560,4.5,1.918,0.79,41.73,86810,1.1
Illinois,Database Administrators and Architects,4420,5.1,0.734,0.86,47.06,97880,1.3
Illinois,Computer Programmers,9260,11.2,1.536,1.13,45.2,94010,3.2
Illinois,Software Developers and Software Quality Assurance Analysts and Testers,54700,3.7,9.078,0.95,49.89,103760,0.7
Illinois,Web Developers and Digital Interface Designers,5610,8.4,0.93,0.92,37.84,78700,1.9
Illinois,"Computer Occupations, All Other",13910,4.9,2.308,0.86,44.66,92890,1.5
Illinois,Actuaries,1970,19.6,0.328,2.16,55.41,115250,2.9
Illinois,Mathematicians,60,37.4,0.01,0.56,56.18,116850,11.6
Illinois,Operations Research Analysts,4520,6.7,0.749,1.1,48.08,100010,1.4
Illinois,Statisticians,1770,10.1,0.294,1.1,44.41,92370,2.6
Illinois,"Data Scientists and Mathematical Science Occupations, All Other",2240,13.4,0.371,1.77,48.68,101260,2.6
Illinois,Architecture and Engineering Occupations,85600,2.6,14.205,0.8,40.98,85240,0.9
Illinois,"Architects, Except Landscape and Naval",5760,7.9,0.956,1.33,40.59,84430,4
Illinois,Landscape Architects,490,13.5,0.081,0.59,36.06,75000,2
