area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Indiana,All Occupations,3073680,0.4,1000,1,22.49,46770,0.6
Indiana,Management Occupations,147080,2,47.853,0.87,49.17,102280,1.1
Indiana,Chief Executives,3310,3.1,1.076,0.77,77.6,161410,2.1
Indiana,General and Operations Managers,51040,1.5,16.605,1.02,53.11,110480,0.9
Indiana,Legislators,1650,3.3,0.535,1.5,*,37600,5.4
Indiana,Advertising and Promotions Managers,240,20.2,0.077,0.45,41.62,86560,5.9
Indiana,Marketing Managers,3400,7,1.107,0.62,55.4,115230,1.8
Indiana,Sales Managers,5630,4.7,1.831,0.67,61.13,127140,1.8
Indiana,Public Relations and Fundraising Managers,**,**,**,**,48.16,100180,5.5
Indiana,Administrative Services and Facilities Managers,4990,3.3,1.623,0.78,43.53,90550,1
Indiana,Computer and Information Systems Managers,5080,5,1.654,0.56,60.59,126030,1.7
Indiana,Financial Managers,8330,2.6,2.709,0.61,56.91,118370,1.5
Indiana,Industrial Production Managers,6040,3.3,1.963,1.55,49.59,103140,2
Indiana,Purchasing Managers,1340,4.2,0.437,0.89,51.79,107730,1.9
Indiana,"Transportation, Storage, and Distribution Managers",2000,4.2,0.65,0.72,45.74,95130,1.7
Indiana,Compensation and Benefits Managers,170,7.1,0.054,0.47,51.57,107260,2.4
Indiana,Human Resources Managers,2380,2.7,0.775,0.74,51.8,107750,1.3
Indiana,Training and Development Managers,600,4.4,0.194,0.74,47.65,99120,2.2
Indiana,"Farmers, Ranchers, and Other Agricultural Managers",100,27.6,0.033,0.95,33.52,69720,4.4
Indiana,Construction Managers,5170,5.7,1.68,0.84,44.07,91660,2.2
Indiana,"Education and Childcare Administrators, Preschool and Daycare",790,12.5,0.256,0.72,21.72,45180,3.2
Indiana,"Education Administrators, Kindergarten through Secondary",5010,3.5,1.63,0.88,*,88250,1.2
Indiana,"Education Administrators, Postsecondary",3660,3.3,1.191,1.21,49.59,103150,4.2
Indiana,"Education Administrators, All Other",250,19.6,0.08,0.26,30.97,64420,6.7
Indiana,Architectural and Engineering Managers,3980,5.1,1.296,0.98,60.65,126150,1.2
Indiana,Food Service Managers,3110,6.5,1.011,0.63,25.66,53370,1.5
Indiana,Gambling Managers,90,18.6,0.03,1,34.67,72110,3.7
Indiana,Lodging Managers,500,14.4,0.162,0.62,22.44,46680,4.5
Indiana,Medical and Health Services Managers,7960,2.6,2.588,0.96,49.18,102300,1.8
Indiana,Postmasters and Mail Superintendents,290,0,0.094,1,38.11,79260,0.5
Indiana,"Property, Real Estate, and Community Association Managers",3870,6.9,1.259,0.84,25.16,52330,2.3
Indiana,Social and Community Service Managers,2170,5.2,0.706,0.66,29.74,61850,1.5
Indiana,Emergency Management Directors,260,5,0.084,1.22,25.86,53800,3.3
Indiana,Funeral Home Managers,440,16.1,0.143,2.23,33.92,70560,7.1
Indiana,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",7570,3,2.462,0.77,34.04,70790,1.4
Indiana,Business and Financial Operations Occupations,124640,1.6,40.552,0.73,32.18,66930,0.9
Indiana,"Agents and Business Managers of Artists, Performers, and Athletes",120,41.3,0.04,0.35,*,*,*
Indiana,Buyers and Purchasing Agents,8850,2.9,2.88,1,28.07,58380,1.3
Indiana,"Claims Adjusters, Examiners, and Investigators",4130,6.8,1.344,0.69,30.18,62780,2.3
Indiana,Compliance Officers,4820,9.1,1.569,0.73,30.78,64020,1.5
Indiana,Cost Estimators,4110,4.3,1.337,0.94,31.16,64820,1.6
Indiana,Human Resources Specialists,13280,2.4,4.322,1,27.95,58130,0.6
Indiana,Labor Relations Specialists,2540,7.3,0.825,1.6,25.81,53680,8.6
Indiana,Logisticians,2330,5.3,0.759,0.61,35.12,73060,2.1
Indiana,Management Analysts,10220,7.5,3.323,0.69,39.53,82220,2.1
Indiana,"Meeting, Convention, and Event Planners",1650,16.2,0.536,0.67,22.11,45980,2.7
Indiana,Fundraisers,1640,7.8,0.534,0.96,28,58230,4.3
Indiana,"Compensation, Benefits, and Job Analysis Specialists",1080,6.3,0.35,0.58,29.85,62080,2.6
Indiana,Training and Development Specialists,5490,5.6,1.785,0.84,28.06,58360,1.8
