area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Iowa,All Occupations,1549460,0.5,1000,1,22.76,47330,0.9
Iowa,Management Occupations,85370,1.1,55.1,1,48.02,99880,1
Iowa,Chief Executives,2010,3.3,1.297,0.93,74.61,155180,3.7
Iowa,General and Operations Managers,24120,1.7,15.564,0.95,47.95,99740,1.2
Iowa,Legislators,**,**,**,**,*,38670,7.7
Iowa,Advertising and Promotions Managers,230,17.9,0.147,0.86,51.67,107460,4.8
Iowa,Marketing Managers,2550,3.9,1.647,0.92,55.75,115960,2.1
Iowa,Sales Managers,3170,4.6,2.046,0.75,57.4,119390,1.7
Iowa,Public Relations and Fundraising Managers,960,12.8,0.622,1.15,49.47,102900,2.7
Iowa,Administrative Services and Facilities Managers,2290,5.4,1.475,0.71,43.86,91230,1.6
Iowa,Computer and Information Systems Managers,3560,3.1,2.299,0.78,59.41,123570,1.7
Iowa,Financial Managers,8630,2.1,5.573,1.25,56.05,116590,2
Iowa,Industrial Production Managers,3310,3.7,2.136,1.69,48.32,100510,1.1
Iowa,Purchasing Managers,710,5.4,0.455,0.93,49.58,103130,3.8
Iowa,"Transportation, Storage, and Distribution Managers",1690,5.8,1.091,1.21,41.52,86370,1.5
Iowa,Compensation and Benefits Managers,120,13.1,0.079,0.69,56.37,117250,5.5
Iowa,Human Resources Managers,1580,3.4,1.018,0.97,53.44,111160,1.6
Iowa,Training and Development Managers,360,7.9,0.233,0.89,45.72,95100,2
Iowa,"Farmers, Ranchers, and Other Agricultural Managers",160,20.1,0.103,3,43.43,90340,6.3
Iowa,Construction Managers,3160,6.3,2.039,1.02,41.44,86180,2.1
Iowa,"Education and Childcare Administrators, Preschool and Daycare",810,11.2,0.524,1.47,21.11,43910,3.4
Iowa,"Education Administrators, Kindergarten through Secondary",2660,5.5,1.714,0.93,*,100090,1.4
Iowa,"Education Administrators, Postsecondary",2440,3.7,1.573,1.59,50.15,104320,4.7
Iowa,"Education Administrators, All Other",500,9.5,0.32,1.05,44.54,92630,3.5
Iowa,Architectural and Engineering Managers,2360,5.2,1.523,1.15,59.49,123750,3.1
Iowa,Food Service Managers,1910,7.8,1.231,0.77,23.36,48590,2
Iowa,Gambling Managers,160,8.6,0.104,3.43,36.91,76770,4.4
Iowa,Lodging Managers,530,14.2,0.341,1.31,27.44,57080,5.1
Iowa,Medical and Health Services Managers,6880,3.8,4.441,1.65,42.28,87940,1.2
Iowa,Natural Sciences Managers,360,12.4,0.232,0.5,54.53,113420,2.4
Iowa,Postmasters and Mail Superintendents,260,0,0.17,1.81,35.52,73870,0.6
Iowa,"Property, Real Estate, and Community Association Managers",1300,14.4,0.842,0.56,32.96,68560,9.9
Iowa,Social and Community Service Managers,2370,4.4,1.532,1.44,28.96,60230,1.4
Iowa,Emergency Management Directors,150,6.3,0.094,1.38,31.35,65210,2.6
Iowa,Funeral Home Managers,80,19.8,0.053,0.82,40.24,83710,11.6
Iowa,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2890,4.8,1.868,0.58,51.29,106690,4.2
Iowa,Business and Financial Operations Occupations,74630,1.6,48.167,0.86,32.49,67580,0.9
Iowa,Buyers and Purchasing Agents,3790,3.4,2.444,0.85,29.15,60640,1.4
Iowa,"Claims Adjusters, Examiners, and Investigators",3160,11.6,2.037,1.04,31.41,65330,1.6
